Transcription-Units,Genes of transcription unit,Direction
TU27KH-844,B488_RS04880,-
TU27KH-431,B488_RS03550 // B488_RS03545,-
TU27KH-666,B488_RS05545 // B488_RS05540,+
TU27KH-883,B488_RS02720,+
TU27KH-873,B488_RS02885,-
TU27KH-447,B488_RS03700 // B488_RS03695,-
TU27KH-11,B488_RS00085,-
TU27KH-726,B488_RS06050,-
TU27KH-26,B488_RS00180,+
TU27KH-346,B488_RS02845,+
TU27KH-66,B488_RS00475,+
TU27KH-499,B488_RS04120,-
TU27KH-475,B488_RS03950,+
TU27KH-369,B488_RS03030,+
TU27KH-105,B488_RS00780,+
TU27KH-766,B488_RS06335 // B488_RS06330 // B488_RS06325,-
TU27KH-171,B488_RS01375 // B488_RS01370,+
TU27KH-200,B488_RS01620,+
TU27KH-132,B488_RS00975 // B488_RS00970 // B488_RS00965,+
TU27KH-617,B488_RS05110,-
TU27KH-227,B488_RS01840 // B488_RS01835,-
TU27KH-756,B488_RS06270,+
TU27KH-933,B488_RS00390,-
TU27KH-583,B488_RS04855 // B488_RS04850 // B488_RS04845 // B488_RS04840,-
TU27KH-251,B488_RS02080 // B488_RS02075,+
TU27KH-709,B488_RS05910 // B488_RS05905,-
TU27KH-814,B488_RS05980,+
TU27KH-416,B488_RS03380,-
TU27KH-309,B488_RS02540 // B488_RS02535,+
TU27KH-644,B488_RS05320,-
TU27KH-682,B488_RS05655 // B488_RS05650,-
TU27KH-280,B488_RS02295,+
TU27KH-540,B488_RS04450,+
TU27KH-55,B488_RS00375,+
TU27KH-843,B488_RS04885,+
TU27KH-903,B488_RS01820,-
TU27KH-872,B488_RS02935,-
TU27KH-711,B488_RS05930 // B488_RS05925 // B488_RS05920,-
TU27KH-10,B488_RS00080 // B488_RS00075,-
TU27KH-669,B488_RS05560,+
TU27KH-906,B488_RS01605,+
TU27KH-461,B488_RS03845,+
TU27KH-498,B488_RS04115 // B488_RS04110,-
TU27KH-368,B488_RS06835,-
TU27KH-553,B488_RS04610 // B488_RS04605,-
TU27KH-80,B488_RS00590,+
TU27KH-568,B488_RS04730,+
TU27KH-170,B488_RS01365,+
TU27KH-118,B488_RS00880,+
TU27KH-199,B488_RS01615 // B488_RS01610,-
TU27KH-518,B488_RS06895 // B488_RS04285,-
TU27KH-576,B488_RS04790,+
TU27KH-755,B488_RS06265,-
TU27KH-146,B488_RS01115,-
TU27KH-631,B488_RS05205,+
TU27KH-294,B488_RS02390,+
TU27KH-784,B488_RS06585,-
TU27KH-412,B488_RS03350,-
TU27KH-590,B488_RS04915 // B488_RS04910,-
TU27KH-813,B488_RS05985,-
TU27KH-265,B488_RS02170,-
TU27KH-40,B488_RS00290,+
TU27KH-283,B488_RS06790,-
TU27KH-430,B488_RS03540 // B488_RS03535,-
TU27KH-651,B488_RS05375,+
TU27KH-322,B488_RS06815,-
TU27KH-696,B488_RS05785 // B488_RS05780 // B488_RS05775,-
TU27KH-842,B488_RS05000,+
TU27KH-547,B488_RS04540,-
TU27KH-480,B488_RS03980,+
TU27KH-665,B488_RS05530 // B488_RS05525,+
TU27KH-871,B488_RS02940,+
TU27KH-9,B488_RS00070,+
TU27KH-725,B488_RS06045,-
TU27KH-88,B488_RS00635 // B488_RS00630,+
TU27KH-25,B488_RS00175,+
TU27KH-497,B488_RS04105 // B488_RS04100,-
TU27KH-345,B488_RS02840 // B488_RS02835,-
TU27KH-65,B488_RS00470,+
TU27KH-474,B488_RS03945,+
TU27KH-367,B488_RS03020,-
TU27KH-104,B488_RS00775,+
TU27KH-560,B488_RS07040,-
TU27KH-169,B488_RS01360 // B488_RS01355 // B488_RS01350 // B488_RS01345 // B488_RS01340 // B488_RS01335 // B488_RS01330 // B488_RS01325 // B488_RS01320 // B488_RS01315 // B488_RS01310 // B488_RS01305 // B488_RS01300 // B488_RS01295 // B488_RS01290 // B488_RS01285,+
TU27KH-198,B488_RS01600 // B488_RS01595,-
TU27KH-131,B488_RS00960,+
TU27KH-616,B488_RS05105,-
TU27KH-226,B488_RS01830,-
TU27KH-525,B488_RS04325,+
TU27KH-582,B488_RS04835,-
TU27KH-783,B488_RS06580 // B488_RS06575,-
TU27KH-250,B488_RS02070 // B488_RS02065 // B488_RS02060 // B488_RS02055 // B488_RS02050,+
TU27KH-812,B488_RS06000,-
TU27KH-415,B488_RS03375,-
TU27KH-308,B488_RS02525 // B488_RS02520 // B488_RS02515,+
TU27KH-681,B488_RS05645,-
TU27KH-923,B488_RS00845,+
TU27KH-279,B488_RS02290,-
TU27KH-54,B488_RS00370,-
TU27KH-841,B488_RS05005,-
TU27KH-621,B488_RS05140,+
TU27KH-663,B488_RS05515 // B488_RS05510,-
TU27KH-870,B488_RS02995,+
TU27KH-710,B488_RS05915,-
TU27KH-668,B488_RS05555,+
TU27KH-460,B488_RS03840 // B488_RS03835,-
TU27KH-496,B488_RS04095,-
TU27KH-94,B488_RS00685,-
TU27KH-913,B488_RS01380,-
TU27KH-366,B488_RS03015,-
TU27KH-79,B488_RS00580,+
TU27KH-168,B488_RS01280,+
TU27KH-601,B488_RS04995 // B488_RS04990 // B488_RS04985 // B488_RS04980,-
TU27KH-197,B488_RS01590 // B488_RS01585,-
TU27KH-925,B488_RS00760,-
TU27KH-225,B488_RS01815,+
TU27KH-753,B488_RS06230,-
TU27KH-145,B488_RS01110 // B488_RS01105,-
TU27KH-630,B488_RS05200,+
TU27KH-293,B488_RS02385 // B488_RS02380,+
TU27KH-411,B488_RS03345,-
TU27KH-782,B488_RS06570 // B488_RS06565 // B488_RS06560,-
TU27KH-532,B488_RS04375,-
TU27KH-811,B488_RS06005,+
TU27KH-264,B488_RS02165,-
TU27KH-39,B488_RS00285 // B488_RS06960,+
TU27KH-901,B488_RS01875,+
TU27KH-321,B488_RS02650,-
TU27KH-840,B488_RS05010,+
TU27KH-282,B488_RS02305,+
TU27KH-429,B488_RS03530,-
TU27KH-664,B488_RS05520,+
TU27KH-869,B488_RS03010,+
TU27KH-446,B488_RS03690,-
TU27KH-8,B488_RS00065,+
TU27KH-724,B488_RS06040,-
TU27KH-24,B488_RS00170,+
TU27KH-495,B488_RS04090,-
TU27KH-64,B488_RS00465,-
TU27KH-564,B488_RS04695 // B488_RS04690 // B488_RS04685 // B488_RS04680 // B488_RS04675,-
TU27KH-473,B488_RS03935,+
TU27KH-365,B488_RS03005 // B488_RS03000,-
TU27KH-754,B488_RS06260 // B488_RS06255 // B488_RS06250 // B488_RS06245 // B488_RS06240 // B488_RS06235,-
TU27KH-167,B488_RS01270,+
TU27KH-103,B488_RS00770 // B488_RS00765,+
TU27KH-196,B488_RS01580 // B488_RS01575,-
TU27KH-517,B488_RS04280,-
TU27KH-130,B488_RS00955,+
TU27KH-615,B488_RS05090 // B488_RS05085,+
TU27KH-224,B488_RS01810,+
TU27KH-752,B488_RS06225,-
TU27KH-932,B488_RS00565,-
TU27KH-579,B488_RS04815,-
TU27KH-781,B488_RS06555,-
TU27KH-249,B488_RS02045 // B488_RS02040 // B488_RS02035 // B488_RS02030 // B488_RS02025 // B488_RS02020 // B488_RS02015 // B488_RS02010 // B488_RS02005 // B488_RS02000 // B488_RS01995,+
TU27KH-810,B488_RS06020,+
TU27KH-414,B488_RS03370 // B488_RS03365,-
TU27KH-307,B488_RS02510,+
TU27KH-680,B488_RS05635 // B488_RS05630,-
TU27KH-643,B488_RS05310,-
TU27KH-278,B488_RS02280 // B488_RS02275 // B488_RS02270,-
TU27KH-539,B488_RS04445 // B488_RS04440,-
TU27KH-53,B488_RS00365,-
TU27KH-839,B488_RS05095,-
TU27KH-335,B488_RS06830,-
TU27KH-868,B488_RS03100,-
TU27KH-667,B488_RS05550,+
TU27KH-459,B488_RS03830 // B488_RS03825 // B488_RS03820,-
TU27KH-23,B488_RS00165 // B488_RS00160 // B488_RS00155,+
TU27KH-918,B488_RS01080,-
TU27KH-494,B488_RS04085,-
TU27KH-738,B488_RS06120,+
TU27KH-364,B488_RS02990 // B488_RS02985,-
TU27KH-552,B488_RS04600,-
TU27KH-78,B488_RS00575,+
TU27KH-166,B488_RS01265,+
TU27KH-600,B488_RS04975,-
TU27KH-117,B488_RS00870,+
TU27KH-195,B488_RS01570 // B488_RS01565,-
TU27KH-223,B488_RS01805 // B488_RS01800,+
TU27KH-144,B488_RS01095,-
TU27KH-629,B488_RS05195,-
TU27KH-292,B488_RS02375 // B488_RS02370 // B488_RS02365 // B488_RS02360,+
TU27KH-410,B488_RS03340 // B488_RS03335 // B488_RS03330 // B488_RS03325 // B488_RS03320,-
TU27KH-919,B488_RS01055,+
TU27KH-589,B488_RS04905,-
TU27KH-263,B488_RS02160,+
TU27KH-809,B488_RS06115,-
TU27KH-38,B488_RS00280,-
TU27KH-882,B488_RS02725,-
TU27KH-602,B488_RS05015,-
TU27KH-650,B488_RS05370,+
TU27KH-838,B488_RS05100,+
TU27KH-694,B488_RS05760,-
TU27KH-546,B488_RS04535 // B488_RS04530 // B488_RS04525 // B488_RS04520 // B488_RS04515 // B488_RS04510,-
TU27KH-428,B488_RS03525,+
TU27KH-867,B488_RS03105,+
TU27KH-445,B488_RS03685,-
TU27KH-344,B488_RS02830,-
TU27KH-7,B488_RS00060,+
TU27KH-723,B488_RS06035 // B488_RS06030,-
TU27KH-87,B488_RS00625,-
TU27KH-909,B488_RS01490,-
TU27KH-63,B488_RS00460 // B488_RS00455,-
TU27KH-472,B488_RS03930,+
TU27KH-363,B488_RS02980,-
TU27KH-165,B488_RS01260 // B488_RS01255,-
TU27KH-102,B488_RS00750,-
TU27KH-890,B488_RS02260,+
TU27KH-559,B488_RS04645,-
TU27KH-516,B488_RS06890,-
TU27KH-571,B488_RS04755 // B488_RS04750 // B488_RS04745,-
TU27KH-194,B488_RS01560 // B488_RS01555,-
TU27KH-129,B488_RS00950 // B488_RS00945,+
TU27KH-849,B488_RS04400,-
TU27KH-614,B488_RS05080,+
TU27KH-222,B488_RS01795,+
TU27KH-750,B488_RS06215,+
TU27KH-524,B488_RS06900,+
TU27KH-779,B488_RS06535,-
TU27KH-403,B488_RS03265,+
TU27KH-248,B488_RS01990,+
TU27KH-808,B488_RS06155,+
TU27KH-306,B488_RS02505 // B488_RS02500 // B488_RS02495,+
TU27KH-899,B488_RS01900,-
TU27KH-679,B488_RS05620,-
TU27KH-277,B488_RS02265,-
TU27KH-52,B488_RS00360,-
TU27KH-837,B488_RS05155,+
TU27KH-334,B488_RS02780,-
TU27KH-866,B488_RS03130,-
TU27KH-708,B488_RS05900,-
TU27KH-483,B488_RS03995,+
TU27KH-6,B488_RS00050,+
TU27KH-458,B488_RS03815 // B488_RS03810 // B488_RS03805,+
TU27KH-22,B488_RS00150,+
TU27KH-402,B488_RS03255 // B488_RS03250 // B488_RS03245,+
TU27KH-737,B488_RS06110,+
TU27KH-493,B488_RS04080 // B488_RS04075,-
TU27KH-93,B488_RS00680,-
TU27KH-362,B488_RS02975,-
TU27KH-77,B488_RS00570,+
TU27KH-164,B488_RS01250,-
TU27KH-889,B488_RS02530,-
TU27KH-599,B488_RS04970,-
TU27KH-116,B488_RS00865,+
TU27KH-193,B488_RS01550,-
TU27KH-924,B488_RS00830,+
TU27KH-749,B488_RS06210,+
TU27KH-143,B488_RS01090,-
TU27KH-628,B488_RS05190 // B488_RS05185,-
TU27KH-291,B488_RS02355 // B488_RS02350,+
TU27KH-778,B488_RS06525 // B488_RS06520 // B488_RS06515,-
TU27KH-409,B488_RS03315,-
TU27KH-401,B488_RS03240,-
TU27KH-531,B488_RS04370,-
TU27KH-262,B488_RS02155,+
TU27KH-807,B488_RS06290,+
TU27KH-37,B488_RS00275 // B488_RS00270,-
TU27KH-320,B488_RS02645,-
TU27KH-836,B488_RS05315,+
TU27KH-693,B488_RS05755 // B488_RS06950,+
TU27KH-427,B488_RS07025,+
TU27KH-662,B488_RS05480,-
TU27KH-891,B488_RS02255,-
TU27KH-865,B488_RS03195,-
TU27KH-444,B488_RS03680 // B488_RS03675,+
TU27KH-5,B488_RS00045,+
TU27KH-343,B488_RS02825,-
TU27KH-916,B488_RS01100,+
TU27KH-722,B488_RS06025,-
TU27KH-400,B488_RS06850,-
TU27KH-62,B488_RS00450,-
TU27KH-471,B488_RS03925,+
TU27KH-361,B488_RS02970 // B488_RS02965 // B488_RS02960,-
TU27KH-658,B488_RS05435 // B488_RS05430,+
TU27KH-101,B488_RS00745 // B488_RS00740,-
TU27KH-163,B488_RS01245,-
TU27KH-888,B488_RS02610,+
TU27KH-192,B488_RS01540,-
TU27KH-128,B488_RS07065,-
TU27KH-515,B488_RS04270,-
TU27KH-613,B488_RS05075,+
TU27KH-221,B488_RS01780,-
TU27KH-748,B488_RS06200,+
TU27KH-931,B488_RS00585,-
TU27KH-581,B488_RS04830,-
TU27KH-247,B488_RS01985 // B488_RS01980,+
TU27KH-777,B488_RS06485 // B488_RS06480 // B488_RS06475,-
TU27KH-399,B488_RS06845,-
TU27KH-642,B488_RS05305,-
TU27KH-806,B488_RS06390,+
TU27KH-305,B488_RS02490,+
TU27KH-678,B488_RS05615,-
TU27KH-538,B488_RS04435,+
TU27KH-276,B488_RS02250,+
TU27KH-51,B488_RS00355,+
TU27KH-835,B488_RS05330,+
TU27KH-333,B488_RS02775,-
TU27KH-707,B488_RS05895 // B488_RS05890 // B488_RS05885 // B488_RS05880,+
TU27KH-864,B488_RS03260,-
TU27KH-905,B488_RS01785,+
TU27KH-457,B488_RS03800,-
TU27KH-21,B488_RS00145,+
TU27KH-398,B488_RS03230,+
