Transcription-Units,Genes of transcription unit,Direction
TU27KH-19,B488_RS00130,-
TU27KH-490,B488_RS04050,-
TU27KH-390,B488_RS03175,+
TU27KH-734,B488_RS06085,-
TU27KH-34,B488_RS00235,+
TU27KH-550,B488_RS04575,-
TU27KH-74,B488_RS00550 // B488_RS00545,+
TU27KH-158,B488_RS01220,+
TU27KH-596,B488_RS04955,-
TU27KH-113,B488_RS00850,-
TU27KH-187,B488_RS01515,+
TU27KH-216,B488_RS01750,+
TU27KH-743,B488_RS06170,-
TU27KH-140,B488_RS01065,-
TU27KH-625,B488_RS05165,-
TU27KH-242,B488_RS01940,-
TU27KH-288,B488_RS02335,-
TU27KH-772,B488_RS06420,+
TU27KH-389,B488_RS03170 // B488_RS03165,-
TU27KH-587,B488_RS04895,-
TU27KH-801,B488_RS06500,+
TU27KH-259,B488_RS02145,-
TU27KH-317,B488_RS06985,-
TU27KH-790,B488_RS06675 // B488_RS06670,+
TU27KH-648,B488_RS05350,+
TU27KH-830,B488_RS05490,-
TU27KH-690,B488_RS05740 // B488_RS05735 // B488_RS05730 // B488_RS05725 // B488_RS05720,-
TU27KH-544,B488_RS04500 // B488_RS04495 // B488_RS04490,-
TU27KH-424,B488_RS06955,-
TU27KH-659,B488_RS05460 // B488_RS05455 // B488_RS05450 // B488_RS05445,+
TU27KH-859,B488_RS07030,+
TU27KH-441,B488_RS03655 // B488_RS03650,+
TU27KH-85,B488_RS00615,-
TU27KH-719,B488_RS05995,+
TU27KH-908,B488_RS01495,+
TU27KH-59,B488_RS00435 // B488_RS00430 // B488_RS00425,+
TU27KH-469,B488_RS06880,-
TU27KH-33,B488_RS00230,+
TU27KH-157,B488_RS01215,+
TU27KH-557,B488_RS04635 // B488_RS04630,+
TU27KH-577,B488_RS04805 // B488_RS04800 // B488_RS04795,+
TU27KH-570,B488_RS04740,-
TU27KH-186,B488_RS01510,+
TU27KH-125,B488_RS00930,+
TU27KH-512,B488_RS04255 // B488_RS04250 // B488_RS04245,+
TU27KH-610,B488_RS05055,-
TU27KH-215,B488_RS01745 // B488_RS01740,+
TU27KH-742,B488_RS06165 // B488_RS06160,-
TU27KH-522,B488_RS04310,-
TU27KH-241,B488_RS01935,-
TU27KH-771,B488_RS06405 // B488_RS06400,-
TU27KH-388,B488_RS03160,+
TU27KH-639,B488_RS05290 // B488_RS05285 // B488_RS05280 // B488_RS05275,-
TU27KH-800,B488_RS06505,-
TU27KH-675,B488_RS05600,-
TU27KH-302,B488_RS02470 // B488_RS02465 // B488_RS02460 // B488_RS02455 // B488_RS02450 // B488_RS02445,+
TU27KH-273,B488_RS02235,-
TU27KH-881,B488_RS02730,+
TU27KH-48,B488_RS00340,-
TU27KH-829,B488_RS05495,+
TU27KH-936,B488_RS00055,-
TU27KH-330,B488_RS02700,-
TU27KH-858,B488_RS07100,-
TU27KH-704,B488_RS05850,+
TU27KH-482,B488_RS03990,+
TU27KH-1,B488_RS06740 // B488_RS06735,+
TU27KH-454,B488_RS03770 // B488_RS03765,-
TU27KH-489,B488_RS04045,-
TU27KH-387,B488_RS03155,+
TU27KH-733,B488_RS06080,-
TU27KH-91,B488_RS00655,-
TU27KH-357,B488_RS02930,+
TU27KH-73,B488_RS00540,-
TU27KH-156,B488_RS01210 // B488_RS01205,+
TU27KH-595,B488_RS04950,-
TU27KH-112,B488_RS00840 // B488_RS00835,-
TU27KH-893,B488_RS02210,+
TU27KH-185,B488_RS01505,-
TU27KH-214,B488_RS01735,+
TU27KH-741,B488_RS06150,-
TU27KH-287,B488_RS02330,+
TU27KH-139,B488_RS01060,-
TU27KH-624,B488_RS05160,-
TU27KH-240,B488_RS01930,-
TU27KH-770,B488_RS06395,-
TU27KH-406,B488_RS07015,-
TU27KH-386,B488_RS03150,-
TU27KH-529,B488_RS04350,+
TU27KH-799,B488_RS06510,+
TU27KH-258,B488_RS02140 // B488_RS02135,-
TU27KH-423,B488_RS03480 // B488_RS03475 // B488_RS03470,-
TU27KH-316,B488_RS06810,-
TU27KH-828,B488_RS05500,-
TU27KH-689,B488_RS05710,-
TU27KH-657,B488_RS05425,+
TU27KH-857,B488_RS03915,+
TU27KH-699,B488_RS05800,+
TU27KH-440,B488_RS03645 // B488_RS03640 // B488_RS03635,-
TU27KH-718,B488_RS05990,+
TU27KH-18,B488_RS00125,-
TU27KH-385,B488_RS03145,-
TU27KH-58,B488_RS00420 // B488_RS00415,-
TU27KH-468,B488_RS03900,+
TU27KH-880,B488_RS02735,-
TU27KH-761,B488_RS06300 // B488_RS06295,-
TU27KH-98,B488_RS00715 // B488_RS00710,+
TU27KH-915,B488_RS01140,-
TU27KH-155,B488_RS01200,-
