,query,evalue
CD630_27390,b1866,0.0
CD630_27400,b2514,1.18e-113
CD630_27420,b0927,4.37e-33
CD630_27430,b3887,1.6600000000000002e-43
CD630_27440,b3650,0.0
CD630_27450,b0469,1.04e-61
CD630_27460,b2892,4.39e-87
CD630_27470,b3835,3.79e-70
CD630_27480,b3279,3.07e-36
CD630_27490,b1497,1.79e-17
CD630_27550,b2416,0.0
CD630_27560,b2415,7.8e-16
CD630_27610,b2817,2.93e-23
CD630_27640,b0822,8.989999999999999e-42
CD630_27670,b1491,1.23e-106
CD630_27710,b2028,1.15e-45
CD630_27720,b2059,3.35e-19
CD630_27790,b2049,1.67e-86
CD630_27800,b0688,6.48e-18
CD630_27810,b1069,1.9e-51
CD630_27830,b2047,1.34e-39
CD630_28010,b0407,9.73e-13
CD630_28020,b0406,9.49e-158
CD630_28040,b0405,3.27e-114
CD630_28050,b1860,4.73e-150
CD630_28060,b1861,5.44e-32
CD630_28070,b1863,1.06e-31
CD630_28120,b3415,2.2999999999999998e-69
CD630_28130,b3125,5.51e-103
CD630_28280,b2290,6.47e-36
CD630_28320,b3915,1.69e-30
CD630_28350,b1336,2.7399999999999998e-126
CD630_28430,b3253,7.030000000000001e-73
CD630_28500,b2735,2.44e-32
CD630_28550,b3087,8.14e-100
CD630_28570,b2690,3.1100000000000004e-26
CD630_28580,b4218,8.12e-46
CD630_28660,b4235,8.7e-34
CD630_28670,b3244,1.69e-96
CD630_28700,b3909,8.09e-55
CD630_28750,b0588,2.68e-85
CD630_28760,b4288,3.02e-60
CD630_28770,b4289,3.18e-44
CD630_28810,b1733,7.17e-41
CD630_28820,b1734,1.68e-169
CD630_28830,b1737,2.0299999999999998e-62
CD630_28850,b0730,8.69e-39
CD630_29660,b1241,0.0
CD630_29690,b0335,6.98e-15
CD630_29730,b3550,3.7e-32
CD630_29780,b2761,2.4e-20
CD630_29860,b3057,2.18e-66
CD630_29890,b0936,4.15e-21
CD630_29940,b2676,1.52e-78
CD630_29950,b2675,0.0
CD630_29980,b1711,4.68e-45
CD630_30000,b4298,6.100000000000001e-64
CD630_30010,b1180,3.3700000000000004e-21
CD630_30020,b3091,2.17e-73
CD630_30060,b3589,1.59e-127
CD630_30090,b0304,4.74e-129
CD630_30100,b2195,2.37e-12
CD630_30270,b2417,1.41e-34
CD630_30280,b3197,1.31e-51
CD630_30290,b1622,1.7199999999999998e-114
CD630_30330,b3781,2.4e-22
CD630_30350,b1464,4.2799999999999995e-48
CD630_30440,b4089,5.43e-38
CD630_30460,b2428,1.83e-98
CD630_30510,b1640,4.55e-70
CD630_30640,b3565,2.2100000000000002e-163
CD630_30650,b3564,3.94e-108
CD630_30680,b1817,3.6e-32
CD630_30700,b3139,1.83e-33
CD630_30710,b3656,5.71e-41
CD630_30840,b3124,2.1000000000000002e-109
CD630_30850,b0732,0.0
CD630_30860,b0731,0.0
CD630_30910,b4239,0.0
CD630_30960,b2716,0.0
CD630_30980,b3723,1.05e-77
CD630_31250,b3722,6.330000000000001e-160
CD630_31270,b2715,1.7e-101
CD630_31290,b1316,5.65e-96
CD630_31310,b4118,4.35e-15
CD630_31360,b2901,0.0
CD630_31570,b2620,1.68e-39
CD630_31640,b4179,1.35e-156
CD630_31700,b2779,0.0
CD630_31710,b3612,0.0
CD630_31720,b3919,7.42e-70
CD630_31730,b2926,3.21e-107
CD630_31760,b3202,1.54e-93
CD630_31780,b2873,1.0099999999999999e-115
CD630_31790,b2147,6.259999999999999e-42
CD630_31800,b2888,3.3399999999999996e-104
CD630_31810,b2879,4.51e-88
CD630_31840,b2871,1.3e-131
CD630_31860,b2869,1.0300000000000002e-129
CD630_31870,b4243,9.299999999999999e-45
CD630_32190,b3401,3.98e-18
CD630_32220,b2797,4.3499999999999995e-95
CD630_32230,b2478,4.53e-75
CD630_32240,b2319,1.81e-58
CD630_32270,b0166,2.6800000000000003e-21
CD630_32290,b0031,1.2e-40
CD630_32320,b4470,1.58e-83
CD630_32530,b2315,3.48e-53
CD630_32560,b4258,0.0
CD630_32600,b3724,5.810000000000001e-26
CD630_32610,b3725,5.46e-111
CD630_32620,b3726,8.8e-32
CD630_32630,b3727,4.09e-31
CD630_32680,b3728,4.15e-11
CD630_32760,b1819,2.35e-75
CD630_32830,b3952,1.47e-55
CD630_32840,b3234,8.48e-59
CD630_32860,b4020,6.619999999999999e-54
CD630_33000,b3865,2.6e-44
CD630_33010,b0439,0.0
CD630_33040,b0438,0.0
CD630_33050,b0437,1.46e-105
CD630_33060,b0436,2.62e-49
CD630_33080,b3643,1.77e-87
CD630_33090,b2411,0.0
CD630_33160,b3895,3e-20
CD630_33170,b4079,0.0
CD630_33520,b4396,9.589999999999999e-24
CD630_33730,b4242,0.0
CD630_33930,b2785,2.05e-52
CD630_33940,b1676,3.46e-161
CD630_33950,b3916,5.05e-113
CD630_33960,b0184,0.0
CD630_33990,b0780,3.2800000000000002e-31
CD630_34000,b3205,1.0700000000000001e-59
CD630_34020,b3972,1.7e-20
CD630_34030,b0904,8.709999999999999e-42
CD630_34050,b2285,4.92e-24
CD630_34060,b2284,5.570000000000001e-110
CD630_34070,b2283,2.29e-17
CD630_34100,b1913,1.23e-120
CD630_34110,b4058,0.0
CD630_34120,b0779,0.0
CD630_34140,b3453,1.6200000000000003e-27
CD630_34150,b3451,3.86e-38
CD630_34160,b3452,6.51e-38
CD630_34190,b0369,2.03e-106
CD630_34200,b3368,2.71e-80
CD630_34210,b3805,3.2099999999999996e-68
CD630_34370,b1992,7.67e-41
CD630_34380,b1993,4.11e-51
CD630_34390,b1991,5.96e-107
CD630_34460,b2384,1.27e-98
CD630_34480,b3137,1.16e-89
CD630_34490,b3136,4.49e-106
CD630_34500,b1068,2.14e-91
CD630_34550,b1830,1.61e-20
CD630_34560,b2912,3.68e-16
CD630_34630,b4053,8.22e-44
CD630_34660,b2563,6.71e-19
CD630_34680,b3732,0.0
CD630_34690,b3733,4.4e-58
CD630_34700,b3734,0.0
CD630_34710,b3735,5.77e-13
CD630_34720,b3736,3.34e-14
CD630_34740,b3738,9.34e-12
CD630_34780,b2875,4.47e-78
CD630_34790,b2498,1.22e-80
CD630_34800,b4090,1.7100000000000001e-49
CD630_34810,b2061,1.71e-22
CD630_34820,b3282,7.47e-20
CD630_34840,b1211,1.35e-130
CD630_34850,b1212,8.99e-47
CD630_34861,b3936,3.69e-21
CD630_34870,b3783,1.05e-149
CD630_34880,b1236,6.04e-84
CD630_34910,b3779,7.27e-31
CD630_34960,b0440,5.13e-25
CD630_34970,b2781,1.47e-59
CD630_35010,b1114,0.0
CD630_35020,b1204,2.06e-25
CD630_35040,b2972,2.5e-30
CD630_35050,b2950,1.25e-88
CD630_35110,b3327,2.27e-50
CD630_35120,b3326,8.75e-132
CD630_35140,b1207,7.13e-117
CD630_35150,b3730,4.61e-119
CD630_35180,b0091,4.79e-76
CD630_35230,b0051,3.27e-47
CD630_35310,b1266,7.52e-26
CD630_35320,b4095,1.53e-62
CD630_35330,b4096,5.47e-53
CD630_35340,b4097,4.63e-71
CD630_35350,b4098,1.49e-120
CD630_35360,b4099,1.53e-88
CD630_35390,b1100,3.42e-62
CD630_35400,b2114,1.68e-75
CD630_35440,b0889,3.6700000000000006e-21
CD630_35460,b3146,2.2299999999999998e-69
CD630_35470,b2575,1.44e-12
CD630_35520,b2890,4.08e-166
CD630_35530,b3181,5.2300000000000004e-27
CD630_35540,b3260,3.57e-91
CD630_35580,b3973,1.2e-41
CD630_35590,b3178,0.0
CD630_35600,b0188,3.66e-22
CD630_35620,b3967,2.32e-27
CD630_35650,b0113,1.3700000000000002e-21
CD630_35660,b1208,1.5e-38
CD630_35760,b3874,7.309999999999999e-69
CD630_35780,b1158,1.1900000000000001e-26
CD630_35810,b0967,4.98e-14
CD630_35890,b0032,1.09e-109
CD630_35900,b0033,0.0
CD630_35920,b1281,2.69e-52
CD630_35960,b4019,7.65e-93
CD630_35980,b2687,1.61e-36
CD630_35990,b0570,8.54e-31
CD630_36020,b1344,1.1900000000000002e-43
CD630_36030,b0164,1.22e-17
CD630_36050,b3385,7.9e-16
CD630_36070,b1683,9.51e-13
CD630_36160,b1191,3.3300000000000005e-70
CD630_36190,b4012,8.83e-29
CD630_36220,b4108,1.04e-48
CD630_36260,b4477,2.62e-24
CD630_36290,b4193,8.97e-44
CD630_36310,b4195,2.15e-25
CD630_36390,b1595,3.6599999999999997e-38
CD630_36490,b0636,3.58e-24
CD630_36550,b4177,1.51e-137
CD630_36570,b4052,2.8e-146
CD630_36580,b4203,2.59e-16
CD630_36611,b4202,1.8100000000000002e-21
CD630_36620,b4059,5.89e-16
CD630_36630,b4200,2.72e-18
CD630_36640,b4340,2.2099999999999998e-46
CD630_36700,b1680,2.1e-59
CD630_36750,b3741,0.0
CD630_36760,b3706,5.08e-96
CD630_36780,b3705,1.02e-32
CD630_36781,b4557,1.59e-27
b0002,CD630_20540,2.58e-29
b0003,CD630_21190,5.81e-31
b0004,CD630_21180,2.09e-56
b0006,CD630_18230,4.66e-49
b0007,CD630_16960,7.56e-124
b0009,CD630_17120,2.14e-27
b0014,CD630_24610,0.0
b0015,CD630_24600,2.14e-121
b0023,CD630_24730,1.02e-11
b0025,CD630_13150,4.1e-65
b0026,CD630_26180,1.82e-109
b0027,CD630_25970,2.4e-14
b0029,CD630_18180,1.89e-47
b0031,CD630_32290,3.76e-45
b0032,CD630_35890,1.0700000000000001e-109
b0033,CD630_35900,0.0
b0039,CD630_03990,8.57e-57
b0041,CD630_11710,1.39e-27
b0051,CD630_35230,2.75e-47
b0071,CD630_09910,1.6e-16
b0072,CD630_09900,2.56e-60
b0073,CD630_09920,1.33e-134
b0074,CD630_08320,1.45e-55
b0077,CD630_15660,3.61e-149
b0082,CD630_26580,3.68e-84
b0084,CD630_26560,2.57e-62
b0085,CD630_26640,2.45e-97
b0086,CD630_26550,9.28e-68
b0087,CD630_26540,2.88e-78
b0088,CD630_26530,1.0099999999999999e-46
b0089,CD630_26520,1.27e-67
b0090,CD630_26510,1.7100000000000002e-59
b0091,CD630_35180,3.6599999999999997e-92
b0092,CD630_14080,6.07e-65
b0095,CD630_26460,2.43e-92
b0098,CD630_01430,0.0
b0103,CD630_11290,2.1000000000000002e-32
b0109,CD630_23700,3.71e-72
b0113,CD630_35650,6.64e-22
b0116,CD630_07230,1.12e-87
b0121,CD630_08900,1.1199999999999999e-62
b0125,CD630_26910,1.33e-64
b0127,CD630_16040,2.6199999999999998e-52
b0133,CD630_15120,6.45e-71
b0134,CD630_15130,1.26e-82
b0142,CD630_14520,9.97e-31
b0143,CD630_24660,2.24e-34
b0155,CD630_06060,3.0400000000000002e-65
b0159,CD630_26110,2.3999999999999998e-52
b0164,CD630_36030,1.94e-17
b0166,CD630_32270,3.600000000000001e-21
b0168,CD630_15960,1.93e-67
b0169,CD630_21400,8.56e-90
b0170,CD630_21390,7.3e-65
b0171,CD630_21380,5.5700000000000004e-64
b0172,CD630_21370,8.899999999999999e-55
b0173,CD630_21300,2.1000000000000003e-123
b0174,CD630_21360,8.78e-73
b0175,CD630_21350,1.04e-20
b0176,CD630_21290,3.66e-24
b0180,CD630_01280,7.42e-42
b0183,CD630_12620,8.06e-58
b0184,CD630_33960,0.0
b0185,CD630_19360,6.92e-94
b0188,CD630_35600,2.7900000000000003e-22
b0194,CD630_00490,2.71e-177
b0195,CD630_13970,1.9e-11
b0197,CD630_14910,4.4399999999999995e-67
b0198,CD630_14900,4.26e-49
b0199,CD630_14890,8.549999999999999e-91
b0219,CD630_27370,2.04e-22
b0231,CD630_08990,1.14e-84
b0237,CD630_07080,2.76e-102
b0270,CD630_00340,2.26e-56
b0271,CD630_00330,2.8e-107
b0272,CD630_24300,5.39e-35
b0286,CD630_20880,7.58e-36
b0304,CD630_30090,7.92e-136
b0335,CD630_29690,2.27e-16
b0336,CD630_27380,4.5e-43
b0338,CD630_27360,3.4e-31
b0349,CD630_20120,7.48e-11
b0366,CD630_23610,3.32e-57
b0367,CD630_14820,5.61e-49
b0369,CD630_34190,1.13e-110
b0376,CD630_14690,2.36e-14
b0381,CD630_16260,6.1e-84
b0385,CD630_07070,2.2000000000000002e-27
b0386,CD630_14950,1.1699999999999999e-104
b0391,CD630_16600,8.04e-22
b0394,CD630_24590,1.12e-25
b0397,CD630_10430,1e-19
b0398,CD630_10420,2.18e-32
b0399,CD630_26380,7.76e-58
b0400,CD630_26370,3.52e-40
b0401,CD630_12600,8.96e-75
b0403,CD630_08860,1.93e-67
b0405,CD630_28040,3.05e-114
b0406,CD630_28020,8.52e-158
b0407,CD630_28010,9.86e-13
b0413,CD630_26400,7.31e-44
b0414,CD630_17000,1.1599999999999999e-83
b0415,CD630_16970,1.59e-59
b0420,CD630_12070,1.8400000000000003e-173
b0421,CD630_12050,3.76e-78
b0423,CD630_07540,1.72e-35
b0425,CD630_01880,4.81e-20
b0436,CD630_33060,2.36e-49
b0437,CD630_33050,1.39e-105
b0438,CD630_33040,0.0
b0439,CD630_33010,0.0
b0440,CD630_34960,4.48e-25
b0459,CD630_08720,2.28e-75
b0469,CD630_27450,9.999999999999999e-62
b0470,CD630_00160,3.63e-85
b0471,CD630_00170,5.36e-22
b0472,CD630_00180,1.5299999999999998e-60
b0473,CD630_02730,6.01e-78
b0474,CD630_00910,5.2900000000000005e-73
b0480,CD630_25370,3.04e-43
b0481,CD630_10020,1.98e-26
b0484,CD630_21150,0.0
b0489,CD630_08810,1.6600000000000001e-65
b0494,CD630_15760,6.85e-13
b0503,CD630_13250,3.0799999999999998e-34
b0516,CD630_20270,9.21e-61
b0523,CD630_02180,2.39e-38
b0525,CD630_03310,3.09e-29
b0526,CD630_00520,1.2300000000000001e-154
b0529,CD630_07200,7.79e-56
b0544,CD630_18820,2.52e-11
b0570,CD630_35990,8.78e-31
b0586,CD630_14030,1.35e-77
b0588,CD630_28750,2.49e-85
b0600,CD630_01070,1.11e-37
b0601,CD630_05950,3.25e-50
b0602,CD630_05940,5.4e-65
b0605,CD630_14330,1.85e-15
b0623,CD630_13550,3.16e-26
b0634,CD630_11520,1.62e-61
b0635,CD630_11480,7.67e-39
b0636,CD630_36490,3.12e-24
b0637,CD630_25220,3.08e-25
b0639,CD630_25240,1.88e-24
b0642,CD630_25210,0.0
b0659,CD630_24400,1.51e-16
b0660,CD630_24411,8.209999999999999e-104
b0661,CD630_19860,2.45e-118
b0674,CD630_16320,2.23e-33
b0677,CD630_10100,1.26e-50
b0678,CD630_10110,7.93e-54
b0680,CD630_20590,0.0
b0683,CD630_12870,2.9e-25
b0688,CD630_27800,7.36e-19
b0694,CD630_18300,1.4500000000000001e-64
b0695,CD630_18290,0.0
b0696,CD630_15930,4.14e-31
b0697,CD630_15920,0.0
b0698,CD630_15910,2.4e-136
b0711,CD630_13860,5.61e-50
b0712,CD630_13870,1.2e-57
b0713,CD630_13840,3.54e-75
b0727,CD630_00380,2.22e-44
b0730,CD630_28850,7.96e-39
b0731,CD630_30860,0.0
b0732,CD630_30850,0.0
b0750,CD630_23720,1.78e-58
b0758,CD630_13400,5.74e-24
b0759,CD630_27140,3.67e-140
b0763,CD630_08690,4.9299999999999995e-40
b0764,CD630_08700,4.39e-56
b0771,CD630_08330,2.91e-66
b0775,CD630_02970,1.12e-53
b0777,CD630_18920,1.86e-11
b0779,CD630_34120,0.0
b0780,CD630_33990,3.37e-33
b0781,CD630_17130,1.15e-52
b0783,CD630_17140,1.12e-50
b0794,CD630_04780,5.0599999999999997e-48
b0811,CD630_17740,1.2000000000000001e-29
b0820,CD630_20680,1.6500000000000002e-167
b0822,CD630_27640,8.309999999999999e-42
b0825,CD630_21100,7.67e-61
b0827,CD630_10810,4.9099999999999996e-48
b0828,CD630_01390,3.3499999999999997e-34
b0831,CD630_26730,1.1e-73
b0835,CD630_13260,1.7200000000000001e-100
b0839,CD630_12910,6.41e-57
b0859,CD630_04060,3.95e-38
b0870,CD630_25910,6.63e-83
b0873,CD630_21680,1.3400000000000001e-161
b0879,CD630_15280,1.8700000000000001e-59
b0884,CD630_00940,1.4100000000000001e-33
b0888,CD630_21170,1.46e-70
b0889,CD630_35440,3.790000000000001e-21
b0890,CD630_13240,3.56e-131
b0892,CD630_12760,1.73e-86
b0893,CD630_00140,3.01e-141
b0895,CD630_21780,3.51e-24
b0902,CD630_07580,8.88e-90
b0903,CD630_07590,0.0
b0904,CD630_34030,8.659999999999999e-42
b0906,CD630_17890,2.52e-17
b0908,CD630_18340,1.1700000000000001e-65
b0910,CD630_18160,1.22e-51
b0911,CD630_09860,1.52e-43
b0913,CD630_19300,4.4e-12
b0914,CD630_10840,3.06e-98
b0927,CD630_27420,4.11e-33
b0930,CD630_22450,0.0
b0936,CD630_29890,3.71e-21
b0948,CD630_17800,2.64e-64
b0955,CD630_05640,1.56e-58
b0963,CD630_11530,5.090000000000001e-37
b0967,CD630_35810,6.08e-14
b0992,CD630_18720,7.94e-18
b1004,CD630_14580,2.11e-20
b1022,CD630_10300,4.09e-31
b1025,CD630_05370,7.17e-26
b1034,CD630_09870,2.04e-55
b1045,CD630_08650,4.83e-29
b1068,CD630_34500,1.93e-91
b1069,CD630_27810,2.93e-50
b1074,CD630_02460,1.93e-32
b1078,CD630_02690,1.01e-37
b1081,CD630_10340,1.28e-17
b1082,CD630_02310,5.22e-20
b1090,CD630_11780,9.609999999999999e-76
b1091,CD630_11790,1.98e-100
b1092,CD630_11810,3.43e-77
b1093,CD630_11820,5.34e-87
b1094,CD630_10620,2.86e-19
b1095,CD630_11840,4.87e-144
b1096,CD630_14470,3.2e-20
b1097,CD630_12260,1.13e-37
b1100,CD630_35390,3.17e-62
b1101,CD630_26670,5.65e-151
b1103,CD630_24470,5.31e-26
b1114,CD630_35010,0.0
b1117,CD630_19470,8.61e-67
b1120,CD630_13030,1.9e-28
b1123,CD630_10270,3.0100000000000005e-79
b1124,CD630_10260,1.44e-55
b1125,CD630_10250,7.13e-63
b1126,CD630_10240,4.18e-107
b1127,CD630_10460,1.9499999999999998e-150
b1133,CD630_12810,2.01e-91
b1136,CD630_08340,1.16e-68
b1158,CD630_35780,1.58e-24
b1175,CD630_11500,1.5e-87
b1180,CD630_30010,2.19e-21
b1191,CD630_36160,4.05e-73
b1192,CD630_13990,3.5200000000000004e-26
b1203,CD630_26620,7.340000000000001e-144
b1204,CD630_35020,6.33e-31
b1207,CD630_35140,6.35e-117
b1208,CD630_35660,6.82e-43
b1211,CD630_34840,3.37e-137
b1212,CD630_34850,7.88e-47
b1215,CD630_18320,2.4e-22
b1236,CD630_34880,5.08e-84
b1241,CD630_29660,0.0
b1244,CD630_08530,1.0999999999999999e-48
b1246,CD630_26710,1.23e-112
b1247,CD630_26700,5.4099999999999996e-111
b1249,CD630_01920,5.3e-65
b1266,CD630_35310,7.080000000000001e-26
b1274,CD630_12740,3.13e-175
b1277,CD630_16980,1.75e-66
b1281,CD630_35920,2.4599999999999997e-55
b1285,CD630_07570,6.490000000000001e-73
b1298,CD630_11880,1.68e-30
b1299,CD630_10230,1.4000000000000002e-21
b1301,CD630_22660,7.66e-24
b1316,CD630_31290,4.7800000000000004e-96
b1317,CD630_21890,5.44e-76
b1335,CD630_06010,1.5e-24
b1336,CD630_28350,1.36e-113
b1337,CD630_08490,9.11e-127
b1338,CD630_10860,1.31e-38
b1344,CD630_36020,1.3500000000000002e-43
b1345,CD630_10910,2.96e-13
b1378,CD630_26820,0.0
b1380,CD630_03940,1.04e-50
b1393,CD630_08000,5.06e-63
b1395,CD630_10580,2.44e-69
b1432,CD630_16610,1.5200000000000002e-57
b1434,CD630_11220,4.34e-40
b1435,CD630_07030,1.2e-72
b1439,CD630_24240,1.71e-51
b1464,CD630_30350,3.88e-48
b1485,CD630_26740,1.74e-50
b1490,CD630_22440,4.29e-22
b1491,CD630_27670,1.0400000000000001e-107
b1494,CD630_13200,2.69e-16
b1497,CD630_27490,1.34e-17
b1524,CD630_05580,1.23e-76
b1594,CD630_21940,1.2799999999999999e-28
b1595,CD630_36390,3.31e-38
b1621,CD630_13360,2.63e-165
b1622,CD630_30290,1.52e-114
b1623,CD630_17470,2.05e-53
b1627,CD630_11410,1.38e-75
b1628,CD630_11420,2.71e-11
b1629,CD630_11370,1.51e-88
b1630,CD630_11380,6.51e-57
b1632,CD630_11400,2.0099999999999998e-52
b1633,CD630_05650,2.4400000000000004e-56
b1637,CD630_15210,7.52e-43
b1640,CD630_30510,1.1299999999999999e-68
b1651,CD630_11340,6.97e-12
b1655,CD630_01830,1.4600000000000001e-27
b1661,CD630_01770,3.36e-62
b1662,CD630_16990,3.64e-33
b1676,CD630_33940,2.4800000000000003e-161
b1680,CD630_36700,2.01e-59
b1683,CD630_36070,1.38e-12
b1690,CD630_27070,4.15e-55
b1692,CD630_27080,5.779999999999999e-90
b1693,CD630_22170,1.24e-97
b1695,CD630_08030,7.23e-53
b1697,CD630_04000,3.79e-24
b1698,CD630_08050,4.71e-45
b1702,CD630_05820,8.11e-60
b1703,CD630_24110,3.25e-26
b1711,CD630_29980,1.21e-51
b1713,CD630_07000,2.19e-145
b1714,CD630_06990,3.7e-120
b1716,CD630_06870,2.72e-41
b1717,CD630_06860,4.87e-16
b1718,CD630_06850,4.67e-47
b1719,CD630_05740,0.0
b1728,CD630_16300,2.98e-15
b1729,CD630_25410,2.0799999999999998e-68
b1733,CD630_28810,6.56e-41
b1734,CD630_28820,1.54e-169
b1736,CD630_01350,1.98e-24
b1737,CD630_28830,1.87e-62
b1738,CD630_01360,2.1699999999999998e-23
b1740,CD630_07940,2.8599999999999998e-30
b1748,CD630_20310,4.0899999999999993e-104
b1749,CD630_13410,9.41e-33
b1757,CD630_01210,1.45e-69
b1761,CD630_01790,1.65e-48
b1763,CD630_04210,4e-100
b1764,CD630_24960,2.7000000000000003e-75
b1771,CD630_05610,4.14e-15
b1772,CD630_18060,5.85e-18
b1779,CD630_17670,4.4400000000000005e-122
b1807,CD630_01500,8.44e-25
b1808,CD630_14310,4.17e-18
b1809,CD630_13920,5.8599999999999995e-28
b1812,CD630_14460,5.77e-118
b1817,CD630_30680,8.180000000000001e-32
b1818,CD630_10770,1.79e-35
b1819,CD630_32760,2.22e-75
b1828,CD630_20190,4.97e-59
b1830,CD630_34550,2.55e-20
b1835,CD630_05530,3.75e-57
b1860,CD630_28050,4.1799999999999996e-150
b1861,CD630_28060,4.9300000000000004e-32
b1863,CD630_28070,7.54e-38
b1864,CD630_07950,1.04e-69
b1866,CD630_27390,0.0
b1874,CD630_01410,1.67e-32
b1876,CD630_07110,1.21e-96
b1879,CD630_02630,1.01e-172
b1880,CD630_02620,6.8e-69
b1883,CD630_05420,8.990000000000001e-56
b1884,CD630_05410,2.8099999999999996e-45
b1885,CD630_05380,3.92e-41
b1887,CD630_05360,3.28e-27
b1888,CD630_05390,2.2699999999999997e-95
b1890,CD630_07440,3.34e-11
b1905,CD630_21950,4.05e-27
b1912,CD630_13270,2.34e-31
b1913,CD630_34100,1.11e-120
b1914,CD630_12690,2.6300000000000004e-32
b1918,CD630_21760,6.59e-51
b1920,CD630_21770,3.76e-41
b1922,CD630_02660,3.75e-35
b1923,CD630_02390,2.88e-33
b1938,CD630_02480,3.6300000000000003e-37
b1939,CD630_02490,2.32e-44
b1941,CD630_02510,8.6e-134
b1946,CD630_02710,2.15e-17
b1948,CD630_02600,2.37e-71
b1961,CD630_09270,2.87e-36
b1969,CD630_16880,6.579999999999999e-46
b1985,CD630_01690,6.42e-22
b1990,CD630_27130,1.72e-13
b1991,CD630_34390,1.07e-100
b1992,CD630_34370,6.59e-41
b1993,CD630_34380,3.57e-51
b2019,CD630_15480,1.0199999999999999e-23
b2020,CD630_15820,1.2199999999999999e-98
b2021,CD630_15490,3.27e-46
b2022,CD630_15500,6.48e-61
b2023,CD630_15510,1.5e-41
b2024,CD630_15520,6.36e-48
b2025,CD630_15530,1.7e-80
b2026,CD630_15540,1.1e-45
b2028,CD630_27710,9.26e-46
b2047,CD630_27830,2.44e-39
b2049,CD630_27790,2.42e-91
b2059,CD630_27720,3.34e-19
b2061,CD630_34810,1.5100000000000001e-22
b2067,CD630_09970,1.68e-27
b2074,CD630_24060,1.28e-14
b2076,CD630_24070,2.36e-118
b2078,CD630_17830,8.630000000000001e-36
b2079,CD630_16240,3.22e-48
b2081,CD630_12280,4.48e-98
b2086,CD630_20600,1.04e-24
b2091,CD630_04900,2.2799999999999999e-69
b2092,CD630_23250,1.0399999999999999e-128
b2094,CD630_00410,6.18e-17
b2103,CD630_15990,5.09e-72
b2104,CD630_16000,2.23e-35
b2113,CD630_17300,1.38e-51
b2114,CD630_35400,1.57e-75
b2129,CD630_09000,5.95e-78
b2130,CD630_09010,2.5000000000000004e-35
b2142,CD630_14400,4.04e-40
b2147,CD630_31790,6.229999999999999e-42
b2153,CD630_14490,2.16e-36
b2157,CD630_01890,7.29e-39
b2158,CD630_01900,3.09e-29
b2159,CD630_05600,2e-53
b2162,CD630_16820,5.059999999999999e-52
b2167,CD630_22690,5.740000000000001e-124
b2168,CD630_22700,9.46e-46
b2183,CD630_04050,7.21e-47
b2195,CD630_30100,6.17e-13
b2213,CD630_17700,7.4e-21
b2214,CD630_24830,7.16e-39
b2221,CD630_26770,2.11e-84
b2222,CD630_26780,2.2e-82
b2231,CD630_00060,0.0
b2267,CD630_15190,1.28e-20
b2268,CD630_25390,5.46e-34
b2283,CD630_34070,3.14e-17
b2284,CD630_34060,2.7800000000000005e-110
b2285,CD630_34050,4.42e-24
b2290,CD630_28280,5.87e-36
b2296,CD630_11750,3.65e-116
b2297,CD630_07150,1.41e-13
b2298,CD630_17070,9.899999999999999e-91
b2300,CD630_10480,2.8099999999999998e-34
b2312,CD630_02200,1.43e-111
b2315,CD630_32530,1.44e-55
b2316,CD630_19370,7.11e-96
b2318,CD630_01030,7.46e-51
b2319,CD630_32240,1.6300000000000002e-58
b2327,CD630_19950,1.4800000000000002e-43
b2329,CD630_18350,5.36e-72
b2367,CD630_25060,2.7e-46
b2371,CD630_07990,1.33e-87
b2380,CD630_26020,1.26e-70
b2381,CD630_26010,1.56e-87
b2384,CD630_34460,1.13e-98
b2385,CD630_24850,2.2600000000000002e-100
b2386,CD630_24860,7.89e-147
b2387,CD630_24870,1.01e-49
b2400,CD630_00510,4.44e-111
b2407,CD630_12240,1.6999999999999999e-84
b2411,CD630_33090,0.0
b2415,CD630_27560,6.88e-16
b2416,CD630_27550,0.0
b2417,CD630_30270,1.3599999999999999e-34
b2418,CD630_13530,6.01e-16
b2421,CD630_15940,5.2699999999999995e-82
b2428,CD630_30460,1.6e-98
b2435,CD630_01060,7.38e-21
b2439,CD630_19150,9.68e-84
b2440,CD630_19140,6.7399999999999994e-68
b2441,CD630_19130,0.0
b2451,CD630_19120,1.44e-90
b2452,CD630_19240,4.3799999999999996e-128
b2456,CD630_19220,1.5e-12
b2457,CD630_19180,2.72e-33
b2458,CD630_24250,1.58e-14
b2459,CD630_19190,1.02e-22
b2460,CD630_19250,2.46e-25
b2461,CD630_19090,1.1e-16
b2462,CD630_19080,1.94e-40
b2463,CD630_10050,2.84e-108
b2468,CD630_15370,5.31e-97
b2469,CD630_12700,1.3e-15
b2471,CD630_17770,4.67e-12
b2476,CD630_02190,5.4199999999999996e-67
b2478,CD630_32230,4.03e-75
b2480,CD630_18220,9.84e-44
b2493,CD630_22500,8.18e-19
b2497,CD630_25940,2.24e-80
b2498,CD630_34790,1.09e-80
b2499,CD630_02210,1.46e-105
b2500,CD630_02220,1.99e-40
b2507,CD630_01980,0.0
b2508,CD630_23350,4.33e-78
b2509,CD630_12030,7.66e-91
b2511,CD630_26320,5.11e-102
b2514,CD630_27400,1.06e-113
b2515,CD630_21280,3.7900000000000003e-121
b2517,CD630_25800,5.7899999999999996e-74
