,query,evalue
CD630_01360,b1738,3.1e-20
CD630_01390,b0828,3.72e-34
CD630_01410,b1874,1.69e-32
CD630_01430,b0098,0.0
CD630_01440,b2891,9.96e-115
CD630_01450,b3407,0.0
CD630_01490,b4168,3e-26
CD630_01500,b1807,9.74e-25
CD630_01510,b4373,1.45e-25
CD630_01520,b3064,1.65e-91
CD630_01690,b1985,6.0700000000000005e-22
CD630_01700,b3352,4.730000000000001e-109
CD630_01770,b1661,1.83e-64
CD630_01790,b1761,2.55e-57
CD630_01830,b1655,1.4500000000000002e-27
CD630_01840,b4245,1.79e-97
CD630_01880,b0425,5.48e-20
CD630_01890,b2157,8.24e-39
CD630_01900,b2158,2.46e-34
CD630_01920,b1249,6.05e-65
CD630_01930,b4142,1.3700000000000002e-21
CD630_01940,b4143,0.0
CD630_01980,b2507,0.0
CD630_02070,b3949,2.57e-101
CD630_02080,b3950,9.24e-38
CD630_02180,b0523,1.7199999999999999e-34
CD630_02190,b2476,5.94e-67
CD630_02200,b2312,1.45e-111
CD630_02210,b2499,1.69e-105
CD630_02220,b2500,2.07e-40
CD630_02230,b4006,1.0199999999999999e-142
CD630_02240,b4005,4.51e-131
CD630_02250,b2557,9.09e-43
CD630_02310,b1082,4.66e-20
CD630_02340,b2696,1.3e-14
CD630_02390,b1923,2.39e-33
CD630_02460,b1074,2.16e-32
CD630_02480,b1938,2.62e-39
CD630_02490,b1939,2.8e-44
CD630_02510,b1941,4.19e-129
CD630_02570,b3552,6.19e-14
CD630_02600,b1948,2.39e-71
CD630_02620,b1880,9.939999999999999e-61
CD630_02630,b1879,7.84e-179
CD630_02660,b1922,5.52e-37
CD630_02690,b1078,1.1e-37
CD630_02710,b1946,2.18e-17
CD630_02730,b0473,1.0900000000000002e-79
CD630_02780,b4212,6.78e-19
CD630_02970,b0775,1.17e-53
CD630_02980,b3753,1.92e-64
CD630_02990,b3752,3.8199999999999995e-55
CD630_03000,b3751,5.42e-35
CD630_03010,b3749,1.87e-149
CD630_03030,b3957,3.0600000000000004e-37
CD630_03120,b3501,6.99e-11
CD630_03130,b3469,8.26e-112
CD630_03280,b3813,1.28e-173
CD630_03310,b0525,3.67e-29
CD630_03940,b1380,1.17e-50
CD630_03990,b0039,2.69e-60
CD630_04000,b1697,4.37e-24
CD630_04050,b2183,8.390000000000001e-47
CD630_04060,b0859,5.35e-38
CD630_04210,b1763,3.9000000000000003e-100
CD630_04780,b0794,2.2999999999999998e-48
CD630_04880,b4148,3.31e-37
CD630_04900,b2091,2.58e-69
CD630_04920,b3133,6.2499999999999996e-24
CD630_05170,b4364,8.61e-19
CD630_05360,b1887,3.78e-27
CD630_05370,b1025,5.24e-26
CD630_05380,b1885,1.63e-46
CD630_05390,b1888,2.7199999999999997e-95
CD630_05410,b1884,2.9299999999999997e-45
CD630_05420,b1883,5.71e-56
CD630_05530,b1835,3.82e-57
CD630_05580,b1524,1.3799999999999999e-76
CD630_05600,b2159,2.19e-53
CD630_05610,b1771,4.71e-15
CD630_05630,b4166,5.6200000000000004e-33
