Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3437	GMET_RS19080 // GMET_RS19075	-
TU2LZ9-2818	GMET_RS06660	+
TU2LZ9-4186	GMET_RS06630	-
TU2LZ9-3184	GMET_RS10390 // GMET_RS10385	-
TU2LZ9-2522	GMET_RS03995	-
TU2LZ9-2908	GMET_RS07570	+
TU2LZ9-3755	GMET_RS15260	+
TU2LZ9-2955	GMET_RS08065 // GMET_RS08060 // GMET_RS08055 // GMET_RS08050 // GMET_RS08045 // GMET_RS08040 // GMET_RS08035	+
TU2LZ9-2675	GMET_RS05330 // GMET_RS05325 // GMET_RS05320 // GMET_RS05315	+
TU2LZ9-3887	GMET_RS16480 // GMET_RS16475	+
TU2LZ9-3213	GMET_RS10620 // GMET_RS10615	+
TU2LZ9-3332	GMET_RS11525	-
TU2LZ9-2318	GMET_RS01705	+
TU2LZ9-4220	GMET_RS03815	+
TU2LZ9-3669	GMET_RS14465 // GMET_RS14460 // GMET_RS14455 // GMET_RS14450	-
TU2LZ9-2600	GMET_RS04620 // GMET_RS04615 // GMET_RS04610 // GMET_RS04605	+
TU2LZ9-3286	GMET_RS11220	-
TU2LZ9-4225	GMET_RS18725	-
TU2LZ9-3666	GMET_RS14430 // GMET_RS14425	+
TU2LZ9-4266	GMET_RS00445	-
TU2LZ9-3503	GMET_RS13010 // GMET_RS13005	-
TU2LZ9-3668	GMET_RS14445	-
TU2LZ9-2172	GMET_RS00320 // GMET_RS00315	+
TU2LZ9-2451	GMET_RS03370	+
TU2LZ9-3667	GMET_RS14440 // GMET_RS14435	-
TU2LZ9-3211	GMET_RS10600	+
TU2LZ9-4031	GMET_RS17800	+
TU2LZ9-3878	GMET_RS16425	+
TU2LZ9-2957	GMET_RS08075	-
TU2LZ9-3710	GMET_RS18465 // GMET_RS14850 // GMET_RS14845	-
TU2LZ9-2674	GMET_RS05305 // GMET_RS05300	-
TU2LZ9-3363	GMET_RS11955	+
TU2LZ9-3138	GMET_RS09865 // GMET_RS09860	-
TU2LZ9-3497	GMET_RS12975	-
TU2LZ9-3069	GMET_RS09175 // GMET_RS09170 // GMET_RS09165 // GMET_RS09160 // GMET_RS09155	-
