Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3867	GMET_RS16310	+
TU2LZ9-3131	GMET_RS09815 // GMET_RS09810 // GMET_RS09805 // GMET_RS09800 // GMET_RS09795 // GMET_RS09790 // GMET_RS09785	-
TU2LZ9-2307	GMET_RS01610 // GMET_RS01605	-
TU2LZ9-3455	GMET_RS12665	-
TU2LZ9-2951	GMET_RS07995	+
TU2LZ9-2444	GMET_RS03335 // GMET_RS03330 // GMET_RS03325	+
TU2LZ9-2235	GMET_RS00915	+
TU2LZ9-3153	GMET_RS10015 // GMET_RS10010	-
TU2LZ9-3947	GMET_RS17150	-
TU2LZ9-3203	GMET_RS10555	-
TU2LZ9-3865	GMET_RS16300 // GMET_RS16295 // GMET_RS16290	+
TU2LZ9-2590	GMET_RS04530	+
TU2LZ9-2896	GMET_RS07445	-
TU2LZ9-3639	GMET_RS14220	+
TU2LZ9-3355	GMET_RS11880	-
TU2LZ9-3050	GMET_RS08980	-
TU2LZ9-3841	GMET_RS16055	-
TU2LZ9-2162	GMET_RS00215 // GMET_RS00210	+
TU2LZ9-2862	GMET_RS07085 // GMET_RS07080 // GMET_RS07075 // GMET_RS07070 // GMET_RS07065 // GMET_RS07060 // GMET_RS07055	+
TU2LZ9-3737	GMET_RS15055	-
TU2LZ9-4147	GMET_RS19035	+
TU2LZ9-3046	GMET_RS08935 // GMET_RS08930	+
TU2LZ9-3321	GMET_RS11440	-
TU2LZ9-3482	GMET_RS12865 // GMET_RS12860	+
TU2LZ9-2514	GMET_RS03920	-
TU2LZ9-3638	GMET_RS14215	+
TU2LZ9-2234	GMET_RS00910	+
TU2LZ9-3417	GMET_RS12400	-
TU2LZ9-2406	GMET_RS02775	+
TU2LZ9-2366	GMET_RS02290 // GMET_RS02285 // GMET_RS02280	-
TU2LZ9-4048	GMET_RS18035	+
TU2LZ9-2443	GMET_RS03310 // GMET_RS03305 // GMET_RS03300 // GMET_RS03295 // GMET_RS03290	-
TU2LZ9-2708	GMET_RS05720 // GMET_RS05715 // GMET_RS05710 // GMET_RS05705	+
TU2LZ9-3202	GMET_RS10550	+
TU2LZ9-3488	GMET_RS12905	+
TU2LZ9-3280	GMET_RS18825	+
TU2LZ9-2964	GMET_RS08120 // GMET_RS08115	-
TU2LZ9-3285	GMET_RS11215	-
TU2LZ9-4010	GMET_RS17610	-
TU2LZ9-3048	GMET_RS08960	-
TU2LZ9-2161	GMET_RS00205 // GMET_RS00200	+
TU2LZ9-2948	GMET_RS07955 // GMET_RS07950 // GMET_RS07945	-
TU2LZ9-3636	GMET_RS14205	-
TU2LZ9-3837	GMET_RS16005 // GMET_RS16000 // GMET_RS15995 // GMET_RS15990	+
TU2LZ9-2813	GMET_RS06600 // GMET_RS06595	+
TU2LZ9-3484	GMET_RS12875	+
TU2LZ9-2513	GMET_RS03915 // GMET_RS03910	+
TU2LZ9-3452	GMET_RS18855	-
TU2LZ9-2588	GMET_RS04520	+
TU2LZ9-2706	GMET_RS05640 // GMET_RS05635	+
TU2LZ9-3584	GMET_RS13745	+
TU2LZ9-3635	GMET_RS14195 // GMET_RS14190 // GMET_RS14185	-
TU2LZ9-3047	GMET_RS08945 // GMET_RS08940	+
TU2LZ9-2233	GMET_RS18700 // GMET_RS00905	+
TU2LZ9-3977	GMET_RS17375 // GMET_RS17370 // GMET_RS17365 // GMET_RS17360	-
TU2LZ9-2306	GMET_RS01590 // GMET_RS01585	+
TU2LZ9-3586	GMET_RS13755	-
TU2LZ9-3734	GMET_RS15040	-
TU2LZ9-3201	GMET_RS10545	+
TU2LZ9-3895	GMET_RS16555	-
TU2LZ9-2587	GMET_RS04515	+
TU2LZ9-2790	GMET_RS06375	-
TU2LZ9-4213	GMET_RS04795	-
TU2LZ9-4009	GMET_RS17595 // GMET_RS17590	+
TU2LZ9-2160	GMET_RS00195 // GMET_RS00190	-
TU2LZ9-3458	GMET_RS12680	+
TU2LZ9-3044	GMET_RS08895	+
TU2LZ9-3415	GMET_RS12390	-
TU2LZ9-3733	GMET_RS15035 // GMET_RS15030 // GMET_RS15025 // GMET_RS15020	+
TU2LZ9-2722	GMET_RS05805	+
TU2LZ9-2707	GMET_RS05700 // GMET_RS05695 // GMET_RS05690 // GMET_RS05685 // GMET_RS05680 // GMET_RS05675 // GMET_RS05670 // GMET_RS05665 // GMET_RS05660 // GMET_RS05655 // GMET_RS05650	+
TU2LZ9-3725	GMET_RS14970	+
TU2LZ9-2512	GMET_RS03905 // GMET_RS03900 // GMET_RS03895	-
TU2LZ9-3311	GMET_RS11375	-
TU2LZ9-2861	GMET_RS18295	+
TU2LZ9-3119	GMET_RS09680	-
TU2LZ9-4008	GMET_RS17585 // GMET_RS17580	+
TU2LZ9-2365	GMET_RS02275 // GMET_RS02270 // GMET_RS02265 // GMET_RS02260	-
TU2LZ9-3632	GMET_RS14170	-
TU2LZ9-2442	GMET_RS03285 // GMET_RS03280 // GMET_RS03275 // GMET_RS03270 // GMET_RS03265 // GMET_RS18240 // GMET_RS03260 // GMET_RS03255 // GMET_RS03250 // GMET_RS03245 // GMET_RS03240 // GMET_RS03235 // GMET_RS03230 // GMET_RS03225 // GMET_RS03220 // GMET_RS18235 // GMET_RS03215 // GMET_RS03210 // GMET_RS03205 // GMET_RS03200 // GMET_RS03195 // GMET_RS03190 // GMET_RS03185 // GMET_RS03180 // GMET_RS03175 // GMET_RS18230 // GMET_RS03165 // GMET_RS03160 // GMET_RS03155 // GMET_RS03150 // GMET_RS03145 // GMET_RS03140 // GMET_RS03135 // GMET_RS03130	+
TU2LZ9-2664	GMET_RS05240	+
TU2LZ9-3045	GMET_RS08925 // GMET_RS08920 // GMET_RS08915 // GMET_RS08910 // GMET_RS08905 // GMET_RS08900	+
TU2LZ9-3129	GMET_RS09775 // GMET_RS09770 // GMET_RS09765 // GMET_RS09760	-
TU2LZ9-2405	GMET_RS02770	+
TU2LZ9-2305	GMET_RS01580	+
TU2LZ9-2232	GMET_RS00900	+
TU2LZ9-2528	GMET_RS04045	+
TU2LZ9-3619	GMET_RS14100	-
TU2LZ9-3721	GMET_RS14950 // GMET_RS14945	-
TU2LZ9-3486	GMET_RS12895 // GMET_RS12890 // GMET_RS12885	-
TU2LZ9-2159	GMET_RS00185	-
TU2LZ9-4212	GMET_RS04980	-
TU2LZ9-4053	GMET_RS17600	-
TU2LZ9-3860	GMET_RS16260	+
TU2LZ9-3580	GMET_RS13720 // GMET_RS13715 // GMET_RS13710	+
TU2LZ9-4239	GMET_RS01760	-
TU2LZ9-3976	GMET_RS17355 // GMET_RS17350	-
TU2LZ9-3630	GMET_RS14155	-
TU2LZ9-3731	GMET_RS15005	+
TU2LZ9-3552	GMET_RS13485	-
TU2LZ9-3843	GMET_RS16085 // GMET_RS16080 // GMET_RS16075	-
TU2LZ9-2511	GMET_RS03890	-
TU2LZ9-3524	GMET_RS13230 // GMET_RS13225	+
TU2LZ9-3278	GMET_RS11170	-
TU2LZ9-4007	GMET_RS17575	+
TU2LZ9-2364	GMET_RS02255 // GMET_RS02250	-
TU2LZ9-2774	GMET_RS06240 // GMET_RS06235 // GMET_RS06230 // GMET_RS06225 // GMET_RS06220	+
TU2LZ9-3559	GMET_RS13525	-
TU2LZ9-2659	GMET_RS05210	-
TU2LZ9-3352	GMET_RS11805	-
TU2LZ9-3042	GMET_RS08880	-
TU2LZ9-3730	GMET_RS15000	+
TU2LZ9-2832	GMET_RS06745 // GMET_RS06740	+
TU2LZ9-2231	GMET_RS00895 // GMET_RS00890	+
TU2LZ9-3572	GMET_RS13655	-
TU2LZ9-2705	GMET_RS05630 // GMET_RS05625 // GMET_RS05620 // GMET_RS05615	+
TU2LZ9-2849	GMET_RS06945 // GMET_RS06940	-
TU2LZ9-3040	GMET_RS08870	+
TU2LZ9-3485	GMET_RS12880	+
TU2LZ9-2586	GMET_RS04510	+
TU2LZ9-2158	GMET_RS00180	-
TU2LZ9-4211	GMET_RS05015	+
TU2LZ9-4019	GMET_RS17700	-
TU2LZ9-3180	GMET_RS10365	-
TU2LZ9-3606	GMET_RS14000	-
TU2LZ9-3353	GMET_RS11835 // GMET_RS11830 // GMET_RS11825 // GMET_RS11820 // GMET_RS11815 // GMET_RS11810	-
TU2LZ9-3861	GMET_RS16265	+
TU2LZ9-3125	GMET_RS09735	+
TU2LZ9-3729	GMET_RS14995	-
TU2LZ9-4144	GMET_RS11195	-
TU2LZ9-3724	GMET_RS18645	+
TU2LZ9-2966	GMET_RS08135	-
TU2LZ9-3041	GMET_RS08875	-
TU2LZ9-2510	GMET_RS03885	-
TU2LZ9-3354	GMET_RS11875 // GMET_RS11870 // GMET_RS11865 // GMET_RS11860 // GMET_RS11855 // GMET_RS11850 // GMET_RS11845 // GMET_RS11840	-
TU2LZ9-3717	GMET_RS14915	-
TU2LZ9-2441	GMET_RS03125 // GMET_RS03120	+
TU2LZ9-3857	GMET_RS19110 // GMET_RS16235	+
TU2LZ9-4006	GMET_RS17570	+
TU2LZ9-2404	GMET_RS02765	+
TU2LZ9-3626	GMET_RS14135	+
TU2LZ9-2663	GMET_RS05235	-
TU2LZ9-3413	GMET_RS12360	-
TU2LZ9-3004	GMET_RS08470	+
TU2LZ9-2303	GMET_RS01570 // GMET_RS01565	-
TU2LZ9-2230	GMET_RS00885	-
TU2LZ9-3128	GMET_RS09755	-
TU2LZ9-3625	GMET_RS14130	+
TU2LZ9-3422	GMET_RS12430	-
TU2LZ9-4210	GMET_RS18525	-
TU2LZ9-2157	GMET_RS18680	-
TU2LZ9-3856	GMET_RS16225	+
TU2LZ9-3624	GMET_RS14125	-
TU2LZ9-3154	GMET_RS10025 // GMET_RS10020	-
TU2LZ9-3727	GMET_RS14985 // GMET_RS14980	-
TU2LZ9-3225	GMET_RS10785 // GMET_RS10780 // GMET_RS10775 // GMET_RS10770 // GMET_RS10765 // GMET_RS10760 // GMET_RS10755	+
TU2LZ9-4274	GMET_RS00175	+
TU2LZ9-4124	GMET_RS12525	+
TU2LZ9-3269	GMET_RS11110	-
TU2LZ9-4209	GMET_RS05040	+
TU2LZ9-4005	GMET_RS17565	+
TU2LZ9-3483	GMET_RS12870	+
TU2LZ9-2509	GMET_RS03875 // GMET_RS03870 // GMET_RS03865	-
TU2LZ9-4170	GMET_RS08410	+
TU2LZ9-2859	GMET_RS07040	+
TU2LZ9-3276	GMET_RS11160	-
TU2LZ9-3615	GMET_RS14065 // GMET_RS14060	-
TU2LZ9-3988	GMET_RS17450	-
TU2LZ9-3295	GMET_RS11270	-
TU2LZ9-4102	GMET_RS13740	-
TU2LZ9-2229	GMET_RS18695	-
TU2LZ9-2302	GMET_RS01560	+
TU2LZ9-2947	GMET_RS07940	+
TU2LZ9-2834	GMET_RS18285	+
TU2LZ9-4004	GMET_RS17560	-
TU2LZ9-4142	GMET_RS11370	+
TU2LZ9-3197	GMET_RS10525	-
TU2LZ9-2584	GMET_RS04495	+
TU2LZ9-2156	GMET_RS00170	-
TU2LZ9-4273	GMET_RS00225	-
TU2LZ9-3854	GMET_RS16215	+
TU2LZ9-3031	GMET_RS08770	+
TU2LZ9-2743	GMET_RS05995	-
TU2LZ9-2703	GMET_RS05610 // GMET_RS05605	-
TU2LZ9-2856	GMET_RS07015	+
TU2LZ9-2618	GMET_RS04790	+
TU2LZ9-3621	GMET_RS14115 // GMET_RS14110	+
TU2LZ9-2440	GMET_RS03115 // GMET_RS03110 // GMET_RS03105 // GMET_RS03100	+
TU2LZ9-3838	GMET_RS16010	+
TU2LZ9-3037	GMET_RS08845 // GMET_RS08840	-
TU2LZ9-3127	GMET_RS09750 // GMET_RS09745	-
TU2LZ9-3275	GMET_RS11155 // GMET_RS11150 // GMET_RS11145	-
TU2LZ9-2945	GMET_RS07930	+
TU2LZ9-3853	GMET_RS16210 // GMET_RS16205 // GMET_RS16200 // GMET_RS16195 // GMET_RS16190	+
TU2LZ9-2363	GMET_RS02245 // GMET_RS02240 // GMET_RS02235	-
TU2LZ9-2812	GMET_RS06590	+
TU2LZ9-2403	GMET_RS02760 // GMET_RS02755	+
TU2LZ9-3620	GMET_RS14105	-
TU2LZ9-2662	GMET_RS05230	-
TU2LZ9-3216	GMET_RS10640	+
TU2LZ9-3231	GMET_RS10830	-
TU2LZ9-3411	GMET_RS12340 // GMET_RS12335	-
TU2LZ9-2228	GMET_RS00875	+
TU2LZ9-2301	GMET_RS01555 // GMET_RS01550 // GMET_RS01545 // GMET_RS01540	+
TU2LZ9-4129	GMET_RS12150	+
TU2LZ9-4002	GMET_RS17550	-
TU2LZ9-4137	GMET_RS11530	+
TU2LZ9-3035	GMET_RS08815	-
TU2LZ9-3196	GMET_RS10520 // GMET_RS10515	-
TU2LZ9-2858	GMET_RS07035	+
TU2LZ9-2583	GMET_RS04490 // GMET_RS04485 // GMET_RS04480	+
TU2LZ9-2155	GMET_RS00165 // GMET_RS00160	+
TU2LZ9-3818	GMET_RS15845	+
TU2LZ9-4001	GMET_RS17545	-
TU2LZ9-3618	GMET_RS14090 // GMET_RS14085	-
TU2LZ9-4243	GMET_RS01600	+
TU2LZ9-3410	GMET_RS12330	-
TU2LZ9-2854	GMET_RS06980	+
TU2LZ9-2507	GMET_RS03855 // GMET_RS03850	-
TU2LZ9-3851	GMET_RS16170 // GMET_RS16165	-
TU2LZ9-3161	GMET_RS10125	-
TU2LZ9-3859	GMET_RS16255 // GMET_RS16250	+
TU2LZ9-4191	GMET_RS06415	-
TU2LZ9-2970	GMET_RS08185	+
TU2LZ9-2702	GMET_RS05600	-
TU2LZ9-2402	GMET_RS02750 // GMET_RS02745	+
TU2LZ9-3617	GMET_RS14080	+
TU2LZ9-2898	GMET_RS07455	-
TU2LZ9-2661	GMET_RS05225 // GMET_RS05220	-
TU2LZ9-4217	GMET_RS18730	+
TU2LZ9-2227	GMET_RS00870 // GMET_RS00865 // GMET_RS00860 // GMET_RS18690 // GMET_RS00855	+
TU2LZ9-4272	GMET_RS00230	+
TU2LZ9-2853	GMET_RS06975	+
TU2LZ9-2300	GMET_RS01535	+
TU2LZ9-4012	GMET_RS17620	+
TU2LZ9-3850	GMET_RS16160 // GMET_RS16155	+
TU2LZ9-3992	GMET_RS17475	+
TU2LZ9-3088	GMET_RS09325	-
TU2LZ9-4140	GMET_RS18600	-
TU2LZ9-3195	GMET_RS10510	-
TU2LZ9-3481	GMET_RS12845	-
TU2LZ9-3600	GMET_RS13950	+
TU2LZ9-2582	GMET_RS04475 // GMET_RS04470	+
TU2LZ9-2154	GMET_RS00155	+
TU2LZ9-3849	GMET_RS16145	+
TU2LZ9-2747	GMET_RS06030	-
TU2LZ9-3034	GMET_RS08810	-
TU2LZ9-3409	GMET_RS12325	-
TU2LZ9-3932	GMET_RS17010 // GMET_RS17005 // GMET_RS17000	-
TU2LZ9-3425	GMET_RS12460 // GMET_RS12455	-
TU2LZ9-2506	GMET_RS03845	-
TU2LZ9-3719	GMET_RS14930 // GMET_RS14925	-
TU2LZ9-3714	GMET_RS14880	-
TU2LZ9-2899	GMET_RS07470 // GMET_RS07465 // GMET_RS07460	-
TU2LZ9-4040	GMET_RS18195	-
TU2LZ9-3998	GMET_RS17525 // GMET_RS17520	+
TU2LZ9-3177	GMET_RS10330	-
TU2LZ9-2362	GMET_RS02230 // GMET_RS02225 // GMET_RS02220	+
TU2LZ9-3136	GMET_RS09845	+
TU2LZ9-3614	GMET_RS14055 // GMET_RS14050	-
TU2LZ9-2660	GMET_RS05215	-
TU2LZ9-3033	GMET_RS08795 // GMET_RS08790 // GMET_RS08785	+
TU2LZ9-3723	GMET_RS14965 // GMET_RS14960	-
TU2LZ9-2299	GMET_RS01530	+
TU2LZ9-3848	GMET_RS16140 // GMET_RS16135 // GMET_RS16130	+
TU2LZ9-2153	GMET_RS00150	+
TU2LZ9-4139	GMET_RS18400	-
TU2LZ9-4206	GMET_RS05155	+
TU2LZ9-3480	GMET_RS12840	-
TU2LZ9-2814	GMET_RS06605	+
TU2LZ9-2581	GMET_RS04465	+
TU2LZ9-3272	GMET_RS11125	-
TU2LZ9-3350	GMET_RS11765 // GMET_RS11760 // GMET_RS11755 // GMET_RS11750	-
TU2LZ9-3722	GMET_RS14955	-
TU2LZ9-3140	GMET_RS09885	-
TU2LZ9-2897	GMET_RS18990 // GMET_RS18985	-
TU2LZ9-3348	GMET_RS11730	-
TU2LZ9-3032	GMET_RS08780 // GMET_RS08775	+
TU2LZ9-4205	GMET_RS05160	-
TU2LZ9-2768	GMET_RS06170	+
TU2LZ9-2505	GMET_RS03840	+
TU2LZ9-3554	GMET_RS13495 // GMET_RS18625	-
TU2LZ9-2922	GMET_RS07725	-
TU2LZ9-3002	GMET_RS08460	-
TU2LZ9-2937	GMET_RS07850	+
TU2LZ9-3028	GMET_RS08750	+
TU2LZ9-3997	GMET_RS17515	-
TU2LZ9-3333	GMET_RS11535	-
TU2LZ9-3847	GMET_RS16125	+
TU2LZ9-2807	GMET_RS06550	+
TU2LZ9-2226	GMET_RS00850 // GMET_RS00845 // GMET_RS00840 // GMET_RS00835 // GMET_RS00830 // GMET_RS00820 // GMET_RS00815 // GMET_RS00810 // GMET_RS00805	+
TU2LZ9-3611	GMET_RS14030	-
TU2LZ9-3340	GMET_RS11610 // GMET_RS11605 // GMET_RS11600	-
TU2LZ9-3258	GMET_RS18385	+
TU2LZ9-2782	GMET_RS06295	+
TU2LZ9-3765	GMET_RS15370	-
TU2LZ9-2298	GMET_RS01520	+
TU2LZ9-2493	GMET_RS03725	+
TU2LZ9-3816	GMET_RS15830	+
TU2LZ9-2760	GMET_RS06115	+
TU2LZ9-3886	GMET_RS16470	+
TU2LZ9-3846	GMET_RS16110 // GMET_RS16105 // GMET_RS16100	-
TU2LZ9-3192	GMET_RS10480 // GMET_RS10475	-
TU2LZ9-3479	GMET_RS12835	-
TU2LZ9-3610	GMET_RS14025	-
TU2LZ9-2855	GMET_RS07010 // GMET_RS07005 // GMET_RS07000 // GMET_RS06995 // GMET_RS06990 // GMET_RS06985	+
TU2LZ9-2580	GMET_RS04460	+
TU2LZ9-3346	GMET_RS11720 // GMET_RS11715	-
TU2LZ9-3030	GMET_RS08765	+
TU2LZ9-2296	GMET_RS01515	+
TU2LZ9-3124	GMET_RS09725	+
TU2LZ9-4204	GMET_RS05165	+
TU2LZ9-3726	GMET_RS14975	-
TU2LZ9-2504	GMET_RS03835	+
TU2LZ9-3609	GMET_RS14020	-
TU2LZ9-2439	GMET_RS03095 // GMET_RS03090 // GMET_RS03085 // GMET_RS03080	+
TU2LZ9-2401	GMET_RS02740 // GMET_RS02735 // GMET_RS02730	+
TU2LZ9-4122	GMET_RS12850	+
TU2LZ9-2910	GMET_RS07590	-
TU2LZ9-2755	GMET_RS06085	-
TU2LZ9-3271	GMET_RS11120	-
TU2LZ9-2361	GMET_RS02215	+
TU2LZ9-2152	GMET_RS00145	+
TU2LZ9-3608	GMET_RS14015 // GMET_RS14010	-
TU2LZ9-2658	GMET_RS05205 // GMET_RS05200 // GMET_RS05195 // GMET_RS05190 // GMET_RS05185	-
TU2LZ9-4269	GMET_RS00325	-
TU2LZ9-3720	GMET_RS14940 // GMET_RS14935	+
TU2LZ9-2297	GMET_RS18210	+
TU2LZ9-3598	GMET_RS13940 // GMET_RS13935	-
TU2LZ9-3918	GMET_RS16855	+
TU2LZ9-3844	GMET_RS16090	-
TU2LZ9-3212	GMET_RS10610 // GMET_RS10605	+
TU2LZ9-3994	GMET_RS17485	+
TU2LZ9-3607	GMET_RS14005	-
TU2LZ9-3478	GMET_RS12830	-
TU2LZ9-2579	GMET_RS04455	+
TU2LZ9-3568	GMET_RS13610	-
TU2LZ9-3267	GMET_RS11100	-
TU2LZ9-3306	GMET_RS19060 // GMET_RS19055 // GMET_RS11335	-
TU2LZ9-2809	GMET_RS06575	+
TU2LZ9-3027	GMET_RS08745	-
TU2LZ9-3361	GMET_RS11945	-
TU2LZ9-3971	GMET_RS17325 // GMET_RS17320 // GMET_RS17315	+
TU2LZ9-2503	GMET_RS03830 // GMET_RS03825	-
TU2LZ9-2574	GMET_RS04415	-
TU2LZ9-2355	GMET_RS02125	+
TU2LZ9-3605	GMET_RS13995	-
TU2LZ9-2653	GMET_RS05125	+
TU2LZ9-2225	GMET_RS00800 // GMET_RS00795 // GMET_RS00790 // GMET_RS00785	+
TU2LZ9-4270	GMET_RS00250	-
TU2LZ9-3842	GMET_RS16070 // GMET_RS16065 // GMET_RS16060	-
TU2LZ9-3991	GMET_RS17470	+
TU2LZ9-3191	GMET_RS10470 // GMET_RS10465	-
TU2LZ9-3477	GMET_RS12825	-
TU2LZ9-4105	GMET_RS13645	-
TU2LZ9-3345	GMET_RS11700 // GMET_RS11695 // GMET_RS11690 // GMET_RS11685	+
TU2LZ9-2578	GMET_RS04450 // GMET_RS04445	-
TU2LZ9-2852	GMET_RS06970 // GMET_RS06965	+
TU2LZ9-2850	GMET_RS06955 // GMET_RS06950	+
TU2LZ9-4199	GMET_RS05490	-
TU2LZ9-3026	GMET_RS08740	-
TU2LZ9-4136	GMET_RS11580	+
TU2LZ9-3899	GMET_RS16575	-
TU2LZ9-2502	GMET_RS03820	-
TU2LZ9-3603	GMET_RS13985	-
TU2LZ9-3394	GMET_RS12200	-
TU2LZ9-2151	GMET_RS00140	+
TU2LZ9-2980	GMET_RS08265	+
TU2LZ9-4265	GMET_RS00470	+
TU2LZ9-3718	GMET_RS14920	-
TU2LZ9-3123	GMET_RS19030 // GMET_RS19025 // GMET_RS09715 // GMET_RS09710	+
TU2LZ9-2400	GMET_RS02725 // GMET_RS02720 // GMET_RS02715	-
TU2LZ9-2933	GMET_RS07825 // GMET_RS07820	-
TU2LZ9-2942	GMET_RS07895 // GMET_RS07890 // GMET_RS07885 // GMET_RS07880 // GMET_RS07875 // GMET_RS07870	+
TU2LZ9-2360	GMET_RS02210	+
TU2LZ9-2808	GMET_RS06565 // GMET_RS06560 // GMET_RS06555	+
TU2LZ9-3602	GMET_RS13980 // GMET_RS13975	+
TU2LZ9-2656	GMET_RS18130	+
TU2LZ9-2917	GMET_RS07690 // GMET_RS07685 // GMET_RS07680 // GMET_RS07675	+
TU2LZ9-3981	GMET_RS18500	+
TU2LZ9-2295	GMET_RS01510 // GMET_RS01505	+
TU2LZ9-3314	GMET_RS11395 // GMET_RS11390	-
TU2LZ9-2952	GMET_RS08000	+
TU2LZ9-3344	GMET_RS11680 // GMET_RS11675 // GMET_RS11670 // GMET_RS11665	-
TU2LZ9-2895	GMET_RS07440	+
TU2LZ9-3986	GMET_RS17435	-
TU2LZ9-3190	GMET_RS10455 // GMET_RS10450	-
TU2LZ9-3640	GMET_RS14225	+
TU2LZ9-3601	GMET_RS13960 // GMET_RS13955	-
TU2LZ9-3840	GMET_RS16050 // GMET_RS16045 // GMET_RS16040 // GMET_RS16035 // GMET_RS16030 // GMET_RS16025 // GMET_RS16020	+
TU2LZ9-2577	GMET_RS04440 // GMET_RS04435 // GMET_RS04430	-
TU2LZ9-4242	GMET_RS01615	+
TU2LZ9-2875	GMET_RS07270 // GMET_RS07265	+
TU2LZ9-3909	GMET_RS16725	+
TU2LZ9-3372	GMET_RS12025	+
TU2LZ9-2655	GMET_RS05140	+
TU2LZ9-3024	GMET_RS18560	+
TU2LZ9-3406	GMET_RS12305 // GMET_RS19070	-
TU2LZ9-3942	GMET_RS17115	-
TU2LZ9-2501	GMET_RS03805 // GMET_RS03800	+
TU2LZ9-2869	GMET_RS07220 // GMET_RS07215 // GMET_RS07210	+
TU2LZ9-3989	GMET_RS17455	-
TU2LZ9-3287	GMET_RS11225	-
TU2LZ9-2531	GMET_RS04060	+
TU2LZ9-3716	GMET_RS14910 // GMET_RS14905	-
TU2LZ9-2224	GMET_RS00780 // GMET_RS00775 // GMET_RS00770 // GMET_RS00765	+
TU2LZ9-4133	GMET_RS12015	+
TU2LZ9-3023	GMET_RS08725	+
TU2LZ9-2642	GMET_RS05025	+
TU2LZ9-3474	GMET_RS12795	+
TU2LZ9-2294	GMET_RS01500	+
TU2LZ9-3676	GMET_RS14560 // GMET_RS14555	-
TU2LZ9-3836	GMET_RS15980 // GMET_RS15975	+
TU2LZ9-3987	GMET_RS17440	-
TU2LZ9-3189	GMET_RS10445	-
TU2LZ9-3475	GMET_RS12800	+
TU2LZ9-2359	GMET_RS02205 // GMET_RS02200 // GMET_RS02195 // GMET_RS02190 // GMET_RS02185 // GMET_RS02180 // GMET_RS02175	+
TU2LZ9-3663	GMET_RS14410	-
TU2LZ9-2576	GMET_RS04425	-
TU2LZ9-2150	GMET_RS00135 // GMET_RS18920	+
TU2LZ9-3405	GMET_RS12295	-
TU2LZ9-2500	GMET_RS03795 // GMET_RS03790 // GMET_RS18950 // GMET_RS03785 // GMET_RS03780	+
TU2LZ9-3597	GMET_RS13930	-
TU2LZ9-4003	GMET_RS17555	-
TU2LZ9-2757	GMET_RS06095	+
TU2LZ9-2438	GMET_RS03075 // GMET_RS03070 // GMET_RS03065 // GMET_RS03060 // GMET_RS03055	+
TU2LZ9-3112	GMET_RS09640	-
TU2LZ9-3467	GMET_RS12740	-
TU2LZ9-2399	GMET_RS02710 // GMET_RS02705	-
TU2LZ9-3596	GMET_RS13925 // GMET_RS13920	-
TU2LZ9-4132	GMET_RS12020	-
TU2LZ9-3021	GMET_RS08705	-
TU2LZ9-2293	GMET_RS01495	+
TU2LZ9-3800	GMET_RS15705	+
TU2LZ9-2941	GMET_RS19000	+
TU2LZ9-4200	GMET_RS05485	+
TU2LZ9-2805	GMET_RS06515	+
TU2LZ9-3713	GMET_RS14875 // GMET_RS18470	-
TU2LZ9-2758	GMET_RS06100	+
TU2LZ9-2358	GMET_RS02170	+
TU2LZ9-3581	GMET_RS13725	+
TU2LZ9-3188	GMET_RS10440 // GMET_RS10435	-
TU2LZ9-3595	GMET_RS13910	-
TU2LZ9-4232	GMET_RS02530	-
TU2LZ9-2575	GMET_RS04420	-
TU2LZ9-3905	GMET_RS16700 // GMET_RS16695 // GMET_RS16690 // GMET_RS16685	-
TU2LZ9-2756	GMET_RS18745 // GMET_RS06090	+
TU2LZ9-3695	GMET_RS14745 // GMET_RS14740 // GMET_RS14735 // GMET_RS14730 // GMET_RS14725	+
TU2LZ9-2892	GMET_RS07415	+
TU2LZ9-2652	GMET_RS05120	+
TU2LZ9-2223	GMET_RS00760 // GMET_RS00755 // GMET_RS00750 // GMET_RS00745 // GMET_RS00740	+
TU2LZ9-3712	GMET_RS14865	-
TU2LZ9-3404	GMET_RS12290 // GMET_RS12285 // GMET_RS12280	-
TU2LZ9-3834	GMET_RS15965	+
TU2LZ9-4130	GMET_RS12105	+
TU2LZ9-2499	GMET_RS03775 // GMET_RS03770	+
TU2LZ9-3132	GMET_RS09820	-
TU2LZ9-3341	GMET_RS11625 // GMET_RS11620 // GMET_RS11615	-
TU2LZ9-2985	GMET_RS08310 // GMET_RS08305 // GMET_RS08300	+
TU2LZ9-2149	GMET_RS00120	-
TU2LZ9-3985	GMET_RS17430	-
TU2LZ9-4125	GMET_RS12510	+
TU2LZ9-3473	GMET_RS12790 // GMET_RS12785	+
TU2LZ9-3835	GMET_RS15970	+
TU2LZ9-3266	GMET_RS11095	-
TU2LZ9-3589	GMET_RS13790 // GMET_RS13785 // GMET_RS13780 // GMET_RS13775 // GMET_RS13770	-
TU2LZ9-3238	GMET_RS10880	-
TU2LZ9-3403	GMET_RS12275	-
TU2LZ9-4268	GMET_RS00405	+
TU2LZ9-2292	GMET_RS01490	+
TU2LZ9-3974	GMET_RS17340	-
TU2LZ9-2894	GMET_RS07435 // GMET_RS07430 // GMET_RS18535 // GMET_RS07425	+
TU2LZ9-3984	GMET_RS17425 // GMET_RS17420	-
