Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G12WB-430,CD630_03210,387747,387936,G12WB-430-MONOMER,AM180355.1
G12WB-530,CD630_04220,495235,496039,G12WB-530-MONOMER,AM180355.1
G12WB-994,CD630_08860,1066669,1068535,G12WB-994-MONOMER,AM180355.1
G12WB-1933,CD630_17860,2068552,2069599,G12WB-1933-MONOMER,AM180355.1
G12WB-3876,CDP03,0,216,G12WB-3876-MONOMER,CDP03
G12WB-961,CD630_08510,1027305,1027704,G12WB-961-MONOMER,AM180355.1
G12WB-238,CD630_01340,180592,182506,G12WB-238-MONOMER,AM180355.1
G12WB-1869,CD630_17270,2000186,2000456,G12WB-1869-MONOMER,AM180355.1
G12WB-382,CD630_02770,339228,339645,G12WB-382-MONOMER,AM180355.1
G12WB-2346,CD630_21910,2537508,2538330,G12WB-2346-MONOMER,AM180355.1
G12WB-1258,CD630_11280,1326573,1329222,G12WB-1258-MONOMER,AM180355.1
G12WB-1781,CD630_16420,1904273,1905362,G12WB-1781-MONOMER,AM180355.1
G12WB-3766,CD630_35790,4179602,4179830,G12WB-3766-MONOMER,AM180355.1
G12WB-1228,CD630_11040,1295106,1295526,G12WB-1228-MONOMER,AM180355.1
G12WB-280,CD630_01740,230671,232573,G12WB-280-MONOMER,AM180355.1
G12WB-1711,CD630_15740,1823288,1823810,G12WB-1711-MONOMER,AM180355.1
G12WB-3644,CD630_34640,4056714,4057305,G12WB-3644-MONOMER,AM180355.1
G12WB-2758,CD630_26010,3009301,3010072,G12WB-2758-MONOMER,AM180355.1
G12WB-3220,CD630_30590,3552354,3552843,G12WB-3220-MONOMER,AM180355.1
G12WB-1633,CD630_14960,1732787,1733963,G12WB-1633-MONOMER,AM180355.1
G12WB-3488,CD630_33210,3886719,3887349,G12WB-3488-MONOMER,AM180355.1
G12WB-319,CD630_02160,279342,280506,G12WB-319-MONOMER,AM180355.1
G12WB-1669,CD630_15310,1774586,1775261,G12WB-1669-MONOMER,AM180355.1
G12WB-1542,CD630_14041,1627285,1627633,G12WB-1542-MONOMER,AM180355.1
G12WB-3409,CD630_32430,3793457,3793742,G12WB-3409-MONOMER,AM180355.1
G12WB-1632,CD630_14950,1731903,1732707,G12WB-1632-MONOMER,AM180355.1
G12WB-3625,CD630_34460,4036928,4037972,G12WB-3625-MONOMER,AM180355.1
G12WB-1452,CD630_13170,1526312,1527158,G12WB-1452-MONOMER,AM180355.1
G12WB-3314,CD630_31520,3681842,3682157,G12WB-3314-MONOMER,AM180355.1
G12WB-3596,CD630_34190,4010119,4011085,G12WB-3596-MONOMER,AM180355.1
G12WB-544,CD630_04350,516878,517364,G12WB-544-MONOMER,AM180355.1
G12WB-1375,CD630_12420,1445293,1445668,G12WB-1375-MONOMER,AM180355.1
G12WB-3188,CD630_30260,3514903,3515650,G12WB-3188-MONOMER,AM180355.1
G12WB-512,CD630_04060,479073,480435,G12WB-512-MONOMER,AM180355.1
G12WB-98,CD630_00460,70508,71441,G12WB-98-MONOMER,AM180355.1
G12WB-1300,CD630_11700,1368740,1370015,G12WB-1300-MONOMER,AM180355.1
G12WB-3110,CD630_29470,3424816,3425035,G12WB-3110-MONOMER,AM180355.1
G12WB-942,CD630_08320,1008102,1009296,G12WB-942-MONOMER,AM180355.1
G12WB-2359,CD630_22040,2553396,2554179,G12WB-2359-MONOMER,AM180355.1
G12WB-1185,CD630_10632,1256466,1256646,G12WB-1185-MONOMER,AM180355.1
G12WB-3086,CD630_29240,3410089,3410317,G12WB-3086-MONOMER,AM180355.1
G12WB-2329,CD630_21720,2513122,2513872,G12WB-2329-MONOMER,AM180355.1
G12WB-1240,CD630_11120,1309463,1310333,G12WB-1240-MONOMER,AM180355.1
G12WB-1093,CD630_09772,1141774,1141963,G12WB-1093-MONOMER,AM180355.1
G12WB-3060,CD630_28990,3388069,3388687,G12WB-3060-MONOMER,AM180355.1
G12WB-1212,CD630_10890,1282292,1283006,G12WB-1212-MONOMER,AM180355.1
G12WB-2776,CD630_26250,3032000,3033041,G12WB-2776-MONOMER,AM180355.1
G12WB-2847,CD630_26940,3113268,3113658,G12WB-2847-MONOMER,AM180355.1
G12WB-2981,CD630_28200,3292793,3293300,G12WB-2981-MONOMER,AM180355.1
G12WB-2742,CD630_25860,2989935,2992425,G12WB-2742-MONOMER,AM180355.1
G12WB-3204,CD630_30420,3534918,3535893,G12WB-3204-MONOMER,AM180355.1
G12WB-267,CD630_01631,216389,216641,G12WB-267-MONOMER,AM180355.1
G12WB-277,CD630_01720,228264,228804,G12WB-277-MONOMER,AM180355.1
G12WB-3170,CD630_30050,3490364,3491141,G12WB-3170-MONOMER,AM180355.1
G12WB-1652,CD630_15150,1753525,1755619,G12WB-1652-MONOMER,AM180355.1
G12WB-2560,CD630_24090,2780879,2781149,G12WB-2560-MONOMER,AM180355.1
G12WB-968,CD630_08600,1037297,1037927,G12WB-968-MONOMER,AM180355.1
G12WB-1615,CD630_14780,1714500,1714722,G12WB-1615-MONOMER,AM180355.1
G12WB-3609,CD630_34320,4022257,4023328,G12WB-3609-MONOMER,AM180355.1
G12WB-2492,CD630_23400,2707228,2707504,G12WB-2492-MONOMER,AM180355.1
G12WB-849,CD630_07380,900183,901065,G12WB-849-MONOMER,AM180355.1
G12WB-3578,CD630_34040,3982187,3983669,G12WB-3578-MONOMER,AM180355.1
G12WB-528,CD630_04200,491808,493350,G12WB-528-MONOMER,AM180355.1
G12WB-2414,CD630_22590,2616772,2617120,G12WB-2414-MONOMER,AM180355.1
G12WB-782,CD630_06710,814882,815353,G12WB-782-MONOMER,AM180355.1
G12WB-3575,CD630_34010,3979195,3979909,G12WB-3575-MONOMER,AM180355.1
G12WB-959,CD630_08490,1025229,1026597,G12WB-959-MONOMER,AM180355.1
G12WB-2372,CD630_22160,2567561,2568239,G12WB-2372-MONOMER,AM180355.1
G12WB-723,CD630_06140,739239,739416,G12WB-723-MONOMER,AM180355.1
G12WB-487,CD630_03810,449359,450472,G12WB-487-MONOMER,AM180355.1
G12WB-2344,CD630_21890,2534463,2535144,G12WB-2344-MONOMER,AM180355.1
G12WB-2281,CD630_21251,2461389,2461614,G12WB-2281-MONOMER,AM180355.1
G12WB-699,CD630_05870,704791,705067,G12WB-699-MONOMER,AM180355.1
G12WB-925,CD630_08150,987149,988337,G12WB-925-MONOMER,AM180355.1
G12WB-1226,CD630_11020,1293050,1294400,G12WB-1226-MONOMER,AM180355.1
G12WB-587,CD630_04750,565057,565684,G12WB-587-MONOMER,AM180355.1
G12WB-1072,CD630_09562,1124124,1124286,G12WB-1072-MONOMER,AM180355.1
G12WB-2306,CD630_21500,2487625,2488255,G12WB-2306-MONOMER,AM180355.1
G12WB-2756,CD630_25990,3006986,3007469,G12WB-2756-MONOMER,AM180355.1
G12WB-1046,CD630_09341,1107446,1107560,G12WB-1046-MONOMER,AM180355.1
G12WB-2214,CD630_20630,2378632,2379208,G12WB-2214-MONOMER,AM180355.1
G12WB-2724,CD630_25680,2969539,2970646,G12WB-2724-MONOMER,AM180355.1
G12WB-3187,CD630_30250,3514168,3514843,G12WB-3187-MONOMER,AM180355.1
G12WB-2165,CD630_20171,2328005,2328146,G12WB-2165-MONOMER,AM180355.1
G12WB-4529,CD630_25622,2964534,2964687,G12WB-4529-MONOMER,AM180355.1
G12WB-315,CD630_02120,275698,277762,G12WB-315-MONOMER,AM180355.1
G12WB-1630,CD630_14930,1729786,1730395,G12WB-1630-MONOMER,AM180355.1
G12WB-4391,CD630_12332,1434189,1434360,G12WB-4391-MONOMER,AM180355.1
G12WB-1029,CD630_09210,1100712,1101063,G12WB-1029-MONOMER,AM180355.1
G12WB-1196,CD630_10730,1267222,1267948,G12WB-1196-MONOMER,AM180355.1
G12WB-3591,CD630_34170,4002763,4003834,G12WB-3591-MONOMER,AM180355.1
G12WB-417,CD630_03110,372932,373781,G12WB-417-MONOMER,AM180355.1
G12WB-2123,CD630_19801,2284780,2285071,G12WB-2123-MONOMER,AM180355.1
G12WB-1598,CD630_14610,1689980,1691072,G12WB-1598-MONOMER,AM180355.1
G12WB-509,CD630_04030,476742,477669,G12WB-509-MONOMER,AM180355.1
G12WB-386,CD630_02810,341438,342170,G12WB-386-MONOMER,AM180355.1
G12WB-2027,CD630_18800,2186386,2186734,G12WB-2027-MONOMER,AM180355.1
G12WB-356,CD630_02530,315538,316744,G12WB-356-MONOMER,AM180355.1
G12WB-940,CD630_08300,1004969,1006154,G12WB-940-MONOMER,AM180355.1
G12WB-3806,CD630_36200,4226154,4226523,G12WB-3806-MONOMER,AM180355.1
G12WB-1920,CD630_17730,2054055,2055363,G12WB-1920-MONOMER,AM180355.1
G12WB-471,CD630_03650,436714,437446,G12WB-471-MONOMER,AM180355.1
G12WB-2327,CD630_21690,2509502,2510228,G12WB-2327-MONOMER,AM180355.1
G12WB-3759,CD630_35720,4172614,4173325,G12WB-3759-MONOMER,AM180355.1
G12WB-1863,CD630_17210,1996143,1996686,G12WB-1863-MONOMER,AM180355.1
G12WB-909,CD630_07980,969148,970411,G12WB-909-MONOMER,AM180355.1
G12WB-121,CD630_00670,93917,97403,G12WB-121-MONOMER,AM180355.1
G12WB-3618,CD630_34392,4031128,4031248,G12WB-3618-MONOMER,AM180355.1
G12WB-1777,CD630_16380,1899164,1900727,G12WB-1777-MONOMER,AM180355.1
G12WB-2290,CD630_21340,2469361,2471173,G12WB-2290-MONOMER,AM180355.1
G12WB-2740,CD630_25840,2988533,2989463,G12WB-2740-MONOMER,AM180355.1
G12WB-3464,CD630_32970,3859205,3859886,G12WB-3464-MONOMER,AM180355.1
G12WB-1701,CD630_15620,1809638,1810400,G12WB-1701-MONOMER,AM180355.1
G12WB-2704,CD630_25490,2948655,2949573,G12WB-2704-MONOMER,AM180355.1
G12WB-3168,CD630_30030,3488405,3488711,G12WB-3168-MONOMER,AM180355.1
G12WB-3384,CD630_32180,3765795,3766596,G12WB-3384-MONOMER,AM180355.1
G12WB-1617,CD630_14800,1716997,1717156,G12WB-1617-MONOMER,AM180355.1
G12WB-3134,CD630_29680,3449376,3450252,G12WB-3134-MONOMER,AM180355.1
G12WB-1613,CD630_14760,1711057,1713955,G12WB-1613-MONOMER,AM180355.1
G12WB-3311,CD630_31500,3678458,3680372,G12WB-3311-MONOMER,AM180355.1
G12WB-1527,CD630_13900,1608934,1610095,G12WB-1527-MONOMER,AM180355.1
G12WB-1168,CD630_10490,1242589,1243390,G12WB-1168-MONOMER,AM180355.1
G12WB-3165,CD630_30000,3485164,3486058,G12WB-3165-MONOMER,AM180355.1
G12WB-3184,CD630_30220,3509380,3510817,G12WB-3184-MONOMER,AM180355.1
G12WB-1441,CD630_13060,1516266,1516728,G12WB-1441-MONOMER,AM180355.1
G12WB-1580,CD630_14430,1674310,1675375,G12WB-1580-MONOMER,AM180355.1
G12WB-1610,CD630_14730,1707376,1709200,G12WB-1610-MONOMER,AM180355.1
G12WB-3102,CD630_29390,3420881,3421232,G12WB-3102-MONOMER,AM180355.1
G12WB-1370,CD630_12371,1440753,1440873,G12WB-1370-MONOMER,AM180355.1
G12WB-3545,CD630_33722,3942393,3942564,G12WB-3545-MONOMER,AM180355.1
G12WB-3572,CD630_33980,3976695,3977121,G12WB-3572-MONOMER,AM180355.1
G12WB-3078,CD630_29150,3402943,3403177,G12WB-3078-MONOMER,AM180355.1
G12WB-1285,CD630_11550,1352969,1353761,G12WB-1285-MONOMER,AM180355.1
G12WB-453,CD630_03440,420192,421104,G12WB-453-MONOMER,AM180355.1
G12WB-485,CD630_03790,448991,449213,G12WB-485-MONOMER,AM180355.1
G12WB-3056,CD630_28950,3384782,3385013,G12WB-3056-MONOMER,AM180355.1
G12WB-1181,CD630_10610,1254049,1255063,G12WB-1181-MONOMER,AM180355.1
G12WB-2026,CD630_18782,2181138,2181291,G12WB-2026-MONOMER,AM180355.1
G12WB-923,CD630_08130,985912,986215,G12WB-923-MONOMER,AM180355.1
G12WB-2975,CD630_28150,3285792,3286269,G12WB-2975-MONOMER,AM180355.1
G12WB-1090,CD630_09750,1139775,1140372,G12WB-1090-MONOMER,AM180355.1
G12WB-89,CD630_00370,59446,60433,G12WB-89-MONOMER,AM180355.1
G12WB-2304,CD630_21480,2484874,2485849,G12WB-2304-MONOMER,AM180355.1
G12WB-2746,CD630_25890,2994819,2995701,G12WB-2746-MONOMER,AM180355.1
G12WB-2833,CD630_26811,3098313,3098442,G12WB-2833-MONOMER,AM180355.1
G12WB-2271,CD630_21160,2447690,2449514,G12WB-2271-MONOMER,AM180355.1
G12WB-2722,CD630_25660,2968662,2969115,G12WB-2722-MONOMER,AM180355.1
G12WB-2653,CD630_24990,2884105,2884444,G12WB-2653-MONOMER,AM180355.1
G12WB-2717,CD630_25620,2963475,2963826,G12WB-2717-MONOMER,AM180355.1
G12WB-2687,CD630_25320,2924423,2925566,G12WB-2687-MONOMER,AM180355.1
G12WB-3148,CD630_29830,3465408,3466326,G12WB-3148-MONOMER,AM180355.1
G12WB-2546,CD630_23950,2764353,2765022,G12WB-2546-MONOMER,AM180355.1
G12WB-957,CD630_08470,1023153,1023588,G12WB-957-MONOMER,AM180355.1
G12WB-3116,CD630_29520,3427500,3428859,G12WB-3116-MONOMER,AM180355.1
G12WB-1193,CD630_10700,1263849,1265304,G12WB-1193-MONOMER,AM180355.1
G12WB-2461,CD630_23090,2671950,2672127,G12WB-2461-MONOMER,AM180355.1
G12WB-845,CD630_07340,897553,897745,G12WB-845-MONOMER,AM180355.1
G12WB-1148,CD630_10330,1206796,1207921,G12WB-1148-MONOMER,AM180355.1
G12WB-1596,CD630_14590,1688531,1688999,G12WB-1596-MONOMER,AM180355.1
G12WB-2407,CD630_22510,2608311,2608668,G12WB-2407-MONOMER,AM180355.1
G12WB-771,CD630_06620,795223,795355,G12WB-771-MONOMER,AM180355.1
G12WB-1560,CD630_14210,1649192,1651427,G12WB-1560-MONOMER,AM180355.1
G12WB-3558,CD630_33860,3958433,3958937,G12WB-3558-MONOMER,AM180355.1
G12WB-2340,CD630_21850,2529153,2530110,G12WB-2340-MONOMER,AM180355.1
G12WB-717,CD630_06080,730314,730887,G12WB-717-MONOMER,AM180355.1
G12WB-3526,CD630_33570,3920390,3920975,G12WB-3526-MONOMER,AM180355.1
G12WB-469,CD630_03630,433805,435782,G12WB-469-MONOMER,AM180355.1
G12WB-2269,CD630_21151,2446897,2447089,G12WB-2269-MONOMER,AM180355.1
G12WB-688,CD630_05770,689962,690532,G12WB-688-MONOMER,AM180355.1
G12WB-4398,CD630_13110,1520875,1523734,G12WB-4398-MONOMER,AM180355.1
G12WB-907,CD630_07960,966844,967849,G12WB-907-MONOMER,AM180355.1
G12WB-549,CD630_04390,521473,521677,G12WB-549-MONOMER,AM180355.1
G12WB-1068,CD630_09540,1121474,1122785,G12WB-1068-MONOMER,AM180355.1
G12WB-2010,CD630_18640,2165645,2165876,G12WB-2010-MONOMER,AM180355.1
G12WB-2288,CD630_21320,2468153,2468357,G12WB-2288-MONOMER,AM180355.1
G12WB-1043,CD630_09320,1106443,1106911,G12WB-1043-MONOMER,AM180355.1
G12WB-2209,CD630_20580,2372859,2373573,G12WB-2209-MONOMER,AM180355.1
G12WB-872,CD630_07600,931647,932643,G12WB-872-MONOMER,AM180355.1
G12WB-2701,CD630_25460,2944740,2945763,G12WB-2701-MONOMER,AM180355.1
G12WB-2159,CD630_20131,2323256,2323379,G12WB-2159-MONOMER,AM180355.1
G12WB-4507,CD630_23052,2670077,2670248,G12WB-4507-MONOMER,AM180355.1
G12WB-2252,CD630_21000,2426241,2426691,G12WB-2252-MONOMER,AM180355.1
G12WB-3131,CD630_29660,3445218,3447822,G12WB-3131-MONOMER,AM180355.1
G12WB-4343,CD630_06740,818252,818468,G12WB-4343-MONOMER,AM180355.1
G12WB-1026,CD630_09180,1099199,1100039,G12WB-1026-MONOMER,AM180355.1
G12WB-2667,CD630_25130,2901342,2901723,G12WB-2667-MONOMER,AM180355.1
G12WB-1166,CD630_10470,1240571,1241624,G12WB-1166-MONOMER,AM180355.1
G12WB-410,CD630_03040,366058,366802,G12WB-410-MONOMER,AM180355.1
G12WB-2095,CD630_19530,2251169,2252369,G12WB-2095-MONOMER,AM180355.1
G12WB-3082,CD630_29200,3405168,3406662,G12WB-3082-MONOMER,AM180355.1
G12WB-1579,CD630_14420,1673357,1674167,G12WB-1579-MONOMER,AM180355.1
G12WB-3857,CD630_36650,4275822,4276008,G12WB-3857-MONOMER,AM180355.1
G12WB-1976,CD630_18311,2120972,2121128,G12WB-1976-MONOMER,AM180355.1
G12WB-1131,CD630_10160,1185365,1186196,G12WB-1131-MONOMER,AM180355.1
G12WB-3543,CD630_33710,3940630,3941047,G12WB-3543-MONOMER,AM180355.1
G12WB-3800,CD630_36140,4219996,4220614,G12WB-3800-MONOMER,AM180355.1
G12WB-1908,CD630_17620,2040601,2041021,G12WB-1908-MONOMER,AM180355.1
G12WB-1543,CD630_14050,1627874,1629794,G12WB-1543-MONOMER,AM180355.1
G12WB-4492,CD630_22242,2575688,2575895,G12WB-4492-MONOMER,AM180355.1
G12WB-3754,CD630_35680,4169425,4169692,G12WB-3754-MONOMER,AM180355.1
G12WB-1854,CD630_17110,1986050,1986389,G12WB-1854-MONOMER,AM180355.1
G12WB-351,CD630_02480,310352,311903,G12WB-351-MONOMER,AM180355.1
G12WB-2024,CD630_18770,2178396,2179716,G12WB-2024-MONOMER,AM180355.1
G12WB-3540,CD630_33690,3936974,3937613,G12WB-3540-MONOMER,AM180355.1
G12WB-1752,CD630_16130,1867027,1867945,G12WB-1752-MONOMER,AM180355.1
G12WB-429,CD630_03200,387053,387755,G12WB-429-MONOMER,AM180355.1
G12WB-887,CD630_07760,946538,947555,G12WB-887-MONOMER,AM180355.1
G12WB-3458,CD630_32910,3854196,3854781,G12WB-3458-MONOMER,AM180355.1
G12WB-1683,CD630_15450,1793556,1794123,G12WB-1683-MONOMER,AM180355.1
G12WB-1995,CD630_18510,2143243,2143555,G12WB-1995-MONOMER,AM180355.1
G12WB-2268,CD630_21150,2444112,2446614,G12WB-2268-MONOMER,AM180355.1
G12WB-3377,CD630_32110,3756838,3757489,G12WB-3377-MONOMER,AM180355.1
G12WB-1585,CD630_14480,1678847,1679549,G12WB-1585-MONOMER,AM180355.1
G12WB-858,CD630_07460,909824,910199,G12WB-858-MONOMER,AM180355.1
G12WB-2685,CD630_25300,2922962,2923781,G12WB-2685-MONOMER,AM180355.1
G12WB-3298,CD630_31350,3653682,3654561,G12WB-3298-MONOMER,AM180355.1
G12WB-1512,CD630_13760,1593449,1593710,G12WB-1512-MONOMER,AM180355.1
G12WB-2235,CD630_20830,2403628,2404999,G12WB-2235-MONOMER,AM180355.1
G12WB-3113,CD630_29490,3426114,3426336,G12WB-3113-MONOMER,AM180355.1
G12WB-3161,CD630_29960,3480423,3481149,G12WB-3161-MONOMER,AM180355.1
G12WB-1431,CD630_12970,1503825,1504455,G12WB-1431-MONOMER,AM180355.1
G12WB-265,CD630_01620,213853,215275,G12WB-265-MONOMER,AM180355.1
G12WB-1145,CD630_10300,1202260,1203517,G12WB-1145-MONOMER,AM180355.1
G12WB-3099,CD630_29360,3418524,3419520,G12WB-3099-MONOMER,AM180355.1
G12WB-1367,CD630_12340,1437223,1437475,G12WB-1367-MONOMER,AM180355.1
G12WB-3046,CD630_28860,3374004,3375366,G12WB-3046-MONOMER,AM180355.1
G12WB-1559,CD630_14200,1648316,1649162,G12WB-1559-MONOMER,AM180355.1
G12WB-3075,CD630_29120,3401766,3402192,G12WB-3075-MONOMER,AM180355.1
G12WB-1252,CD630_11241,1322621,1322843,G12WB-1252-MONOMER,AM180355.1
G12WB-1115,CD630_10000,1169888,1170674,G12WB-1115-MONOMER,AM180355.1
G12WB-3524,CD630_33550,3919392,3919911,G12WB-3524-MONOMER,AM180355.1
G12WB-3051,CD630_28910,3381819,3382251,G12WB-3051-MONOMER,AM180355.1
G12WB-1158,CD630_10390,1223578,1224409,G12WB-1158-MONOMER,AM180355.1
G12WB-1525,CD630_13870,1605726,1606713,G12WB-1525-MONOMER,AM180355.1
G12WB-4383,CD630_11031,1294744,1294924,G12WB-4383-MONOMER,AM180355.1
G12WB-2799,CD630_26480,3055921,3056596,G12WB-2799-MONOMER,AM180355.1
G12WB-2968,CD630_28080,3278157,3278787,G12WB-2968-MONOMER,AM180355.1
G12WB-3495,CD630_33271,3892477,3892774,G12WB-3495-MONOMER,AM180355.1
G12WB-2008,CD630_18620,2155822,2164804,G12WB-2008-MONOMER,AM180355.1
G12WB-2626,CD630_24710,2852645,2853422,G12WB-2626-MONOMER,AM180355.1
G12WB-2707,CD630_25520,2951360,2952101,G12WB-2707-MONOMER,AM180355.1
G12WB-413,CD630_03070,369407,369851,G12WB-413-MONOMER,AM180355.1
G12WB-870,CD630_07580,928163,928898,G12WB-870-MONOMER,AM180355.1
G12WB-2525,CD630_23750,2741480,2741789,G12WB-2525-MONOMER,AM180355.1
G12WB-919,CD630_08090,981565,982576,G12WB-919-MONOMER,AM180355.1
G12WB-1977,CD630_18320,2121257,2122271,G12WB-1977-MONOMER,AM180355.1
G12WB-225,CD630_01210,165665,166961,G12WB-225-MONOMER,AM180355.1
G12WB-2453,CD630_22991,2665250,2665403,G12WB-2453-MONOMER,AM180355.1
G12WB-823,CD630_07121,871180,871387,G12WB-823-MONOMER,AM180355.1
G12WB-838,CD630_07270,889216,890023,G12WB-838-MONOMER,AM180355.1
G12WB-2665,CD630_25110,2899740,2900556,G12WB-2665-MONOMER,AM180355.1
G12WB-24,CD630_00181,23268,23490,G12WB-24-MONOMER,AM180355.1
G12WB-748,CD630_06390,761769,762891,G12WB-748-MONOMER,AM180355.1
G12WB-2216,CD630_20650,2380223,2380601,G12WB-2216-MONOMER,AM180355.1
G12WB-308,CD630_02050,268441,270472,G12WB-308-MONOMER,AM180355.1
G12WB-2316,CD630_21590,2498151,2498937,G12WB-2316-MONOMER,AM180355.1
G12WB-714,CD630_06020,725036,725285,G12WB-714-MONOMER,AM180355.1
G12WB-2635,CD630_24800,2861903,2862743,G12WB-2635-MONOMER,AM180355.1
G12WB-113,CD630_00590,85341,85563,G12WB-113-MONOMER,AM180355.1
G12WB-2255,CD630_21021,2429282,2429444,G12WB-2255-MONOMER,AM180355.1
G12WB-679,CD630_05670,676059,676908,G12WB-679-MONOMER,AM180355.1
G12WB-3030,CD630_28700,3357630,3358605,G12WB-3030-MONOMER,AM180355.1
G12WB-1540,CD630_14030,1622770,1624960,G12WB-1540-MONOMER,AM180355.1
G12WB-513,CD630_04080,480431,480590,G12WB-513-MONOMER,AM180355.1
G12WB-1065,CD630_09520,1120448,1120874,G12WB-1065-MONOMER,AM180355.1
G12WB-1098,CD630_09830,1146969,1147599,G12WB-1098-MONOMER,AM180355.1
G12WB-3508,CD630_33390,3904242,3904635,G12WB-3508-MONOMER,AM180355.1
G12WB-104,CD630_00511,78698,78854,G12WB-104-MONOMER,AM180355.1
G12WB-2206,CD630_20550,2369253,2369901,G12WB-2206-MONOMER,AM180355.1
G12WB-1508,CD630_13710,1584829,1585882,G12WB-1508-MONOMER,AM180355.1
G12WB-4261,CD630_25530,2952103,2955340,G12WB-4261-MONOMER,AM180355.1
G12WB-215,CD630_01111,155946,156066,G12WB-215-MONOMER,AM180355.1
G12WB-4486,CD630_21341,2471758,2471989,G12WB-4486-MONOMER,AM180355.1
G12WB-3472,CD630_33050,3869080,3869665,G12WB-3472-MONOMER,AM180355.1
G12WB-1993,CD630_18490,2140265,2142005,G12WB-1993-MONOMER,AM180355.1
G12WB-4332,CD630_06012,724635,724791,G12WB-4332-MONOMER,AM180355.1
G12WB-1021,CD630_09130,1096926,1097115,G12WB-1021-MONOMER,AM180355.1
G12WB-393,CD630_02880,348575,349331,G12WB-393-MONOMER,AM180355.1
G12WB-856,CD630_07440,908099,908888,G12WB-856-MONOMER,AM180355.1
G12WB-395,CD630_02900,350240,350720,G12WB-395-MONOMER,AM180355.1
G12WB-2084,CD630_19410,2238708,2239455,G12WB-2084-MONOMER,AM180355.1
G12WB-1956,CD630_18100,2093916,2094294,G12WB-1956-MONOMER,AM180355.1
G12WB-2233,CD630_20810,2401686,2402133,G12WB-2233-MONOMER,AM180355.1
G12WB-3847,CD630_36560,4267573,4267882,G12WB-3847-MONOMER,AM180355.1
G12WB-1957,CD630_18130,2096269,2096683,G12WB-1957-MONOMER,AM180355.1
G12WB-819,CD630_07090,865180,867559,G12WB-819-MONOMER,AM180355.1
G12WB-2648,CD630_24930,2877340,2879224,G12WB-2648-MONOMER,AM180355.1
G12WB-3797,CD630_36090,4216603,4216804,G12WB-3797-MONOMER,AM180355.1
G12WB-1892,CD630_17480,2025081,2025822,G12WB-1892-MONOMER,AM180355.1
G12WB-2191,CD630_20430,2355597,2356296,G12WB-2191-MONOMER,AM180355.1
G12WB-3044,CD630_28840,3372698,3373010,G12WB-3044-MONOMER,AM180355.1
G12WB-3729,CD630_35480,4142421,4143315,G12WB-3729-MONOMER,AM180355.1
G12WB-1829,CD630_16870,1960345,1961191,G12WB-1829-MONOMER,AM180355.1
G12WB-2616,CD630_24610,2839853,2841701,G12WB-2616-MONOMER,AM180355.1
G12WB-1112,CD630_09970,1163148,1166697,G12WB-1112-MONOMER,AM180355.1
G12WB-3535,CD630_33660,3931674,3932565,G12WB-3535-MONOMER,AM180355.1
G12WB-1748,CD630_16090,1862039,1863239,G12WB-1748-MONOMER,AM180355.1
G12WB-3015,CD630_28550,3338141,3339161,G12WB-3015-MONOMER,AM180355.1
G12WB-1523,CD630_13850,1603761,1604982,G12WB-1523-MONOMER,AM180355.1
G12WB-3455,CD630_32880,3852138,3852456,G12WB-3455-MONOMER,AM180355.1
G12WB-1653,CD630_15152,1757000,1757273,G12WB-1653-MONOMER,AM180355.1
G12WB-1061,CD630_09480,1118564,1119464,G12WB-1061-MONOMER,AM180355.1
G12WB-3493,CD630_33260,3890924,3892109,G12WB-3493-MONOMER,AM180355.1
G12WB-3354,CD630_31880,3731126,3731612,G12WB-3354-MONOMER,AM180355.1
G12WB-1572,CD630_14340,1664869,1665160,G12WB-1572-MONOMER,AM180355.1
G12WB-1486,CD630_13510,1567178,1567937,G12WB-1486-MONOMER,AM180355.1
G12WB-409,CD630_03030,364776,366039,G12WB-409-MONOMER,AM180355.1
G12WB-3273,CD630_31110,3620469,3621798,G12WB-3273-MONOMER,AM180355.1
G12WB-1498,CD630_13620,1576660,1577104,G12WB-1498-MONOMER,AM180355.1
G12WB-3449,CD630_32820,3842258,3844628,G12WB-3449-MONOMER,AM180355.1
G12WB-1974,CD630_18300,2118784,2119483,G12WB-1974-MONOMER,AM180355.1
G12WB-3138,CD630_29720,3453759,3454539,G12WB-3138-MONOMER,AM180355.1
G12WB-1417,CD630_12830,1491444,1491702,G12WB-1417-MONOMER,AM180355.1
G12WB-3865,CD630_36730,4282274,4283060,G12WB-3865-MONOMER,AM180355.1
G12WB-836,CD630_07250,886824,887769,G12WB-836-MONOMER,AM180355.1
G12WB-3096,CD630_29340,3417583,3417955,G12WB-3096-MONOMER,AM180355.1
G12WB-1350,CD630_12190,1417400,1418468,G12WB-1350-MONOMER,AM180355.1
G12WB-1934,CD630_17870,2069706,2070870,G12WB-1934-MONOMER,AM180355.1
G12WB-2210,CD630_20590,2373864,2375529,G12WB-2210-MONOMER,AM180355.1
G12WB-3072,CD630_29100,3399855,3401166,G12WB-3072-MONOMER,AM180355.1
G12WB-1211,CD630_10880,1281481,1282042,G12WB-1211-MONOMER,AM180355.1
G12WB-802,CD630_06930,841628,842447,G12WB-802-MONOMER,AM180355.1
G12WB-2633,CD630_24780,2859727,2860564,G12WB-2633-MONOMER,AM180355.1
G12WB-3049,CD630_28890,3380277,3380421,G12WB-3049-MONOMER,AM180355.1
