Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G12WB-3269,CD630_31070,3614990,3616535,G12WB-3269-MONOMER,AM180355.1
G12WB-3648,CD630_34680,4058906,4060301,G12WB-3648-MONOMER,AM180355.1
G12WB-1738,CD630_15990,1854775,1855570,G12WB-1738-MONOMER,AM180355.1
G12WB-569,CD630_04570,544647,545364,G12WB-569-MONOMER,AM180355.1
G12WB-3677,CD630_34960,4084736,4085015,G12WB-3677-MONOMER,AM180355.1
G12WB-999,CD630_08910,1072916,1073795,G12WB-999-MONOMER,AM180355.1
G12WB-601,CD630_04890,579470,580151,G12WB-601-MONOMER,AM180355.1
G12WB-2386,CD630_22310,2582615,2583587,G12WB-2386-MONOMER,AM180355.1
G12WB-2423,CD630_22700,2631496,2632414,G12WB-2423-MONOMER,AM180355.1
G12WB-1262,CD630_11320,1332167,1332380,G12WB-1262-MONOMER,AM180355.1
G12WB-1294,CD630_11640,1362275,1363553,G12WB-1294-MONOMER,AM180355.1
G12WB-2805,CD630_26540,3062131,3063100,G12WB-2805-MONOMER,AM180355.1
G12WB-2834,CD630_26820,3098684,3102224,G12WB-2834-MONOMER,AM180355.1
G12WB-3225,CD630_30640,3558608,3559946,G12WB-3225-MONOMER,AM180355.1
G12WB-3253,CD630_30920,3594075,3595395,G12WB-3253-MONOMER,AM180355.1
G12WB-1674,CD630_15360,1781687,1782581,G12WB-1674-MONOMER,AM180355.1
G12WB-1717,CD630_15800,1831560,1832778,G12WB-1717-MONOMER,AM180355.1
G12WB-363,CD630_02590,320568,320943,G12WB-363-MONOMER,AM180355.1
G12WB-3662,CD630_34820,4069118,4070159,G12WB-3662-MONOMER,AM180355.1
G12WB-552,CD630_04410,524356,525757,G12WB-552-MONOMER,AM180355.1
G12WB-583,CD630_04710,562227,562614,G12WB-583-MONOMER,AM180355.1
G12WB-984,CD630_08760,1052857,1053895,G12WB-984-MONOMER,AM180355.1
G12WB-2402,CD630_22460,2599315,2600989,G12WB-2402-MONOMER,AM180355.1
G12WB-2363,CD630_22080,2557850,2558348,G12WB-2363-MONOMER,AM180355.1
G12WB-1277,CD630_11470,1345101,1345590,G12WB-1277-MONOMER,AM180355.1
G12WB-1245,CD630_11180,1313506,1314481,G12WB-1245-MONOMER,AM180355.1
G12WB-2819,CD630_26680,3081686,3082529,G12WB-2819-MONOMER,AM180355.1
G12WB-2787,CD630_26360,3045171,3046104,G12WB-2787-MONOMER,AM180355.1
G12WB-3239,CD630_30780,3575153,3575771,G12WB-3239-MONOMER,AM180355.1
G12WB-3210,CD630_30480,3541900,3543247,G12WB-3210-MONOMER,AM180355.1
G12WB-1692,CD630_15530,1800362,1801121,G12WB-1692-MONOMER,AM180355.1
G12WB-1658,CD630_15200,1761755,1762724,G12WB-1658-MONOMER,AM180355.1
G12WB-3646,CD630_34660,4057801,4058182,G12WB-3646-MONOMER,AM180355.1
G12WB-3613,CD630_34360,4027621,4028236,G12WB-3613-MONOMER,AM180355.1
G12WB-567,CD630_04550,539696,541811,G12WB-567-MONOMER,AM180355.1
G12WB-533,CD630_04250,505615,506947,G12WB-533-MONOMER,AM180355.1
G12WB-997,CD630_08890,1071632,1072046,G12WB-997-MONOMER,AM180355.1
G12WB-964,CD630_08540,1029437,1030349,G12WB-964-MONOMER,AM180355.1
G12WB-2384,CD630_22290,2579493,2581515,G12WB-2384-MONOMER,AM180355.1
G12WB-2349,CD630_21950,2542336,2542852,G12WB-2349-MONOMER,AM180355.1
G12WB-1260,CD630_11300,1329825,1330380,G12WB-1260-MONOMER,AM180355.1
G12WB-1230,CD630_11042,1296065,1296272,G12WB-1230-MONOMER,AM180355.1
G12WB-2803,CD630_26520,3059575,3060706,G12WB-2803-MONOMER,AM180355.1
G12WB-2761,CD630_26100,3016015,3017017,G12WB-2761-MONOMER,AM180355.1
G12WB-3223,CD630_30620,3555935,3556721,G12WB-3223-MONOMER,AM180355.1
