subreaction	enzymes
DnaK_dependent_folding	FY484_RS04425-MONOMER,FY484_RS04430-MONOMER_mod_zn2(4),VC_0854-MONOMER
GroEL_dependent_folding	FY484_RS13235-MONOMER,VC_2665-MONOMER
N_terminal_methionine_cleavage	VC_2261-MONOMER_mod_fe2(2)
PrfA_mono_mediated_termination	FY484_RS10835-MONOMER
PrfB_mono_mediated_termination	CPLX_dummy
generic_RF_mediated_termination	generic_RF
peptide_chain_release	FY484_RS03485-MONOMER
peptide_deformylase_processing	VC_0046-MONOMER_mod_fe2(1)
ribosome_recycler	VC_2257-MONOMER
