Modified_enzyme,Core_enzyme,Modifications,Source
VC_0162-MONOMER_mod_mg2(1),VC_0162-MONOMER,mg2(1),Homology
VC_0186-MONOMER_mod_fad(1),VC_0186-MONOMER,fad(1),Homology
VC_0210-MONOMER_mod_mg2(1),VC_0210-MONOMER,mg2(1),Homology
VC_0211-MONOMER_mod_mg2(1),VC_0211-MONOMER,mg2(1),Homology
VC_0215-MONOMER_mod_fmn(1),VC_0215-MONOMER,fmn(1),Homology
VC_0215-MONOMER_mod_mg2(1),VC_0215-MONOMER,mg2(1),Homology
VC_0222-MONOMER_mod_mg2(1),VC_0222-MONOMER,mg2(1),Homology
VC_0240-MONOMER_mod_nadp(1),VC_0240-MONOMER,nadp(1),Homology
VC_0243-MONOMER_mod_nadp(1),VC_0243-MONOMER,nadp(1),Homology
VC_0244-MONOMER_mod_pydx5p(1),VC_0244-MONOMER,pydx5p(1),Homology
VC_0275-MONOMER_mod_mg2(1),VC_0275-MONOMER,mg2(1),Homology
VC_0281-MONOMER_mod_pydx5p(1),VC_0281-MONOMER,pydx5p(1),Homology
VC_0304-MONOMER_mod_nh4(1)_mod_mg2(1),VC_0304-MONOMER,nh4(1) AND mg2(1),Homology
VC_0306-MONOMER_mod_Oxidized(1),VC_0306-MONOMER,Oxidized(1),Homology
VC_0307-MONOMER_mod_mg2(3),VC_0307-MONOMER,mg2(3),Homology
VC_0309-MONOMER_mod_mn2(1),VC_0309-MONOMER,mn2(1),Homology
VC_0318-MONOMER_mod_fad(1),VC_0318-MONOMER,fad(1),Homology
VC_0320-MONOMER_mod_mg2(1),VC_0320-MONOMER,mg2(1),Homology
VC_0327-MONOMER_mod_acetyl(1),VC_0327-MONOMER,acetyl(1),Homology
VC_0336-MONOMER_mod_mn2(1),VC_0336-MONOMER,mn2(1),Homology
VC_0341-MONOMER_mod_mg2(2),VC_0341-MONOMER,mg2(2),Homology
VC_0342-MONOMER_mod_adocbl(1),VC_0342-MONOMER,adocbl(1),Homology
VC_0342-MONOMER_mod_4fe4s(2),VC_0342-MONOMER,4fe4s(2),Homology
VC_0346-MONOMER_mod_mg2(2),VC_0346-MONOMER,mg2(2),Homology
VC_0390-MONOMER_mod_zn2(1)_mod_cbl1(1),VC_0390-MONOMER,zn2(1) AND cbl1(1),Homology
VC_0434-MONOMER_mod_mg2(1),VC_0434-MONOMER,mg2(1),Homology
VC_0468-MONOMER_mod_mg2(1),VC_0468-MONOMER,mg2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_mg2(1),VC_0472-MONOMER,k(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_mn2(1),VC_0472-MONOMER,k(4) AND mn2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_cobalt2(1),VC_0472-MONOMER,k(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_zn2(1),VC_0472-MONOMER,k(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_cd2(1),VC_0472-MONOMER,k(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_ni2(1),VC_0472-MONOMER,k(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_k(4)_mod_ca2(1),VC_0472-MONOMER,k(4) AND ca2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_mg2(1),VC_0472-MONOMER,nh4(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_mn2(1),VC_0472-MONOMER,nh4(4) AND mn2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_cobalt2(1),VC_0472-MONOMER,nh4(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_zn2(1),VC_0472-MONOMER,nh4(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_cd2(1),VC_0472-MONOMER,nh4(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_ni2(1),VC_0472-MONOMER,nh4(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_nh4(4)_mod_ca2(1),VC_0472-MONOMER,nh4(4) AND ca2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_mg2(1),VC_0472-MONOMER,tl(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_mn2(1),VC_0472-MONOMER,tl(4) AND mn2(1),Homology
