Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
FY484_RS17735,VC_A0753,697460,698615,FY484_RS17735-MONOMER,,AE003853.1
FY484_RS03015,trmD,0,744,FY484_RS03015-MONOMER,,trmD
FY484_RS17065,FY484_RS17065,0,177,FY484_RS17065-MONOMER,,FY484_RS17065
FY484_RS16680,ylqF,0,945,FY484_RS16680-MONOMER,,ylqF
FY484_RS16375,higA2,0,315,FY484_RS16375-MONOMER,,higA2
FY484_RS05090,nagE,0,1572,FY484_RS05090-MONOMER,,nagE
FY484_RS16050,VC_A0419,385529,386315,FY484_RS16050-MONOMER,,AE003853.1
FY484_RS18900,VC_A0999,953655,954231,FY484_RS18900-MONOMER,,AE003853.1
FY484_RS15700,VC_A0363,351511,352195,FY484_RS15700-MONOMER,,AE003853.1
FY484_RS07545,VC_1499,1609775,1611608,FY484_RS07545-MONOMER,,AE003852.1
FY484_RS15295,VC_A0303,317509,317914,FY484_RS15295-MONOMER,,AE003853.1
FY484_RS09690,VC_1939,2090030,2090651,FY484_RS09690-MONOMER,,AE003852.1
FY484_RS14935,VC_A0236,257513,257810,FY484_RS14935-MONOMER,,AE003853.1
FY484_RS11730,ung,0,681,FY484_RS11730-MONOMER,,ung
FY484_RS14110,lpp,0,249,FY484_RS14110-MONOMER,,lpp
FY484_RS00585,VC_0115,109474,109966,FY484_RS00585-MONOMER,,AE003852.1
FY484_RS13230,VC_2662,2831848,2832424,FY484_RS13230-MONOMER,,AE003852.1
FY484_RS13790,atpA,0,1542,FY484_RS13790-MONOMER,,atpA
FY484_RS10225,VC_2046,2203855,2204392,FY484_RS10225-MONOMER,,AE003852.1
FY484_RS02895,alaS,0,2583,FY484_RS02895-MONOMER,,alaS
FY484_RS08985,VC_1794,1940753,1941332,FY484_RS08985-MONOMER,,AE003852.1
FY484_RS16590,VC_A0508,435759,436632,FY484_RS16590-MONOMER,,AE003853.1
FY484_RS08135,VC_1618,1730963,1732181,FY484_RS08135-MONOMER,,AE003852.1
FY484_RS05000,VC_0976,1040812,1041733,FY484_RS05000-MONOMER,,AE003852.1
FY484_RS18815,VC_A0981,929100,929844,FY484_RS18815-MONOMER,,AE003853.1
FY484_RS07460,matP,0,450,FY484_RS07460-MONOMER,,matP
FY484_RS09590,ppiD,0,1860,FY484_RS09590-MONOMER,,ppiD
FY484_RS11645,VC_2341,2493590,2495282,FY484_RS11645-MONOMER,,AE003852.1
FY484_RS02935,VC_t044,581632,581709,FY484_RS02935-tRNA,,AE003852.1
FY484_RS00490,lexA,0,630,FY484_RS00490-MONOMER,,lexA
FY484_RS13695,VC_r021,2931744,2933279,FY484_RS13695-rRNA,,AE003852.1
FY484_RS02815,ispD,0,699,FY484_RS02815-MONOMER,,ispD
FY484_RS02070,VC_t028,406955,407032,FY484_RS02070-tRNA,,AE003852.1
FY484_RS13650,VC_2750,2923907,2926457,FY484_RS13650-MONOMER,,AE003852.1
FY484_RS12320,ssrS,0,184,FY484_RS12320-RNA,,ssrS
FY484_RS16445,VC_A0482,422280,422553,FY484_RS16445-MONOMER,,AE003853.1
FY484_RS01670,VC_t015,334929,335014,FY484_RS01670-tRNA,,AE003852.1
FY484_RS04905,lnt,0,1518,FY484_RS04905-MONOMER,,lnt
FY484_RS10880,VC_t068,2331120,2331205,FY484_RS10880-tRNA,,AE003852.1
FY484_RS18705,VC_A0957,905957,906566,FY484_RS18705-MONOMER,,AE003853.1
FY484_RS00815,VC_t004,152662,152738,FY484_RS00815-tRNA,,AE003852.1
FY484_RS07325,ctxB,0,375,FY484_RS07325-MONOMER,,ctxB
FY484_RS05195,VC_t055,1087127,1087203,FY484_RS05195-tRNA,,AE003852.1
FY484_RS09505,fadR,0,840,FY484_RS09505-MONOMER,,fadR
FY484_RS11560,recD,0,2121,FY484_RS11560-MONOMER,,recD
FY484_RS00405,VC_0075,75265,76153,FY484_RS00405-MONOMER,,AE003852.1
