Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
FY484_RS03405,infB,0,2697,FY484_RS03405-MONOMER,,infB
FY484_RS17095,moeA,0,1236,FY484_RS17095-MONOMER,,moeA
FY484_RS05790,hisF,0,774,FY484_RS05790-MONOMER,,hisF
FY484_RS19285,VC_A1084,1037298,1039413,FY484_RS19285-MONOMER,,AE003853.1
FY484_RS07930,VC_1580,1690214,1691126,FY484_RS07930-MONOMER,,AE003852.1
FY484_RS10075,fabF,0,1245,FY484_RS10075-MONOMER,,fabF
FY484_RS12115,tolC,0,1317,FY484_RS12115-MONOMER,,tolC
FY484_RS01075,fhuD,0,960,FY484_RS01075-MONOMER,,fhuD
FY484_RS14250,VC_A0090,99075,99969,FY484_RS14250-MONOMER,,AE003853.1
FY484_RS03310,erpA,0,342,FY484_RS03310-MONOMER,,erpA
FY484_RS17010,FY484_RS17010,0,1473,FY484_RS17010-MONOMER,,FY484_RS17010
FY484_RS05710,VC_1122,1190412,1191711,FY484_RS05710-MONOMER,,AE003852.1
FY484_RS05415,VC_1061,1128899,1129967,FY484_RS05415-MONOMER,,AE003852.1
FY484_RS19200,speF,0,2163,FY484_RS19200-MONOMER,,speF
FY484_RS07845,varR,0,930,FY484_RS07845-MONOMER,,varR
FY484_RS09990,rlmA,0,819,FY484_RS09990-MONOMER,,rlmA
FY484_RS12035,fldB,0,519,FY484_RS12035-MONOMER,,fldB
FY484_RS00970,cap2,0,1755,FY484_RS00970-MONOMER,,cap2
FY484_RS14145,VC_A0068,77458,79102,FY484_RS14145-MONOMER,,AE003853.1
FY484_RS03220,VC_0609,640026,641652,FY484_RS03220-MONOMER,,AE003852.1
FY484_RS16920,VC_A0579,519141,519375,FY484_RS16920-MONOMER,,AE003853.1
FY484_RS05625,cdgK,0,1470,FY484_RS05625-MONOMER,,cdgK
FY484_RS05320,fadL-2,0,1287,FY484_RS05320-MONOMER,,fadL-2
FY484_RS19110,mtlA,0,1950,FY484_RS19110-MONOMER,,mtlA
FY484_RS07765,tonB2,0,621,FY484_RS07765-MONOMER,,tonB2
FY484_RS09890,VC_1983,2133809,2135657,FY484_RS09890-MONOMER,,AE003852.1
FY484_RS11945,ftsW,0,1197,FY484_RS11945-MONOMER,,ftsW
FY484_RS00845,VC_0163,159051,159303,FY484_RS00845-MONOMER,,AE003852.1
FY484_RS14040,plzD,0,759,FY484_RS14040-MONOMER,,plzD
FY484_RS03140,panC,0,882,FY484_RS03140-MONOMER,,panC
FY484_RS16830,VC_A0560,497677,498916,FY484_RS16830-MONOMER,,AE003853.1
FY484_RS05545,VC_1087,1154251,1155595,FY484_RS05545-MONOMER,,AE003852.1
FY484_RS05225,moaA,0,990,FY484_RS05225-MONOMER,,moaA
FY484_RS19020,VC_A1027,974667,975504,FY484_RS19020-MONOMER,,AE003853.1
FY484_RS07670,VC_1525,1640001,1640724,FY484_RS07670-MONOMER,,AE003852.1
FY484_RS09805,VC_1964,2114203,2115079,FY484_RS09805-MONOMER,,AE003852.1
FY484_RS11850,VC_2384,2548394,2549180,FY484_RS11850-MONOMER,,AE003852.1
FY484_RS00730,VC_0144,135209,135839,FY484_RS00730-MONOMER,,AE003852.1
FY484_RS13940,VC_A0022,27483,27885,FY484_RS13940-MONOMER,,AE003853.1
FY484_RS03050,rpsI,0,393,FY484_RS03050-MONOMER,,rpsI
FY484_RS16730,VC_A0538,475385,475931,FY484_RS16730-MONOMER,,AE003853.1
FY484_RS05130,purF,0,1515,FY484_RS05130-MONOMER,,purF
FY484_RS18935,VC_A1006,958487,958925,FY484_RS18935-MONOMER,,AE003853.1
FY484_RS07585,VC_1508,1621374,1621857,FY484_RS07585-MONOMER,,AE003852.1
FY484_RS09720,VC_1944,2094740,2095604,FY484_RS09720-MONOMER,,AE003852.1
FY484_RS11770,VC_2366,2523336,2523825,FY484_RS11770-MONOMER,,AE003852.1
FY484_RS00625,cyaY,0,315,FY484_RS00625-MONOMER,,cyaY
FY484_RS13825,parA1,0,774,FY484_RS13825-MONOMER,,parA1
FY484_RS02970,VC_0553,586645,587107,FY484_RS02970-MONOMER,,AE003852.1
FY484_RS16625,pfkB,0,954,FY484_RS16625-MONOMER,,pfkB
FY484_RS05045,htpG,0,1908,FY484_RS05045-MONOMER,,htpG
FY484_RS18850,VC_A0988,940678,942235,FY484_RS18850-MONOMER,,AE003853.1
FY484_RS07495,rlmKL,0,2127,FY484_RS07495-MONOMER,,rlmKL
FY484_RS09635,VC_1927,2078992,2080354,FY484_RS09635-MONOMER,,AE003852.1
FY484_RS11680,deoB,0,1221,FY484_RS11680-MONOMER,,deoB
FY484_RS00535,glpE,0,321,FY484_RS00535-MONOMER,,glpE
FY484_RS02850,mutS,0,2589,FY484_RS02850-MONOMER,,mutS
FY484_RS16515,VC_A0495,429228,430101,FY484_RS16515-MONOMER,,AE003853.1
FY484_RS04940,ptsI,0,1722,FY484_RS04940-MONOMER,,ptsI
FY484_RS18745,VC_A0965,914405,915596,FY484_RS18745-MONOMER,,AE003853.1
FY484_RS07365,VC_1464,1572942,1573281,FY484_RS07365-MONOMER,,AE003852.1
FY484_RS09540,cysB,0,975,FY484_RS09540-MONOMER,,cysB
FY484_RS11595,nnrS,0,1185,FY484_RS11595-MONOMER,,nnrS
FY484_RS00445,ubiE,0,783,FY484_RS00445-MONOMER,,ubiE
FY484_RS02760,dnaG,0,1764,FY484_RS02760-MONOMER,,dnaG
FY484_RS13600,VC_2740,2913757,2914690,FY484_RS13600-MONOMER,,AE003852.1
FY484_RS16395,phd,0,693,FY484_RS16395-MONOMER,,phd
FY484_RS04860,rlpA,0,792,FY484_RS04860-MONOMER,,rlpA
FY484_RS18675,VC__A0951,0,321,FY484_RS18675-MONOMER,,VC__A0951
FY484_RS07260,VC_1444,1540237,1541455,FY484_RS07260-MONOMER,,AE003852.1
FY484_RS09455,VC_1889,2037544,2038081,FY484_RS09455-MONOMER,,AE003852.1
FY484_RS11505,VC_2303,2456926,2457508,FY484_RS11505-MONOMER,,AE003852.1
FY484_RS00350,thiS,0,258,FY484_RS00350-MONOMER,,thiS
FY484_RS02645,VC_0496,529738,530338,FY484_RS02645-MONOMER,,AE003852.1
FY484_RS13520,gspN,0,759,FY484_RS13520-MONOMER,,gspN
FY484_RS16180,VC_A0442,398031,398508,FY484_RS16180-MONOMER,,AE003853.1
FY484_RS04760,vpsJ,0,1173,FY484_RS04760-MONOMER,,vpsJ
FY484_RS18580,VC_A0930,883288,884314,FY484_RS18580-MONOMER,,AE003853.1
FY484_RS07170,potC,0,771,FY484_RS07170-MONOMER,,potC
FY484_RS09375,VC_1872,2014954,2016889,FY484_RS09375-MONOMER,,AE003852.1
FY484_RS11410,cdgL,0,1518,FY484_RS11410-MONOMER,,cdgL
FY484_RS00235,def,0,510,FY484_RS00235-MONOMER,,def
FY484_RS02550,epd,0,1026,FY484_RS02550-MONOMER,,epd
FY484_RS13430,VC_2704,2876822,2877089,FY484_RS13430-MONOMER,,AE003852.1
FY484_RS16025,VC_A0416,383327,383651,FY484_RS16025-MONOMER,,AE003853.1
FY484_RS04660,gmhB,0,561,FY484_RS04660-MONOMER,,gmhB
FY484_RS18485,hutW,0,1362,FY484_RS18485-MONOMER,,hutW
FY484_RS07080,vceR,0,603,FY484_RS07080-MONOMER,,vceR
FY484_RS09290,VC_1856,1996383,1997163,FY484_RS09290-MONOMER,,AE003852.1
FY484_RS11330,VC_2268,2422777,2423299,FY484_RS11330-MONOMER,,AE003852.1
FY484_RS00145,ilvD,0,1842,FY484_RS00145-MONOMER,,ilvD
FY484_RS02470,proC,0,819,FY484_RS02470-MONOMER,,proC
FY484_RS13340,metF,0,888,FY484_RS13340-MONOMER,,metF
FY484_RS15865,higB1,0,288,FY484_RS15865-MONOMER,,higB1
FY484_RS04580,xseB,0,243,FY484_RS04580-MONOMER,,xseB
FY484_RS18385,VC_A0889,842136,843075,FY484_RS18385-MONOMER,,AE003853.1
FY484_RS06980,yegD,0,1353,FY484_RS06980-MONOMER,,yegD
FY484_RS09210,ybgC,0,408,FY484_RS09210-MONOMER,,ybgC
FY484_RS11250,VC_2251,2405586,2406096,FY484_RS11250-MONOMER,,AE003852.1
FY484_RS00030,rnpA,0,357,FY484_RS00030-MONOMER,,rnpA
FY484_RS02345,rsmA,0,816,FY484_RS02345-MONOMER,,rsmA
FY484_RS13260,VC_2668,2836199,2836640,FY484_RS13260-MONOMER,,AE003852.1
FY484_RS15670,parE2,0,300,FY484_RS15670-MONOMER,,parE2
FY484_RS04495,VC_0871,936464,936656,FY484_RS04495-MONOMER,,AE003852.1
FY484_RS18250,VC_A0864,815880,817278,FY484_RS18250-MONOMER,,AE003853.1
FY484_RS06875,VC_1363,1452642,1453581,FY484_RS06875-MONOMER,,AE003852.1
FY484_RS09130,VC_1822,1963027,1964893,FY484_RS09130-MONOMER,,AE003852.1
FY484_RS11170,rnhA,0,471,FY484_RS11170-MONOMER,,rnhA
FY484_RS02260,VC_0426,456324,456708,FY484_RS02260-MONOMER,,AE003852.1
FY484_RS13165,ppc,0,2631,FY484_RS13165-MONOMER,,ppc
FY484_RS15545,VC_A0341,338971,339370,FY484_RS15545-MONOMER,,AE003853.1
FY484_RS04390,smpB,0,486,FY484_RS04390-MONOMER,,smpB
FY484_RS18140,VC_A0837,781821,783135,FY484_RS18140-MONOMER,,AE003853.1
FY484_RS06785,VC_1343,1429933,1431040,FY484_RS06785-MONOMER,,AE003852.1
FY484_RS09020,VC_1799,1944386,1946144,FY484_RS09020-MONOMER,,AE003852.1
FY484_RS11085,copA,0,2721,FY484_RS11085-MONOMER,,copA
FY484_RS02165,mshF,0,453,FY484_RS02165-MONOMER,,mshF
FY484_RS13085,aroK,0,525,FY484_RS13085-MONOMER,,aroK
FY484_RS15390,VC_A0319,326383,326656,FY484_RS15390-MONOMER,,AE003853.1
FY484_RS04300,tcpR,0,456,FY484_RS04300-MONOMER,,tcpR
FY484_RS18045,FY484_RS18045,0,1347,FY484_RS18045-MONOMER,,FY484_RS18045
FY484_RS06705,mglB,0,975,FY484_RS06705-MONOMER,,mglB
FY484_RS08895,VC_1775,1925230,1926067,FY484_RS08895-MONOMER,,AE003852.1
FY484_RS11000,flgD,0,708,FY484_RS11000-MONOMER,,flgD
FY484_RS02085,lysC,0,1356,FY484_RS02085-MONOMER,,lysC
FY484_RS13005,VC_2613,2781144,2782014,FY484_RS13005-MONOMER,,AE003852.1
FY484_RS15255,FY484_RS15255,0,150,FY484_RS15255-MONOMER,,FY484_RS15255
FY484_RS04200,VC_0811,866098,866803,FY484_RS04200-MONOMER,,AE003852.1
FY484_RS17965,VC_A0800,741309,741792,FY484_RS17965-MONOMER,,AE003853.1
FY484_RS06610,FY484_RS06610,0,1020,FY484_RS06610-MONOMER,,FY484_RS06610
FY484_RS08795,VC_1755,1890541,1891120,FY484_RS08795-MONOMER,,AE003852.1
FY484_RS10840,hemA,0,1260,FY484_RS10840-MONOMER,,hemA
FY484_RS01965,VC_0370,385658,386468,FY484_RS01965-MONOMER,,AE003852.1
FY484_RS12915,rplD,0,603,FY484_RS12915-MONOMER,,rplD
FY484_RS15120,gcvP,0,2865,FY484_RS15120-MONOMER,,gcvP
FY484_RS04090,ygiD,0,330,FY484_RS04090-MONOMER,,ygiD
FY484_RS17865,pxpC,0,930,FY484_RS17865-MONOMER,,pxpC
FY484_RS06520,mdoG,0,1638,FY484_RS06520-MONOMER,,mdoG
FY484_RS08700,aroA,0,1281,FY484_RS08700-MONOMER,,aroA
FY484_RS10760,mlp24,0,1872,FY484_RS10760-MONOMER,,mlp24
FY484_RS01875,VC_0351,373992,374199,FY484_RS01875-MONOMER,,AE003852.1
FY484_RS12835,rpsE,0,504,FY484_RS12835-MONOMER,,rpsE
FY484_RS14995,ulaG,0,1068,FY484_RS14995-MONOMER,,ulaG
FY484_RS04010,VC_0770,825291,825885,FY484_RS04010-MONOMER,,AE003852.1
FY484_RS17770,artQ,0,690,FY484_RS17770-MONOMER,,artQ
FY484_RS06430,VC_1271,1346016,1346733,FY484_RS06430-MONOMER,,AE003852.1
FY484_RS08610,VC_1713,1848653,1849097,FY484_RS08610-MONOMER,,AE003852.1
FY484_RS10680,flaG,0,462,FY484_RS10680-MONOMER,,flaG
FY484_RS01755,envC,0,1149,FY484_RS01755-MONOMER,,envC
FY484_RS12755,VC_2563,2745546,2746116,FY484_RS12755-MONOMER,,AE003852.1
FY484_RS14905,VC_A0229,250747,251698,FY484_RS14905-MONOMER,,AE003853.1
FY484_RS03930,iscX,0,195,FY484_RS03930-MONOMER,,iscX
FY484_RS17665,VC_A0738,684368,685610,FY484_RS17665-MONOMER,,AE003853.1
FY484_RS06345,VC_1254,1324876,1325155,FY484_RS06345-MONOMER,,AE003852.1
FY484_RS08510,torE,0,183,FY484_RS08510-MONOMER,,torE
FY484_RS10595,fliN,0,411,FY484_RS10595-MONOMER,,fliN
FY484_RS01650,murB,0,1074,FY484_RS01650-MONOMER,,murB
FY484_RS12675,VC_2546,2726670,2727018,FY484_RS12675-MONOMER,,AE003852.1
FY484_RS14800,VC_A0205,222311,223640,FY484_RS14800-MONOMER,,AE003853.1
FY484_RS03845,aceA,0,1314,FY484_RS03845-MONOMER,,aceA
FY484_RS17545,VC_A0714,658357,658714,FY484_RS17545-MONOMER,,AE003853.1
FY484_RS06255,sbcB,0,1425,FY484_RS06255-MONOMER,,sbcB
FY484_RS08420,pspC,0,390,FY484_RS08420-MONOMER,,pspC
FY484_RS10510,asd2,0,1014,FY484_RS10510-MONOMER,,asd2
FY484_RS01530,accB,0,462,FY484_RS01530-MONOMER,,accB
FY484_RS12590,lptB,0,726,FY484_RS12590-MONOMER,,lptB
FY484_RS14690,hmpA,0,1185,FY484_RS14690-MONOMER,,hmpA
FY484_RS03765,VC_0717,769564,770965,FY484_RS03765-MONOMER,,AE003852.1
FY484_RS17455,secF2,0,903,FY484_RS17455-MONOMER,,secF2
FY484_RS06145,VC_1212,1287835,1290199,FY484_RS06145-MONOMER,,AE003852.1
FY484_RS08335,VC_1660a,0,927,FY484_RS08335-MONOMER,,VC_1660a
FY484_RS10430,sdhA,0,1767,FY484_RS10430-MONOMER,,sdhA
FY484_RS01435,purH,0,1593,FY484_RS01435-MONOMER,,purH
FY484_RS12505,pyrB,0,930,FY484_RS12505-MONOMER,,pyrB
FY484_RS12485,rapA,0,2910,FY484_RS12485-MONOMER,,rapA
FY484_RS14595,tnaC,0,72,FY484_RS14595-MONOMER,,tnaC
FY484_RS03640,yehT,0,714,FY484_RS03640-MONOMER,,yehT
FY484_RS17350,VC_A0671,606843,607860,FY484_RS17350-MONOMER,,AE003853.1
FY484_RS06040,purC,0,1107,FY484_RS06040-MONOMER,,purC
FY484_RS08220,rsuA,0,696,FY484_RS08220-MONOMER,,rsuA
FY484_RS10335,flhF,0,1488,FY484_RS10335-MONOMER,,flhF
FY484_RS01310,wbeL,0,1416,FY484_RS01310-MONOMER,,wbeL
FY484_RS12365,VC_2488,2668494,2669031,FY484_RS12365-MONOMER,,AE003852.1
FY484_RS14505,dctD-2,0,1353,FY484_RS14505-MONOMER,,dctD-2
FY484_RS03560,VC_0676,722511,723660,FY484_RS03560-MONOMER,,AE003852.1
FY484_RS17250,VC_A0648,583085,583832,FY484_RS17250-MONOMER,,AE003853.1
FY484_RS05950,trpCF,0,1410,FY484_RS05950-MONOMER,,trpCF
FY484_RS19515,FY484_RS19515,0,96,FY484_RS19515-MONOMER,,FY484_RS19515
FY484_RS08120,VC_1615,1729044,1729557,FY484_RS08120-MONOMER,,AE003852.1
FY484_RS10255,ccmF,0,1956,FY484_RS10255-MONOMER,,ccmF
FY484_RS01225,wavH,0,381,FY484_RS01225-MONOMER,,wavH
FY484_RS12275,nadB,0,1608,FY484_RS12275-MONOMER,,nadB
FY484_RS14415,vgrG3,0,3054,FY484_RS14415-MONOMER,,vgrG3
FY484_RS03475,rimI,0,450,FY484_RS03475-MONOMER,,rimI
FY484_RS17165,VC_A0632,568825,569275,FY484_RS17165-MONOMER,,AE003853.1
FY484_RS05860,VC_1152,1223697,1224633,FY484_RS05860-MONOMER,,AE003852.1
FY484_RS19355,nikA,0,1530,FY484_RS19355-MONOMER,,nikA
FY484_RS07995,galM,0,1053,FY484_RS07995-MONOMER,,galM
FY484_RS10155,adhE,0,2685,FY484_RS10155-MONOMER,,adhE
FY484_RS12180,mazG,0,816,FY484_RS12180-MONOMER,,mazG
FY484_RS01150,VC_0216,223453,225148,FY484_RS01150-MONOMER,,AE003852.1
FY484_RS14330,VC_A0106,115340,116414,FY484_RS14330-MONOMER,,AE003853.1
FY484_RS03380,secG,0,336,FY484_RS03380-MONOMER,,secG
FY484_RS17080,fhs,0,1749,FY484_RS17080-MONOMER,,fhs
FY484_RS05775,hisB,0,1074,FY484_RS05775-MONOMER,,hisB
FY484_RS19270,VC_A1080,1033252,1034698,FY484_RS19270-MONOMER,,AE003853.1
FY484_RS07915,almG,0,822,FY484_RS07915-MONOMER,,almG
FY484_RS10060,tmk,0,639,FY484_RS10060-MONOMER,,tmk
FY484_RS12100,cpdA,0,813,FY484_RS12100-MONOMER,,cpdA
FY484_RS01060,VC_0199,204525,206361,FY484_RS01060-MONOMER,,AE003852.1
FY484_RS14220,VC_A0083,93580,94792,FY484_RS14220-MONOMER,,AE003853.1
FY484_RS03290,rsmC,0,1023,FY484_RS03290-MONOMER,,rsmC
FY484_RS16995,VC_A0593,531210,532143,FY484_RS16995-MONOMER,,AE003853.1
FY484_RS05695,VC_1119,1187654,1188380,FY484_RS05695-MONOMER,,AE003852.1
FY484_RS05400,VC_1058,1126280,1126718,FY484_RS05400-MONOMER,,AE003852.1
FY484_RS19180,trmY,0,606,FY484_RS19180-MONOMER,,trmY
FY484_RS07830,VC_1557,1668121,1669156,FY484_RS07830-MONOMER,,AE003852.1
FY484_RS09975,gap,0,996,FY484_RS09975-MONOMER,,gap
FY484_RS12020,recJ,0,1740,FY484_RS12020-MONOMER,,recJ
FY484_RS00950,vspR,0,564,FY484_RS00950-MONOMER,,vspR
FY484_RS14130,VC_A0065,73022,75329,FY484_RS14130-MONOMER,,AE003853.1
FY484_RS03205,glnK,0,339,FY484_RS03205-MONOMER,,glnK
FY484_RS16905,VC_A0575,513838,514726,FY484_RS16905-MONOMER,,AE003853.1
FY484_RS05610,VC_1101,1170718,1171684,FY484_RS05610-MONOMER,,AE003852.1
FY484_RS05305,cobO,0,606,FY484_RS05305-MONOMER,,cobO
FY484_RS19090,VC_A1041,991280,992984,FY484_RS19090-MONOMER,,AE003853.1
FY484_RS07745,vcmA,0,1374,FY484_RS07745-MONOMER,,vcmA
FY484_RS09875,VC_1979,2131257,2132583,FY484_RS09875-MONOMER,,AE003852.1
FY484_RS11930,ftsQ,0,783,FY484_RS11930-MONOMER,,ftsQ
FY484_RS00800,murI,0,798,FY484_RS00800-MONOMER,,murI
FY484_RS14020,VC_A0038,46103,46685,FY484_RS14020-MONOMER,,AE003853.1
FY484_RS03125,VC_0587,614895,616542,FY484_RS03125-MONOMER,,AE003852.1
FY484_RS16810,VC_A0557,493350,494760,FY484_RS16810-MONOMER,,AE003853.1
FY484_RS05525,VC_1083,1149394,1149979,FY484_RS05525-MONOMER,,AE003852.1
FY484_RS05200,uvrB,0,2031,FY484_RS05200-MONOMER,,uvrB
FY484_RS19005,VC_A1024,971810,972152,FY484_RS19005-MONOMER,,AE003853.1
FY484_RS07655,VC_1522,1636714,1638169,FY484_RS07655-MONOMER,,AE003852.1
FY484_RS09790,minE,0,264,FY484_RS09790-MONOMER,,minE
FY484_RS11835,btuF,0,831,FY484_RS11835-MONOMER,,btuF
FY484_RS00700,VC_0139,132790,133261,FY484_RS00700-MONOMER,,AE003852.1
FY484_RS13915,hcp-2,0,519,FY484_RS13915-MONOMER,,hcp-2
FY484_RS03035,VC_0567,601136,601574,FY484_RS03035-MONOMER,,AE003852.1
FY484_RS16705,VC_A0533,471367,471604,FY484_RS16705-MONOMER,,AE003853.1
FY484_RS05115,folC,0,1266,FY484_RS05115-MONOMER,,folC
FY484_RS18920,VC_A1003,956833,957151,FY484_RS18920-MONOMER,,AE003853.1
FY484_RS07565,VC_1503,1617273,1618170,FY484_RS07565-MONOMER,,AE003852.1
FY484_RS11750,thrB,0,957,FY484_RS11750-MONOMER,,thrB
FY484_RS00605,VC_0119,113932,114715,FY484_RS00605-MONOMER,,AE003852.1
FY484_RS13810,atpB,0,813,FY484_RS13810-MONOMER,,atpB
FY484_RS02955,oadA-1,0,1788,FY484_RS02955-MONOMER,,oadA-1
FY484_RS16610,VC_A0513,442971,444186,FY484_RS16610-MONOMER,,AE003853.1
FY484_RS05025,yfcE,0,549,FY484_RS05025-MONOMER,,yfcE
FY484_RS18835,VC_A0985,934153,937033,FY484_RS18835-MONOMER,,AE003853.1
FY484_RS07480,VC_1485,1589365,1591060,FY484_RS07480-MONOMER,,AE003852.1
FY484_RS09610,clpP,0,627,FY484_RS09610-MONOMER,,clpP
FY484_RS11665,serB,0,981,FY484_RS11665-MONOMER,,serB
FY484_RS00520,fliL,0,504,FY484_RS00520-MONOMER,,fliL;FY484_RS10605
FY484_RS02835,VC_0532,563096,563723,FY484_RS02835-MONOMER,,AE003852.1
FY484_RS13745,VC_2757,2941478,2942111,FY484_RS13745-MONOMER,,AE003852.1
FY484_RS16485,VC_A0489,425871,426174,FY484_RS16485-MONOMER,,AE003853.1
FY484_RS04925,miaB,0,1425,FY484_RS04925-MONOMER,,miaB
FY484_RS18730,VC_A0962,911091,912300,FY484_RS18730-MONOMER,,AE003853.1
FY484_RS07345,VC_1460,1569698,1570982,FY484_RS07345-MONOMER,,AE003852.1
FY484_RS09525,lrp,0,495,FY484_RS09525-MONOMER,,lrp
FY484_RS11580,VC_2324,2477287,2478202,FY484_RS11580-MONOMER,,AE003852.1
FY484_RS00430,VC_0080,77858,79055,FY484_RS00430-MONOMER,,AE003852.1
FY484_RS02740,VC_0515,547157,548390,FY484_RS02740-MONOMER,,AE003852.1
FY484_RS13585,hslO,0,876,FY484_RS13585-MONOMER,,hslO
FY484_RS16370,higB2,0,333,FY484_RS16370-MONOMER,,higB2
FY484_RS04845,lipB,0,651,FY484_RS04845-MONOMER,,lipB
FY484_RS18660,speG,0,522,FY484_RS18660-MONOMER,,speG
FY484_RS07240,ccoQ,0,165,FY484_RS07240-MONOMER,,ccoQ
FY484_RS09440,mfd,0,3468,FY484_RS09440-MONOMER,,mfd
FY484_RS11480,VC_2299,2453445,2454030,FY484_RS11480-MONOMER,,AE003852.1
FY484_RS00335,thiC,0,1938,FY484_RS00335-MONOMER,,thiC
FY484_RS02630,VC_0493,527044,527920,FY484_RS02630-MONOMER,,AE003852.1
FY484_RS13505,nfuA,0,588,FY484_RS13505-MONOMER,,nfuA
FY484_RS16145,VC_A0436,394040,394556,FY484_RS16145-MONOMER,,AE003853.1
FY484_RS04745,vpsG,0,432,FY484_RS04745-MONOMER,,vpsG
FY484_RS18560,VC_A0926,879933,881031,FY484_RS18560-MONOMER,,AE003853.1
FY484_RS07155,vigA,0,735,FY484_RS07155-MONOMER,,vigA
FY484_RS09360,pflA,0,741,FY484_RS09360-MONOMER,,pflA
FY484_RS11395,rimK,0,906,FY484_RS11395-MONOMER,,rimK
FY484_RS00220,trkA,0,1377,FY484_RS00220-MONOMER,,trkA
FY484_RS02535,tkt,0,1998,FY484_RS02535-MONOMER,,tkt;FY484_RS02535
FY484_RS13415,dsbD,0,1803,FY484_RS13415-MONOMER,,dsbD
FY484_RS16005,VC_A0412,381044,381224,FY484_RS16005-MONOMER,,AE003853.1
FY484_RS04645,metQ,0,810,FY484_RS04645-MONOMER,,metQ
FY484_RS18470,VC_A0906,860946,862683,FY484_RS18470-MONOMER,,AE003853.1
FY484_RS07065,VC_1405,1496301,1498089,FY484_RS07065-MONOMER,,AE003852.1
FY484_RS09275,VC_1853,1991933,1992608,FY484_RS09275-MONOMER,,AE003852.1
FY484_RS11315,pgpA,0,510,FY484_RS11315-MONOMER,,pgpA
FY484_RS00110,VC_0022,20234,20837,FY484_RS00110-MONOMER,,AE003852.1
FY484_RS02455,VC_0457,488310,488742,FY484_RS02455-MONOMER,,AE003852.1
FY484_RS13325,metJ,0,318,FY484_RS13325-MONOMER,,metJ
FY484_RS15840,FY484_RS15840,0,510,FY484_RS15840-MONOMER,,FY484_RS15840
FY484_RS04565,truC,0,735,FY484_RS04565-MONOMER,,truC
FY484_RS18360,tdh,0,1026,FY484_RS18360-MONOMER,,tdh
FY484_RS06955,VC_1379,1471847,1472312,FY484_RS06955-MONOMER,,AE003852.1
FY484_RS09195,tolA,0,1071,FY484_RS09195-MONOMER,,tolA
FY484_RS11235,lpxA,0,789,FY484_RS11235-MONOMER,,lpxA
FY484_RS00015,mnmE,0,1362,FY484_RS00015-MONOMER,,mnmE
FY484_RS02330,folA,0,498,FY484_RS02330-MONOMER,,folA
FY484_RS13235,groL-1,0,1635,FY484_RS13235-MONOMER,,groL-1
FY484_RS15645,FY484_RS15645,0,111,FY484_RS15645-MONOMER,,FY484_RS15645
FY484_RS04475,mltF,0,1593,FY484_RS04475-MONOMER,,mltF
FY484_RS18230,VC_A0860,809268,811341,FY484_RS18230-MONOMER,,AE003853.1
FY484_RS06860,VC_1360,1448728,1449826,FY484_RS06860-MONOMER,,AE003852.1
FY484_RS09115,VC_1819,1959244,1960765,FY484_RS09115-MONOMER,,AE003852.1
FY484_RS11155,fadE,0,2445,FY484_RS11155-MONOMER,,fadE
FY484_RS02240,tldD,0,1446,FY484_RS02240-MONOMER,,tldD
FY484_RS13150,argB,0,789,FY484_RS13150-MONOMER,,argB
FY484_RS15525,VC_A0337,336030,337035,FY484_RS15525-MONOMER,,AE003853.1
FY484_RS04365,acfD,0,4563,FY484_RS04365-MONOMER,,acfD
FY484_RS18125,VC_A0834,779096,780050,FY484_RS18125-MONOMER,,AE003853.1
FY484_RS06770,VC_1340,1425841,1427740,FY484_RS06770-MONOMER,,AE003852.1
FY484_RS08975,VC_1792,1939913,1940273,FY484_RS08975-MONOMER,,AE003852.1
FY484_RS11070,VC_2212,2364506,2365205,FY484_RS11070-MONOMER,,AE003852.1
FY484_RS02150,mshN,0,1152,FY484_RS02150-MONOMER,,mshN
FY484_RS13070,VC_2626,2796911,2797745,FY484_RS13070-MONOMER,,AE003852.1
FY484_RS15375,VC_A0316,324551,325088,FY484_RS15375-MONOMER,,AE003853.1
FY484_RS04285,tcpB,0,1293,FY484_RS04285-MONOMER,,tcpB
FY484_RS18030,speB,0,930,FY484_RS18030-MONOMER,,speB
FY484_RS06685,VC_1321,1404752,1407824,FY484_RS06685-MONOMER,,AE003852.1
FY484_RS08880,VC_1772,1921884,1922745,FY484_RS08880-MONOMER,,AE003852.1
FY484_RS10985,flgG,0,789,FY484_RS10985-MONOMER,,flgG
FY484_RS02040,cysH,0,762,FY484_RS02040-MONOMER,,cysH
FY484_RS12985,VC_2608,2777244,2779239,FY484_RS12985-MONOMER,,AE003852.1
FY484_RS15220,FY484_RS15220,0,168,FY484_RS15220-MONOMER,,FY484_RS15220
FY484_RS04170,VC_0804,860218,860542,FY484_RS04170-MONOMER,,AE003852.1
FY484_RS17945,VC_A0795,738051,739008,FY484_RS17945-MONOMER,,AE003853.1
FY484_RS06590,pabB,0,1377,FY484_RS06590-MONOMER,,pabB
FY484_RS08780,VC_1751,1885669,1886548,FY484_RS08780-MONOMER,,AE003852.1
FY484_RS10825,VC_2177,2322522,2322906,FY484_RS10825-MONOMER,,AE003852.1
FY484_RS01950,priB,0,303,FY484_RS01950-MONOMER,,priB
FY484_RS12900,rpsS,0,279,FY484_RS12900-MONOMER,,rpsS
FY484_RS15095,VC_A0271,290165,290513,FY484_RS15095-MONOMER,,AE003853.1
