Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS13540-MONOMER	USA300HOU_RS13540	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS05825-MONOMER	USA300HOU_RS05825	alpha-hemolysin	CCI-EXTRACELLULAR-GP
USA300HOU_RS11790-MONOMER	USA300HOU_RS11790	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06510-MONOMER	USA300HOU_RS06510	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	CCI-CYTOSOL-GP
USA300HOU_RS12870-MONOMER	USA300HOU_RS12870	PTS sucrose transporter subunit IIBC	CCI-PM-BAC-POS-GP
USA300HOU_RS01245-MONOMER	USA300HOU_RS01245	L-lactate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS10615-MONOMER	USA300HOU_RS10615	phage tail tape measure protein	
CPLX1OEB-34	USA300HOU_RS01750 // USA300HOU_RS01760	predicted PEP-driven transporter of L-ascorbate	
USA300HOU_RS00425-MONOMER	USA300HOU_RS00425	sulfite exporter TauE/SafE family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10730-MONOMER	USA300HOU_RS10730	DUF1024 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14360-MONOMER	USA300HOU_RS14360	mannose-6-phosphate isomerase, class I	CCI-CYTOSOL-GP
USA300HOU_RS12775-MONOMER	USA300HOU_RS12775	hemin ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS00120-MONOMER	USA300HOU_RS00120	MBL fold metallo-hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS05710-MONOMER	USA300HOU_RS05710	colicin V production protein CvpA	CCI-PM-BAC-POS-GP
USA300HOU_RS01685-MONOMER	USA300HOU_RS01685	MurR/RpiR family transcriptional regulator	
USA300HOU_RS00450-MONOMER	USA300HOU_RS00450	universal stress protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05465-MONOMER	USA300HOU_RS05465	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	CCI-CYTOSOL-GP
USA300HOU_RS06390-MONOMER	USA300HOU_RS06390	hypothetical protein	
USA300HOU_RS07810-MONOMER	USA300HOU_RS07810	transcriptional activator RinB	CCI-PM-BAC-POS-GP
USA300HOU_RS04875-MONOMER	USA300HOU_RS04875	3-oxoacyl-ACP synthase III	CCI-CYTOSOL-GP
USA300HOU_RS03925-MONOMER	USA300HOU_RS03925	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13260-MONOMER	USA300HOU_RS13260	osmoprotectant ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08485-MONOMER	USA300HOU_RS08485	ribosome silencing factor	CCI-CYTOSOL-GP
USA300HOU_RS02080-MONOMER	USA300HOU_RS02080	type II toxin-antitoxin system PemK/MazF family toxin	
USA300HOU_RS13770-MONOMER	USA300HOU_RS13770	pyruvate oxidase	CCI-PM-BAC-POS-GP
USA300HOU_RS07460-MONOMER	USA300HOU_RS07460	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	CCI-CYTOSOL-GP
USA300HOU_RS03695-MONOMER	USA300HOU_RS03695	undecaprenyl-diphosphatase	CCI-PM-BAC-POS-GP
USA300HOU_RS11745-MONOMER	USA300HOU_RS11745	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS03395-MONOMER	USA300HOU_RS03395	cation:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS13515-MONOMER	USA300HOU_RS13515	hypothetical protein	
USA300HOU_RS04770-MONOMER	USA300HOU_RS04770	argininosuccinate synthase	CCI-CYTOSOL-GP
USA300HOU_RS08950-MONOMER	USA300HOU_RS08950	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	CCI-CYTOSOL-GP
USA300HOU_RS05195-MONOMER	USA300HOU_RS05195	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	CCI-CYTOSOL-GP
USA300HOU_RS13290-MONOMER	USA300HOU_RS13290	APC family permease	CCI-PM-BAC-POS-GP
USA300HOU_RS10960-MONOMER	USA300HOU_RS10960	accessory gene regulator AgrB	CCI-PM-BAC-POS-GP
USA300HOU_RS04345-MONOMER	USA300HOU_RS04345	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS03620-MONOMER	USA300HOU_RS03620	cupin	
USA300HOU_RS10115-MONOMER	USA300HOU_RS10115	aromatic acid exporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06340-MONOMER	USA300HOU_RS06340	UMP kinase	CCI-CYTOSOL-GP
USA300HOU_RS10790-MONOMER	USA300HOU_RS10790	hypothetical protein	
USA300HOU_RS02585-MONOMER	USA300HOU_RS02585	polysaccharide biosynthesis protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13155-MONOMER	USA300HOU_RS13155	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05840-MONOMER	USA300HOU_RS05840	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01040-MONOMER	USA300HOU_RS01040	hypothetical protein	
USA300HOU_RS08700-MONOMER	USA300HOU_RS08700	adenine phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11860-MONOMER	USA300HOU_RS11860	alpha/beta hydrolase	
USA300HOU_RS14905-MONOMER	USA300HOU_RS14905	hypothetical protein	
USA300HOU_RS00295-MONOMER	USA300HOU_RS00295	hypothetical protein	
USA300HOU_RS12905-MONOMER	USA300HOU_RS12905	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS14610-MONOMER	USA300HOU_RS14610	PadR family transcriptional regulator	
USA300HOU_RS06085-MONOMER	USA300HOU_RS06085	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	CCI-CYTOSOL-GP
USA300HOU_RS11390-MONOMER	USA300HOU_RS11390	ATP synthase subunit A	CCI-PM-BAC-POS-GP
USA300HOU_RS07745-MONOMER	USA300HOU_RS07745	phage gp6-like head-tail connector protein	CCI-CYTOSOL-GP
USA300HOU_RS01925-MONOMER	USA300HOU_RS01925	redox-regulated ATPase YchF	CCI-CYTOSOL-GP
USA300HOU_RS07535-MONOMER	USA300HOU_RS07535	DNA-binding protein HU	CCI-CYTOSOL-GP
USA300HOU_RS06150-MONOMER	USA300HOU_RS06150	50S ribosomal protein L28	CCI-CYTOSOL-GP
USA300HOU_RS08940-MONOMER	USA300HOU_RS08940	aldehyde dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS07000-MONOMER	USA300HOU_RS07000	glycine glycyltransferase FemB	CCI-CYTOSOL-GP
USA300HOU_RS03495-MONOMER	USA300HOU_RS03495	YitT family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01710-MONOMER	USA300HOU_RS01710	NADH-dependent flavin oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS09500-MONOMER	USA300HOU_RS09500	phosphoenolpyruvate carboxykinase (ATP)	CCI-CYTOSOL-GP
USA300HOU_RS05290-MONOMER	USA300HOU_RS05290	DUF5011 domain-containing protein	
USA300HOU_RS02305-MONOMER	USA300HOU_RS02305	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS09280-MONOMER	USA300HOU_RS09280	MBL fold metallo-hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS00945-MONOMER	USA300HOU_RS00945	non-ribosomal peptide synthetase	
USA300HOU_RS09815-MONOMER	USA300HOU_RS09815	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00395-MONOMER	USA300HOU_RS00395	DUF1541 domain-containing protein	
USA300HOU_RS06535-MONOMER	USA300HOU_RS06535	glycerol-3-phosphate responsive antiterminator	CCI-CYTOSOL-GP
USA300HOU_RS10430-MONOMER	USA300HOU_RS10430	hypothetical protein	
USA300HOU_RS14445-MONOMER	USA300HOU_RS14445	flavin reductase family protein	
USA300HOU_RS12785-MONOMER	USA300HOU_RS12785	two-component sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS00335-MONOMER	USA300HOU_RS00335	universal stress protein	CCI-CYTOSOL-GP
USA300HOU_RS00460-MONOMER	USA300HOU_RS00460	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13785-MONOMER	USA300HOU_RS13785	LysR family transcriptional regulator	
USA300HOU_RS01070-MONOMER	USA300HOU_RS01070	gamma-glutamyltransferase	CCI-EXTRACELLULAR-GP
USA300HOU_RS13040-MONOMER	USA300HOU_RS13040	amino acid ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02945-MONOMER	USA300HOU_RS02945	serine-aspartate repeat-containing protein C	CCI-CW-BAC-POS-GP
USA300HOU_RS05670-MONOMER	USA300HOU_RS05670	SrtB family sortase	
USA300HOU_RS03400-MONOMER	USA300HOU_RS03400	Na+/H+ antiporter subunit E	CCI-PM-BAC-POS-GP
USA300HOU_RS07580-MONOMER	USA300HOU_RS07580	FAD-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS12235-MONOMER	USA300HOU_RS12235	AcrB/AcrD/AcrF family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09540-MONOMER	USA300HOU_RS09540	calcium-binding protein	
USA300HOU_RS07005-MONOMER	USA300HOU_RS07005	Cof-type HAD-IIB family hydrolase	CCI-CYTOSOL-GP
CPLX1OEB-26	USA300HOU_RS05485 // USA300HOU_RS05500	predicted ABC transporter of spermidine/putrescine	
USA300HOU_RS00750-MONOMER	USA300HOU_RS00750	phosphonates import ATP-binding protein PhnC	CCI-PM-BAC-POS-GP
USA300HOU_RS12310-MONOMER	USA300HOU_RS12310	molybdopterin molybdenumtransferase	CCI-CYTOSOL-GP
USA300HOU_RS05565-MONOMER	USA300HOU_RS05565	heme A synthase	
USA300HOU_RS00060-MONOMER	USA300HOU_RS00060	homoserine O-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS09525-MONOMER	USA300HOU_RS09525	o-succinylbenzoate synthase	CCI-CYTOSOL-GP
USA300HOU_RS05910-MONOMER	USA300HOU_RS05910	hypothetical protein	
USA300HOU_RS12755-MONOMER	USA300HOU_RS12755	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS09640-MONOMER	USA300HOU_RS09640	serine protease SplD	CCI-EXTRACELLULAR-GP
USA300HOU_RS01205-MONOMER	USA300HOU_RS01205	long-chain fatty acid--CoA ligase	CCI-CYTOSOL-GP
USA300HOU_RS06050-MONOMER	USA300HOU_RS06050	orotidine-5'-phosphate decarboxylase	CCI-CYTOSOL-GP
USA300HOU_RS08555-MONOMER	USA300HOU_RS08555	acetyl-CoA carboxylase biotin carboxylase subunit	CCI-CYTOSOL-GP
USA300HOU_RS07440-MONOMER	USA300HOU_RS07440	asparagine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS08205-MONOMER	USA300HOU_RS08205	aminomethyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS14580-MONOMER	USA300HOU_RS14580	DNA-directed RNA polymerase subunit delta	CCI-CYTOSOL-GP
USA300HOU_RS06735-MONOMER	USA300HOU_RS06735	hypothetical protein	
USA300HOU_RS03000-MONOMER	USA300HOU_RS03000	HAD family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS07345-MONOMER	USA300HOU_RS07345	quinolone resistance protein NorB	CCI-PM-BAC-POS-GP
USA300HOU_RS10590-MONOMER	USA300HOU_RS10590	DUF2951 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05365-MONOMER	USA300HOU_RS05365	thiamine ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS14870-MONOMER	USA300HOU_RS14870	transposase	CCI-CYTOSOL-GP
USA300HOU_RS09555-MONOMER	USA300HOU_RS09555	DUF3969 domain-containing protein	
USA300HOU_RS01610-MONOMER	USA300HOU_RS01610	cystatin-like fold lipoprotein	CCI-CYTOSOL-GP
USA300HOU_RS03990-MONOMER	USA300HOU_RS03990	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10735-MONOMER	USA300HOU_RS10735	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03900-MONOMER	USA300HOU_RS03900	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01795-MONOMER	USA300HOU_RS01795	LLM class flavin-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS08405-MONOMER	USA300HOU_RS08405	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB	CCI-CYTOSOL-GP
USA300HOU_RS11135-MONOMER	USA300HOU_RS11135	SprT family protein	CCI-CYTOSOL-GP
USA300HOU_RS08885-MONOMER	USA300HOU_RS08885	NUDIX domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS10340-MONOMER	USA300HOU_RS10340	DNA ligase (NAD(+)) LigA	CCI-CYTOSOL-GP
USA300HOU_RS14625-MONOMER	USA300HOU_RS14625	EamA family transporter RarD	CCI-PM-BAC-POS-GP
USA300HOU_RS14785-MONOMER	USA300HOU_RS14785	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07740-MONOMER	USA300HOU_RS07740	hypothetical protein	
USA300HOU_RS01435-MONOMER	USA300HOU_RS01435	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS01475-MONOMER	USA300HOU_RS01475	DUF5080 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04010-MONOMER	USA300HOU_RS04010	bacillithiol system redox-active protein YtxJ	
USA300HOU_RS01300-MONOMER	USA300HOU_RS01300	galactitol-1-phosphate 5-dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13910-MONOMER	USA300HOU_RS13910	4,4'-diaponeurosporenoate glycosyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13730-MONOMER	USA300HOU_RS13730	L-serine ammonia-lyase, iron-sulfur-dependent, subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS14365-MONOMER	USA300HOU_RS14365	YhgE/Pip domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06610-MONOMER	USA300HOU_RS06610	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12440-MONOMER	USA300HOU_RS12440	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS15165-MONOMER	USA300HOU_RS15165	hypothetical protein	
USA300HOU_RS06385-MONOMER	USA300HOU_RS06385	DUF448 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12890-MONOMER	USA300HOU_RS12890	DUF4889 domain-containing protein	
USA300HOU_RS01490-MONOMER	USA300HOU_RS01490	type VII secretion protein EsaA	CCI-PM-BAC-POS-GP
USA300HOU_RS04205-MONOMER	USA300HOU_RS04205	enolase	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
USA300HOU_RS06730-MONOMER	USA300HOU_RS06730	thermonuclease	CCI-EXTRACELLULAR-GP
USA300HOU_RS15320-MONOMER	USA300HOU_RS15320	hypothetical protein	
USA300HOU_RS10345-MONOMER	USA300HOU_RS10345	DNA helicase PcrA	CCI-CYTOSOL-GP
USA300HOU_RS13510-MONOMER	USA300HOU_RS13510	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12915-MONOMER	USA300HOU_RS12915	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS14315-MONOMER	USA300HOU_RS14315	ornithine carbamoyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11775-MONOMER	USA300HOU_RS11775	iron-dicitrate ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS14655-MONOMER	USA300HOU_RS14655	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS06555-MONOMER	USA300HOU_RS06555	alpha/beta hydrolase	CCI-PM-BAC-POS-GP
USA300HOU_RS07560-MONOMER	USA300HOU_RS07560	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04515-MONOMER	USA300HOU_RS04515	Fe-S cluster assembly ATPase SufC	CCI-CYTOSOL-GP
USA300HOU_RS05660-MONOMER	USA300HOU_RS05660	heme uptake system protein IsdE	CCI-CYTOSOL-GP
USA300HOU_RS10795-MONOMER	USA300HOU_RS10795	DUF1270 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03230-MONOMER	USA300HOU_RS03230	arginine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS04305-MONOMER	USA300HOU_RS04305	hypothetical protein	
USA300HOU_RS05305-MONOMER	USA300HOU_RS05305	5-(carboxyamino)imidazole ribonucleotide synthase	CCI-PM-BAC-POS-GP
USA300HOU_RS04215-MONOMER	USA300HOU_RS04215	protein-export membrane protein SecG	CCI-PM-BAC-POS-GP
USA300HOU_RS07220-MONOMER	USA300HOU_RS07220	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS09130-MONOMER	USA300HOU_RS09130	glycerophosphoryl diester phosphodiesterase	CCI-CYTOSOL-GP
USA300HOU_RS01225-MONOMER	USA300HOU_RS01225	DUF488 domain-containing protein	
USA300HOU_RS12265-MONOMER	USA300HOU_RS12265	HTH-type transcriptional regulator SarV	CCI-CYTOSOL-GP
USA300HOU_RS11050-MONOMER	USA300HOU_RS11050	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	
USA300HOU_RS14880-MONOMER	USA300HOU_RS14880	transcriptional regulator	
USA300HOU_RS10355-MONOMER	USA300HOU_RS10355	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05450-MONOMER	USA300HOU_RS05450	cell-wall-binding lipoprotein	
USA300HOU_RS15545-MONOMER	USA300HOU_RS15545	hypothetical protein	
USA300HOU_RS05460-MONOMER	USA300HOU_RS05460	pyruvate dehydrogenase E1 component subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS15610-MONOMER	USA300HOU_RS15610	DUF2648 domain-containing protein	
USA300HOU_RS07105-MONOMER	USA300HOU_RS07105	4-hydroxy-tetrahydrodipicolinate synthase	CCI-CYTOSOL-GP
USA300HOU_RS13350-MONOMER	USA300HOU_RS13350	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS02915-MONOMER	USA300HOU_RS02915	HAD family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS03825-MONOMER	USA300HOU_RS03825	hypothetical protein	
USA300HOU_RS03065-MONOMER	USA300HOU_RS03065	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11755-MONOMER	USA300HOU_RS11755	uridylyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS13875-MONOMER	USA300HOU_RS13875	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10975-MONOMER	USA300HOU_RS10975	DNA-binding response regulator	CCI-CYTOSOL-GP
CPLX1OEB-7	USA300HOU_RS06985 // USA300HOU_RS06990	tryptophan synthase	
USA300HOU_RS06870-MONOMER	USA300HOU_RS06870	aconitate hydratase	CCI-CYTOSOL-GP
USA300HOU_RS00600-MONOMER	USA300HOU_RS00600	iron-siderophore ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02270-MONOMER	USA300HOU_RS02270	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07415-MONOMER	USA300HOU_RS07415	Holliday junction resolvase RecU	
USA300HOU_RS05515-MONOMER	USA300HOU_RS05515	divalent metal cation transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS09200-MONOMER	USA300HOU_RS09200	acetate--CoA ligase	CCI-CYTOSOL-GP
USA300HOU_RS05240-MONOMER	USA300HOU_RS05240	bifunctional autolysin	CCI-EXTRACELLULAR-GP
USA300HOU_RS12940-MONOMER	USA300HOU_RS12940	GAF domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15155-MONOMER	USA300HOU_RS15155	hypothetical protein	
USA300HOU_RS10545-MONOMER	USA300HOU_RS10545	hypothetical protein	
USA300HOU_RS07960-MONOMER	USA300HOU_RS07960	site-specific integrase	
USA300HOU_RS09575-MONOMER	USA300HOU_RS09575	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01375-MONOMER	USA300HOU_RS01375	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09780-MONOMER	USA300HOU_RS09780	hypothetical protein	
USA300HOU_RS01530-MONOMER	USA300HOU_RS01530	hypothetical protein	
USA300HOU_RS13295-MONOMER	USA300HOU_RS13295	carboxylesterase/lipase family protein	CCI-CYTOSOL-GP
USA300HOU_RS13485-MONOMER	USA300HOU_RS13485	tandem-type lipoprotein	
USA300HOU_RS14760-MONOMER	USA300HOU_RS14760	MarR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS02900-MONOMER	USA300HOU_RS02900	ribulokinase	CCI-CYTOSOL-GP
USA300HOU_RS07855-MONOMER	USA300HOU_RS07855	DUF3310 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01860-MONOMER	USA300HOU_RS01860	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06525-MONOMER	USA300HOU_RS06525	DNA mismatch repair protein MutS	CCI-CYTOSOL-GP
USA300HOU_RS05975-MONOMER	USA300HOU_RS05975	cell division protein SepF	CCI-CYTOSOL-GP
USA300HOU_RS06740-MONOMER	USA300HOU_RS06740	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06065-MONOMER	USA300HOU_RS06065	VOC family protein	
USA300HOU_RS13130-MONOMER	USA300HOU_RS13130	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	CCI-CYTOSOL-GP
USA300HOU_RS05720-MONOMER	USA300HOU_RS05720	endonuclease MutS2	CCI-CYTOSOL-GP
USA300HOU_RS08870-MONOMER	USA300HOU_RS08870	trigger factor	CCI-CYTOSOL-GP
USA300HOU_RS15450-MONOMER	USA300HOU_RS15450	putative holin-like toxin	
USA300HOU_RS06175-MONOMER	USA300HOU_RS06175	phosphate acyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02790-MONOMER	USA300HOU_RS02790	cysteine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS01165-MONOMER	USA300HOU_RS01165	glycerophosphoryl diester phosphodiesterase	CCI-PM-BAC-POS-GP
USA300HOU_RS12430-MONOMER	USA300HOU_RS12430	transcriptional regulator	
USA300HOU_RS14030-MONOMER	USA300HOU_RS14030	TIGR04197 family type VII secretion effector	
USA300HOU_RS01945-MONOMER	USA300HOU_RS01945	30S ribosomal protein S18	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS03200-MONOMER	USA300HOU_RS03200	N-acetyltransferase	
USA300HOU_RS07705-MONOMER	USA300HOU_RS07705	phage tail tape measure protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS07720-MONOMER	USA300HOU_RS07720	tail protein	
USA300HOU_RS08455-MONOMER	USA300HOU_RS08455	30S ribosomal protein S20	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS02035-MONOMER	USA300HOU_RS02035	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06445-MONOMER	USA300HOU_RS06445	insulinase family protein	
USA300HOU_RS06420-MONOMER	USA300HOU_RS06420	polyribonucleotide nucleotidyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00765-MONOMER	USA300HOU_RS00765	bifunctional metallophosphatase/5'-nucleotidase	CCI-CW-BAC-POS-GP
USA300HOU_RS01900-MONOMER	USA300HOU_RS01900	PLP-dependent transferase	CCI-CYTOSOL-GP
USA300HOU_RS08035-MONOMER	USA300HOU_RS08035	pyrroline-5-carboxylate reductase	CCI-CYTOSOL-GP
USA300HOU_RS00760-MONOMER	USA300HOU_RS00760	hypothetical protein	
USA300HOU_RS10830-MONOMER	USA300HOU_RS10830	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13235-MONOMER	USA300HOU_RS13235	NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS09045-MONOMER	USA300HOU_RS09045	universal stress protein	
USA300HOU_RS14510-MONOMER	USA300HOU_RS14510	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	CCI-CYTOSOL-GP
USA300HOU_RS06575-MONOMER	USA300HOU_RS06575	GTPase HflX	CCI-CYTOSOL-GP
USA300HOU_RS04395-MONOMER	USA300HOU_RS04395	topiosmerase	CCI-CYTOSOL-GP
USA300HOU_RS05900-MONOMER	USA300HOU_RS05900	beta-class phenol-soluble modulin	
USA300HOU_RS12860-MONOMER	USA300HOU_RS12860	TetR/AcrR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS07625-MONOMER	USA300HOU_RS07625	hypothetical protein	
USA300HOU_RS03125-MONOMER	USA300HOU_RS03125	DUF443 domain-containing protein	
USA300HOU_RS04455-MONOMER	USA300HOU_RS04455	hypothetical protein	
USA300HOU_RS12110-MONOMER	USA300HOU_RS12110	30S ribosomal protein S14 type Z	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS08730-MONOMER	USA300HOU_RS08730	Holliday junction branch migration DNA helicase RuvB	CCI-CYTOSOL-GP
USA300HOU_RS03275-MONOMER	USA300HOU_RS03275	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS13165-MONOMER	USA300HOU_RS13165	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03060-MONOMER	USA300HOU_RS03060	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08310-MONOMER	USA300HOU_RS08310	endonuclease	CCI-CYTOSOL-GP
USA300HOU_RS08385-MONOMER	USA300HOU_RS08385	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00020-MONOMER	USA300HOU_RS00020	DNA replication and repair protein RecF	CCI-CYTOSOL-GP
USA300HOU_RS02185-MONOMER	USA300HOU_RS02185	hypothetical protein	
USA300HOU_RS04795-MONOMER	USA300HOU_RS04795	ATP-dependent helicase/deoxyribonuclease subunit B	CCI-CYTOSOL-GP
USA300HOU_RS02130-MONOMER	USA300HOU_RS02130	superantigen-like protein SSL5	CCI-EXTRACELLULAR-GP
USA300HOU_RS13390-MONOMER	USA300HOU_RS13390	diaminopimelate epimerase	
USA300HOU_RS14195-MONOMER	USA300HOU_RS14195	anaerobic ribonucleoside-triphosphate reductase activating protein	CCI-CYTOSOL-GP
USA300HOU_RS12510-MONOMER	USA300HOU_RS12510	inositol monophosphatase	CCI-CYTOSOL-GP
USA300HOU_RS14560-MONOMER	USA300HOU_RS14560	N-acetyltransferase	
USA300HOU_RS09680-MONOMER	USA300HOU_RS09680	bacitracin ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08130-MONOMER	USA300HOU_RS08130	polyprenyl synthetase family protein	CCI-CYTOSOL-GP
USA300HOU_RS15150-MONOMER	USA300HOU_RS15150	hypothetical protein	
USA300HOU_RS02055-MONOMER	USA300HOU_RS02055	xanthine phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS12965-MONOMER	USA300HOU_RS12965	uroporphyrinogen-III C-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS15540-MONOMER	USA300HOU_RS15540	peptidase	
USA300HOU_RS07335-MONOMER	USA300HOU_RS07335	ribonuclease H	CCI-CW-BAC-POS-GP
USA300HOU_RS11995-MONOMER	USA300HOU_RS11995	hypothetical protein	
USA300HOU_RS09920-MONOMER	USA300HOU_RS09920	epoxyqueuosine reductase	
USA300HOU_RS11945-MONOMER	USA300HOU_RS11945	M23 family peptidase	
