Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS04060-MONOMER	USA300HOU_RS04060	ComF family protein	CCI-CYTOSOL-GP
CPLX1OEB-29	USA300HOU_RS01090 // USA300HOU_RS01100	predicted ABC transporter of a sugar	
USA300HOU_RS15325-MONOMER	USA300HOU_RS15325	hypothetical protein	
USA300HOU_RS01735-MONOMER	USA300HOU_RS01735	deacetylase SIR2	CCI-CYTOSOL-GP
USA300HOU_RS07300-MONOMER	USA300HOU_RS07300	BrxA/BrxB family bacilliredoxin	CCI-CYTOSOL-GP
USA300HOU_RS12365-MONOMER	USA300HOU_RS12365	ferrichrome ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04545-MONOMER	USA300HOU_RS04545	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12605-MONOMER	USA300HOU_RS12605	amidohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS11065-MONOMER	USA300HOU_RS11065	acetolactate synthase, large subunit, biosynthetic type	CCI-CYTOSOL-GP
USA300HOU_RS09930-MONOMER	USA300HOU_RS09930	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS15420-MONOMER	USA300HOU_RS15420	hypothetical protein	
USA300HOU_RS06630-MONOMER	USA300HOU_RS06630	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03440-MONOMER	USA300HOU_RS03440	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04970-MONOMER	USA300HOU_RS04970	hypothetical protein	
USA300HOU_RS01035-MONOMER	USA300HOU_RS01035	hypothetical protein	
USA300HOU_RS11735-MONOMER	USA300HOU_RS11735	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS03005-MONOMER	USA300HOU_RS03005	proline/betaine transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS06865-MONOMER	USA300HOU_RS06865	BCCT family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08175-MONOMER	USA300HOU_RS08175	hypothetical protein	
USA300HOU_RS02800-MONOMER	USA300HOU_RS02800	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	CCI-CYTOSOL-GP
USA300HOU_RS08740-MONOMER	USA300HOU_RS08740	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12020-MONOMER	USA300HOU_RS12020	tRNA pseudouridine(38-40) synthase TruA	CCI-CYTOSOL-GP
USA300HOU_RS07285-MONOMER	USA300HOU_RS07285	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14965-MONOMER	USA300HOU_RS14965	hypothetical protein	
USA300HOU_RS02245-MONOMER	USA300HOU_RS02245	hypothetical protein	
USA300HOU_RS09625-MONOMER	USA300HOU_RS09625	hypothetical protein	
USA300HOU_RS13560-MONOMER	USA300HOU_RS13560	hypothetical protein	
USA300HOU_RS06485-MONOMER	USA300HOU_RS06485	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS01650-MONOMER	USA300HOU_RS01650	PTS sugar transporter subunit IIC	
USA300HOU_RS14390-MONOMER	USA300HOU_RS14390	accessory Sec system glycosyltransferase GtfA	
USA300HOU_RS15000-MONOMER	USA300HOU_RS15000	NADH dehydrogenase	
USA300HOU_RS12375-MONOMER	USA300HOU_RS12375	urea transporter	
USA300HOU_RS02460-MONOMER	USA300HOU_RS02460	hypothetical protein	
USA300HOU_RS06225-MONOMER	USA300HOU_RS06225	30S ribosomal protein S16	CCI-CYTOSOL-GP
USA300HOU_RS03920-MONOMER	USA300HOU_RS03920	lipid kinase	
USA300HOU_RS12725-MONOMER	USA300HOU_RS12725	HlyD family secretion protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08565-MONOMER	USA300HOU_RS08565	allophanate hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS13945-MONOMER	USA300HOU_RS13945	PTS transporter subunit IIC	CCI-PM-BAC-POS-GP
USA300HOU_RS01005-MONOMER	USA300HOU_RS01005	DUF871 domain-containing protein	
USA300HOU_RS02090-MONOMER	USA300HOU_RS02090	hypothetical protein	
USA300HOU_RS05205-MONOMER	USA300HOU_RS05205	saureusostatin B	CCI-CYTOSOL-GP
USA300HOU_RS03190-MONOMER	USA300HOU_RS03190	aldo/keto reductase	CCI-CYTOSOL-GP
USA300HOU_RS10385-MONOMER	USA300HOU_RS10385	NAD(+) synthetase	CCI-CYTOSOL-GP
USA300HOU_RS09795-MONOMER	USA300HOU_RS09795	uroporphyrinogen decarboxylase	CCI-CYTOSOL-GP
USA300HOU_RS10970-MONOMER	USA300HOU_RS10970	ATP-binding protein	
USA300HOU_RS00625-MONOMER	USA300HOU_RS00625	IucA/IucC family siderophore biosynthesis protein	CCI-CYTOSOL-GP
USA300HOU_RS09055-MONOMER	USA300HOU_RS09055	dipeptidase	CCI-CYTOSOL-GP
USA300HOU_RS05835-MONOMER	USA300HOU_RS05835	hypothetical protein	
USA300HOU_RS10260-MONOMER	USA300HOU_RS10260	hypothetical protein	
USA300HOU_RS01520-MONOMER	USA300HOU_RS01520	virulence factor EsxB	CCI-EXTRACELLULAR-GP
USA300HOU_RS15280-MONOMER	USA300HOU_RS15280	hypothetical protein	
USA300HOU_RS09340-MONOMER	USA300HOU_RS09340	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04350-MONOMER	USA300HOU_RS04350	organic hydroperoxide reductase OsmC/OhrA	
USA300HOU_RS04605-MONOMER	USA300HOU_RS04605	D-glycerate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS01360-MONOMER	USA300HOU_RS01360	antiholin-like protein LrgA	CCI-PM-BAC-POS-GP
USA300HOU_RS00910-MONOMER	USA300HOU_RS00910	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15065-MONOMER	USA300HOU_RS15065	hypothetical protein	
USA300HOU_RS07610-MONOMER	USA300HOU_RS07610	ECF transporter S component	CCI-PM-BAC-POS-GP
USA300HOU_RS05155-MONOMER	USA300HOU_RS05155	DoxX family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04460-MONOMER	USA300HOU_RS04460	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14110-MONOMER	USA300HOU_RS14110	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12700-MONOMER	USA300HOU_RS12700	3-hydroxyacyl-CoA dehydrogenase	
USA300HOU_RS02980-MONOMER	USA300HOU_RS02980	DUF1806 domain-containing protein	
USA300HOU_RS06885-MONOMER	USA300HOU_RS06885	glycerol-3-phosphate acyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS03110-MONOMER	USA300HOU_RS03110	Rrf2 family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS12980-MONOMER	USA300HOU_RS12980	sirohydrochlorin chelatase	CCI-CYTOSOL-GP
USA300HOU_RS14310-MONOMER	USA300HOU_RS14310	arginine-ornithine antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS09675-MONOMER	USA300HOU_RS09675	lantibiotic immunity ABC transporter MutE/EpiE family permease subunit	CCI-PM-BAC-POS-GP
USA300HOU_RS04805-MONOMER	USA300HOU_RS04805	FAA hydrolase family protein	CCI-CYTOSOL-GP
USA300HOU_RS13170-MONOMER	USA300HOU_RS13170	GtrA family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12220-MONOMER	USA300HOU_RS12220	AEC family transporter	
USA300HOU_RS11015-MONOMER	USA300HOU_RS11015	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS09535-MONOMER	USA300HOU_RS09535	hypothetical protein	
USA300HOU_RS00685-MONOMER	USA300HOU_RS00685	glycosyltransferase family 1 protein	CCI-CYTOSOL-GP
USA300HOU_RS07680-MONOMER	USA300HOU_RS07680	DUF2479 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS08115-MONOMER	USA300HOU_RS08115	dihydrolipoyl dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS11350-MONOMER	USA300HOU_RS11350	hypothetical protein	
USA300HOU_RS12960-MONOMER	USA300HOU_RS12960	nitrate reductase subunit alpha	CCI-PM-BAC-POS-GP
USA300HOU_RS06425-MONOMER	USA300HOU_RS06425	ribonuclease J 2	CCI-CYTOSOL-GP
USA300HOU_RS08705-MONOMER	USA300HOU_RS08705	single-stranded-DNA-specific exonuclease RecJ	
USA300HOU_RS08625-MONOMER	USA300HOU_RS08625	tetratricopeptide repeat protein	CCI-CYTOSOL-GP
USA300HOU_RS00280-MONOMER	USA300HOU_RS00280	hypothetical protein	
USA300HOU_RS07495-MONOMER	USA300HOU_RS07495	3-dehydroquinate synthase	CCI-CYTOSOL-GP
USA300HOU_RS08300-MONOMER	USA300HOU_RS08300	metal ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS07035-MONOMER	USA300HOU_RS07035	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01940-MONOMER	USA300HOU_RS01940	single-stranded DNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS15125-MONOMER	USA300HOU_RS15125	hypothetical protein	
USA300HOU_RS06780-MONOMER	USA300HOU_RS06780	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS07405-MONOMER	USA300HOU_RS07405	DUF1798 domain-containing protein	
USA300HOU_RS00110-MONOMER	USA300HOU_RS00110	hypothetical protein	
USA300HOU_RS03625-MONOMER	USA300HOU_RS03625	hypothetical protein	
USA300HOU_RS02025-MONOMER	USA300HOU_RS02025	NADPH-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS06840-MONOMER	USA300HOU_RS06840	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS15620-MONOMER	USA300HOU_RS15620	hypothetical protein	
USA300HOU_RS03290-MONOMER	USA300HOU_RS03290	transposase	CCI-CYTOSOL-GP
USA300HOU_RS00305-MONOMER	USA300HOU_RS00305	carbamate kinase	
USA300HOU_RS00895-MONOMER	USA300HOU_RS00895	cation transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05425-MONOMER	USA300HOU_RS05425	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13465-MONOMER	USA300HOU_RS13465	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00955-MONOMER	USA300HOU_RS00955	DUF1440 domain-containing protein	
USA300HOU_RS13105-MONOMER	USA300HOU_RS13105	bi-component gamma-hemolysin HlgAB/HlgCB subunit B	CCI-EXTRACELLULAR-GP
USA300HOU_RS13620-MONOMER	USA300HOU_RS13620	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05170-MONOMER	USA300HOU_RS05170	NINE protein	
USA300HOU_RS08880-MONOMER	USA300HOU_RS08880	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02320-MONOMER	USA300HOU_RS02320	cystathionine gamma-synthase	CCI-CYTOSOL-GP
USA300HOU_RS00870-MONOMER	USA300HOU_RS00870	nucleotide sugar dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13725-MONOMER	USA300HOU_RS13725	L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS07760-MONOMER	USA300HOU_RS07760	phage portal protein	
USA300HOU_RS05285-MONOMER	USA300HOU_RS05285	hypothetical protein	
USA300HOU_RS03235-MONOMER	USA300HOU_RS03235	endonuclease III domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS02450-MONOMER	USA300HOU_RS02450	aminotransferase class V-fold PLP-dependent enzyme	CCI-CYTOSOL-GP
USA300HOU_RS04405-MONOMER	USA300HOU_RS04405	methionine import ATP-binding protein MetN 2	CCI-PM-BAC-POS-GP
USA300HOU_RS03735-MONOMER	USA300HOU_RS03735	deoxyribodipyrimidine photo-lyase	CCI-CYTOSOL-GP
USA300HOU_RS08650-MONOMER	USA300HOU_RS08650	CsbD family protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS03705-MONOMER	USA300HOU_RS03705	amino acid ABC transporter ATP-binding/permease protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07895-MONOMER	USA300HOU_RS07895	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05765-MONOMER	USA300HOU_RS05765	metallophosphoesterase	CCI-CYTOSOL-GP
USA300HOU_RS10700-MONOMER	USA300HOU_RS10700	transcriptional activator RinB	CCI-PM-BAC-POS-GP
USA300HOU_RS13020-MONOMER	USA300HOU_RS13020	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06230-MONOMER	USA300HOU_RS06230	ribosome maturation factor RimM	CCI-CYTOSOL-GP
USA300HOU_RS11280-MONOMER	USA300HOU_RS11280	hypothetical protein	
USA300HOU_RS10360-MONOMER	USA300HOU_RS10360	adenylosuccinate lyase	CCI-CYTOSOL-GP
USA300HOU_RS11660-MONOMER	USA300HOU_RS11660	YbbR-like domain-containing protein	
USA300HOU_RS08985-MONOMER	USA300HOU_RS08985	citrate synthase	CCI-CYTOSOL-GP
USA300HOU_RS11910-MONOMER	USA300HOU_RS11910	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10725-MONOMER	USA300HOU_RS10725	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00390-MONOMER	USA300HOU_RS00390	copper-translocating P-type ATPase	CCI-PM-BAC-POS-GP
USA300HOU_RS13185-MONOMER	USA300HOU_RS13185	Bcr/CflA family drug resistance efflux transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04915-MONOMER	USA300HOU_RS04915	ABC transporter substrate-binding protein	CCI-CW-BAC-POS-GP
USA300HOU_RS04645-MONOMER	USA300HOU_RS04645	DUF1462 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS02050-MONOMER	USA300HOU_RS02050	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03305-MONOMER	USA300HOU_RS03305	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS03790-MONOMER	USA300HOU_RS03790	N-acetylglucosamine-6-phosphate deacetylase	CCI-CYTOSOL-GP
USA300HOU_RS02340-MONOMER	USA300HOU_RS02340	N-acetylmuramoyl-L-alanine amidase	CCI-CW-BAC-POS-GP
USA300HOU_RS00540-MONOMER	USA300HOU_RS00540	amidohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS03365-MONOMER	USA300HOU_RS03365	DUF2922 domain-containing protein	
USA300HOU_RS15120-MONOMER	USA300HOU_RS15120	hypothetical protein	
USA300HOU_RS01200-MONOMER	USA300HOU_RS01200	glutaryl-CoA dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS06935-MONOMER	USA300HOU_RS06935	regulatory protein MsrR	CCI-PM-BAC-POS-GP
USA300HOU_RS14455-MONOMER	USA300HOU_RS14455	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11295-MONOMER	USA300HOU_RS11295	thiamine phosphate synthase	CCI-CYTOSOL-GP
USA300HOU_RS07615-MONOMER	USA300HOU_RS07615	hypothetical protein	
USA300HOU_RS12705-MONOMER	USA300HOU_RS12705	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12975-MONOMER	USA300HOU_RS12975	nitrite reductase large subunit	CCI-CYTOSOL-GP
USA300HOU_RS14330-MONOMER	USA300HOU_RS14330	ArgR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS12345-MONOMER	USA300HOU_RS12345	sulfurtransferase FdhD	CCI-CYTOSOL-GP
USA300HOU_RS09520-MONOMER	USA300HOU_RS09520	membrane protein insertion efficiency factor YidD	CCI-PM-BAC-POS-GP
USA300HOU_RS14240-MONOMER	USA300HOU_RS14240	hypothetical protein	
USA300HOU_RS12685-MONOMER	USA300HOU_RS12685	sodium/glutamate symporter	CCI-PM-BAC-POS-GP
USA300HOU_RS00990-MONOMER	USA300HOU_RS00990	indolepyruvate decarboxylase	CCI-CYTOSOL-GP
USA300HOU_RS13550-MONOMER	USA300HOU_RS13550	fibronectin-binding protein A	CCI-CW-BAC-POS-GP
USA300HOU_RS06905-MONOMER	USA300HOU_RS06905	alanine:cation symporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08040-MONOMER	USA300HOU_RS08040	ribonuclease Z	CCI-CYTOSOL-GP
USA300HOU_RS06130-MONOMER	USA300HOU_RS06130	serine/threonine protein kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS09240-MONOMER	USA300HOU_RS09240	DUF948 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS08955-MONOMER	USA300HOU_RS08955	DNA polymerase I	CCI-CYTOSOL-GP
USA300HOU_RS09305-MONOMER	USA300HOU_RS09305	YtxH domain-containing protein	
USA300HOU_RS07055-MONOMER	USA300HOU_RS07055	phosphate ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08720-MONOMER	USA300HOU_RS08720	tRNA guanosine(34) transglycosylase Tgt	CCI-CYTOSOL-GP
CPLX1OEB-4	USA300HOU_RS08555 // USA300HOU_RS08560	acetyl-CoA carboxylase biotin carboxyl	
USA300HOU_RS10845-MONOMER	USA300HOU_RS10845	hypothetical protein	
USA300HOU_RS12240-MONOMER	USA300HOU_RS12240	lipid II:glycine glycyltransferase FemX	CCI-CYTOSOL-GP
USA300HOU_RS03435-MONOMER	USA300HOU_RS03435	metal-dependent transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS11565-MONOMER	USA300HOU_RS11565	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01855-MONOMER	USA300HOU_RS01855	DUF3169 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02835-MONOMER	USA300HOU_RS02835	50S ribosomal protein L10	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS13380-MONOMER	USA300HOU_RS13380	DUF2338 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS02890-MONOMER	USA300HOU_RS02890	2-amino-3-ketobutyrate CoA ligase	CCI-CYTOSOL-GP
USA300HOU_RS11875-MONOMER	USA300HOU_RS11875	lactose-specific phosphotransferase enzyme IIA component	CCI-CYTOSOL-GP
USA300HOU_RS03760-MONOMER	USA300HOU_RS03760	hypothetical protein	
USA300HOU_RS06955-MONOMER	USA300HOU_RS06955	aminopeptidase	CCI-CYTOSOL-GP
USA300HOU_RS11360-MONOMER	USA300HOU_RS11360	ATP synthase subunit beta	CCI-PM-BAC-POS-GP
USA300HOU_RS13660-MONOMER	USA300HOU_RS13660	ring-cleaving dioxygenase	CCI-CYTOSOL-GP
USA300HOU_RS11385-MONOMER	USA300HOU_RS11385	ATP synthase subunit C	CCI-PM-BAC-POS-GP
USA300HOU_RS01135-MONOMER	USA300HOU_RS01135	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS08490-MONOMER	USA300HOU_RS08490	HD domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01660-MONOMER	USA300HOU_RS01660	pseudouridine-5'-phosphate glycosidase	CCI-CYTOSOL-GP
USA300HOU_RS04800-MONOMER	USA300HOU_RS04800	ATP-dependent helicase/nuclease subunit A	CCI-CYTOSOL-GP
USA300HOU_RS12920-MONOMER	USA300HOU_RS12920	peptidase	
USA300HOU_RS10225-MONOMER	USA300HOU_RS10225	two-component sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS04985-MONOMER	USA300HOU_RS04985	GTP pyrophosphokinase	CCI-CYTOSOL-GP
USA300HOU_RS13835-MONOMER	USA300HOU_RS13835	FeoB-associated Cys-rich membrane protein	
USA300HOU_RS05610-MONOMER	USA300HOU_RS05610	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	CCI-CYTOSOL-GP
USA300HOU_RS06490-MONOMER	USA300HOU_RS06490	TIGR00282 family metallophosphoesterase	CCI-CYTOSOL-GP
USA300HOU_RS07140-MONOMER	USA300HOU_RS07140	cold-shock protein CspA	CCI-CYTOSOL-GP
USA300HOU_RS12135-MONOMER	USA300HOU_RS12135	50S ribosomal protein L29	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS01550-MONOMER	USA300HOU_RS01550	DUF5080 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06240-MONOMER	USA300HOU_RS06240	50S ribosomal protein L19	CCI-CYTOSOL-GP
USA300HOU_RS11655-MONOMER	USA300HOU_RS11655	phosphoglucosamine mutase	CCI-CYTOSOL-GP
USA300HOU_RS11730-MONOMER	USA300HOU_RS11730	chromosome partitioning protein ParA	CCI-CYTOSOL-GP
USA300HOU_RS03460-MONOMER	USA300HOU_RS03460	teichoic acid biosynthesis protein B	
USA300HOU_RS12495-MONOMER	USA300HOU_RS12495	DUF1641 domain-containing protein	
USA300HOU_RS05100-MONOMER	USA300HOU_RS05100	lipoate--protein ligase A	CCI-CYTOSOL-GP
USA300HOU_RS02840-MONOMER	USA300HOU_RS02840	50S ribosomal protein L7/L12	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS02935-MONOMER	USA300HOU_RS02935	Cof-type HAD-IIB family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS00590-MONOMER	USA300HOU_RS00590	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS03195-MONOMER	USA300HOU_RS03195	flavodoxin family protein	
USA300HOU_RS11870-MONOMER	USA300HOU_RS11870	PTS lactose EIICB component	
USA300HOU_RS13275-MONOMER	USA300HOU_RS13275	hypothetical protein	
USA300HOU_RS07825-MONOMER	USA300HOU_RS07825	hypothetical protein	
USA300HOU_RS03370-MONOMER	USA300HOU_RS03370	hypothetical protein	
USA300HOU_RS08540-MONOMER	USA300HOU_RS08540	Fic family protein	CCI-CYTOSOL-GP
USA300HOU_RS01470-MONOMER	USA300HOU_RS01470	DUF5079 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08755-MONOMER	USA300HOU_RS08755	ribosomal-processing cysteine protease Prp	
CPLX1OEB-22	USA300HOU_RS12335 // USA300HOU_RS12340	predicted ABC transporter of molybdate	
USA300HOU_RS14750-MONOMER	USA300HOU_RS14750	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS09030-MONOMER	USA300HOU_RS09030	DNA polymerase III subunit alpha	CCI-CYTOSOL-GP
CPLX1OEB-28	USA300HOU_RS01095 // USA300HOU_RS01105	predicted ABC transporter of maltose	
USA300HOU_RS11490-MONOMER	USA300HOU_RS11490	N-acetyltransferase	
USA300HOU_RS15495-MONOMER	USA300HOU_RS15495	hypothetical protein	
USA300HOU_RS01830-MONOMER	USA300HOU_RS01830	iron permease FTR1 family protein	
USA300HOU_RS03240-MONOMER	USA300HOU_RS03240	ABC transporter substrate-binding protein	
USA300HOU_RS01060-MONOMER	USA300HOU_RS01060	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS03450-MONOMER	USA300HOU_RS03450	teichoic acids export ATP-binding protein TagH	CCI-PM-BAC-POS-GP
USA300HOU_RS07845-MONOMER	USA300HOU_RS07845	hypothetical protein	
USA300HOU_RS02520-MONOMER	USA300HOU_RS02520	ribosomal RNA small subunit methyltransferase A	CCI-CYTOSOL-GP
USA300HOU_RS01485-MONOMER	USA300HOU_RS01485	virulence factor EsxA	CCI-EXTRACELLULAR-GP
USA300HOU_RS01895-MONOMER	USA300HOU_RS01895	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase	CCI-CYTOSOL-GP
USA300HOU_RS05590-MONOMER	USA300HOU_RS05590	YlbF family regulator	CCI-CYTOSOL-GP
USA300HOU_RS04135-MONOMER	USA300HOU_RS04135	thioredoxin reductase	CCI-CYTOSOL-GP
USA300HOU_RS10275-MONOMER	USA300HOU_RS10275	non-heme ferritin	CCI-CYTOSOL-GP
USA300HOU_RS13400-MONOMER	USA300HOU_RS13400	KR domain-containing protein	
USA300HOU_RS05530-MONOMER	USA300HOU_RS05530	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14225-MONOMER	USA300HOU_RS14225	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02815-MONOMER	USA300HOU_RS02815	protein translocase subunit SecE	CCI-PM-BAC-POS-GP
USA300HOU_RS13995-MONOMER	USA300HOU_RS13995	amidohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS14820-MONOMER	USA300HOU_RS14820	IS6 family transposase	CCI-CYTOSOL-GP
USA300HOU_RS07875-MONOMER	USA300HOU_RS07875	DUF2815 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04000-MONOMER	USA300HOU_RS04000	GrpB family protein	
USA300HOU_RS02390-MONOMER	USA300HOU_RS02390	PTS trehalose transporter subunit IIBC	CCI-PM-BAC-POS-GP
USA300HOU_RS14420-MONOMER	USA300HOU_RS14420	serine-rich repeat glycoprotein adhesin SasA	CCI-CW-BAC-POS-GP
USA300HOU_RS02425-MONOMER	USA300HOU_RS02425	recombination protein RecR	CCI-CYTOSOL-GP
USA300HOU_RS11420-MONOMER	USA300HOU_RS11420	protein-tyrosine-phosphatase	CCI-CYTOSOL-GP
USA300HOU_RS05725-MONOMER	USA300HOU_RS05725	thiol reductase thioredoxin	CCI-CYTOSOL-GP
USA300HOU_RS06800-MONOMER	USA300HOU_RS06800	guanosine monophosphate reductase	CCI-CYTOSOL-GP
