Reaction	Complexes
ACtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
ADCL	ALW85_RS09575-MONOMER
ADCS	CPLX_ADCS-0
ADENOSINEase	ALW85_RS03455-MONOMER
ADK1	ALW85_RS10065-MONOMER_mod_mg2(1)
ADK2	ALW85_RS10065-MONOMER_mod_mg2(1)
ADK3	ALW85_RS10065-MONOMER_mod_mg2(1)
ADK4	ALW85_RS10065-MONOMER_mod_mg2(1)
ADNK1	ALW85_RS10065-MONOMER_mod_mg2(1)
ADOCBLabcpp	ALW85_RS05495-MONOMER
ADPRDP	ALW85_RS12885-MONOMER_mod_mg2(1)
ADPT	ALW85_RS00940-MONOMER_mod_mg2(1) OR ALW85_RS00940-MONOMER_mod_mn2(1)
ADSL1r	ALW85_RS10150-MONOMER
ADSL2r	ALW85_RS10150-MONOMER
ADSS	ALW85_RS06670-MONOMER_mod_mg2(1)
AGM3PA	ALW85_RS11390-MONOMER
AGM3PApp	ALW85_RS03435-MONOMER
AGM3PH	ALW85_RS12100-MONOMER
AGM3Pt2pp	ALW85_RS11445-MONOMER
AGM4PA	ALW85_RS11390-MONOMER
AGM4PApp	ALW85_RS03435-MONOMER
AGM4PCPpp	ALW85_RS12290-MONOMER OR ALW85_RS12325-MONOMER
AGM4PH	ALW85_RS12100-MONOMER
AGM4Pt2pp	ALW85_RS11445-MONOMER
AGMH	ALW85_RS12100-MONOMER
AGMT	ALW85_RS05945-MONOMER_mod_mn2(2)
AGMt2pp	ALW85_RS11445-MONOMER
AGPAT140	ALW85_RS03215-MONOMER OR ALW85_RS06145-MONOMER
AGPAT160	ALW85_RS03215-MONOMER OR ALW85_RS06145-MONOMER
AGPAT161	ALW85_RS03215-MONOMER OR ALW85_RS06145-MONOMER
AGPAT181	ALW85_RS03215-MONOMER OR ALW85_RS06145-MONOMER
AGPR	ALW85_RS07750-MONOMER
AGTi	ALW85_RS00190-MONOMER
AHCYSNS	ALW85_RS10320-MONOMER_mod_mg2(1)
AHSERL2	ALW85_RS03655-MONOMER_mod_pydx5p(1) OR ALW85_RS08835-MONOMER
AI2abcpp	ALW85_RS05095-MONOMER
AICART	ALW85_RS04580-MONOMER
AIRC3	ALW85_RS04540-MONOMER
AIRCr	ALW85_RS04540-MONOMER
AKGDH	ALW85_RS12380-MONOMER OR ALW85_RS04040-MONOMER OR ALW85_RS11260-MONOMER OR ALW85_RS12095-MONOMER OR CPLX_AKGDH-0
AKGt2rpp	ALW85_RS00550-MONOMER
ALAALAabcpp	CPLX_ALAALAabcpp-0 OR ALW85_RS12935-MONOMER
ALAALAr	ALW85_RS05185-MONOMER
ALAR	ALW85_RS07420-MONOMER_mod_pydx5p(1)
ALATA_D2	ALW85_RS07500-MONOMER
ALATA_L	ALW85_RS12345-MONOMER
ALATA_L2	ALW85_RS07500-MONOMER
ALATRS	ALW85_RS10045-MONOMER
ALAabcpp	CPLX_THRabcpp-0
ALCD19	ALW85_RS04745-MONOMER_mod_zn2(1)
ALCD2x	ALW85_RS04295-MONOMER
ALDD2y	ALW85_RS10410-MONOMER
ALLTN	ALW85_RS08680-MONOMER_mod_cobalt2(1)_mod_zn2(1) OR ALW85_RS08680-MONOMER_mod_mn2(1)_mod_zn2(1) OR ALW85_RS08680-MONOMER_mod_ni2(1)_mod_zn2(1)
AM3PA	ALW85_RS11390-MONOMER
AM4PA	ALW85_RS11390-MONOMER
AMAOTr	ALW85_RS00145-MONOMER_mod_pydx5p(1)
AMMQLT8	ALW85_RS05940-MONOMER
AMO	CPLX_AMO-0
AMPMS2	ALW85_RS00210-MONOMER
AMPTASECG	ALW85_RS03285-MONOMER OR ALW85_RS02330-MONOMER_mod_zn2(1)
AMPTASEPG	ALW85_RS02330-MONOMER_mod_zn2(1) OR ALW85_RS03285-MONOMER
ANHMK	ALW85_RS07480-MONOMER_mod_mg2(1)
ANPRT	ALW85_RS00080-MONOMER
ANS	CPLX_ADCS-0
ANS2	CPLX_ADCS-0
AOXSr	ALW85_RS11995-MONOMER
AOXSr2	ALW85_RS11995-MONOMER
AP4AH	ALW85_RS03220-MONOMER
AP4AS	ALW85_RS12280-MONOMER_mod_mg2(6) OR ALW85_RS12280-MONOMER_mod_lys__L(1)
