Modified_enzyme	Core_enzyme	Modifications	Source
FolE_CPLX_mod_zn2(1)	FolE_CPLX	zn2(1)	iJL965
CPLX-102_mod_4fe4s(1)	CPLX-102	4fe4s(1)	iJL965
CPLX-106_mod_ca2(1)	CPLX-106	ca2(1)	iJL965
CPLX-107_mod_fe2(1)	CPLX-107	fe2(1)	iJL965
CPLX-108_mod_fe2(1)	CPLX-108	fe2(1)	iJL965
CPLX-115_mod_pydx5p(1)	CPLX-115	pydx5p(1)	iJL965
CPLX-116_mod_4fe4s(1)	CPLX-116	4fe4s(1)	iJL965
CPLX-122_mod_fad(1)	CPLX-122	fad(1)	iJL965
CPLX-125_mod_4fe4s(1)	CPLX-125	4fe4s(1)	iJL965
CPLX-126_mod_4fe4s(1)	CPLX-126	4fe4s(1)	iJL965
CPLX-127_mod_4fe4s(1)	CPLX-127	4fe4s(1)	iJL965
CPLX-128_mod_4fe4s(1)	CPLX-128	4fe4s(1)	iJL965
CPLX-129_mod_4fe4s(1)	CPLX-129	4fe4s(1)	iJL965
CPLX-130_mod_4fe4s(1)	CPLX-130	4fe4s(1)	iJL965
CPLX-131_mod_4fe4s(1)	CPLX-131	4fe4s(1)	iJL965
CPLX-132_mod_4fe4s(1)	CPLX-132	4fe4s(1)	iJL965
CPLX-134_mod_mg2(1)	CPLX-134	mg2(1)	iJL965
CPLX-138_mod_pydx5p(1)	CPLX-138	pydx5p(1)	iJL965
CPLX-149_mod_fe2(1)	CPLX-149	fe2(1)	iJL965
CPLX-150_mod_fe2(1)	CPLX-150	fe2(1)	iJL965
CPLX-159_mod_4fe4s(1)_mod_mg2(1)	CPLX-159	4fe4s(1) AND mg2(1)	iJL965
CPLX-172_mod_fmn(1)_mod_2fe2s(2)_mod_fad(2)	CPLX-172	fmn(1) AND 2fe2s(2) AND fad(2)	iJL965
CPLX-182_mod_fe2(2)	CPLX-182	fe2(2)	iJL965
CPLX-184_mod_pydx5p(1)	CPLX-184	pydx5p(1)	iJL965
