Gene,YidC_MONOMER,TatA_MONOMER,TatE_MONOMER
b1855,2,0,0
b3731,2,0,0
b4072,0,20,20
b1475,0,5.16666666666667,5.16666666666667
b1474,0,5.16666666666667,5.16666666666667
b2817,0,22,22
b0973,0,14,14
b0972,0,14,14
b0997,0,13.5,13.5
b3893,0,15.5,15.5
b0152,0,21,21
b3894,0,15.5,15.5
b1589,0,14,14
b1588,0,15,15
b2938,0,6.25,6.25
b1587,0,14,14
b1872,0,26,26
b2997,0,14,14
b2996,0,21,21
b2994,0,14,14
b2435,0,20,20
b0894,0,26,26
b0123,0,23,23
b2206,0,27,27
b2205,0,20,20
