Reaction	Complexes
PRMICI	LLMG_RS06545-MONOMER
PROTRS_1	LLMG_RS12095-MONOMER
PROabc	CPLX_GLYBabc-0
PRPPS	LLMG_RS08760-MONOMER_mod_mg2(1)_mod_pi(1) OR LLMG_RS08760-MONOMER_mod_mn2(1)_mod_pi(1) OR LLMG_RS10225-MONOMER
PSCVT	LLMG_RS09640-MONOMER
PSERT	LLMG_RS02940-MONOMER_mod_pydx5p(1)
PSP_L	LLMG_RS02950-MONOMER_mod_mg2(1)
PTAILE	LLMG_RS03945-MONOMER
PTALEU	LLMG_RS03945-MONOMER
PTAVAL	LLMG_RS03945-MONOMER
PTAr	LLMG_RS03945-MONOMER
PTPATi	LLMG_RS12260-MONOMER_mod_mg2(1)
PTRCabc	CPLX_PTRCabc-0
PUNP1	LLMG_RS08050-MONOMER
PUNP2	LLMG_RS08050-MONOMER
PUNP3	LLMG_RS08050-MONOMER
PUNP4	LLMG_RS08050-MONOMER
PUNP5	LLMG_RS08050-MONOMER
PUNP6	LLMG_RS08050-MONOMER
PUNP7	LLMG_RS08050-MONOMER
PYK	LLMG_RS05685-MONOMER_mod_mg2(1)_mod_k(1) OR LLMG_RS05685-MONOMER_mod_mn2(1)_mod_k(1)
PYNP1_copy1	LLMG_RS05380-MONOMER
PYNP1_copy2	LLMG_RS05380-MONOMER
PYNP2r	LLMG_RS08650-MONOMER
PYNP4	LLMG_RS05380-MONOMER
PYROX_1	LLMG_RS11635-MONOMER_mod_mg2(1)_mod_thmpp(1)_mod_fad(1)
RBFK	LLMG_RS07215-MONOMER
RBFSa	LLMG_RS07705-MONOMER
RBFSb	LLMG_RS07695-MONOMER
RBK	LLMG_RS04050-MONOMER_mod_k(1)_mod_mg2(1)
RIBabc	CPLX_RIBabc-0
RNDR1	CPLX_RNDR4-0
RNDR2	CPLX_RNDR4-0
RNDR3	CPLX_RNDR4-0
RNDR4	CPLX_RNDR4-0
RNTR1	LLMG_RS07755-MONOMER OR LLMG_RS01465-MONOMER
RNTR2	LLMG_RS07755-MONOMER OR LLMG_RS01465-MONOMER
RNTR3	LLMG_RS07755-MONOMER OR LLMG_RS01465-MONOMER
RNTR4	LLMG_RS07755-MONOMER OR LLMG_RS01465-MONOMER
RPE	LLMG_RS04875-MONOMER OR LLMG_RS11000-MONOMER
RPI	LLMG_RS12615-MONOMER OR LLMG_RS04880-MONOMER
S6PG	LLMG_RS02245-MONOMER
S7PI_1	LLMG_RS11765-MONOMER
SBTpts	CPLX_SBTpts-0
SERAT	LLMG_RS10205-MONOMER
SERD_L	CPLX_SERD_L-0
SERTRS_1	LLMG_RS03735-MONOMER_mod_mg2(1)
SHK3Dr	LLMG_RS09705-MONOMER
SHKK	LLMG_RS09635-MONOMER_mod_mg2(1) OR LLMG_RS09635-MONOMER_mod_mn2(1) OR LLMG_RS09635-MONOMER_mod_cobalt2(1) OR LLMG_RS09635-MONOMER_mod_fe2(1) OR LLMG_RS09635-MONOMER_mod_ca2(1) OR LLMG_RS09635-MONOMER_mod_k(1)
SHSL1	LLMG_RS10955-MONOMER
SO4t2	LLMG_RS00350-MONOMER
SPMDAT1	LLMG_RS04495-MONOMER
SPMDAT2	LLMG_RS04495-MONOMER
SPMDabc	CPLX_PTRCabc-0
SPODM	LLMG_RS02190-MONOMER_mod_mn2(1)
SUCBZL	LLMG_RS09175-MONOMER_mod_mg2(1)
SUCBZS	LLMG_RS09180-MONOMER
SUCD1	LLMG_RS01985-MONOMER
SUCR	LLMG_RS03845-MONOMER
SUCpts	CPLX_SBTpts-0 OR CPLX_SUCpts-0
TDMAT6	LLMG_RS02820-MONOMER
TDPDRE	LLMG_RS01095-MONOMER
TDPDRR_1	LLMG_RS01110-MONOMER
TDPGDH_1	LLMG_RS01105-MONOMER_mod_nad(1)
THDPS	LLMG_RS01520-MONOMER
THFGLUS	LLMG_RS06760-MONOMER
THRA	LLMG_RS02930-MONOMER
THRD_L	LLMG_RS06480-MONOMER OR LLMG_RS06485-MONOMER OR LLMG_RS06470-MONOMER_mod_pydx5p(1)
THRS	LLMG_RS11965-MONOMER_mod_pydx5p(1)
THRTRS_1	LLMG_RS10900-MONOMER_mod_zn2(1)
TKT1	LLMG_RS04440-MONOMER_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1)
TKT2	LLMG_RS04440-MONOMER_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1)
TMDK1	LLMG_RS02890-MONOMER_mod_mg2(1)
TMDK2	LLMG_RS02890-MONOMER_mod_mg2(1)
TMDPK	LLMG_RS10075-MONOMER
TMDPP	LLMG_RS05380-MONOMER
TMDS_copy2	LLMG_RS04905-MONOMER_mod_mg2(1)
TMN	LLMG_RS09810-MONOMER
TMPPP	LLMG_RS06155-MONOMER_mod_mg2(1)
TPI	LLMG_RS07185-MONOMER
TRDR	LLMG_RS08000-MONOMER OR LLMG_RS04005-MONOMER
TRE6PH	LLMG_RS03830-MONOMER
TREpts	CPLX_TREpts-0
TRPS1	CPLX_TRPS2-0_mod_pydx5p(1)
TRPS2	CPLX_TRPS2-0_mod_pydx5p(1)
TRPTA	LLMG_RS00370-MONOMER
TRPTRS_1	LLMG_RS00430-MONOMER_mod_mg2(1)
TYRTA_copy1	LLMG_RS00370-MONOMER OR LLMG_RS10105-MONOMER
TYRTA_copy2	LLMG_RS06585-MONOMER_mod_pydx5p(1)
TYRTRS_1	LLMG_RS02055-MONOMER
UAAGDS	LLMG_RS09965-MONOMER
UAAGLS1_1	LLMG_RS07395-MONOMER OR LLMG_RS09965-MONOMER
UAGCVT	LLMG_RS02630-MONOMER OR LLMG_RS01685-MONOMER
UAGDP	LLMG_RS10360-MONOMER_mod_mg2(1)
UAGPT1	LLMG_RS04660-MONOMER
UAMAGS	LLMG_RS04655-MONOMER_mod_k(1)_mod_mg2(1)
UAMAS	LLMG_RS11610-MONOMER_mod_mg2(1)
UAPGR	LLMG_RS06735-MONOMER_mod_fad(1)
UDCPDPS	CPLX_UDCPDPS-0
UDCPKr	LLMG_RS12440-MONOMER
UDPG4E	LLMG_RS11200-MONOMER_mod_nad(1)
UDPGALM	LLMG_RS01180-MONOMER_mod_fad(1)
UDPGD	LLMG_RS08135-MONOMER
UGLDDS1	LLMG_RS01860-MONOMER
UGT1_LLA	LLMG_RS04660-MONOMER
UGT2_LLA	LLMG_RS04660-MONOMER
UMPK	LLMG_RS11470-MONOMER
UPPRT	LLMG_RS10940-MONOMER
URAt2	LLMG_RS04555-MONOMER
URIDK2r	LLMG_RS11470-MONOMER
URIK1	LLMG_RS03940-MONOMER_mod_mg2(1)
URIK2	LLMG_RS03940-MONOMER_mod_mg2(1)
URIK3	LLMG_RS03940-MONOMER_mod_mg2(1)
VALTA	LLMG_RS05980-MONOMER_mod_pydx5p(6) OR LLMG_RS05980-MONOMER_mod_pydx5p(1)
VALTRS_1	LLMG_RS12325-MONOMER_mod_mg2(1)
VALt2r_copy2	LLMG_RS03390-MONOMER
XANt2	LLMG_RS06815-MONOMER
XPPT	LLMG_RS06820-MONOMER
XYLI1	LLMG_RS05100-MONOMER
XYLI2	LLMG_RS05100-MONOMER
YUMPS_copy1	LLMG_RS02350-MONOMER OR LLMG_RS07220-MONOMER OR LLMG_RS01970-MONOMER OR LLMG_RS07670-MONOMER_mod_mg2(1) OR LLMG_RS12010-MONOMER OR LLMG_RS06045-MONOMER
YUMPS_copy2	LLMG_RS02350-MONOMER OR LLMG_RS07220-MONOMER OR LLMG_RS01970-MONOMER OR LLMG_RS07670-MONOMER_mod_mg2(1) OR LLMG_RS12010-MONOMER OR LLMG_RS06045-MONOMER
ZNabc	CPLX_ZNabc-0
araphe1	LLMG_RS00370-MONOMER
araphe2	LLMG_RS00370-MONOMER
araphe3	LLMG_RS00370-MONOMER
aratry1	LLMG_RS00370-MONOMER
aratry2	LLMG_RS00370-MONOMER
aratyr1	LLMG_RS00370-MONOMER
aratyr2	LLMG_RS00370-MONOMER
aratyr3	LLMG_RS00370-MONOMER
aratyr4	LLMG_RS00370-MONOMER
