Reaction	Complexes
CYSDS	LLMG_RS08915-MONOMER_mod_pydx5p(1)
CYSS	LLMG_RS02585-MONOMER_mod_pydx5p(2) OR LLMG_RS08910-MONOMER
CYSTGL	LLMG_RS08915-MONOMER_mod_pydx5p(1)
CYSTL	LLMG_RS08915-MONOMER_mod_pydx5p(1)
CYSTRS_1	LLMG_RS10195-MONOMER_mod_zn2(1)
CYTB_B2	CPLX_CYTB_B2-0
CYTD	LLMG_RS05395-MONOMER
CYTDK1	LLMG_RS03940-MONOMER_mod_mg2(1)
CYTDK2	LLMG_RS03940-MONOMER_mod_mg2(1)
CYTK1	LLMG_RS03780-MONOMER_mod_mg2(1)
CYTK2	LLMG_RS03780-MONOMER_mod_mg2(1)
DADA	LLMG_RS01565-MONOMER
DADK	LLMG_RS11835-MONOMER_mod_mg2(1)
DADNK	LLMG_RS06755-MONOMER OR LLMG_RS02445-MONOMER
DAGGT_LLA	CPLX_DAGGT_LLA-0
DAGK_LLA	LLMG_RS07495-MONOMER_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1)
DALAt2r	LLMG_RS01925-MONOMER OR LLMG_RS01930-MONOMER
DALTAL_LLA	CPLX_DALTAL_LLA-0
DAPDC	LLMG_RS06000-MONOMER_mod_pydx5p(1)
DASYN_LLA	LLMG_RS12105-MONOMER
DB4PS	LLMG_RS07700-MONOMER_mod_mg2(1)
DCMPDA_1	LLMG_RS07150-MONOMER
DCYTD	LLMG_RS05395-MONOMER
DDMAT5	LLMG_RS02820-MONOMER
DDPA	LLMG_RS00665-MONOMER_mod_fe2(2) OR LLMG_RS06200-MONOMER
DEMAT4	LLMG_RS02820-MONOMER
DGNSK	LLMG_RS02445-MONOMER OR LLMG_RS06755-MONOMER
DHAD1	LLMG_RS06490-MONOMER_mod_4fe4s(1)
DHAD2	LLMG_RS06490-MONOMER_mod_4fe4s(1)
DHAPT	CPLX_DHAPT-0
DHDPRy	LLMG_RS04795-MONOMER
DHDPS	LLMG_RS04470-MONOMER
DHFR	LLMG_RS06800-MONOMER
DHFS	LLMG_RS06760-MONOMER
DHNAOT_1	LLMG_RS01040-MONOMER
DHNPA_1	LLMG_RS06780-MONOMER
DHORD6	CPLX_DHORDi-0
DHORDi	CPLX_DHORDi-0 OR LLMG_RS04850-MONOMER
DHORTS	LLMG_RS07600-MONOMER_mod_cobalt2(1)_mod_zn2(1) OR LLMG_RS07600-MONOMER_mod_mn2(1)_mod_zn2(1) OR LLMG_RS07600-MONOMER_mod_ni2(1)_mod_zn2(1)
DHPPDA	LLMG_RS07710-MONOMER
DHQS	LLMG_RS09700-MONOMER_mod_cobalt2(1)_mod_nad(1)
DHQTi	LLMG_RS04035-MONOMER
DINSK	LLMG_RS02445-MONOMER
DMATT	LLMG_RS08500-MONOMER_mod_mg2(1) OR LLMG_RS08500-MONOMER_mod_mn2(1)
DPCOAK	LLMG_RS03290-MONOMER
DPMVD	LLMG_RS02175-MONOMER
DPR_copy1	LLMG_RS06475-MONOMER_mod_mg2(1) OR LLMG_RS05745-MONOMER
DPR_copy2	LLMG_RS05745-MONOMER
DRBK	LLMG_RS04050-MONOMER_mod_k(1)_mod_mg2(1)
DRPA	LLMG_RS05390-MONOMER
DSERt2	LLMG_RS01925-MONOMER OR LLMG_RS01930-MONOMER
DTMPK	LLMG_RS02125-MONOMER_mod_mg2(1)
DURIK1	LLMG_RS02890-MONOMER_mod_mg2(1)
DURIPP	LLMG_RS08650-MONOMER
DUTPDP	LLMG_RS04195-MONOMER OR LLMG_RS01010-MONOMER_mod_zn2(1)
DXPS	LLMG_RS03870-MONOMER_mod_thmpp(1)
EDA	LLMG_RS04420-MONOMER
ENO	LLMG_RS03215-MONOMER_mod_mg2(4)
FBA	LLMG_RS10835-MONOMER
FBP	LLMG_RS01385-MONOMER
