Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2
B488_RS06990	B488_RS06990	586982	587803	B488_RS06990-MONOMER	B488_05430
B488_RS04715	B488_RS04715	1059680	1059967	B488_RS04715-MONOMER	B488_09790
B488_RS04580	B488_RS04580	1028153	1029075	B488_RS04580-MONOMER	B488_09550
B488_RS02945	B488_RS02945	668895	669941	B488_RS02945-MONOMER	B488_06060
B488_RS00675	B488_RS00675	166429	167658	B488_RS00675-MONOMER	B488_01350
B488_RS03205	B488_RS03205	728933	732433	B488_RS03205-MONOMER	B488_06590
B488_RS05715	B488_RS05715	1281916	1282002	B488_RS05715-tRNA	B488_14210
B488_RS05945	B488_RS05945	1334719	1335084	B488_RS05945-MONOMER	B488_12210
B488_RS06005	B488_RS06005	1348600	1349223	B488_RS06005-MONOMER	B488_12310
B488_RS03485	B488_RS03485	804189	805223	B488_RS03485-MONOMER	B488_07220
B488_RS01130	B488_RS01130	263341	264684	B488_RS01130-MONOMER	B488_02290
B488_RS05455	B488_RS05455	1221232	1221843	B488_RS05455-MONOMER	B488_11210
B488_RS01550	B488_RS01550	357486	358865	B488_RS01550-MONOMER	B488_03110
B488_RS00575	B488_RS00575	135262	135864	B488_RS00575-MONOMER	B488_01150
B488_RS05735	B488_RS05735	1285123	1286652	B488_RS05735-MONOMER	B488_11790
B488_RS04155	B488_RS04155	947172	947543	B488_RS04155-MONOMER	B488_08690
B488_RS05315	B488_RS05315	1187977	1188990	B488_RS05315-MONOMER	B488_10930
B488_RS00230	B488_RS00230	58444	59565	B488_RS00230-MONOMER	B488_00460
B488_RS02080	B488_RS02080	483138	483500	B488_RS02080-MONOMER	B488_04260
B488_RS05285	B488_RS05285	1181968	1182582	B488_RS05285-MONOMER	B488_10860
B488_RS02350	B488_RS02350	536711	536941	B488_RS02350-MONOMER	B488_04850
B488_RS04360	B488_RS04360	981276	982616	B488_RS04360-MONOMER	B488_09110
B488_RS00560	B488_RS00560	132261	132350	B488_RS00560-tRNA	B488_13820
B488_RS06210	B488_RS06210	1389898	1390302	B488_RS06210-MONOMER	B488_12750
B488_RS01135	B488_RS01135	264717	265487	B488_RS01135-MONOMER	B488_02300
B488_RS07000	B488_RS07000	600354	601124	B488_RS07000-MONOMER	B488_05540
B488_RS04720	B488_RS04720	1060005	1060709	B488_RS04720-MONOMER	B488_09800
B488_RS03865	B488_RS03865	881144	881512	B488_RS03865-MONOMER	B488_08100
B488_RS02950	B488_RS02950	670429	671205	B488_RS02950-MONOMER	B488_06070
B488_RS06680	B488_RS06680	1490743	1491063	B488_RS06680-MONOMER	B488_13650
B488_RS07055	B488_RS07055	1404888	1405076	B488_RS07055-MONOMER	B488_12930
B488_RS06410	B488_RS06410	1430287	1431363	B488_RS06410-MONOMER	B488_13170
B488_RS03210	B488_RS03210	732593	733072	B488_RS03210-MONOMER	B488_06600
B488_RS06785	B488_RS06785	426507	430184	B488_RS06785-MONOMER	B488_03730
B488_RS03355	B488_RS03355	772446	772835	B488_RS03355-MONOMER	B488_06940
B488_RS01460	B488_RS01460	333655	334092	B488_RS01460-MONOMER	
B488_RS04010	B488_RS04010	914721	915227	B488_RS04010-MONOMER	B488_08380
B488_RS03625	B488_RS03625	837269	837649	B488_RS03625-MONOMER	B488_07500
B488_RS01140	B488_RS01140	265496	265855	B488_RS01140-MONOMER	
B488_RS01705	B488_RS01705	395325	395936	B488_RS01705-MONOMER	B488_03440
B488_RS04515	B488_RS04515	1014131	1014580	B488_RS04515-MONOMER	B488_09420
B488_RS00580	B488_RS00580	135926	136645	B488_RS00580-MONOMER	B488_01160
B488_RS00820	B488_RS00820	197369	198743	B488_RS00820-MONOMER	B488_01650
B488_RS00965	B488_RS00965	233196	234437	B488_RS00965-MONOMER	
B488_RS03975	B488_RS03975	908733	909341	B488_RS03975-MONOMER	B488_08310
B488_RS05005	B488_RS05005	1127873	1128223	B488_RS05005-MONOMER	B488_10310
B488_RS00235	B488_RS00235	59726	62062	B488_RS00235-MONOMER	B488_00470
B488_RS02085	B488_RS02085	483561	484133	B488_RS02085-MONOMER	B488_04270
B488_RS05290	B488_RS05290	1182555	1183661	B488_RS05290-MONOMER	B488_10870
B488_RS02510	B488_RS02510	562559	562816	B488_RS02510-MONOMER	B488_05200
B488_RS03750	B488_RS03750	857198	858193	B488_RS03750-MONOMER	B488_07800
B488_RS02355	B488_RS02355	536958	537158	B488_RS02355-MONOMER	B488_04860
B488_RS00880	B488_RS00880	215119	215195	B488_RS00880-tRNA	B488_13830
B488_RS01145	B488_RS01145	266020	266250	B488_RS01145-MONOMER	B488_02320
B488_RS06485	B488_RS06485	1445071	1445583	B488_RS06485-MONOMER	B488_13320
B488_RS05995	B488_RS05995	1342977	1343543	B488_RS05995-MONOMER	
B488_RS03490	B488_RS03490	805229	806242	B488_RS03490-MONOMER	B488_07230
B488_RS04210	B488_RS04210	958420	959220	B488_RS04210-MONOMER	B488_08800
B488_RS01150	B488_RS01150	266360	267709	B488_RS01150-MONOMER	B488_02330
B488_RS01555	B488_RS01555	359009	359734	B488_RS01555-MONOMER	B488_03120
B488_RS00585	B488_RS00585	136712	138571	B488_RS00585-MONOMER	B488_01170
B488_RS00680	B488_RS00680	167772	168791	B488_RS00680-MONOMER	B488_01360
B488_RS05010	B488_RS05010	1128661	1129362	B488_RS05010-MONOMER	B488_10320
B488_RS00240	B488_RS00240	62109	63173	B488_RS00240-MONOMER	B488_00480
B488_RS02090	B488_RS02090	484141	484335	B488_RS02090-MONOMER	B488_04280
B488_RS05295	B488_RS05295	1183830	1185125	B488_RS05295-MONOMER	B488_10890
B488_RS02360	B488_RS02360	537232	537549	B488_RS02360-MONOMER	
B488_RS00980	B488_RS00980	235868	235944	B488_RS00980-tRNA	B488_13840
B488_RS01155	B488_RS01155	267733	268458	B488_RS01155-MONOMER	B488_02340
B488_RS04550	B488_RS04550	1020116	1021399	B488_RS04550-MONOMER	B488_09490
B488_RS04455	B488_RS04455	1002809	1003132	B488_RS04455-MONOMER	B488_09300
B488_RS03870	B488_RS03870	881509	882306	B488_RS03870-MONOMER	B488_08110
B488_RS02955	B488_RS02955	671282	672025	B488_RS02955-MONOMER	B488_06080
B488_RS06685	B488_RS06685	1491093	1492457	B488_RS06685-MONOMER	B488_13660
B488_RS04670	B488_RS04670	1050787	1050863	B488_RS04670-tRNA	B488_14080
B488_RS03215	B488_RS03215	733636	735283	B488_RS03215-MONOMER	B488_06610
B488_RS01850	B488_RS01850	430452	433649	B488_RS01850-MONOMER	B488_03740
B488_RS04310	B488_RS04310	972635	973042	B488_RS04310-MONOMER	B488_08980
B488_RS03360	B488_RS03360	773164	773748	B488_RS03360-MONOMER	B488_06950
B488_RS04620	B488_RS04620	1038489	1040249	B488_RS04620-MONOMER	B488_09630
B488_RS01465	B488_RS01465	334881	337151	B488_RS01465-MONOMER	B488_02900
B488_RS06130	B488_RS06130	1374464	1375183	B488_RS06130-MONOMER	B488_12600
B488_RS03630	B488_RS03630	837669	838064	B488_RS03630-MONOMER	B488_07510
B488_RS01160	B488_RS01160	268480	269505	B488_RS01160-MONOMER	B488_02350
B488_RS04260	B488_RS04260	966265	967071	B488_RS04260-MONOMER	B488_08880
B488_RS01710	B488_RS01710	395975	396991	B488_RS01710-MONOMER	B488_03450
B488_RS00825	B488_RS00825	198756	199421	B488_RS00825-MONOMER	B488_01660
B488_RS00590	B488_RS00590	138922	139704	B488_RS00590-MONOMER	B488_01180
B488_RS06735	B488_RS06735	1501582	1502616	B488_RS06735-MONOMER	B488_13760
B488_RS04085	B488_RS04085	933600	934775	B488_RS04085-MONOMER	B488_08520
B488_RS05600	B488_RS05600	1248050	1248706	B488_RS05600-MONOMER	B488_11510
B488_RS00970	B488_RS00970	234466	234960	B488_RS00970-MONOMER	B488_01960
B488_RS05015	B488_RS05015	1129488	1129874	B488_RS05015-MONOMER	B488_10330
B488_RS00245	B488_RS00245	63166	63645	B488_RS00245-MONOMER	B488_00490
B488_RS02095	B488_RS02095	484352	484810	B488_RS02095-MONOMER	B488_04290
B488_RS05300	B488_RS05300	1185273	1186595	B488_RS05300-MONOMER	B488_10900
B488_RS02515	B488_RS02515	562889	563371	B488_RS02515-MONOMER	B488_05210
B488_RS04330	B488_RS04330	975937	976209	B488_RS04330-MONOMER	B488_09010
B488_RS02365	B488_RS02365	537546	537782	B488_RS02365-MONOMER	
B488_RS01065	B488_RS01065	250071	250147	B488_RS01065-tRNA	
B488_RS01165	B488_RS01165	269499	269720	B488_RS01165-MONOMER	B488_02360
B488_RS02635	B488_RS02635	587971	588780	B488_RS02635-MONOMER	B488_05440
B488_RS06255	B488_RS06255	1399297	1400784	B488_RS06255-MONOMER	B488_12840
B488_RS02960	B488_RS02960	672510	673508	B488_RS02960-MONOMER	B488_06090
B488_RS03220	B488_RS03220	735796	736521	B488_RS03220-MONOMER	B488_06620
B488_RS05840	B488_RS05840	1310341	1310415	B488_RS05840-tRNA	B488_14220
B488_RS05880	B488_RS05880	1318868	1319875	B488_RS05880-MONOMER	B488_12070
B488_RS06000	B488_RS06000	1343572	1348278	B488_RS06000-MONOMER	B488_12300
B488_RS01170	B488_RS01170	269767	271536	B488_RS01170-MONOMER	B488_02370
B488_RS05460	B488_RS05460	1221883	1222652	B488_RS05460-MONOMER	B488_11220
B488_RS01560	B488_RS01560	359752	361239	B488_RS01560-MONOMER	B488_03130
B488_RS00595	B488_RS00595	140103	141545	B488_RS00595-MONOMER	B488_01190
B488_RS00685	B488_RS00685	169015	169767	B488_RS00685-MONOMER	B488_01370
B488_RS05745	B488_RS05745	1288042	1290255	B488_RS05745-MONOMER	B488_11810
B488_RS05020	B488_RS05020	1129999	1130643	B488_RS05020-MONOMER	B488_10340
B488_RS00250	B488_RS00250	63642	64469	B488_RS00250-MONOMER	B488_00500
B488_RS02100	B488_RS02100	484943	486283	B488_RS02100-MONOMER	B488_04300
B488_RS05305	B488_RS05305	1186776	1187291	B488_RS05305-MONOMER	B488_10910
B488_RS02370	B488_RS02370	537779	538135	B488_RS02370-MONOMER	
B488_RS01235	B488_RS01235	285632	285716	B488_RS01235-tRNA	B488_13850
B488_RS06215	B488_RS06215	1390511	1391014	B488_RS06215-MONOMER	B488_12760
B488_RS01175	B488_RS01175	271743	272573	B488_RS01175-MONOMER	B488_02380
B488_RS06820	B488_RS06820	601465	604053	B488_RS06820-MONOMER	B488_05550
B488_RS07030	B488_RS07030	882498	883097	B488_RS07030-MONOMER	
B488_RS02965	B488_RS02965	673505	674506	B488_RS02965-MONOMER	B488_06100
B488_RS06690	B488_RS06690	1492454	1493308	B488_RS06690-MONOMER	B488_13670
B488_RS06415	B488_RS06415	1431474	1432565	B488_RS06415-MONOMER	B488_13180
B488_RS03225	B488_RS03225	736938	738083	B488_RS03225-MONOMER	B488_06640
B488_RS01855	B488_RS01855	433978	434691	B488_RS01855-MONOMER	B488_03760
B488_RS07040	B488_RS07040	1046950	1047765	B488_RS07040-MONOMER	
B488_RS06110	B488_RS06110	1370381	1370749	B488_RS06110-MONOMER	B488_12560
B488_RS06135	B488_RS06135	1375216	1376022	B488_RS06135-MONOMER	B488_12610
B488_RS03635	B488_RS03635	838257	838688	B488_RS03635-MONOMER	B488_07520
B488_RS01180	B488_RS01180	272579	273601	B488_RS01180-MONOMER	B488_02390
B488_RS01715	B488_RS01715	397297	397998	B488_RS01715-MONOMER	B488_03460
B488_RS00600	B488_RS00600	142037	144739	B488_RS00600-MONOMER	B488_01200
B488_RS00830	B488_RS00830	199867	201057	B488_RS00830-MONOMER	B488_01670
B488_RS05605	B488_RS05605	1249371	1251296	B488_RS05605-MONOMER	B488_11520
B488_RS00975	B488_RS00975	234957	235712	B488_RS00975-MONOMER	B488_01970
B488_RS03980	B488_RS03980	909561	910091	B488_RS03980-MONOMER	B488_08320
B488_RS05025	B488_RS05025	1130808	1131422	B488_RS05025-MONOMER	B488_10350
B488_RS00255	B488_RS00255	64501	65325	B488_RS00255-MONOMER	B488_00510
B488_RS02105	B488_RS02105	486280	486867	B488_RS02105-MONOMER	B488_04310
B488_RS05310	B488_RS05310	1187462	1187854	B488_RS05310-MONOMER	B488_10920
B488_RS02520	B488_RS02520	563358	563588	B488_RS02520-MONOMER	
B488_RS06870	B488_RS06870	858258	859205	B488_RS06870-MONOMER	B488_07810
B488_RS02375	B488_RS02375	538132	539286	B488_RS02375-MONOMER	B488_04890
B488_RS01245	B488_RS01245	286994	287069	B488_RS01245-tRNA	B488_13860
B488_RS04400	B488_RS04400	990786	991925	B488_RS04400-MONOMER	B488_09190
B488_RS01185	B488_RS01185	273617	274531	B488_RS01185-MONOMER	B488_02400
B488_RS02970	B488_RS02970	674503	675321	B488_RS02970-MONOMER	B488_06110
B488_RS03230	B488_RS03230	738277	738453	B488_RS03230-MONOMER	B488_06650
B488_RS06490	B488_RS06490	1445819	1446844	B488_RS06490-MONOMER	B488_13330
B488_RS03495	B488_RS03495	806258	807415	B488_RS03495-MONOMER	
B488_RS04215	B488_RS04215	959304	959540	B488_RS04215-MONOMER	B488_08810
B488_RS01190	B488_RS01190	274617	276950	B488_RS01190-MONOMER	B488_02410
B488_RS00605	B488_RS00605	145127	146113	B488_RS00605-MONOMER	B488_01210
B488_RS05465	B488_RS05465	1222885	1223886	B488_RS05465-MONOMER	B488_11230
B488_RS01565	B488_RS01565	361406	361954	B488_RS01565-MONOMER	B488_03140
B488_RS00690	B488_RS00690	170016	170222	B488_RS00690-MONOMER	B488_01380
B488_RS05750	B488_RS05750	1290558	1291349	B488_RS05750-MONOMER	B488_11820
B488_RS05030	B488_RS05030	1131539	1131823	B488_RS05030-MONOMER	B488_10360
B488_RS00260	B488_RS00260	65319	66500	B488_RS00260-MONOMER	B488_00520
B488_RS02110	B488_RS02110	487006	487374	B488_RS02110-MONOMER	B488_04320
B488_RS02380	B488_RS02380	539261	539734	B488_RS02380-MONOMER	B488_04900
B488_RS01275	B488_RS01275	292142	292216	B488_RS01275-tRNA	B488_13870
B488_RS06695	B488_RS06695	1493686	1494267	B488_RS06695-MONOMER	B488_13680
B488_RS01195	B488_RS01195	276953	278041	B488_RS01195-MONOMER	B488_02420
B488_RS04460	B488_RS04460	1003155	1004006	B488_RS04460-MONOMER	B488_09310
B488_RS07100	B488_RS07100	883157	883375	B488_RS07100-MONOMER	B488_08130
B488_RS02975	B488_RS02975	675676	676335	B488_RS02975-MONOMER	B488_06120
B488_RS04315	B488_RS04315	973208	974212	B488_RS04315-MONOMER	B488_08990
B488_RS04745	B488_RS04745	1066265	1066341	B488_RS04745-tRNA	B488_14090
B488_RS06845	B488_RS06845	738653	739141	B488_RS06845-MONOMER	B488_06660
B488_RS01860	B488_RS01860	434794	436188	B488_RS01860-MONOMER	B488_03770
B488_RS03365	B488_RS03365	773944	774557	B488_RS03365-MONOMER	B488_06960
B488_RS01470	B488_RS01470	337141	338502	B488_RS01470-MONOMER	B488_02910
B488_RS03640	B488_RS03640	838700	839689	B488_RS03640-MONOMER	B488_07530
B488_RS00610	B488_RS00610	146864	149488	B488_RS00610-MONOMER	B488_01220
B488_RS05875	B488_RS05875	1318258	1318524	B488_RS05875-MONOMER	B488_12060
B488_RS01720	B488_RS01720	398037	398501	B488_RS01720-MONOMER	B488_03470
B488_RS06740	B488_RS06740	1502616	1503152	B488_RS06740-MONOMER	B488_13770
B488_RS00835	B488_RS00835	201226	202371	B488_RS00835-MONOMER	B488_01680
B488_RS05610	B488_RS05610	1251375	1251971	B488_RS05610-MONOMER	B488_11530
B488_RS00985	B488_RS00985	236239	236622	B488_RS00985-MONOMER	B488_01980
B488_RS05035	B488_RS05035	1132055	1133629	B488_RS05035-MONOMER	B488_10370
B488_RS00265	B488_RS00265	66568	67701	B488_RS00265-MONOMER	B488_00530
B488_RS02115	B488_RS02115	487507	487896	B488_RS02115-MONOMER	B488_04330
B488_RS02525	B488_RS02525	563585	563803	B488_RS02525-MONOMER	B488_05220
B488_RS04365	B488_RS04365	982629	983237	B488_RS04365-MONOMER	B488_09120
B488_RS06140	B488_RS06140	1376040	1377344	B488_RS06140-MONOMER	B488_12620
B488_RS01200	B488_RS01200	278093	279187	B488_RS01200-MONOMER	B488_02430
B488_RS02640	B488_RS02640	589088	589546	B488_RS02640-MONOMER	B488_05450
B488_RS02980	B488_RS02980	676401	677201	B488_RS02980-MONOMER	B488_06130
B488_RS06850	B488_RS06850	739229	739858	B488_RS06850-MONOMER	B488_06670
B488_RS05865	B488_RS05865	1317547	1317636	B488_RS05865-tRNA	B488_14230
B488_RS05885	B488_RS05885	1319872	1321026	B488_RS05885-MONOMER	B488_12080
B488_RS06010	B488_RS06010	1349263	1350879	B488_RS06010-MONOMER	B488_12320
B488_RS04640	B488_RS04640	1042825	1043628	B488_RS04640-MONOMER	B488_09670
B488_RS07020	B488_RS07020	807425	808435	B488_RS07020-MONOMER	
B488_RS05470	B488_RS05470	1223892	1224818	B488_RS05470-MONOMER	B488_11240
B488_RS01570	B488_RS01570	361978	363369	B488_RS01570-MONOMER	B488_03150
B488_RS00005	B488_RS00005	27	1349	B488_RS00005-MONOMER	B488_00000
B488_RS00695	B488_RS00695	170283	171161	B488_RS00695-MONOMER	B488_01390
B488_RS05040	B488_RS05040	1133741	1135246	B488_RS05040-MONOMER	B488_10380
B488_RS06950	B488_RS06950	1291681	1292307	B488_RS06950-MONOMER	B488_11830
B488_RS00270	B488_RS00270	67725	68576	B488_RS00270-MONOMER	B488_00540
B488_RS02385	B488_RS02385	539731	540249	B488_RS02385-MONOMER	B488_04910
B488_RS02120	B488_RS02120	487996	489006	B488_RS02120-MONOMER	B488_04340
B488_RS05320	B488_RS05320	1189056	1191295	B488_RS05320-MONOMER	B488_10940
B488_RS01280	B488_RS01280	292576	292652	B488_RS01280-tRNA	B488_13880
B488_RS01205	B488_RS01205	279431	280912	B488_RS01205-MONOMER	B488_02440
B488_RS00615	B488_RS00615	149660	150034	B488_RS00615-MONOMER	B488_01230
B488_RS02700	B488_RS02700	604543	604809	B488_RS02700-MONOMER	B488_05570
B488_RS02985	B488_RS02985	677294	678349	B488_RS02985-MONOMER	B488_06140
B488_RS03885	B488_RS03885	883666	884616	B488_RS03885-MONOMER	B488_08140
B488_RS06420	B488_RS06420	1433291	1433425	B488_RS06420-MONOMER	B488_13190
B488_RS06290	B488_RS06290	1405324	1405719	B488_RS06290-MONOMER	
B488_RS04585	B488_RS04585	1029097	1030392	B488_RS04585-MONOMER	B488_09560
B488_RS03240	B488_RS03240	739911	742076	B488_RS03240-MONOMER	B488_06680
B488_RS01865	B488_RS01865	436277	437530	B488_RS01865-MONOMER	B488_03780
B488_RS03370	B488_RS03370	774517	775419	B488_RS03370-MONOMER	B488_06970
B488_RS04015	B488_RS04015	915332	916789	B488_RS04015-MONOMER	B488_08390
B488_RS03645	B488_RS03645	839686	840777	B488_RS03645-MONOMER	B488_07540
B488_RS01725	B488_RS01725	398513	399553	B488_RS01725-MONOMER	B488_03480
B488_RS00010	B488_RS00010	1381	3273	B488_RS00010-MONOMER	B488_00010
B488_RS00840	B488_RS00840	202412	203779	B488_RS00840-MONOMER	B488_01690
B488_RS05615	B488_RS05615	1252462	1254180	B488_RS05615-MONOMER	B488_11540
B488_RS05045	B488_RS05045	1135355	1135954	B488_RS05045-MONOMER	B488_10390
B488_RS00990	B488_RS00990	236627	237031	B488_RS00990-MONOMER	B488_01990
B488_RS00275	B488_RS00275	68593	69348	B488_RS00275-MONOMER	B488_00550
B488_RS03765	B488_RS03765	860403	862334	B488_RS03765-MONOMER	B488_07830
B488_RS02125	B488_RS02125	489055	489471	B488_RS02125-MONOMER	B488_04350
B488_RS05325	B488_RS05325	1191769	1193058	B488_RS05325-MONOMER	B488_10950
B488_RS02530	B488_RS02530	564097	566457	B488_RS02530-MONOMER	B488_05230
B488_RS06150	B488_RS06150	1378873	1379916	B488_RS06150-MONOMER	B488_12640
B488_RS01210	B488_RS01210	280912	281382	B488_RS01210-MONOMER	B488_02450
B488_RS06700	B488_RS06700	1494272	1496692	B488_RS06700-MONOMER	B488_13690
B488_RS02830	B488_RS02830	636969	637526	B488_RS02830-MONOMER	
B488_RS02990	B488_RS02990	678369	679418	B488_RS02990-MONOMER	B488_06150
B488_RS03245	B488_RS03245	742662	743498	B488_RS03245-MONOMER	B488_06700
B488_RS06500	B488_RS06500	1447204	1447911	B488_RS06500-MONOMER	B488_13340
B488_RS06015	B488_RS06015	1350948	1352576	B488_RS06015-MONOMER	B488_12330
B488_RS03500	B488_RS03500	808404	809354	B488_RS03500-MONOMER	B488_07250
B488_RS05475	B488_RS05475	1224824	1225924	B488_RS05475-MONOMER	B488_11250
B488_RS01575	B488_RS01575	363444	364580	B488_RS01575-MONOMER	B488_03160
B488_RS00700	B488_RS00700	171456	173273	B488_RS00700-MONOMER	B488_01400
B488_RS00015	B488_RS00015	3277	3906	B488_RS00015-MONOMER	B488_00020
B488_RS04725	B488_RS04725	1060848	1061327	B488_RS04725-MONOMER	B488_09810
B488_RS05050	B488_RS05050	1136226	1136837	B488_RS05050-MONOMER	B488_10400
B488_RS05755	B488_RS05755	1292316	1294127	B488_RS05755-MONOMER	
B488_RS02390	B488_RS02390	540364	541521	B488_RS02390-MONOMER	B488_04920
B488_RS00280	B488_RS00280	69525	70160	B488_RS00280-MONOMER	B488_00560
B488_RS01420	B488_RS01420	326090	327575	B488_RS01420-rRNA	B488_13890
B488_RS05330	B488_RS05330	1193204	1195552	B488_RS05330-MONOMER	
B488_RS01215	B488_RS01215	281541	281990	B488_RS01215-MONOMER	B488_02460
B488_RS06220	B488_RS06220	1391121	1391807	B488_RS06220-MONOMER	B488_12770
B488_RS04555	B488_RS04555	1021396	1022616	B488_RS04555-MONOMER	B488_09500
B488_RS02995	B488_RS02995	679567	680136	B488_RS02995-MONOMER	B488_06160
B488_RS00620	B488_RS00620	150277	153174	B488_RS00620-MONOMER	B488_01240
B488_RS04465	B488_RS04465	1004011	1005390	B488_RS04465-MONOMER	B488_09320
B488_RS03890	B488_RS03890	884740	885870	B488_RS03890-MONOMER	B488_08150
B488_RS04750	B488_RS04750	1066403	1066517	B488_RS04750-rRNA	B488_14100
B488_RS03250	B488_RS03250	743509	744261	B488_RS03250-MONOMER	B488_06710
B488_RS01870	B488_RS01870	437695	439107	B488_RS01870-MONOMER	B488_03790
B488_RS03375	B488_RS03375	775500	776540	B488_RS03375-MONOMER	B488_06980
B488_RS03650	B488_RS03650	840858	841787	B488_RS03650-MONOMER	B488_07550
B488_RS04265	B488_RS04265	967288	967473	B488_RS04265-MONOMER	
B488_RS00845	B488_RS00845	203986	205773	B488_RS00845-MONOMER	B488_01700
B488_RS01730	B488_RS01730	399648	400940	B488_RS01730-MONOMER	B488_03490
B488_RS06745	B488_RS06745	1503359	1504633	B488_RS06745-MONOMER	B488_13780
B488_RS00020	B488_RS00020	3936	4730	B488_RS00020-MONOMER	B488_00030
B488_RS04730	B488_RS04730	1061459	1062505	B488_RS04730-MONOMER	B488_09820
B488_RS04095	B488_RS04095	935191	936390	B488_RS04095-MONOMER	B488_08530
B488_RS05620	B488_RS05620	1254806	1256008	B488_RS05620-MONOMER	B488_11550
B488_RS05055	B488_RS05055	1136931	1137557	B488_RS05055-MONOMER	
B488_RS00995	B488_RS00995	237031	237357	B488_RS00995-MONOMER	B488_02000
B488_RS00285	B488_RS00285	70607	72316	B488_RS00285-MONOMER	B488_00570
B488_RS02130	B488_RS02130	490073	490720	B488_RS02130-MONOMER	B488_04360
B488_RS05335	B488_RS05335	1195589	1196266	B488_RS05335-MONOMER	B488_10970
B488_RS02535	B488_RS02535	566717	567505	B488_RS02535-MONOMER	B488_05240
B488_RS06145	B488_RS06145	1377341	1378819	B488_RS06145-MONOMER	B488_12630
B488_RS04335	B488_RS04335	976264	976488	B488_RS04335-MONOMER	B488_09020
B488_RS01220	B488_RS01220	282193	283542	B488_RS01220-MONOMER	B488_02470
B488_RS02645	B488_RS02645	589570	591105	B488_RS02645-MONOMER	B488_05460
B488_RS02835	B488_RS02835	637771	639033	B488_RS02835-MONOMER	B488_05820
B488_RS06355	B488_RS06355	1417128	1417616	B488_RS06355-MONOMER	
B488_RS06260	B488_RS06260	1400781	1401581	B488_RS06260-MONOMER	B488_12850
B488_RS05890	B488_RS05890	1321019	1322308	B488_RS05890-MONOMER	B488_12090
B488_RS06825	B488_RS06825	604906	605310	B488_RS06825-MONOMER	
B488_RS03985	B488_RS03985	910136	910450	B488_RS03985-MONOMER	B488_08330
B488_RS06020	B488_RS06020	1353189	1353371	B488_RS06020-MONOMER	B488_12350
B488_RS03505	B488_RS03505	809335	810360	B488_RS03505-MONOMER	B488_07260
B488_RS05480	B488_RS05480	1226020	1226748	B488_RS05480-MONOMER	B488_11260
B488_RS01580	B488_RS01580	364611	366083	B488_RS01580-MONOMER	B488_03170
B488_RS00705	B488_RS00705	173455	174516	B488_RS00705-MONOMER	B488_01410
B488_RS00025	B488_RS00025	4746	5630	B488_RS00025-MONOMER	B488_00040
B488_RS04735	B488_RS04735	1062954	1064855	B488_RS04735-MONOMER	B488_09830
B488_RS05060	B488_RS05060	1137779	1138225	B488_RS05060-MONOMER	B488_10420
B488_RS02395	B488_RS02395	541791	543821	B488_RS02395-MONOMER	B488_04940
B488_RS00290	B488_RS00290	72392	72715	B488_RS00290-MONOMER	B488_00580
B488_RS01425	B488_RS01425	327718	327794	B488_RS01425-tRNA	B488_13900
B488_RS02135	B488_RS02135	490787	491491	B488_RS02135-MONOMER	B488_04370
B488_RS05340	B488_RS05340	1196589	1197434	B488_RS05340-MONOMER	B488_10980
B488_RS06905	B488_RS06905	1009699	1010037	B488_RS06905-MONOMER	B488_09360
B488_RS01225	B488_RS01225	283855	284265	B488_RS01225-MONOMER	B488_02490
B488_RS06225	B488_RS06225	1391941	1393572	B488_RS06225-MONOMER	B488_12780
B488_RS03000	B488_RS03000	680142	681994	B488_RS03000-MONOMER	B488_06170
B488_RS06425	B488_RS06425	1433509	1433850	B488_RS06425-MONOMER	B488_13200
B488_RS03255	B488_RS03255	744242	745921	B488_RS03255-MONOMER	
B488_RS01875	B488_RS01875	440016	441452	B488_RS01875-MONOMER	B488_03810
B488_RS03380	B488_RS03380	776706	777671	B488_RS03380-MONOMER	B488_06990
B488_RS04160	B488_RS04160	947603	948004	B488_RS04160-MONOMER	B488_08700
B488_RS00030	B488_RS00030	5709	6743	B488_RS00030-MONOMER	B488_00050
B488_RS04740	B488_RS04740	1065129	1066190	B488_RS04740-MONOMER	B488_09840
B488_RS00850	B488_RS00850	206004	206603	B488_RS00850-MONOMER	B488_01710
B488_RS05625	B488_RS05625	1256365	1257297	B488_RS05625-MONOMER	B488_11560
B488_RS05065	B488_RS05065	1138257	1138856	B488_RS05065-MONOMER	B488_10430
B488_RS01000	B488_RS01000	237376	238161	B488_RS01000-MONOMER	B488_02010
B488_RS00295	B488_RS00295	72911	73516	B488_RS00295-MONOMER	B488_00590
B488_RS05345	B488_RS05345	1197525	1198814	B488_RS05345-MONOMER	B488_10990
B488_RS02540	B488_RS02540	567521	568351	B488_RS02540-MONOMER	B488_05250
B488_RS03770	B488_RS03770	862344	863759	B488_RS03770-MONOMER	B488_07840
B488_RS01230	B488_RS01230	284354	285502	B488_RS01230-MONOMER	B488_02500
B488_RS04410	B488_RS04410	993114	993734	B488_RS04410-MONOMER	B488_09210
B488_RS05760	B488_RS05760	1294369	1294836	B488_RS05760-MONOMER	B488_11850
B488_RS02840	B488_RS02840	638993	640891	B488_RS02840-MONOMER	B488_05830
B488_RS04605	B488_RS04605	1033905	1034798	B488_RS04605-MONOMER	B488_09600
B488_RS06505	B488_RS06505	1448003	1450003	B488_RS06505-MONOMER	B488_13350
B488_RS07050	B488_RS07050	1335142	1335299	B488_RS07050-RNA	
