Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2
B488_RS03150	B488_RS03150	716928	717143	B488_RS03150-MONOMER	B488_06470
B488_RS06395	B488_RS06395	1428096	1428737	B488_RS06395-MONOMER	B488_13140
B488_RS01815	B488_RS01815	418896	419702	B488_RS01815-MONOMER	B488_03660
B488_RS06965	B488_RS06965	123425	124430	B488_RS06965-MONOMER	B488_01050
B488_RS02800	B488_RS02800	630100	632070	B488_RS02800-MONOMER	B488_05750
B488_RS03595	B488_RS03595	830281	831477	B488_RS03595-MONOMER	B488_07440
B488_RS06095	B488_RS06095	1367811	1368482	B488_RS06095-MONOMER	B488_12520
B488_RS01670	B488_RS01670	387744	389066	B488_RS01670-MONOMER	B488_03370
B488_RS00795	B488_RS00795	192569	194176	B488_RS00795-MONOMER	B488_01600
B488_RS06650	B488_RS06650	1479719	1480120	B488_RS06650-MONOMER	B488_13590
B488_RS05575	B488_RS05575	1241661	1242461	B488_RS05575-MONOMER	B488_11450
B488_RS03965	B488_RS03965	905398	906549	B488_RS03965-MONOMER	B488_08290
B488_RS00185	B488_RS00185	50166	51365	B488_RS00185-MONOMER	B488_00370
B488_RS04945	B488_RS04945	1113824	1114102	B488_RS04945-MONOMER	B488_10190
B488_RS02025	B488_RS02025	478395	478784	B488_RS02025-MONOMER	B488_04150
B488_RS05235	B488_RS05235	1173261	1173797	B488_RS05235-MONOMER	B488_10750
B488_RS03735	B488_RS03735	855689	856144	B488_RS03735-MONOMER	B488_07770
B488_RS02480	B488_RS02480	554961	556472	B488_RS02480-MONOMER	B488_05140
B488_RS00520	B488_RS00520	124652	125461	B488_RS00520-MONOMER	B488_01060
B488_RS02295	B488_RS02295	528001	528762	B488_RS02295-MONOMER	B488_04720
B488_RS04390	B488_RS04390	989543	990007	B488_RS04390-MONOMER	B488_09170
B488_RS01410	B488_RS01410	321168	323786	B488_RS01410-MONOMER	B488_02820
B488_RS06725	B488_RS06725	1499679	1500527	B488_RS06725-MONOMER	B488_13740
B488_RS03155	B488_RS03155	717668	718858	B488_RS03155-MONOMER	B488_06480
B488_RS06470	B488_RS06470	1442801	1443226	B488_RS06470-MONOMER	B488_13290
B488_RS05960	B488_RS05960	1337080	1337835	B488_RS05960-MONOMER	B488_12240
B488_RS03460	B488_RS03460	797976	799476	B488_RS03460-MONOMER	B488_07160
B488_RS04195	B488_RS04195	955103	957442	B488_RS04195-MONOMER	B488_08770
B488_RS01530	B488_RS01530	351563	352918	B488_RS01530-MONOMER	B488_03060
B488_RS04040	B488_RS04040	925123	929268	B488_RS04040-MONOMER	B488_08440
B488_RS00525	B488_RS00525	125466	126686	B488_RS00525-MONOMER	B488_01070
B488_RS05580	B488_RS05580	1242589	1243281	B488_RS05580-MONOMER	B488_11460
B488_RS04325	B488_RS04325	975421	975707	B488_RS04325-MONOMER	B488_RS04325
B488_RS05710	B488_RS05710	1280186	1281484	B488_RS05710-MONOMER	B488_11750
B488_RS00190	B488_RS00190	51382	52248	B488_RS00190-MONOMER	B488_00380
B488_RS04950	B488_RS04950	1114198	1114725	B488_RS04950-MONOMER	B488_10200
B488_RS02030	B488_RS02030	478786	479502	B488_RS02030-MONOMER	B488_04160
B488_RS05240	B488_RS05240	1173810	1174385	B488_RS05240-MONOMER	B488_10760
