Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS08665-MONOMER	2-dehydro-3-deoxyphosphooctonate aldolase	ABAYE_RS08665	CCI-CYTOSOL-GN
ABAYE_RS07280-MONOMER	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	ABAYE_RS07280	CCI-CYTOSOL-GN
ABAYE_RS00995-MONOMER	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	ABAYE_RS00995	CCI-CYTOSOL-GN
ABAYE_RS11750-MONOMER	HTH domain-containing protein	ABAYE_RS11750	CCI-CYTOSOL-GN
ABAYE_RS12325-MONOMER	hypothetical protein	ABAYE_RS12325	CCI-CYTOSOL-GN
ABAYE_RS17375-MONOMER	elongation factor Tu	ABAYE_RS17375	CCI-CYTOSOL-GN
ABAYE_RS14310-MONOMER	hypothetical protein	ABAYE_RS14310	CCI-PM-BAC-NEG-GN
ABAYE_RS16470-MONOMER	prolipoprotein diacylglyceryl transferase	ABAYE_RS16470	CCI-PM-BAC-NEG-GN
ABAYE_RS18555-MONOMER	DUF3861 domain-containing protein	ABAYE_RS18555	
ABAYE_RS18295-MONOMER	DNA polymerase IV	ABAYE_RS18295	CCI-CYTOSOL-GN
ABAYE_RS10330-MONOMER	transcriptional regulator	ABAYE_RS10330	
ABAYE_RS10585-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS10585	CCI-CYTOSOL-GN
ABAYE_RS18640-MONOMER	outer membrane lipoprotein-sorting protein	ABAYE_RS18640	CCI-PM-BAC-NEG-GN
ABAYE_RS05005-MONOMER	fructose 1,6-bisphosphatase	ABAYE_RS05005	CCI-CYTOSOL-GN
ABAYE_RS06175-MONOMER	lipoyl synthase	ABAYE_RS06175	CCI-CYTOSOL-GN
ABAYE_RS06815-MONOMER	colicin V biosynthesis protein	ABAYE_RS06815	CCI-PM-BAC-NEG-GN
ABAYE_RS18720-MONOMER	amino acid permease	ABAYE_RS18720	CCI-PM-BAC-NEG-GN
ABAYE_RS04380-MONOMER	DUF493 domain-containing protein	ABAYE_RS04380	CCI-CYTOSOL-GN
ABAYE_RS01665-MONOMER	hypothetical protein	ABAYE_RS01665	
ABAYE_RS09215-MONOMER	dihydroxy-acid dehydratase	ABAYE_RS09215	CCI-CYTOSOL-GN
ABAYE_RS13455-MONOMER	hypothetical protein	ABAYE_RS13455	CCI-PM-BAC-NEG-GN
ABAYE_RS02885-MONOMER	hypothetical protein	ABAYE_RS02885	CCI-CYTOSOL-GN
ABAYE_RS18165-MONOMER	arsenical resistance protein ArsH	ABAYE_RS18165	CCI-CYTOSOL-GN
ABAYE_RS02730-MONOMER	metal-binding protein	ABAYE_RS02730	
ABAYE_RS18845-MONOMER	transcriptional regulator LldR	ABAYE_RS18845	CCI-CYTOSOL-GN
ABAYE_RS07505-MONOMER	potassium-transporting ATPase subunit KdpC	ABAYE_RS07505	CCI-PM-BAC-NEG-GN
ABAYE_RS03350-MONOMER	baseplate assembly protein	ABAYE_RS03350	CCI-CYTOSOL-GN
ABAYE_RS07220-MONOMER	dicarboxylate/amino acid:cation symporter	ABAYE_RS07220	CCI-PM-BAC-NEG-GN
ABAYE_RS05730-MONOMER	cyclic diguanylate phosphodiesterase	ABAYE_RS05730	CCI-CYTOSOL-GN
ABAYE_RS14710-MONOMER	NAD+ synthase	ABAYE_RS14710	CCI-CYTOSOL-GN
ABAYE_RS06055-MONOMER	aminopeptidase P family protein	ABAYE_RS06055	
