Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS10335-MONOMER	IscS subfamily cysteine desulfurase	ABAYE_RS10335	CCI-CYTOSOL-GN
ABAYE_RS05295-MONOMER	membrane protein	ABAYE_RS05295	CCI-OUTER-MEM-GN
ABAYE_RS19790-MONOMER	hypothetical protein	ABAYE_RS19790	
ABAYE_RS05410-MONOMER	serine protease	ABAYE_RS05410	
ABAYE_RS10160-MONOMER	PepSY domain-containing protein	ABAYE_RS10160	CCI-PM-BAC-NEG-GN
ABAYE_RS02955-MONOMER	enoyl-CoA hydratase	ABAYE_RS02955	CCI-CYTOSOL-GN
ABAYE_RS10730-MONOMER	AraC family transcriptional regulator	ABAYE_RS10730	CCI-CYTOSOL-GN
ABAYE_RS08695-MONOMER	CoA transferase subunit B	ABAYE_RS08695	CCI-CYTOSOL-GN
ABAYE_RS08510-MONOMER	cytochrome bd oxidase subunit I	ABAYE_RS08510	CCI-PM-BAC-NEG-GN
ABAYE_RS05815-MONOMER	MarC family protein	ABAYE_RS05815	CCI-PM-BAC-NEG-GN
ABAYE_RS13765-MONOMER	methyltransferase domain-containing protein	ABAYE_RS13765	
ABAYE_RS07905-MONOMER	Lrp/AsnC family transcriptional regulator	ABAYE_RS07905	CCI-CYTOSOL-GN
ABAYE_RS11735-MONOMER	putative 2-aminoethylphosphonate ABC transporter substrate-binding protein	ABAYE_RS11735	
ABAYE_RS09685-MONOMER	pyrroloquinoline quinone biosynthesis protein B	ABAYE_RS09685	CCI-CYTOSOL-GN
ABAYE_RS06020-MONOMER	xanthine dehydrogenase accessory protein XdhC	ABAYE_RS06020	CCI-CYTOSOL-GN
ABAYE_RS05725-MONOMER	50S ribosomal protein L31	ABAYE_RS05725	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS18675-MONOMER	GNAT family N-acetyltransferase	ABAYE_RS18675	
ABAYE_RS10710-MONOMER	DUF1275 domain-containing protein	ABAYE_RS10710	CCI-PM-BAC-NEG-GN
ABAYE_RS14675-MONOMER	30S ribosomal protein S7	ABAYE_RS14675	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS07555-MONOMER	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	ABAYE_RS07555	CCI-CYTOSOL-GN
ABAYE_RS07810-MONOMER	TonB-dependent siderophore receptor	ABAYE_RS07810	CCI-OUTER-MEM-GN
ABAYE_RS14735-MONOMER	ring-hydroxylating oxygenase subunit alpha	ABAYE_RS14735	
ABAYE_RS04475-MONOMER	DUF808 domain-containing protein	ABAYE_RS04475	CCI-PM-BAC-NEG-GN
ABAYE_RS09195-MONOMER	HlyD family secretion protein	ABAYE_RS09195	CCI-PM-BAC-NEG-GN
ABAYE_RS05830-MONOMER	type II toxin-antitoxin system prevent-host-death family antitoxin	ABAYE_RS05830	
ABAYE_RS14805-MONOMER	23S rRNA pseudouridine(1911/1915/1917) synthase RluD	ABAYE_RS14805	CCI-CYTOSOL-GN
ABAYE_RS16375-MONOMER	PKHD-type hydroxylase	ABAYE_RS16375	CCI-CYTOSOL-GN
ABAYE_RS16020-MONOMER	hypothetical protein	ABAYE_RS16020	CCI-CYTOSOL-GN
ABAYE_RS12690-MONOMER	MFS transporter	ABAYE_RS12690	CCI-PM-BAC-NEG-GN
ABAYE_RS15095-MONOMER	5'-nucleosidase	ABAYE_RS15095	
ABAYE_RS06265-MONOMER	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	ABAYE_RS06265	CCI-CYTOSOL-GN
ABAYE_RS17050-MONOMER	ATP-binding protein	ABAYE_RS17050	CCI-CYTOSOL-GN
ABAYE_RS04080-MONOMER	ribonuclease G	ABAYE_RS04080	CCI-CYTOSOL-GN
ABAYE_RS06025-MONOMER	hypothetical protein	ABAYE_RS06025	CCI-CYTOSOL-GN
ABAYE_RS18405-MONOMER	LysM peptidoglycan-binding domain-containing protein	ABAYE_RS18405	
ABAYE_RS04200-MONOMER	porin	ABAYE_RS04200	CCI-OUTER-MEM-GN
ABAYE_RS05450-MONOMER	L-cystine transporter	ABAYE_RS05450	CCI-PM-BAC-NEG-GN
ABAYE_RS07145-MONOMER	DUF1365 domain-containing protein	ABAYE_RS07145	
ABAYE_RS17590-MONOMER	sigma-54-dependent Fis family transcriptional regulator	ABAYE_RS17590	CCI-CYTOSOL-GN
ABAYE_RS11760-MONOMER	LysR family transcriptional regulator	ABAYE_RS11760	CCI-CYTOSOL-GN
ABAYE_RS09055-MONOMER	hydrolase	ABAYE_RS09055	CCI-CYTOSOL-GN
ABAYE_RS01265-MONOMER	DUF1737 domain-containing protein	ABAYE_RS01265	
ABAYE_RS04515-MONOMER	universal stress protein	ABAYE_RS04515	CCI-CYTOSOL-GN
ABAYE_RS10885-MONOMER	fimbrial biogenesis outer membrane usher protein	ABAYE_RS10885	
ABAYE_RS18600-MONOMER	ParA family protein	ABAYE_RS18600	
ABAYE_RS00340-MONOMER	hypothetical protein	ABAYE_RS00340	
ABAYE_RS16635-MONOMER	endonuclease	ABAYE_RS16635	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS00765-MONOMER	hypothetical protein	ABAYE_RS00765	
ABAYE_RS09545-MONOMER	hypothetical protein	ABAYE_RS09545	
ABAYE_RS02485-MONOMER	DNA helicase RecG	ABAYE_RS02485	CCI-CYTOSOL-GN
ABAYE_RS04830-MONOMER	diaminopimelate epimerase	ABAYE_RS04830	CCI-CYTOSOL-GN
ABAYE_RS02185-MONOMER	EamA family transporter	ABAYE_RS02185	CCI-PM-BAC-NEG-GN
ABAYE_RS13325-MONOMER	ABC transporter substrate-binding protein	ABAYE_RS13325	CCI-PERI-BAC-GN // CCO-MEMBRANE
ABAYE_RS17700-MONOMER	sodium:proton antiporter	ABAYE_RS17700	CCI-PM-BAC-NEG-GN
ABAYE_RS16725-MONOMER	phosphoenolpyruvate-protein phosphotransferase PtsP	ABAYE_RS16725	CCI-CYTOSOL-GN
ABAYE_RS18240-MONOMER	membrane protein	ABAYE_RS18240	CCI-PM-BAC-NEG-GN
ABAYE_RS16480-MONOMER	hypothetical protein	ABAYE_RS16480	CCI-PM-BAC-NEG-GN
ABAYE_RS15415-MONOMER	CoA transferase	ABAYE_RS15415	CCI-CYTOSOL-GN
ABAYE_RS11465-MONOMER	LysE family translocator	ABAYE_RS11465	CCI-PM-BAC-NEG-GN
ABAYE_RS11775-MONOMER	hypothetical protein	ABAYE_RS11775	CCI-OUTER-MEM-GN
ABAYE_RS12140-MONOMER	type VI secretion system membrane subunit TssM	ABAYE_RS12140	CCI-PM-BAC-NEG-GN
ABAYE_RS06135-MONOMER	NADP-dependent malic enzyme	ABAYE_RS06135	CCI-CYTOSOL-GN
ABAYE_RS18115-MONOMER	aminoglycoside O-phosphotransferase APH(3'')-Ib	ABAYE_RS18115	CCI-CYTOSOL-GN
ABAYE_RS03470-MONOMER	glycosyl transferase	ABAYE_RS03470	CCI-CYTOSOL-GN
ABAYE_RS13580-MONOMER	hypothetical protein	ABAYE_RS13580	
ABAYE_RS16050-MONOMER	hypothetical protein	ABAYE_RS16050	
ABAYE_RS18205-MONOMER	ATP-binding protein	ABAYE_RS18205	
ABAYE_RS05620-MONOMER	phosphate ABC transporter permease subunit PstC	ABAYE_RS05620	CCI-PM-BAC-NEG-GN
ABAYE_RS09330-MONOMER	hypothetical protein	ABAYE_RS09330	
ABAYE_RS13140-MONOMER	GntR family transcriptional regulator	ABAYE_RS13140	CCI-CYTOSOL-GN
ABAYE_RS06940-MONOMER	glycosyl transferase	ABAYE_RS06940	CCI-CYTOSOL-GN
ABAYE_RS10210-MONOMER	haloacid dehalogenase	ABAYE_RS10210	CCI-CYTOSOL-GN
ABAYE_RS11595-MONOMER	LysR family transcriptional regulator	ABAYE_RS11595	CCI-CYTOSOL-GN
ABAYE_RS19580-MONOMER	hypothetical protein	ABAYE_RS19580	
ABAYE_RS12720-MONOMER	cold-shock protein	ABAYE_RS12720	CCI-CYTOSOL-GN
ABAYE_RS09860-MONOMER	MFS transporter	ABAYE_RS09860	CCI-PM-BAC-NEG-GN
ABAYE_RS10005-MONOMER	GGDEF domain-containing protein	ABAYE_RS10005	CCI-PM-BAC-NEG-GN
ABAYE_RS11030-MONOMER	redox-regulated ATPase YchF	ABAYE_RS11030	CCI-CYTOSOL-GN
ABAYE_RS18735-MONOMER	alanine racemase	ABAYE_RS18735	CCI-CYTOSOL-GN
ABAYE_RS17130-MONOMER	type IV-A pilus assembly ATPase PilB	ABAYE_RS17130	CCI-CYTOSOL-GN
ABAYE_RS04405-MONOMER	DUF1289 domain-containing protein	ABAYE_RS04405	CCI-CYTOSOL-GN
ABAYE_RS09615-MONOMER	hypothetical protein	ABAYE_RS09615	
ABAYE_RS17230-MONOMER	peptidoglycan hydrolase	ABAYE_RS17230	
ABAYE_RS10090-MONOMER	class I SAM-dependent methyltransferase	ABAYE_RS10090	CCI-CYTOSOL-GN
ABAYE_RS13550-MONOMER	hypothetical protein	ABAYE_RS13550	
ABAYE_RS03860-MONOMER	AcrB/AcrD/AcrF family protein	ABAYE_RS03860	CCO-MEMBRANE
ABAYE_RS11100-MONOMER	peptide-methionine (R)-S-oxide reductase	ABAYE_RS11100	CCI-CYTOSOL-GN
ABAYE_RS06065-MONOMER	type I glutamate--ammonia ligase	ABAYE_RS06065	CCI-CYTOSOL-GN
ABAYE_RS19015-MONOMER	phosphoglycolate phosphatase	ABAYE_RS19015	CCI-CYTOSOL-GN
ABAYE_RS00480-MONOMER	hypothetical protein	ABAYE_RS00480	CCI-CYTOSOL-GN
ABAYE_RS06680-MONOMER	hypothetical protein	ABAYE_RS06680	CCI-CYTOSOL-GN
ABAYE_RS05270-MONOMER	pyridoxal phosphate-dependent aminotransferase	ABAYE_RS05270	CCI-CYTOSOL-GN
ABAYE_RS14475-MONOMER	hypothetical protein	ABAYE_RS14475	CCI-CYTOSOL-GN
ABAYE_RS00720-MONOMER	AcrB/AcrD/AcrF family protein	ABAYE_RS00720	CCI-PM-BAC-NEG-GN
ABAYE_RS07465-MONOMER	AMP-binding protein	ABAYE_RS07465	CCI-CYTOSOL-GN
ABAYE_RS11785-MONOMER	DUF1487 domain-containing protein	ABAYE_RS11785	CCI-CYTOSOL-GN
ABAYE_RS17825-MONOMER	IS6 family transposase IS15DIV	ABAYE_RS17825	CCI-CYTOSOL-GN
ABAYE_RS01495-MONOMER	excinuclease ABC subunit UvrA	ABAYE_RS01495	CCI-CYTOSOL-GN
ABAYE_RS08940-MONOMER	dihydroxy-acid dehydratase	ABAYE_RS08940	CCI-CYTOSOL-GN
ABAYE_RS03220-MONOMER	hypothetical protein	ABAYE_RS03220	
ABAYE_RS12095-MONOMER	D-Ala-D-Ala carboxypeptidase	ABAYE_RS12095	CCI-PM-BAC-NEG-GN
ABAYE_RS13070-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS13070	CCI-CYTOSOL-GN
ABAYE_RS12665-MONOMER	hypothetical protein	ABAYE_RS12665	
ABAYE_RS08390-MONOMER	PTS fructose transporter subunit IIBC	ABAYE_RS08390	CCI-PM-BAC-NEG-GN
ABAYE_RS04570-MONOMER	hypothetical protein	ABAYE_RS04570	CCI-CYTOSOL-GN
ABAYE_RS12585-MONOMER	hypothetical protein	ABAYE_RS12585	
ABAYE_RS10505-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS10505	CCI-CYTOSOL-GN // CCO-MEMBRANE
CPLX1SOZ-33	predicted ABC transporter of L-histidine	ABAYE_RS06330 // ABAYE_RS06335	
ABAYE_RS18305-MONOMER	DUF2726 domain-containing protein	ABAYE_RS18305	
ABAYE_RS04510-MONOMER	methyltransferase	ABAYE_RS04510	
ABAYE_RS05525-MONOMER	isochorismatase	ABAYE_RS05525	
ABAYE_RS15665-MONOMER	carbon-nitrogen hydrolase family protein	ABAYE_RS15665	CCI-CYTOSOL-GN
ABAYE_RS09455-MONOMER	hypothetical protein	ABAYE_RS09455	
ABAYE_RS03825-MONOMER	thiol:disulfide interchange protein	ABAYE_RS03825	CCI-PERI-BAC-GN
ABAYE_RS14860-MONOMER	ribose-phosphate pyrophosphokinase	ABAYE_RS14860	CCI-CYTOSOL-GN
ABAYE_RS04965-MONOMER	AI-2E family transporter	ABAYE_RS04965	CCI-PM-BAC-NEG-GN
ABAYE_RS08500-MONOMER	cytochrome bd-I oxidase subunit CydX	ABAYE_RS08500	
ABAYE_RS00085-MONOMER	hypothetical protein	ABAYE_RS00085	
ABAYE_RS17485-MONOMER	RND transporter	ABAYE_RS17485	CCI-OUTER-MEM-GN
ABAYE_RS12395-MONOMER	hypothetical protein	ABAYE_RS12395	
ABAYE_RS05305-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	ABAYE_RS05305	CCI-CYTOSOL-GN
ABAYE_RS11240-MONOMER	MFS transporter	ABAYE_RS11240	CCI-PM-BAC-NEG-GN
ABAYE_RS10845-MONOMER	tRNA epoxyqueuosine(34) reductase QueG	ABAYE_RS10845	CCI-CYTOSOL-GN
ABAYE_RS00800-MONOMER	HIT family protein	ABAYE_RS00800	
ABAYE_RS03000-MONOMER	symmetrical bis(5'-nucleosyl)-tetraphosphatase	ABAYE_RS03000	CCI-CYTOSOL-GN
ABAYE_RS07785-MONOMER	hypothetical protein	ABAYE_RS07785	CCI-CYTOSOL-GN
ABAYE_RS02170-MONOMER	membrane protein	ABAYE_RS02170	CCI-PM-BAC-NEG-GN
ABAYE_RS12465-MONOMER	O-methyltransferase	ABAYE_RS12465	CCI-CYTOSOL-GN
ABAYE_RS03235-MONOMER	single-stranded DNA-binding protein	ABAYE_RS03235	CCI-CYTOSOL-GN
ABAYE_RS03380-MONOMER	phage holin family protein	ABAYE_RS03380	CCI-PM-BAC-NEG-GN
ABAYE_RS04990-MONOMER	hypothetical protein	ABAYE_RS04990	CCO-MEMBRANE
ABAYE_RS07795-MONOMER	hypothetical protein	ABAYE_RS07795	CCI-CYTOSOL-GN
ABAYE_RS17020-MONOMER	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	ABAYE_RS17020	CCI-CYTOSOL-GN
ABAYE_RS05160-MONOMER	sulfate ABC transporter substrate-binding protein	ABAYE_RS05160	CCI-PERI-BAC-GN
ABAYE_RS18455-MONOMER	ATP synthase subunit beta	ABAYE_RS18455	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
ABAYE_RS01850-MONOMER	hypothetical protein	ABAYE_RS01850	
ABAYE_RS03835-MONOMER	toxin	ABAYE_RS03835	
ABAYE_RS06435-MONOMER	NAD(+) kinase	ABAYE_RS06435	CCI-CYTOSOL-GN
ABAYE_RS16925-MONOMER	hypothetical protein	ABAYE_RS16925	CCI-PM-BAC-NEG-GN
ABAYE_RS00935-MONOMER	histidine ammonia-lyase	ABAYE_RS00935	CCI-CYTOSOL-GN
ABAYE_RS06120-MONOMER	Nif3-like dinuclear metal center hexameric protein	ABAYE_RS06120	CCI-CYTOSOL-GN
ABAYE_RS18875-MONOMER	polysaccharide biosynthesis protein	ABAYE_RS18875	CCI-PM-BAC-NEG-GN
ABAYE_RS16885-MONOMER	glutamate racemase	ABAYE_RS16885	CCI-CYTOSOL-GN
ABAYE_RS05480-MONOMER	DUF962 domain-containing protein	ABAYE_RS05480	CCI-PM-BAC-NEG-GN
CPLX1SOZ-29	xanthine dehydrogenase	ABAYE_RS06010 // ABAYE_RS06015	
ABAYE_RS15815-MONOMER	DUF615 domain-containing protein	ABAYE_RS15815	CCI-CYTOSOL-GN
ABAYE_RS01040-MONOMER	hypothetical protein	ABAYE_RS01040	
ABAYE_RS07050-MONOMER	protein CsuE	ABAYE_RS07050	
ABAYE_RS06700-MONOMER	hypothetical protein	ABAYE_RS06700	
ABAYE_RS10765-MONOMER	tRNA (uridine(54)-C5)-methyltransferase TrmA	ABAYE_RS10765	
ABAYE_RS13020-MONOMER	ribonuclease HII	ABAYE_RS13020	CCI-CYTOSOL-GN
ABAYE_RS17755-MONOMER	hypothetical protein	ABAYE_RS17755	CCI-PM-BAC-NEG-GN
ABAYE_RS10550-MONOMER	enoyl-CoA hydratase/isomerase family protein	ABAYE_RS10550	CCI-CYTOSOL-GN
ABAYE_RS05255-MONOMER	hypothetical protein	ABAYE_RS05255	
ABAYE_RS15930-MONOMER	EamA/RhaT family transporter	ABAYE_RS15930	CCI-PM-BAC-NEG-GN
ABAYE_RS08410-MONOMER	hypothetical protein	ABAYE_RS08410	CCI-PM-BAC-NEG-GN
ABAYE_RS12800-MONOMER	copper-translocating P-type ATPase	ABAYE_RS12800	CCI-PM-BAC-NEG-GN
ABAYE_RS00120-MONOMER	excinuclease ABC subunit UvrA	ABAYE_RS00120	CCI-CYTOSOL-GN
ABAYE_RS08115-MONOMER	molybdopterin molybdenumtransferase MoeA	ABAYE_RS08115	CCI-CYTOSOL-GN
ABAYE_RS13615-MONOMER	DUF4055 domain-containing protein	ABAYE_RS13615	
ABAYE_RS07515-MONOMER	DNA-binding response regulator	ABAYE_RS07515	
ABAYE_RS15370-MONOMER	AraC family transcriptional regulator	ABAYE_RS15370	CCI-CYTOSOL-GN
ABAYE_RS10110-MONOMER	GFA family protein	ABAYE_RS10110	
ABAYE_RS12785-MONOMER	four-helix bundle copper-binding protein	ABAYE_RS12785	
ABAYE_RS16415-MONOMER	twin-arginine translocase subunit TatB	ABAYE_RS16415	CCI-PM-BAC-NEG-GN
ABAYE_RS03770-MONOMER	xanthine permease	ABAYE_RS03770	CCI-PM-BAC-NEG-GN
ABAYE_RS11860-MONOMER	hypothetical protein	ABAYE_RS11860	
ABAYE_RS07815-MONOMER	mechanosensitive ion channel protein MscS	ABAYE_RS07815	CCI-PM-BAC-NEG-GN
ABAYE_RS12220-MONOMER	transcriptional regulator	ABAYE_RS12220	
ABAYE_RS16035-MONOMER	hypothetical protein	ABAYE_RS16035	
ABAYE_RS01365-MONOMER	pyridoxine/pyridoxamine 5'-phosphate oxidase	ABAYE_RS01365	CCI-CYTOSOL-GN
ABAYE_RS18955-MONOMER	murein biosynthesis integral membrane protein MurJ	ABAYE_RS18955	CCI-PM-BAC-NEG-GN
ABAYE_RS10065-MONOMER	recombination protein RecR	ABAYE_RS10065	CCI-CYTOSOL-GN
ABAYE_RS09880-MONOMER	ABC transporter permease	ABAYE_RS09880	CCI-PM-BAC-NEG-GN
ABAYE_RS06235-MONOMER	AzlD domain-containing protein	ABAYE_RS06235	CCO-MEMBRANE
ABAYE_RS05690-MONOMER	5'-nucleotidase SurE	ABAYE_RS05690	CCI-CYTOSOL-GN
ABAYE_RS04000-MONOMER	hypothetical protein	ABAYE_RS04000	
ABAYE_RS01085-MONOMER	KR domain-containing protein	ABAYE_RS01085	CCI-CYTOSOL-GN
ABAYE_RS10895-MONOMER	hypothetical protein	ABAYE_RS10895	CCI-PM-BAC-NEG-GN
ABAYE_RS03040-MONOMER	OmpA family protein	ABAYE_RS03040	CCI-OUTER-MEM-GN
ABAYE_RS20025-MONOMER	molecular chaperone GroEL	ABAYE_RS20025	CCI-CYTOSOL-GN
ABAYE_RS07475-MONOMER	HesA/MoeB/ThiF family protein	ABAYE_RS07475	CCI-CYTOSOL-GN
ABAYE_RS11335-MONOMER	N-acetyltransferase	ABAYE_RS11335	CCI-CYTOSOL-GN
ABAYE_RS09105-MONOMER	hypothetical protein	ABAYE_RS09105	
ABAYE_RS19485-MONOMER	hypothetical protein	ABAYE_RS19485	
ABAYE_RS00730-MONOMER	molecular chaperone DnaJ	ABAYE_RS00730	CCI-CYTOSOL-GN
ABAYE_RS10690-MONOMER	cupin	ABAYE_RS10690	CCI-CYTOSOL-GN
ABAYE_RS08835-MONOMER	nuclear transport factor 2 family protein	ABAYE_RS08835	
ABAYE_RS16685-MONOMER	3-isopropylmalate dehydrogenase	ABAYE_RS16685	CCI-CYTOSOL-GN
ABAYE_RS03980-MONOMER	hypothetical protein	ABAYE_RS03980	CCO-MEMBRANE
CPLX1SOZ-21	ethanolamine ammonia-lyase	ABAYE_RS07670 // ABAYE_RS07675	
ABAYE_RS05800-MONOMER	FAD-binding oxidoreductase	ABAYE_RS05800	
ABAYE_RS19595-MONOMER	hypothetical protein	ABAYE_RS19595	
ABAYE_RS15760-MONOMER	phenylalanine--tRNA ligase subunit alpha	ABAYE_RS15760	CCI-CYTOSOL-GN
ABAYE_RS05065-MONOMER	phosphoribosylformylglycinamidine synthase	ABAYE_RS05065	CCI-CYTOSOL-GN
ABAYE_RS20005-MONOMER	hypothetical protein	ABAYE_RS20005	
ABAYE_RS12150-MONOMER	type VI secretion system baseplate subunit TssG	ABAYE_RS12150	
ABAYE_RS03385-MONOMER	membrane protein	ABAYE_RS03385	CCI-PM-BAC-NEG-GN
ABAYE_RS07945-MONOMER	esterase	ABAYE_RS07945	
ABAYE_RS08195-MONOMER	hypothetical protein	ABAYE_RS08195	
ABAYE_RS02785-MONOMER	fumarylacetoacetate hydrolase	ABAYE_RS02785	CCI-CYTOSOL-GN
ABAYE_RS02225-MONOMER	TIGR01666 family membrane protein	ABAYE_RS02225	CCI-PM-BAC-NEG-GN
ABAYE_RS19115-MONOMER	ankyrin repeat domain-containing protein	ABAYE_RS19115	
ABAYE_RS02440-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS02440	CCI-PM-BAC-NEG-GN
ABAYE_RS11880-MONOMER	hypothetical protein	ABAYE_RS11880	
ABAYE_RS11145-MONOMER	alkyl hydroperoxide reductase subunit F	ABAYE_RS11145	CCI-PM-BAC-NEG-GN
ABAYE_RS16745-MONOMER	DUF1345 domain-containing protein	ABAYE_RS16745	CCI-PM-BAC-NEG-GN
ABAYE_RS01535-MONOMER	single-stranded DNA-binding protein	ABAYE_RS01535	CCI-CYTOSOL-GN
ABAYE_RS00865-MONOMER	MATE family efflux transporter	ABAYE_RS00865	CCI-PM-BAC-NEG-GN
ABAYE_RS02045-MONOMER	hypothetical protein	ABAYE_RS02045	CCI-PM-BAC-NEG-GN
ABAYE_RS16655-MONOMER	asparaginase	ABAYE_RS16655	CCI-CYTOSOL-GN
ABAYE_RS11280-MONOMER	LysR family transcriptional regulator	ABAYE_RS11280	CCI-CYTOSOL-GN
ABAYE_RS12380-MONOMER	hypothetical protein	ABAYE_RS12380	CCI-CYTOSOL-GN
ABAYE_RS13690-MONOMER	hypothetical protein	ABAYE_RS13690	
ABAYE_RS17675-MONOMER	hypothetical protein	ABAYE_RS17675	CCI-CYTOSOL-GN
ABAYE_RS03855-MONOMER	proline--tRNA ligase	ABAYE_RS03855	CCI-CYTOSOL-GN
ABAYE_RS02675-MONOMER	30S ribosomal protein S4	ABAYE_RS02675	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS07485-MONOMER	dihydroneopterin aldolase	ABAYE_RS07485	CCI-CYTOSOL-GN
ABAYE_RS11310-MONOMER	biotin-independent malonate decarboxylase subunit beta	ABAYE_RS11310	CCI-CYTOSOL-GN
ABAYE_RS03125-MONOMER	YajQ family cyclic di-GMP-binding protein	ABAYE_RS03125	CCI-CYTOSOL-GN
ABAYE_RS16825-MONOMER	SfnB family sulfur acquisition oxidoreductase	ABAYE_RS16825	CCI-CYTOSOL-GN
ABAYE_RS13180-MONOMER	DUF3237 domain-containing protein	ABAYE_RS13180	
ABAYE_RS02625-MONOMER	30S ribosomal protein S8	ABAYE_RS02625	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS16180-MONOMER	enoyl-ACP reductase	ABAYE_RS16180	CCI-PM-BAC-NEG-GN
ABAYE_RS11660-MONOMER	3-hydroxyacyl-CoA dehydrogenase	ABAYE_RS11660	CCI-CYTOSOL-GN
ABAYE_RS13340-MONOMER	hypothetical protein	ABAYE_RS13340	
ABAYE_RS04760-MONOMER	nitroreductase family protein	ABAYE_RS04760	CCI-CYTOSOL-GN
ABAYE_RS10760-MONOMER	hypothetical protein	ABAYE_RS10760	
ABAYE_RS02425-MONOMER	inositol monophosphatase	ABAYE_RS02425	CCI-CYTOSOL-GN
ABAYE_RS07835-MONOMER	hypothetical protein	ABAYE_RS07835	
ABAYE_RS09835-MONOMER	LysR family transcriptional regulator	ABAYE_RS09835	CCI-CYTOSOL-GN
ABAYE_RS10545-MONOMER	tRNA adenosine(34) deaminase TadA	ABAYE_RS10545	CCI-CYTOSOL-GN
ABAYE_RS01440-MONOMER	DNA-binding response regulator	ABAYE_RS01440	
ABAYE_RS00505-MONOMER	hypothetical protein	ABAYE_RS00505	
ABAYE_RS15530-MONOMER	methyltransferase	ABAYE_RS15530	CCI-CYTOSOL-GN
ABAYE_RS15060-MONOMER	hypothetical protein	ABAYE_RS15060	
ABAYE_RS16240-MONOMER	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	ABAYE_RS16240	CCI-CYTOSOL-GN
ABAYE_RS10030-MONOMER	MoxR family ATPase	ABAYE_RS10030	CCI-CYTOSOL-GN
ABAYE_RS06450-MONOMER	dicarboxylate/amino acid:cation symporter	ABAYE_RS06450	CCI-PM-BAC-NEG-GN
ABAYE_RS05615-MONOMER	phosphonate ABC transporter substrate-binding protein	ABAYE_RS05615	CCI-PM-BAC-NEG-GN
ABAYE_RS15550-MONOMER	NUDIX hydrolase	ABAYE_RS15550	CCI-CYTOSOL-GN
ABAYE_RS03160-MONOMER	hypothetical protein	ABAYE_RS03160	CCI-PM-BAC-NEG-GN
ABAYE_RS13435-MONOMER	hypothetical protein	ABAYE_RS13435	CCI-PM-BAC-NEG-GN
ABAYE_RS01925-MONOMER	glutamate--tRNA ligase	ABAYE_RS01925	CCI-CYTOSOL-GN
ABAYE_RS02690-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS02690	CCI-CYTOSOL-GN
ABAYE_RS03425-MONOMER	sensor histidine kinase	ABAYE_RS03425	CCI-PM-BAC-NEG-GN
ABAYE_RS10840-MONOMER	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	ABAYE_RS10840	CCI-CYTOSOL-GN
ABAYE_RS00600-MONOMER	hypothetical protein	ABAYE_RS00600	
ABAYE_RS12025-MONOMER	4-hydroxyproline 2-epimerase	ABAYE_RS12025	CCI-CYTOSOL-GN
ABAYE_RS15700-MONOMER	DUF2339 domain-containing protein	ABAYE_RS15700	CCI-PM-BAC-NEG-GN
ABAYE_RS00560-MONOMER	DNA polymerase III subunit beta	ABAYE_RS00560	CCI-CYTOSOL-GN
ABAYE_RS04190-MONOMER	acyltransferase	ABAYE_RS04190	CCI-PERI-BAC-GN
ABAYE_RS13170-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS13170	CCI-CYTOSOL-GN
ABAYE_RS12970-MONOMER	cAMP-activated global transcriptional regulator CRP	ABAYE_RS12970	CCI-CYTOSOL-GN
ABAYE_RS16575-MONOMER	hypothetical protein	ABAYE_RS16575	CCI-PM-BAC-NEG-GN
ABAYE_RS02120-MONOMER	VWA domain-containing protein	ABAYE_RS02120	CCI-EXTRACELLULAR-GN
ABAYE_RS18055-MONOMER	LysR family transcriptional regulator	ABAYE_RS18055	
ABAYE_RS09480-MONOMER	hypothetical protein	ABAYE_RS09480	
ABAYE_RS17360-MONOMER	transcription termination/antitermination protein NusG	ABAYE_RS17360	CCI-CYTOSOL-GN
ABAYE_RS03330-MONOMER	phage major tail tube protein	ABAYE_RS03330	CCI-CYTOSOL-GN
ABAYE_RS08120-MONOMER	transcriptional regulator	ABAYE_RS08120	CCI-CYTOSOL-GN
ABAYE_RS03985-MONOMER	TIGR01666 family membrane protein	ABAYE_RS03985	CCI-PM-BAC-NEG-GN
