,value
PrfA_mono_mediated_termination,{'enzymes': ['YPO2017-MONOMER']}
PrfB_mono_mediated_termination,{'enzymes': ['YPO0889-MONOMER']}
generic_RF_mediated_termination,{'enzymes': ['generic_RF']}
N_terminal_methionine_cleavage,{'enzymes': ['YPO1043-MONOMER']}
peptide_deformylase_processing,{'enzymes': ['YPO0242-MONOMER']}
peptide_chain_release,{'enzymes': ['YPO0889-MONOMER']}
ribosome_recycler,{'enzymes': ['YPO1047-MONOMER']}
GroEL_dependent_folding,{'enzymes': ['CPLX_dummy']}
DnaK_dependent_folding,"{'enzymes': ['YPO0468-MONOMER', 'YPO0469-MONOMER', 'YPO1107-MONOMER']}"
