,value
S0336,MONOMER
S0337,MONOMER
S0338,MONOMER
S0339,MONOMER
S0341,MONOMER
S0342,MONOMER
S0343,MONOMER
S0344,MONOMER
S0345,MONOMER
S0346,MONOMER
S0347,MONOMER
S0348,MONOMER
S0350,MONOMER
S0351,MONOMER
S0352,MONOMER
S0353,MONOMER
S0354,MONOMER
S0355,MONOMER
S0356,MONOMER
S0357,MONOMER
S0358,MONOMER
S0359,MONOMER
S0360,MONOMER
S0361,MONOMER
S0362,MONOMER
S0363,MONOMER
S0365,MONOMER
S0366,MONOMER
S0367,MONOMER
S0368,MONOMER
S0369,MONOMER
S0370,MONOMER
S0371,MONOMER
S0372,MONOMER
S0373,MONOMER
S0374,MONOMER
S0375,MONOMER
S0376,MONOMER
S0379,MONOMER
S0380,MONOMER
S0381,MONOMER
S0382,MONOMER
S0383,MONOMER
S0384,MONOMER
S0385,MONOMER
S0386,MONOMER
S0387,MONOMER
S0388,MONOMER
S0389,MONOMER
S0390,MONOMER
S0391,MONOMER
S0392,MONOMER
S0393,MONOMER
S0394,MONOMER
S0395,MONOMER
S0397,MONOMER
S0398,MONOMER
S0399,MONOMER
S0400,MONOMER
S0401,MONOMER
S0402,MONOMER
S0403,MONOMER
S0404,MONOMER
S0405,MONOMER
S0406,MONOMER
S0407,misc
S0408,MONOMER
S0409,MONOMER
S0410,MONOMER
S0412,MONOMER
S0413,MONOMER
S0414,MONOMER
S0415,MONOMER
S0416,MONOMER
S0417,MONOMER
S0418,MONOMER
S0419,MONOMER
S0420,MONOMER
S0421,MONOMER
S0422,MONOMER
S0423,MONOMER
S0424,MONOMER
S0425,MONOMER
S0426,MONOMER
S0427,MONOMER
S0428,MONOMER
S0429,MONOMER
S0430,MONOMER
S0431,MONOMER
S0432,MONOMER
S0433,MONOMER
S0434,MONOMER
S0435,MONOMER
S0436,MONOMER
S0437,MONOMER
S0438,MONOMER
S0439,MONOMER
S0440,MONOMER
S0441,MONOMER
S0442,MONOMER
S0443,MONOMER
S0444,MONOMER
S0445,MONOMER
S0447,MONOMER
S0449,MONOMER
S0450,MONOMER
S0451,MONOMER
S0452,MONOMER
S0453,MONOMER
S0454,MONOMER
S0455,MONOMER
S0456,MONOMER
S0457,MONOMER
S0458,MONOMER
S0460,MONOMER
S0461,MONOMER
S0462,MONOMER
S0463,MONOMER
S0464,MONOMER
S0465,MONOMER
S0466,MONOMER
S0467,MONOMER
S0468,MONOMER
S0469,MONOMER
S0470,MONOMER
S0471,MONOMER
S0472,MONOMER
S0474,tRNA
S0475,MONOMER
S0476,MONOMER
S0479,MONOMER
S0480,MONOMER
S0481,MONOMER
S0482,MONOMER
S0484,MONOMER
S0485,MONOMER
S0486,MONOMER
S0487,MONOMER
S0488,MONOMER
S0490,MONOMER
S0491,MONOMER
S0492,MONOMER
S0493,MONOMER
S0494,MONOMER
S0495,MONOMER
S0496,MONOMER
S0497,MONOMER
S0498,MONOMER
S0499,MONOMER
S0500,MONOMER
S0501,MONOMER
S0502,MONOMER
S0503,MONOMER
S0504,MONOMER
S0505,MONOMER
S0506,MONOMER
S0508,MONOMER
S0509,MONOMER
S0510,MONOMER
S0511,MONOMER
S0512,MONOMER
S0514,MONOMER
S0515,MONOMER
S0516,MONOMER
S0517,MONOMER
S0518,MONOMER
S0519,MONOMER
S0520,MONOMER
S0522,MONOMER
S0523,MONOMER
S0526,MONOMER
S0527,MONOMER
S0528,MONOMER
S0529,MONOMER
S0530,MONOMER
S0531,MONOMER
S0532,MONOMER
S0533,MONOMER
S0534,MONOMER
S0535,MONOMER
S0537,MONOMER
S0538,MONOMER
S0539,MONOMER
S0540,MONOMER
S0541,MONOMER
S0542,MONOMER
S0543,MONOMER
S0545,MONOMER
S0546,MONOMER
S0547,MONOMER
S0548,MONOMER
S0549,MONOMER
S0550,MONOMER
S0551,MONOMER
S0552,MONOMER
S0553,MONOMER
S0554,MONOMER
S0555,MONOMER
S0556,MONOMER
S0557,MONOMER
S0558,MONOMER
S0559,MONOMER
S0560,MONOMER
S0561,MONOMER
S0562,MONOMER
S0563,tRNA
S0564,tRNA
S0565,tRNA
S0566,tRNA
S0567,tRNA
S0568,MONOMER
S0569,MONOMER
S0570,MONOMER
S0571,MONOMER
S0572,MONOMER
S0573,MONOMER
S0574,MONOMER
S0575,MONOMER
S0576,MONOMER
S0577,MONOMER
S0578,MONOMER
S0579,MONOMER
S0580,MONOMER
S0581,MONOMER
S0582,MONOMER
S0583,MONOMER
