Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
S4207-MONOMER,Plasma_Membrane,S4207(),Plasma_Membrane,s
S3420-MONOMER,Plasma_Membrane,S3420(),Plasma_Membrane,s
S2894-MONOMER,Plasma_Membrane,S2894(),Plasma_Membrane,s
S4233-MONOMER,Plasma_Membrane,S4233(),Plasma_Membrane,s
S3754-MONOMER,Plasma_Membrane,S3754(),Plasma_Membrane,s
S4543-MONOMER,Plasma_Membrane,S4543(),Plasma_Membrane,s
S2398-MONOMER,Plasma_Membrane,S2398(),Plasma_Membrane,s
S3837-MONOMER,Plasma_Membrane,S3837(),Plasma_Membrane,s
S3627-MONOMER,Plasma_Membrane,S3627(),Plasma_Membrane,s
S0122-MONOMER,Plasma_Membrane,S0122(),Plasma_Membrane,t
S2875-MONOMER,Plasma_Membrane,S2875(),Plasma_Membrane,s
S4562-MONOMER,Plasma_Membrane,S4562(),Plasma_Membrane,s
S3513-MONOMER,Plasma_Membrane,S3513(),Plasma_Membrane,s
S2266-MONOMER,Plasma_Membrane,S2266(),Plasma_Membrane,s
S0431-MONOMER,Plasma_Membrane,S0431(),Plasma_Membrane,s
S1383-MONOMER,Plasma_Membrane,S1383(),Plasma_Membrane,s
S0147-MONOMER,Plasma_Membrane,S0147(),Plasma_Membrane,s
CPLX_ARBTNabcpp-0,Plasma_Membrane,S0147(),Plasma_Membrane,s
S0938-MONOMER,Plasma_Membrane,S0938(),Plasma_Membrane,s
S4512-MONOMER,Plasma_Membrane,S4512(),Plasma_Membrane,s
CPLX_TREptspp-0,Plasma_Membrane,S4512(),Plasma_Membrane,s
S4538-MONOMER,Cell_Wall,S4538(),Cell_Wall,s
S1853-MONOMER,Plasma_Membrane,S1853(),Plasma_Membrane,s
S0898-MONOMER,Plasma_Membrane,S0898(),Plasma_Membrane,s
S1446-MONOMER,Plasma_Membrane,S1446(),Plasma_Membrane,s
S1719-MONOMER,Plasma_Membrane,S1719(),Plasma_Membrane,s
S0126-MONOMER,Plasma_Membrane,S0126(),Plasma_Membrane,s
S0784-MONOMER,Plasma_Membrane,S0784(),Plasma_Membrane,s
S0510-MONOMER,Plasma_Membrane,S0510(),Plasma_Membrane,s
CPLX_FE3DHBZSabcpp-0,Plasma_Membrane,S0510(),Plasma_Membrane,s
S0509-MONOMER,Plasma_Membrane,S0509(),Plasma_Membrane,s
CPLX_FE3DHBZSabcpp-0,Plasma_Membrane,S0509(),Plasma_Membrane,s
S0974-MONOMER,Plasma_Membrane,S0974(),Plasma_Membrane,s
S0273-MONOMER,Plasma_Membrane,S0273(),Plasma_Membrane,s
CPLX_BUTSO3abcpp-1,Plasma_Membrane,S0273(),Plasma_Membrane,s
S1000-MONOMER,Plasma_Membrane,S1000(),Plasma_Membrane,s
CPLX_BUTSO3abcpp-0,Plasma_Membrane,S1000(),Plasma_Membrane,s
S0272-MONOMER,Plasma_Membrane,S0272(),Plasma_Membrane,s
CPLX_BUTSO3abcpp-1,Plasma_Membrane,S0272(),Plasma_Membrane,s
S1443-MONOMER,Plasma_Membrane,S1443(),Plasma_Membrane,s
S2900-MONOMER,Plasma_Membrane,S2900(),Plasma_Membrane,s
S1698-MONOMER,Plasma_Membrane,S1698(),Plasma_Membrane,s
S1762-MONOMER,Plasma_Membrane,S1762(),Plasma_Membrane,s
S3742-MONOMER,Plasma_Membrane,S3742(),Plasma_Membrane,s
S0252-MONOMER,Plasma_Membrane,S0252(),Plasma_Membrane,s
S0679-MONOMER,Plasma_Membrane,S0679(),Plasma_Membrane,s
S1425-MONOMER,Plasma_Membrane,S1425(),Plasma_Membrane,s
S0399-MONOMER,Plasma_Membrane,S0399(),Plasma_Membrane,s
S0400-MONOMER,Plasma_Membrane,S0400(),Plasma_Membrane,s
S0430-MONOMER,Plasma_Membrane,S0430(),Plasma_Membrane,s
