TU_start	TU_end	Genes	Strand	Rho_independent	Stable_RNA
1141993	1151967	CLJU_c10320 CLJU_c10330 CLJU_c10340 CLJU_c10350 CLJU_c10360 CLJU_c10370 CLJU_c10380 CLJU_c10390 CLJU_c10400 CLJU_c10410 CLJU_c10420	1	f	f
115120	115864	CLJU_c01180	1	t	f
115120	117008	CLJU_c01190	-1	t	f
1152044	1153741	CLJU_c10430 CLJU_c10440 CLJU_c10450	1	f	f
1154183	1154582	CLJU_c10460	1	f	f
1154183	1156279	CLJU_c10470	-1	t	f
1154647	1159150	CLJU_c10480	1	t	f
1156609	1159592	CLJU_c10490	-1	t	f
1159187	1162139	CLJU_c10500	1	f	f
1162825	1163434	CLJU_c10510	1	f	f
1162825	1164692	CLJU_c10520	-1	t	f
1163594	1165401	CLJU_c10530	1	f	f
1165481	1168712	CLJU_c10540 CLJU_c10550 CLJU_c10560	1	f	f
1168914	1170363	CLJU_c10570	1	f	f
1170715	1173098	CLJU_c10580 CLJU_c10590	1	f	f
117243	119434	CLJU_c01200 CLJU_c01210	-1	t	f
1173184	1174303	CLJU_c10600	1	f	f
1174710	1177304	CLJU_c10610 CLJU_c10620 CLJU_c10630 CLJU_c10640	1	f	f
1177364	1180383	CLJU_c10650 CLJU_c10660 CLJU_c10670 CLJU_c10680 CLJU_c10690	1	t	f
1180508	1182586	CLJU_c10700 CLJU_c10710 CLJU_c10720	1	f	f
1181677	1184519	CLJU_c10730 CLJU_c10740	-1	f	f
1184833	1186570	CLJU_c10750	-1	t	f
1184833	1188625	CLJU_c10760 CLJU_c10770	1	t	f
1187545	1189504	CLJU_c10780	-1	f	f
1188904	1189872	CLJU_c10790	1	f	f
1189764	1190603	CLJU_c10800	-1	f	f
1190938	1191079	CLJU_c10810	-1	f	f
1190938	1191784	CLJU_c10820	1	f	f
1191265	1192758	CLJU_c10830	-1	f	f
1192107	1193633	CLJU_c10840	1	t	f
1193961	1194372	CLJU_c10850	1	f	f
1193961	1194857	CLJU_c10860	-1	f	f
1194410	1197066	CLJU_c10870	1	f	f
119492	121097	CLJU_c01220	-1	f	f
119492	122560	CLJU_c01230	1	t	f
1195743	1197646	CLJU_c10880 CLJU_c10890	-1	f	f
1197406	1199399	CLJU_c10900	1	t	f
1199706	1201149	CLJU_c10910 CLJU_c10920	1	f	f
1201212	1203760	CLJU_c10930 CLJU_c10940 CLJU_c10950 CLJU_c10960 CLJU_c10970	1	f	f
1203827	1204271	CLJU_c10980	1	f	f
1204381	1204801	CLJU_c10990	1	f	f
1205108	1206185	CLJU_c11000	1	f	f
1206504	1207512	CLJU_c11010 CLJU_c11020	1	t	f
1207630	1209077	CLJU_c11030 CLJU_c11040	1	f	f
1209134	1212232	CLJU_c11050 CLJU_c11060 CLJU_c11070 CLJU_c11080 CLJU_c11090	1	f	f
1212289	1212850	CLJU_c11100	1	f	f
1212960	1213359	CLJU_c11110	1	t	f
1213500	1222144	CLJU_c11120 CLJU_c11130 CLJU_c11140 CLJU_c11150 CLJU_c11160 CLJU_c11170 CLJU_c11180 CLJU_c11190 CLJU_c11200	1	f	f
1222316	1223423	CLJU_c11210	1	f	f
1223640	1224456	CLJU_c11220	1	f	f
1224524	1224695	CLJU_c11230	1	f	f
1224804	1225326	CLJU_c11240	1	f	f
1225394	1226045	CLJU_c11250	1	f	f
1226303	1228528	CLJU_c11260 CLJU_c11270	1	f	f
1228686	1231174	CLJU_c11280 CLJU_c11290 CLJU_c11300	1	f	f
122941	125887	CLJU_c01240 CLJU_c01250	1	f	f
1230598	1231669	CLJU_c11310	-1	f	f
1231736	1232237	CLJU_c11320	-1	f	f
1231736	1233632	CLJU_c11330	1	f	f
1232528	1234705	CLJU_c11340	-1	f	f
1234213	1235689	CLJU_c11350	1	t	f
1235902	1240949	CLJU_c11360 CLJU_c11370 CLJU_c11380 CLJU_c11390 CLJU_c11400 CLJU_c11410	1	t	f
1240094	1242134	CLJU_c11420 CLJU_c11430	-1	t	f
1242339	1242996	CLJU_c11440	-1	t	f
1243073	1243553	CLJU_c11450	-1	f	f
1243073	1244695	CLJU_c11460	1	f	f
1244752	1245013	CLJU_c11470	1	f	f
1244752	1246269	CLJU_c11480 CLJU_c11490	-1	f	f
1245498	1247851	CLJU_c11500	1	t	f
1246606	1248840	CLJU_c11510	-1	f	f
1248896	1249298	CLJU_c11520	-1	f	f
1248896	1249686	CLJU_c11530	1	f	f
1249858	1253629	CLJU_c11540	1	f	f
1249858	1254590	CLJU_c11550	-1	f	f
1253732	1255998	CLJU_c11560	1	f	f
1256056	1258663	CLJU_c11570 CLJU_c11580	1	f	f
1258722	1259619	CLJU_c11590	1	f	f
1260098	1261424	CLJU_c11600	1	f	f
1261586	1264751	CLJU_c11610 CLJU_c11620 CLJU_c11630	1	t	f
126344	127331	CLJU_c01260	1	t	f
1264909	1267072	CLJU_c11640	1	f	f
1267267	1268140	CLJU_c11650	1	f	f
1268322	1272107	CLJU_c11660 CLJU_c11670 CLJU_c11680 CLJU_c11690	1	f	f
