,value
STM0179,MONOMER
STM0180,MONOMER
STM0181,MONOMER
STM0182,MONOMER
STM0183,MONOMER
STM0184,MONOMER
STM0185,MONOMER
STM0186,MONOMER
STM0187,MONOMER
STM0188,MONOMER
STM0189,MONOMER
STM0190,MONOMER
STM0191,MONOMER
STM0192,MONOMER
STM0193,MONOMER
STM0194,MONOMER
STM0195,MONOMER
STM0196,MONOMER
STM0197,MONOMER
STM0198,MONOMER
STM0199,MONOMER
STM0200,MONOMER
STM0201,MONOMER
STM0202,MONOMER
STM0203,MONOMER
STM0204,MONOMER
STM0205,MONOMER
STM0206,MONOMER
STM0207,MONOMER
STM0208,MONOMER
STM0209,MONOMER
STM0210,MONOMER
STM0211,MONOMER
STM0212,MONOMER
STM0213,MONOMER
STM0214,MONOMER
STM0215,MONOMER
STM0216,MONOMER
STM0217,MONOMER
STM0218,MONOMER
STM0219,MONOMER
STM0220,MONOMER
STM0221,MONOMER
STM0222,MONOMER
STM0223,MONOMER
STM0224,MONOMER
STM0225,MONOMER
STM0226,MONOMER
STM0227,MONOMER
STM0228,MONOMER
STM0229,MONOMER
STM0230,MONOMER
STM0231,MONOMER
STM0232,MONOMER
STM0233,MONOMER
STM0234,MONOMER
STM0235,MONOMER
STM0236,MONOMER
STM0237,MONOMER
STM0238,MONOMER
STM0239,MONOMER
STM0240,MONOMER
STM0242,MONOMER
STM0243,MONOMER
STM0244,MONOMER
STM0245,MONOMER
STM0246,MONOMER
STM0247,MONOMER
STM0248,MONOMER
STM0249,rRNA
STM0250,tRNA
STM0251,tRNA
STM0252,rRNA
STM0253,rRNA
STM0254,tRNA
STM0255,MONOMER
STM0256,MONOMER
STM0257,MONOMER
STM0258,MONOMER
STM0259,MONOMER
STM0260,MONOMER
STM0261,MONOMER
STM0262,MONOMER
STM0263,MONOMER
STM0264,MONOMER
STM0265,tRNA
STM0266,MONOMER
STM0267,MONOMER
STM0268,MONOMER
STM0269,MONOMER
STM0270,MONOMER
STM0271,MONOMER
STM0272,MONOMER
STM0273,MONOMER
STM0274,MONOMER
STM0274A,MONOMER
STM0275,MONOMER
STM0276,MONOMER
STM0277,MONOMER
STM0278,MONOMER
STM0279,MONOMER
STM0280,MONOMER
STM0281,MONOMER
STM0282,MONOMER
STM0283,MONOMER
STM0284,MONOMER
STM0285,MONOMER
STM0286,MONOMER
STM0287,MONOMER
STM0288,MONOMER
STM0289,MONOMER
STM0290,MONOMER
STM0291,MONOMER
STM0292,MONOMER
STM0293,MONOMER
STM0294,MONOMER
STM0295,MONOMER
STM0296,MONOMER
STM0297,MONOMER
STM0298,MONOMER
STM0299,MONOMER
STM0300,MONOMER
STM0301,MONOMER
STM0302,MONOMER
STM0303,MONOMER
STM0304,MONOMER
STM0305,MONOMER
STM0306,MONOMER
STM0307,MONOMER
STM0308,MONOMER
STM0309,MONOMER
STM0310,MONOMER
STM0311,MONOMER
STM0312,MONOMER
STM0313,MONOMER
STM0315,MONOMER
STM0316,MONOMER
STM0317,MONOMER
STM0318,MONOMER
STM0319,MONOMER
STM0320,MONOMER
STM0321,MONOMER
STM0322,MONOMER
STM0323,tRNA
STM0324,MONOMER
STM0325,MONOMER
STM0327,MONOMER
STM0328,MONOMER
STM0329,MONOMER
STM0330,MONOMER
STM0331,MONOMER
STM0332,MONOMER
STM0333,MONOMER
STM0334,MONOMER
STM0335,MONOMER
STM0336,MONOMER
STM0337,MONOMER
STM0338,MONOMER
