,name,genes,source
TM0381-MONOMER,dihydrolipoyl dehydrogenase,TM0381(),GenBank
TM0382-MONOMER,endonuclease III domain-containing protein,TM0382(),GenBank
TM0383-MONOMER,nitroreductase family protein,TM0383(),GenBank
TM0384-MONOMER,anaerobic ribonucleoside-triphosphate reductase activating protein,TM0384(),GenBank
TM0385-MONOMER,anaerobic ribonucleoside-triphosphate reductase,TM0385(),GenBank
TM0386-MONOMER,nitroreductase family protein,TM0386(),GenBank
TM0387-MONOMER,ABC transporter permease,TM0387(),GenBank
TM0388-MONOMER,ABC transporter permease,TM0388(),GenBank
TM0389-MONOMER,ABC transporter ATP-binding protein,TM0389(),GenBank
TM0392-MONOMER,glycosyltransferase,TM0392(),GenBank
TM0393-MONOMER,ROK family transcriptional regulator,TM0393(),GenBank
TM0394-MONOMER,hypothetical protein,TM0394(),GenBank
TM0395-MONOMER,FAD-dependent oxidoreductase,TM0395(),GenBank
TM0396-MONOMER,4Fe-4S dicluster domain-containing protein,TM0396(),GenBank
TM0397-MONOMER,glutamate synthase-related protein,TM0397(),GenBank
TM0398-MONOMER,glutamine amidotransferase family protein,TM0398(),GenBank
TM0399-MONOMER,response regulator transcription factor,TM0399(),GenBank
TM0400-MONOMER,HAMP domain-containing sensor histidine kinase,TM0400(),GenBank
TM0401-MONOMER,thymidine kinase,TM0401(1),GenBank
TM0402-MONOMER,ammonium transporter,TM0402(3),GenBank
TM0403-MONOMER,P-II family nitrogen regulator,TM0403(),GenBank
TM0404-MONOMER,cytidine/deoxycytidylate deaminase family protein,TM0404(),GenBank
TM0405-MONOMER,2-oxoacid:ferredoxin oxidoreductase subunit beta,TM0405(),GenBank
TM0406-MONOMER,2-oxoacid:acceptor oxidoreductase family protein,TM0406(),GenBank
TM0407-MONOMER,diacylglycerol kinase family protein,TM0407(),GenBank
TM0408-MONOMER,chemotaxis response regulator protein-glutamate methylesterase,TM0408(),GenBank
TM0409-MONOMER,M23 family metallopeptidase,TM0409(),GenBank
TM0410-MONOMER,DUF523 domain-containing protein,TM0410(),GenBank
TM0411-MONOMER,ROK family transcriptional regulator,TM0411(),GenBank
TM0412-MONOMER,scyllo-inosose 3-dehydrogenase,TM0412(4),GenBank
TM0413-MONOMER,3-dehydro-scyllo-inosose hydrolase,TM0413(),GenBank
TM0414-MONOMER,inositol 2-dehydrogenase,TM0414(),GenBank
TM0415-MONOMER,PfkB family carbohydrate kinase,TM0415(),GenBank
TM0416-MONOMER,5-keto-L-gluconate epimerase,TM0416(),GenBank
TM0417-MONOMER,FTR1 family protein,TM0417(),GenBank
TM0418-MONOMER,extracellular solute-binding protein,TM0418(),GenBank
TM0419-MONOMER,sugar ABC transporter permease,TM0419(),GenBank
TM0420-MONOMER,carbohydrate ABC transporter permease,TM0420(),GenBank
TM0421-MONOMER,ABC transporter ATP-binding protein,TM0421(),GenBank
TM0422-MONOMER,TIM barrel protein,TM0422(),GenBank
TM0423-MONOMER,glycerol dehydrogenase,TM0423(8),GenBank
TM0424-MONOMER,AEC family transporter,TM0424(),GenBank
TM0425-MONOMER,Gfo/Idh/MocA family oxidoreductase,TM0425(),GenBank
TM0426-MONOMER,Gfo/Idh/MocA family oxidoreductase,TM0426(),GenBank
TM0427-MONOMER,FAD-binding protein,TM0427(),GenBank
TM0428-MONOMER,NADH:flavin oxidoreductase,TM0428(),GenBank
TM0429-MONOMER,methyl-accepting chemotaxis protein,TM0429(),GenBank
TM0430-MONOMER,carbohydrate ABC transporter permease,TM0430(),GenBank
TM0431-MONOMER,sugar ABC transporter permease,TM0431(),GenBank
TM0432-MONOMER,ABC transporter substrate-binding protein,TM0432(),GenBank
TM0433-MONOMER,pectate trisaccharide-lyase,TM0433(),GenBank
TM0434-MONOMER,alpha-glucosidase AglA,TM0434(),GenBank
TM0435-MONOMER,acetylxylan esterase,TM0435(),GenBank
TM0436-MONOMER,zinc-binding dehydrogenase,TM0436(),GenBank
TM0437-MONOMER,exopolygalacturonase PelB,TM0437(),GenBank
TM0438-MONOMER,NADP-dependent phosphogluconate dehydrogenase,TM0438(2),GenBank
TM0439-MONOMER,GntR family transcriptional regulator,TM0439(),GenBank
TM0440-MONOMER,D-tagaturonate epimerase UxaE,TM0440(),GenBank
TM0441-MONOMER,SDR family oxidoreductase,TM0441(1),GenBank
TM0442-MONOMER,lactate racemase domain-containing protein,TM0442(),GenBank
TM0443-MONOMER,gluconokinase,TM0443(),GenBank
TM0444-MONOMER,aspartate ammonia-lyase,TM0444(4),GenBank
TM0445-MONOMER,[FeFe] hydrogenase H-cluster maturation GTPase HydF,TM0445(),GenBank
TM0446-MONOMER,5-(carboxyamino)imidazole ribonucleotide mutase,TM0446(8),GenBank
TM0447-MONOMER,5-(carboxyamino)imidazole ribonucleotide synthase,TM0447(2),GenBank
TM0448-MONOMER,outer membrane protein assembly factor,TM0448(),GenBank
TM0449-MONOMER,FAD-dependent thymidylate synthase,TM0449(),GenBank
TM_RS02280-MONOMER,hypothetical protein,TM_RS02280(),GenBank
TM0451-MONOMER,50S ribosomal protein L33,TM0451(),GenBank
TM0452-MONOMER,preprotein translocase subunit SecE,TM0452(),GenBank
TM0453-MONOMER,transcription termination/antitermination protein NusG,TM0453(1),GenBank
TM0454-MONOMER,50S ribosomal protein L11,TM0454(1),GenBank
TM0455-MONOMER,50S ribosomal protein L1,TM0455(1),GenBank
TM0456-MONOMER,50S ribosomal protein L10,TM0456(1),GenBank
TM0457-MONOMER,50S ribosomal protein L7/L12,TM0457(2),GenBank
TM0458-MONOMER,DNA-directed RNA polymerase subunit beta,TM0458(),GenBank
TM0459-MONOMER,DNA-directed RNA polymerase subunit beta',TM0459(),GenBank
TM0460-MONOMER,ABC transporter substrate-binding protein,TM0460(),GenBank
TM0461-MONOMER,DNA polymerase III subunit alpha,TM0461(),GenBank
TM0462-MONOMER,RluA family pseudouridine synthase,TM0462(1),GenBank
TM0463-MONOMER,signal peptidase II,TM0463(),GenBank
TM0464-MONOMER,protein-glutamate O-methyltransferase CheR,TM0464(),GenBank
TM0465-MONOMER,hypothetical protein,TM0465(),GenBank
TM0466-MONOMER,YebC/PmpR family DNA-binding transcriptional regulator,TM0466(),GenBank
TM0467-MONOMER,PP2C family protein-serine/threonine phosphatase,TM0467(),GenBank
TM0468-MONOMER,response regulator,TM0468(),GenBank
TM0469-MONOMER,TIGR03936 family radical SAM-associated protein,TM0469(),GenBank
TM0470-MONOMER,TIGR00374 family protein,TM0470(),GenBank
TM0471-MONOMER,hypothetical protein,TM0471(),GenBank
TM0472-MONOMER,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,TM0472(),GenBank
TM0473-MONOMER,pyridoxal 5'-phosphate synthase lyase subunit PdxS,TM0473(),GenBank
TM0474-MONOMER,hypothetical protein,TM0474(),GenBank
TM0475-MONOMER,cysteine hydrolase,TM0475(1),GenBank
TM0476-MONOMER,hypothetical protein,TM0476(),GenBank
TM0477-MONOMER,S-layer homology domain-containing protein,TM0477(),GenBank
TM0478-MONOMER,tyrosine--tRNA ligase,TM0478(2),GenBank
TM0479-MONOMER,preprotein translocase subunit SecG,TM0479(),GenBank
TM0480-MONOMER,excinuclease ABC subunit UvrA,TM0480(),GenBank
TM0481-MONOMER,TIGR00529 family membrane protein,TM0481(),GenBank
TM0482-MONOMER,acyl-CoA dehydratase activase,TM0482(),GenBank
TM0483-MONOMER,ABC transporter ATP-binding protein,TM0483(),GenBank
TM0484-MONOMER,ABC transporter substrate-binding protein,TM0484(),GenBank
TM0485-MONOMER,ABC transporter permease,TM0485(),GenBank
TM0486-MONOMER,MTH1187 family thiamine-binding protein,TM0486(),GenBank
TM0487-MONOMER,metal-sulfur cluster assembly factor,TM0487(),GenBank
TM0488-MONOMER,peptide chain release factor N(5)-glutamine methyltransferase,TM0488(),GenBank
TM0489-MONOMER,DUF6115 domain-containing protein,TM0489(),GenBank
TM0490-MONOMER,NAD-dependent protein deacylase,TM0490(),GenBank
TM0491-MONOMER,DUF4897 domain-containing protein,TM0491(),GenBank
TM0492-MONOMER,tryptophan--tRNA ligase,TM0492(2),GenBank
TM0493-MONOMER,ScpA family protein,TM0493(),GenBank
TM0494-MONOMER,SMC-Scp complex subunit ScpB,TM0494(),GenBank
TM0495-MONOMER,PhoH family protein,TM0495(),GenBank
TM0496-MONOMER,3'-5' exonuclease,TM0496(),GenBank
TM0497-MONOMER,VIT1/CCC1 transporter family protein,TM0497(),GenBank
TM0498-MONOMER,ABC transporter ATP-binding protein,TM0498(),GenBank
TM0499-MONOMER,hypothetical protein,TM0499(),GenBank
TM0500-MONOMER,ABC transporter ATP-binding protein,TM0500(),GenBank
TM0501-MONOMER,ABC transporter ATP-binding protein,TM0501(),GenBank
TM0502-MONOMER,ABC transporter permease,TM0502(),GenBank
TM0503-MONOMER,ABC transporter permease,TM0503(),GenBank
TM0505-MONOMER,co-chaperone GroES,TM0505(),GenBank
TM0506-MONOMER,chaperonin GroEL,TM0506(14),GenBank
TM0508-MONOMER,AAA family ATPase,TM0508(),GenBank
TM0509-MONOMER,SDR family oxidoreductase,TM0509(2),GenBank
TM0510-MONOMER,metal-dependent transcriptional regulator,TM0510(),GenBank
TM0511-MONOMER,type-4 uracil-DNA glycosylase,TM0511(),GenBank
TM0512-MONOMER,flagellar export protein FliJ,TM0512(),GenBank
TM0513-MONOMER,YifB family Mg chelatase-like AAA ATPase,TM0513(),GenBank
TM0514-MONOMER,proline--tRNA ligase,TM0514(2),GenBank
TM0515-MONOMER,TIGR01212 family radical SAM protein,TM0515(),GenBank
TM0516-MONOMER,clostripain-related cysteine peptidase,TM0516(),GenBank
TM0517-MONOMER,hypothetical protein,TM0517(),GenBank
TM0518-MONOMER,DUF6485 family protein,TM0518(),GenBank
TM0519-MONOMER,GAF domain-containing protein,TM0519(),GenBank
TM0520-MONOMER,tRNA 2-thiouridine(34) synthase MnmA,TM0520(1),GenBank
TM0521-MONOMER,ATP-dependent protease subunit HslV,TM0521(),GenBank
TM0522-MONOMER,ATP-dependent protease ATPase subunit HslU,TM0522(),GenBank
TM0523-MONOMER,hypothetical protein,TM0523(),GenBank
TM0524-MONOMER,class I SAM-dependent methyltransferase,TM0524(),GenBank
TM0525-MONOMER,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,TM0525(2),GenBank
TM0526-MONOMER,RNA chaperone Hfq,TM0526(),GenBank
TM0527-MONOMER,GTPase HflX,TM0527(),GenBank
TM0528-MONOMER,methionyl-tRNA formyltransferase,TM0528(1),GenBank
TM0529-MONOMER,heavy-metal-associated domain-containing protein,TM0529(),GenBank
TM0530-MONOMER,ATP-binding cassette domain-containing protein,TM0530(),GenBank
TM0531-MONOMER,ABC transporter substrate-binding protein,TM0531(),GenBank
TM0532-MONOMER,ABC transporter permease,TM0532(),GenBank
TM0533-MONOMER,ABC transporter permease,TM0533(),GenBank
TM0534-MONOMER,sigma-70 family RNA polymerase sigma factor,TM0534(),GenBank
TM0535-MONOMER,hypothetical protein,TM0535(),GenBank
TM0536-MONOMER,hypothetical protein,TM0536(),GenBank
TM0537-MONOMER,AAA family ATPase,TM0537(),GenBank
TM0538-MONOMER,cation diffusion facilitator family transporter,TM0538(1),GenBank
TM0539-MONOMER,TrpB-like pyridoxal phosphate-dependent enzyme,TM0539(),GenBank
TM0540-MONOMER,fumarate hydratase,TM0540(),GenBank
TM0541-MONOMER,FumA C-terminus/TtdB family hydratase beta subunit,TM0541(2),GenBank
TM0542-MONOMER,NADP-dependent malic enzyme,TM0542(6),GenBank
TM0543-MONOMER,ABC transporter permease,TM0543(),GenBank
TM0544-MONOMER,ABC transporter ATP-binding protein,TM0544(),GenBank
TM0545-MONOMER,homoserine kinase,TM0545(2),GenBank
TM0546-MONOMER,threonine synthase,TM0546(),GenBank
TM0547-MONOMER,aspartate kinase,TM0547(4),GenBank
TM0548-MONOMER,biosynthetic-type acetolactate synthase large subunit,TM0548(),GenBank
TM0549-MONOMER,acetolactate synthase small subunit,TM0549(),GenBank
TM0550-MONOMER,ketol-acid reductoisomerase,TM0550(4),GenBank
TM0551-MONOMER,dihydroxy-acid dehydratase,TM0551(2),GenBank
TM0552-MONOMER,citramalate synthase,TM0552(),GenBank
TM0553-MONOMER,2-isopropylmalate synthase,TM0553(1),GenBank
TM0554-MONOMER,3-isopropylmalate dehydratase large subunit,TM0554(),GenBank
TM0555-MONOMER,3-isopropylmalate dehydratase small subunit,TM0555(),GenBank
TM0556-MONOMER,3-isopropylmalate dehydrogenase,TM0556(2),GenBank
TM0557-MONOMER,carbamoyl-phosphate synthase large subunit,TM0557(),GenBank
TM0558-MONOMER,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,TM0558(),GenBank
TM0559-MONOMER,PHP domain-containing protein,TM0559(),GenBank
TM0560-MONOMER,DNA protection during starvation protein,TM0560(),GenBank
TM0561-MONOMER,magnesium/cobalt transporter CorA,TM0561(1),GenBank
TM0562-MONOMER,hypothetical protein,TM0562(),GenBank
TM_RS02895-MONOMER,hypothetical protein,TM_RS02895(),GenBank
TM0563-MONOMER,MFS transporter,TM0563(),GenBank
TM0564-MONOMER,flavin reductase family protein,TM0564(),GenBank
TM0565-MONOMER,DNA/RNA nuclease SfsA,TM0565(),GenBank
TM0566-MONOMER,hypothetical protein,TM0566(),GenBank
TM0567-MONOMER,RrF2 family transcriptional regulator,TM0567(),GenBank
TM0568-MONOMER,peptidoglycan DD-metalloendopeptidase family protein,TM0568(),GenBank
TM0569-MONOMER,DUF2225 domain-containing protein,TM0569(),GenBank
TM0570-MONOMER,signal recognition particle-docking protein FtsY,TM0570(1),GenBank
TM0571-MONOMER,DegQ family serine endoprotease,TM0571(),GenBank
TM0572-MONOMER,DegT/DnrJ/EryC1/StrS aminotransferase family protein,TM0572(1),GenBank
TM0573-MONOMER,apolipoprotein N-acyltransferase,TM0573(1),GenBank
TM0574-MONOMER,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,TM0574(1),GenBank
TM0575-MONOMER,crossover junction endodeoxyribonuclease RuvC,TM0575(),GenBank
TM0576-MONOMER,DNA polymerase III subunit alpha,TM0576(),GenBank
TM0577-MONOMER,GNAT family N-acetyltransferase,TM0577(),GenBank
TM0578-MONOMER,pyrroline-5-carboxylate reductase,TM0578(10),GenBank
TM0579-MONOMER,tRNA lysidine(34) synthetase TilS,TM0579(1),GenBank
TM0580-MONOMER,ATP-dependent zinc metalloprotease FtsH,TM0580(),GenBank
TM0581-MONOMER,thioesterase family protein,TM0581(),GenBank
TM0582-MONOMER,radical SAM protein,TM0582(),GenBank
TM0583-MONOMER,nucleotide sugar dehydrogenase,TM0583(1),GenBank
TM0584-MONOMER,rhomboid family intramembrane serine protease,TM0584(),GenBank
TM0585-MONOMER,Gfo/Idh/MocA family oxidoreductase,TM0585(),GenBank
TM0586-MONOMER,DMT family transporter,TM0586(),GenBank
TM0587-MONOMER,putative manganese-dependent inorganic diphosphatase,TM0587(),GenBank
TM0588-MONOMER,rod shape-determining protein,TM0588(),GenBank
TM_RS09605-MONOMER,hypothetical protein,TM_RS09605(),GenBank
TM_RS03035-MONOMER,hypothetical protein,TM_RS03035(),GenBank
TM_RS03040-MONOMER,hypothetical protein,TM_RS03040(),GenBank
TM0590-MONOMER,penicillin-binding transpeptidase domain-containing protein,TM0590(1),GenBank
TM0591-MONOMER,amino acid ABC transporter ATP-binding protein,TM0591(),GenBank
TM0592-MONOMER,amino acid ABC transporter permease,TM0592(),GenBank
TM0593-MONOMER,transporter substrate-binding domain-containing protein,TM0593(),GenBank
TM0594-MONOMER,NCS2 family permease,TM0594(),GenBank
TM0595-MONOMER,ABC transporter substrate-binding protein,TM0595(),GenBank
TM0596-MONOMER,sugar ABC transporter permease,TM0596(),GenBank
TM0597-MONOMER,hypothetical protein,TM0597(),GenBank
TM_RS03085-MONOMER,carbohydrate ABC transporter permease,TM_RS03085(),GenBank
TM0599-MONOMER,CehA/McbA family metallohydrolase,TM0599(),GenBank
TM0600-MONOMER,NAD(P)/FAD-dependent oxidoreductase,TM0600(),GenBank
TM_RS03100-MONOMER,hypothetical protein,TM_RS03100(),GenBank
TM0602-MONOMER,metal-dependent transcriptional regulator,TM0602(),GenBank
TM0603-MONOMER,30S ribosomal protein S6,TM0603(),GenBank
TM0604-MONOMER,single-stranded DNA-binding protein,TM0604(),GenBank
TM0605-MONOMER,30S ribosomal protein S18,TM0605(1),GenBank
TM0606-MONOMER,hypothetical protein,TM0606(),GenBank
TM0607-MONOMER,MBL fold metallo-hydrolase,TM0607(),GenBank
TM0608-MONOMER,queuosine precursor transporter,TM0608(),GenBank
TM0609-MONOMER,glycosyltransferase family 4 protein,TM0609(),GenBank
TM0610-MONOMER,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),TM0610(),GenBank
TM0612-MONOMER,WD40 repeat domain-containing protein,TM0612(),GenBank
TM0613-MONOMER,HEPN domain-containing protein,TM0613(),GenBank
TM0614-MONOMER,nucleotidyltransferase domain-containing protein,TM0614(),GenBank
TM0615-MONOMER,AAA family ATPase,TM0615(),GenBank
TM0616-MONOMER,ATP-binding protein,TM0616(),GenBank
TM_RS09610-MONOMER,AAA domain-containing protein,TM_RS09610(),GenBank
TM_RS09615-MONOMER,DUF4011 domain-containing protein,TM_RS09615(),GenBank
TM0619-MONOMER,glycosyltransferase family 4 protein,TM0619(),GenBank
TM0620-MONOMER,lipopolysaccharide biosynthesis protein,TM0620(),GenBank
TM0621-MONOMER,glycosyltransferase,TM0621(),GenBank
TM0622-MONOMER,glycosyltransferase,TM0622(),GenBank
TM0624-MONOMER,glycosyltransferase,TM0624(),GenBank
TM0625-MONOMER,hypothetical protein,TM0625(),GenBank
TM0626-MONOMER,alkaline phosphatase family protein,TM0626(),GenBank
TM0627-MONOMER,glycosyltransferase family 4 protein,TM0627(),GenBank
TM0628-MONOMER,glycosyltransferase,TM0628(),GenBank
TM0629-MONOMER,O-antigen polymerase,TM0629(),GenBank
TM0630-MONOMER,SDR family oxidoreductase,TM0630(),GenBank
TM0631-MONOMER,glycosyltransferase,TM0631(),GenBank
TM0632-MONOMER,sugar transferase,TM0632(),GenBank
TM0633-MONOMER,glucosaminidase domain-containing protein,TM0633(),GenBank
TM0634-MONOMER,sigma factor,TM0634(),GenBank
TM0635-MONOMER,hypothetical protein,TM0635(),GenBank
TM0636-MONOMER,DUF2922 domain-containing protein,TM0636(),GenBank
TM0637-MONOMER,DUF1659 domain-containing protein,TM0637(),GenBank
TM0638-MONOMER,SLBB domain-containing protein,TM0638(),GenBank
TM0639-MONOMER,hypothetical protein,TM0639(),GenBank
TM0640-MONOMER,HAD family phosphatase,TM0640(),GenBank
TM0641-MONOMER,hypothetical protein,TM0641(),GenBank
TM0642-MONOMER,hypothetical protein,TM0642(),GenBank
TM0643-MONOMER,clostripain-related cysteine peptidase,TM0643(),GenBank
TM0644-MONOMER,exopolysaccharide transport family protein,TM0644(),GenBank
TM0645-MONOMER,NAD(+) synthase,TM0645(2),GenBank
TM0646-MONOMER,Holliday junction resolvase-like protein,TM0646(),GenBank
TM0647-MONOMER,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",TM0647(3),GenBank
TM0648-MONOMER,nucleotidyltransferase domain-containing protein,TM0648(),GenBank
TM0649-MONOMER,hypothetical protein,TM0649(),GenBank
TM0650-MONOMER,hypothetical protein,TM0650(),GenBank
TM0651-MONOMER,Cof-type HAD-IIB family hydrolase,TM0651(),GenBank
TM0652-MONOMER,phospholipase D-like domain-containing protein,TM0652(),GenBank
TM0653-MONOMER,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,TM0653(1),GenBank
TM0654-MONOMER,polyamine aminopropyltransferase,TM0654(2),GenBank
TM0655-MONOMER,adenosylmethionine decarboxylase,TM0655(),GenBank
TM0656-MONOMER,cupin domain-containing protein,TM0656(),GenBank
TM0657-MONOMER,rubrerythrin family protein,TM0657(),GenBank
TM0658-MONOMER,class II SORL domain-containing protein,TM0658(),GenBank
TM0659-MONOMER,rubredoxin,TM0659(),GenBank
TM0660-MONOMER,S-adenosyl-l-methionine hydroxide adenosyltransferase family protein,TM0660(),GenBank
TM0661-MONOMER,hypothetical protein,TM0661(),GenBank
TM0662-MONOMER,acyl carrier protein,TM0662(1),GenBank
TM0663-MONOMER,ribonuclease J,TM0663(),GenBank
TM0664-MONOMER,DUF123 domain-containing protein,TM0664(),GenBank
TM0665-MONOMER,cysteine synthase A,TM0665(2),GenBank
TM0666-MONOMER,serine O-acetyltransferase,TM0666(6),GenBank
TM0667-MONOMER,TatD family hydrolase,TM0667(),GenBank
TM0668-MONOMER,DegT/DnrJ/EryC1/StrS aminotransferase family protein,TM0668(),GenBank
TM0669-MONOMER,hypothetical protein,TM0669(),GenBank
TM0670-MONOMER,hypothetical protein,TM0670(),GenBank
TM0671-MONOMER,hypothetical protein,TM0671(),GenBank
TM0672-MONOMER,flagellar hook-length control protein FliK,TM0672(),GenBank
TM0673-MONOMER,flagellar hook assembly protein FlgD,TM0673(),GenBank
TM0674-MONOMER,flagellar hook-basal body complex protein,TM0674(),GenBank
TM_RS09635-MONOMER,flagellar basal body rod C-terminal domain-containing protein,TM_RS09635(),GenBank
TM0675-MONOMER,flagellar FlbD family protein,TM0675(),GenBank
TM0676-MONOMER,motility protein A,TM0676(),GenBank
TM0677-MONOMER,flagellar motor protein MotB,TM0677(),GenBank
TM0678-MONOMER,flagellar basal body-associated FliL family protein,TM0678(),GenBank
TM0679-MONOMER,flagellar motor switch protein FliM,TM0679(),GenBank
TM_RS09640-MONOMER,chemotaxis protein CheC,TM_RS09640(),GenBank
TM_RS09645-MONOMER,flagellar motor switch protein FliN,TM_RS09645(),GenBank
TM0681-MONOMER,MBL fold metallo-hydrolase,TM0681(),GenBank
TM0682-MONOMER,polysaccharide pyruvyl transferase CsaB,TM0682(),GenBank
TM0683-MONOMER,site-2 protease family protein,TM0683(),GenBank
TM0684-MONOMER,hypothetical protein,TM0684(),GenBank
TM0685-MONOMER,lytic transglycosylase domain-containing protein,TM0685(),GenBank
TM0686-MONOMER,DNA polymerase III subunit gamma/tau,TM0686(),GenBank
TM0687-MONOMER,YbaB/EbfC family nucleoid-associated protein,TM0687(),GenBank
TM0688-MONOMER,type I glyceraldehyde-3-phosphate dehydrogenase,TM0688(4),GenBank
TM0689-MONOMER,bifunctional phosphoglycerate kinase/triose-phosphate isomerase,TM0689(1),GenBank
TM0690-MONOMER,GatB/YqeY domain-containing protein,TM0690(),GenBank
TM0691-MONOMER,tRNA1(Val) (adenine(37)-N6)-methyltransferase,TM0691(),GenBank
TM0692-MONOMER,holo-[acyl-carrier-protein] synthase,TM0692(2),GenBank
TM0693-MONOMER,flagellar protein FliT,TM0693(),GenBank
TM0694-MONOMER,trigger factor,TM0694(),GenBank
TM0695-MONOMER,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,TM0695(),GenBank
TM0696-MONOMER,YSC84-related protein,TM0696(),GenBank
TM0697-MONOMER,flagellar biosynthesis protein FliQ,TM0697(),GenBank
TM0698-MONOMER,flagellar type III secretion system pore protein FliP,TM0698(),GenBank
TM0699-MONOMER,flagellar biosynthetic protein FliO,TM0699(),GenBank
TM0700-MONOMER,chemotaxis protein CheY,TM0700(),GenBank
TM0701-MONOMER,chemotaxis protein CheW,TM0701(),GenBank
TM0702-MONOMER,chemotaxis protein CheA,TM0702(),GenBank
TM0703-MONOMER,competence/damage-inducible protein A,TM0703(),GenBank
TM0704-MONOMER,protein-L-isoaspartate O-methyltransferase,TM0704(),GenBank
TM0705-MONOMER,ABC transporter ATP-binding protein,TM0705(),GenBank
TM0706-MONOMER,ABC transporter permease,TM0706(),GenBank
TM0707-MONOMER,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,TM0707(),GenBank
TM0708-MONOMER,biotin/lipoate A/B protein ligase family protein,TM0708(),GenBank
TM0709-MONOMER,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,TM0709(),GenBank
TM0710-MONOMER,MarR family transcriptional regulator,TM0710(),GenBank
TM0711-MONOMER,S-layer homology domain-containing protein,TM0711(),GenBank
TM0712-MONOMER,patatin-like phospholipase family protein,TM0712(),GenBank
TM0713-MONOMER,hypothetical protein,TM0713(),GenBank
TM0714-MONOMER,LptA/OstA family protein,TM0714(),GenBank
TM0715-MONOMER,CBS domain-containing protein,TM0715(),GenBank
TM0716-MONOMER,acyl-CoA carboxylase subunit beta,TM0716(),GenBank
TM_RS03665-MONOMER,OadG family protein,TM_RS03665(),GenBank
TM0717-MONOMER,biotin/lipoyl-binding protein,TM0717(),GenBank
TM0718-MONOMER,chemotaxis protein CheW,TM0718(),GenBank
TM0719-MONOMER,cysteine--tRNA ligase,TM0719(1),GenBank
TM0720-MONOMER,serine hydroxymethyltransferase,TM0720(2),GenBank
TM0721-MONOMER,uracil phosphoribosyltransferase,TM0721(3),GenBank
TM0722-MONOMER,ribonuclease R,TM0722(),GenBank
TM0723-MONOMER,secondary thiamine-phosphate synthase enzyme YjbQ,TM0723(),GenBank
TM0724-MONOMER,calcium/sodium antiporter,TM0724(1),GenBank
TM0725-MONOMER,PEGA domain-containing protein,TM0725(),GenBank
TM0726-MONOMER,TldD/PmbA family protein,TM0726(),GenBank
TM0727-MONOMER,TldD/PmbA family protein,TM0727(),GenBank
TM0728-MONOMER,DMT family transporter,TM0728(),GenBank
TM0729-MONOMER,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",TM0729(1),GenBank
TM0730-MONOMER,D-aminoacyl-tRNA deacylase,TM0730(),GenBank
TM0731-MONOMER,epoxyqueuosine reductase QueH,TM0731(),GenBank
TM0732-MONOMER,DUF4940 domain-containing protein,TM0732(),GenBank
TM0733-MONOMER,anti-sigma regulatory factor,TM0733(),GenBank
TM0734-MONOMER,methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO,TM0734(),GenBank
TM0735-MONOMER,FapA family protein,TM0735(),GenBank
TM0736-MONOMER,mannose-6-phosphate isomerase,TM0736(),GenBank
TM0737-MONOMER,"UDP-2,3-diacylglucosamine diphosphatase",TM0737(),GenBank
TM0738-MONOMER,hypothetical protein,TM0738(),GenBank
TM0739-MONOMER,HD-GYP domain-containing protein,TM0739(),GenBank
TM0740-MONOMER,threonine--tRNA ligase,TM0740(2),GenBank
TM0741-MONOMER,pantetheine-phosphate adenylyltransferase,TM0741(6),GenBank
TM0742-MONOMER,metallophosphoesterase family protein,TM0742(),GenBank
TM0743-MONOMER,hypothetical protein,TM0743(),GenBank
TM0744-MONOMER,glycosyltransferase family 4 protein,TM0744(),GenBank
TM0745-MONOMER,hypothetical protein,TM0745(),GenBank
TM0746-MONOMER,hypothetical protein,TM0746(),GenBank
TM0747-MONOMER,S41 family peptidase,TM0747(),GenBank
TM0748-MONOMER,tRNA (adenine-N1)-methyltransferase,TM0748(),GenBank
TM0749-MONOMER,GerMN domain-containing protein,TM0749(),GenBank
TM0750-MONOMER,DUF4941 domain-containing protein,TM0750(),GenBank
TM0751-MONOMER,nucleoside kinase,TM0751(1),GenBank
TM0752-MONOMER,alpha-glucosidase AglA,TM0752(2),GenBank
TM0753-MONOMER,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",TM0753(1),GenBank
TM0754-MONOMER,FAD/NAD(P)-binding oxidoreductase,TM0754(1),GenBank
TM0755-MONOMER,FprA family A-type flavoprotein,TM0755(4),GenBank
TM0756-MONOMER,glycosyltransferase,TM0756(),GenBank
TM0757-MONOMER,glycosyltransferase,TM0757(),GenBank
TM0758-MONOMER,flagellin,TM0758(),GenBank
