,name,genes,source
TM0083-MONOMER,flagellar hook-associated protein FlgK,TM0083(),GenBank
TM0084-MONOMER,flagellar export chaperone FlgN,TM0084(),GenBank
TM0085-MONOMER,flagellar biosynthesis anti-sigma factor FlgM,TM0085(),GenBank
TM0086-MONOMER,murein biosynthesis integral membrane protein MurJ,TM0086(),GenBank
TM0087-MONOMER,AmmeMemoRadiSam system protein B,TM0087(),GenBank
TM0088-MONOMER,type IV pilus secretin PilQ,TM0088(),GenBank
TM0089-MONOMER,hypothetical protein,TM0089(),GenBank
TM0090-MONOMER,hypothetical protein,TM0090(),GenBank
TM0091-MONOMER,hypothetical protein,TM0091(),GenBank
TM0092-MONOMER,hypothetical protein,TM0092(),GenBank
TM0093-MONOMER,hypothetical protein,TM0093(),GenBank
TM0094-MONOMER,type II secretion system F family protein,TM0094(),GenBank
TM0095-MONOMER,ferritin family protein,TM0095(),GenBank
TM0096-MONOMER,tRNA dihydrouridine synthase DusB,TM0096(1),GenBank
TM0097-MONOMER,nicotinate (nicotinamide) nucleotide adenylyltransferase,TM0097(1),GenBank
TM0098-MONOMER,GTPase ObgE,TM0098(),GenBank
TM0099-MONOMER,hypothetical protein,TM0099(),GenBank
TM0100-MONOMER,NAD-dependent DNA ligase LigA,TM0100(1),GenBank
TM0101-MONOMER,hypothetical protein,TM0101(),GenBank
TM0102-MONOMER,BMP family ABC transporter substrate-binding protein,TM0102(),GenBank
TM0103-MONOMER,ABC transporter ATP-binding protein,TM0103(),GenBank
TM0104-MONOMER,ABC transporter permease,TM0104(),GenBank
TM0105-MONOMER,ABC transporter permease,TM0105(),GenBank
TM0106-MONOMER,TM0106 family RecB-like putative nuclease,TM0106(),GenBank
TM0107-MONOMER,diguanylate cyclase,TM0107(),GenBank
TM0108-MONOMER,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,TM0108(1),GenBank
TM0109-MONOMER,radical SAM protein,TM0109(),GenBank
TM0110-MONOMER,ROK family transcriptional regulator,TM0110(),GenBank
TM0111-MONOMER,iron-containing alcohol dehydrogenase,TM0111(),GenBank
TM0112-MONOMER,ABC transporter permease,TM0112(),GenBank
TM0113-MONOMER,polysaccharide deacetylase family protein,TM0113(),GenBank
TM0114-MONOMER,sugar-binding protein,TM0114(),GenBank
TM0115-MONOMER,sugar ABC transporter ATP-binding protein,TM0115(),GenBank
TM0116-MONOMER,xylulokinase,TM0116(2),GenBank
TM0117-MONOMER,radical SAM protein,TM0117(),GenBank
TM0118-MONOMER,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,TM0118(),GenBank
TM0119-MONOMER,acetamidase/formamidase family protein,TM0119(),GenBank
TM0120-MONOMER,nitroreductase family protein,TM0120(),GenBank
TM0121-MONOMER,KamA family radical SAM protein,TM0121(),GenBank
TM0122-MONOMER,Fur family transcriptional regulator,TM0122(),GenBank
TM0123-MONOMER,metal ABC transporter substrate-binding protein,TM0123(),GenBank
TM0124-MONOMER,metal ABC transporter ATP-binding protein,TM0124(),GenBank
TM0125-MONOMER,metal ABC transporter permease,TM0125(),GenBank
TM0126-MONOMER,response regulator transcription factor,TM0126(),GenBank
TM0127-MONOMER,HAMP domain-containing sensor histidine kinase,TM0127(),GenBank
TM0128-MONOMER,pyruvate carboxylase subunit B,TM0128(),GenBank
TM0129-MONOMER,M20 family metallopeptidase,TM0129(),GenBank
TM0130-MONOMER,MFS transporter,TM0130(),GenBank
TM_RS09585-MONOMER,transposase,TM_RS09585(),GenBank
TM0132-MONOMER,flagellin,TM0132(),GenBank
TM0133-MONOMER,isochorismatase family protein,TM0133(5),GenBank
TM0134-MONOMER,FAD-dependent oxidoreductase,TM0134(),GenBank
TM0135-MONOMER,RNA-guided endonuclease TnpB family protein,TM0135(),GenBank
TM0136-MONOMER,hypothetical protein,TM0136(),GenBank
