Gene Name	Left-End-Position	Right-End-Position	Product	Accession-1
SYNPCC7942_1471	1523002	1523259	SYNPCC7942_1471-MONOMER	SYNPCC7942_RS07520
SYNPCC7942_1225	1246181	1246927	SYNPCC7942_1225-MONOMER	SYNPCC7942_RS06275
SYNPCC7942_2481	2561836	2563068	SYNPCC7942_2481-MONOMER	
SYNPCC7942_0514	499683	500105	SYNPCC7942_0514-MONOMER	SYNPCC7942_RS02610
SYNPCC7942_2356	2422193	2422819	SYNPCC7942_2356-MONOMER	SYNPCC7942_RS11970
SYNPCC7942_1417	1471000	1471983	SYNPCC7942_1417-MONOMER	SYNPCC7942_RS07250
SYNPCC7942_2424	2496824	2497627	SYNPCC7942_2424-MONOMER	SYNPCC7942_RS12315
SYNPCC7942_1795	1865979	1866443	SYNPCC7942_1795-MONOMER	SYNPCC7942_RS09120
SYNPCC7942_0472	458795	459019	SYNPCC7942_0472-MONOMER	SYNPCC7942_RS02410
SYNPCC7942_1375	1415985	1416506	SYNPCC7942_1375-MONOMER	SYNPCC7942_RS07035
SYNPCC7942_0081	78987	79196	SYNPCC7942_0081-MONOMER	SYNPCC7942_RS00400
SYNPCC7942_2395	2470889	2471140	SYNPCC7942_2395-MONOMER	SYNPCC7942_RS12170
SYNPCC7942_0429	418681	419220	SYNPCC7942_0429-MONOMER	SYNPCC7942_RS02190
SYNPCC7942_1205	1233775	1233939	SYNPCC7942_1205-MONOMER	SYNPCC7942_RS06170
SYNPCC7942_1332	1363471	1364091	SYNPCC7942_1332-MONOMER	SYNPCC7942_RS06810
SYNPCC7942_2344	2411499	2412449	SYNPCC7942_2344-MONOMER	SYNPCC7942_RS11910
SYNPCC7942_2333	2399962	2401299	SYNPCC7942_2333-MONOMER	SYNPCC7942_RS11860
SYNPCC7942_0398	392990	393448	SYNPCC7942_0398-MONOMER	SYNPCC7942_RS02030
SYNPCC7942_1280	1302044	1303138	SYNPCC7942_1280-MONOMER	SYNPCC7942_RS06555
SYNPCC7942_1767	1834078	1835490	SYNPCC7942_1767-MONOMER	SYNPCC7942_RS08980
SYNPCC7942_2292	2361401	2363665	SYNPCC7942_2292-MONOMER	SYNPCC7942_RS11650
SYNPCC7942_0364	355865	356416	SYNPCC7942_0364-MONOMER	SYNPCC7942_RS01855
SYNPCC7942_0057	59072	60304	SYNPCC7942_0057-MONOMER	SYNPCC7942_RS00285
SYNPCC7942_1228	1249355	1250224	SYNPCC7942_1228-MONOMER	SYNPCC7942_RS06295
SYNPCC7942_2255	2325520	2325924	SYNPCC7942_2255-MONOMER	SYNPCC7942_RS11465
SYNPCC7942_1180	1211703	1212104	SYNPCC7942_1180-MONOMER	SYNPCC7942_RS06045
SYNPCC7942_0317	314897	315355	SYNPCC7942_0317-MONOMER	SYNPCC7942_RS01615
SYNPCC7942_1167	1200773	1201330	SYNPCC7942_1167-MONOMER	SYNPCC7942_RS05985
SYNPCC7942_2313	2381614	2383248	SYNPCC7942_2313-MONOMER	SYNPCC7942_RS11760
SYNPCC7942_2184	2262518	2263318	SYNPCC7942_2184-MONOMER	SYNPCC7942_RS11100
SYNPCC7942_0265	262385	262660	SYNPCC7942_0265-MONOMER	SYNPCC7942_RS01350
SYNPCC7942_1737	1807075	1808403	SYNPCC7942_1737-MONOMER	SYNPCC7942_RS08840
SYNPCC7942_1144	1169424	1170455	SYNPCC7942_1144-MONOMER	SYNPCC7942_RS05855
SYNPCC7942_2157	2240800	2241084	SYNPCC7942_2157-MONOMER	SYNPCC7942_RS10960
SYNPCC7942_0028	29347	30015	SYNPCC7942_0028-MONOMER	SYNPCC7942_RS00145
SYNPCC7942_0223	223395	223805	SYNPCC7942_0223-MONOMER	SYNPCC7942_RS01135
SYNPCC7942_1098	1115020	1116258	SYNPCC7942_1098-MONOMER	SYNPCC7942_RS05630
SYNPCC7942_1148	1172695	1173912	SYNPCC7942_1148-MONOMER	SYNPCC7942_RS05880
SYNPCC7942_2118	2199694	2199981	SYNPCC7942_2118-MONOMER	SYNPCC7942_RS10740
SYNPCC7942_0183	181078	181467	SYNPCC7942_0183-MONOMER	SYNPCC7942_RS00930
SYNPCC7942_2288	2358162	2358698	SYNPCC7942_2288-MONOMER	SYNPCC7942_RS11630
SYNPCC7942_1066	1078489	1078737	SYNPCC7942_1066-MONOMER	SYNPCC7942_RS05470
SYNPCC7942_2056	2134608	2134985	SYNPCC7942_2056-MONOMER	
SYNPCC7942_1715	1783250	1783903	SYNPCC7942_1715-MONOMER	SYNPCC7942_RS08725
SYNPCC7942_0154	156340	156957	SYNPCC7942_0154-MONOMER	SYNPCC7942_RS00780
SYNPCC7942_1027	1041800	1042114	SYNPCC7942_1027-MONOMER	SYNPCC7942_RS05275
HTX97_RS00005	7504	415	HTX97_RS00005-MONOMER	ST32046_p1
SYNPCC7942_2019	2085893	2086762	SYNPCC7942_2019-MONOMER	SYNPCC7942_RS10245
SYNPCC7942_0115	113631	114146	SYNPCC7942_0115-MONOMER	
SYNPCC7942_1121	1138464	1140623	SYNPCC7942_1121-MONOMER	SYNPCC7942_RS05745
SYNPCC7942_0981	989800	991494	SYNPCC7942_0981-MONOMER	SYNPCC7942_RS05040
SYNPCC7942_1981	2051891	2052499	SYNPCC7942_1981-MONOMER	SYNPCC7942_RS10045
SYNPCC7942_2258	2327013	2328296	SYNPCC7942_2258-MONOMER	SYNPCC7942_RS11475
SYNPCC7942_0069	69079	69375	SYNPCC7942_0069-MONOMER	SYNPCC7942_RS00340
SYNPCC7942_0926	932734	933993	SYNPCC7942_0926-MONOMER	SYNPCC7942_RS04765
SYNPCC7942_0624	615361	616419	SYNPCC7942_0624-MONOMER	SYNPCC7942_RS03200
SYNPCC7942_1932	2006047	2006580	SYNPCC7942_1932-MONOMER	SYNPCC7942_RS09805
SYNPCC7942_0032	32849	33202	SYNPCC7942_0032-MONOMER	SYNPCC7942_RS00165
SYNPCC7942_1689	1755915	1756877	SYNPCC7942_1689-MONOMER	SYNPCC7942_RS08605
SYNPCC7942_0891	901736	902035	SYNPCC7942_0891-MONOMER	SYNPCC7942_RS04590
SYNPCC7942_1889	1961987	1963582	SYNPCC7942_1889-MONOMER	SYNPCC7942_RS09580
SYNPCC7942_1096	1113354	1114724	SYNPCC7942_1096-MONOMER	SYNPCC7942_RS05625
HTX97_RS00040	6800	7402	HTX97_RS00040-MONOMER	
SYNPCC7942_0861	864180	865469	SYNPCC7942_0861-MONOMER	SYNPCC7942_RS04440
SYNPCC7942_2232	2298877	2299518	SYNPCC7942_2232-MONOMER	SYNPCC7942_RS11335
SYNPCC7942_1837	1904030	1904374	SYNPCC7942_1837-MONOMER	SYNPCC7942_RS09320
SYNPCC7942_0824	818189	819895	SYNPCC7942_0824-MONOMER	SYNPCC7942_RS04260
SYNPCC7942_0598	585701	587473	SYNPCC7942_0598-MONOMER	SYNPCC7942_RS03065
SYNPCC7942_1800	1869943	1870455	SYNPCC7942_1800-MONOMER	SYNPCC7942_RS09145
SYNPCC7942_0784	779531	779848	SYNPCC7942_0784-MONOMER	
SYNPCC7942_1662	1731811	1733247	SYNPCC7942_1662-MONOMER	SYNPCC7942_RS08475
SYNPCC7942_1765	1832303	1832806	SYNPCC7942_1765-MONOMER	
SYNPCC7942_0755	749431	750009	SYNPCC7942_0755-MONOMER	SYNPCC7942_RS03910
SYNPCC7942_1065	1075365	1078484	SYNPCC7942_1065-MONOMER	SYNPCC7942_RS05465
SYNPCC7942_1730	1802050	1802640	SYNPCC7942_1730-MONOMER	SYNPCC7942_RS08805
SYNPCC7942_0730	724626	725165	SYNPCC7942_0730-MONOMER	SYNPCC7942_RS03775
SYNPCC7942_2216	2291444	2291986	SYNPCC7942_2216-MONOMER	SYNPCC7942_RS11255
SYNPCC7942_1677	1745500	1746597	SYNPCC7942_1677-MONOMER	SYNPCC7942_RS08545
SYNPCC7942_0700	691824	692744	SYNPCC7942_0700-MONOMER	SYNPCC7942_RS03590
SYNPCC7942_0571	553324	554697	SYNPCC7942_0571-MONOMER	SYNPCC7942_RS02905
SYNPCC7942_1644	1712014	1712817	SYNPCC7942_1644-MONOMER	SYNPCC7942_RS08385
SYNPCC7942_B2638	34543	34836	SYNPCC7942_B2638-MONOMER	SYNPCC7942_RS13525
SYNPCC7942_1631	1699269	1700168	SYNPCC7942_1631-MONOMER	SYNPCC7942_RS08320
SYNPCC7942_0661	656270	657874	SYNPCC7942_0661-MONOMER	SYNPCC7942_RS03385
SYNPCC7942_1604	1669273	1670625	SYNPCC7942_1604-MONOMER	SYNPCC7942_RS08185
SYNPCC7942_1044	1056740	1057462	SYNPCC7942_1044-MONOMER	SYNPCC7942_RS05355
SYNPCC7942_2608	2691104	2691424	SYNPCC7942_2608-MONOMER	
SYNPCC7942_0614	603996	605675	SYNPCC7942_0614-MONOMER	SYNPCC7942_RS03150
SYNPCC7942_2199	2277916	2280528	SYNPCC7942_2199-MONOMER	SYNPCC7942_RS11170
SYNPCC7942_1558	1615204	1616271	SYNPCC7942_1558-MONOMER	SYNPCC7942_RS07950
SYNPCC7942_2560	2638476	2639036	SYNPCC7942_2560-MONOMER	SYNPCC7942_RS13010
SYNPCC7942_0538	521502	523508	SYNPCC7942_0538-MONOMER	SYNPCC7942_RS02735
SYNPCC7942_0572	554694	555134	SYNPCC7942_0572-MONOMER	SYNPCC7942_RS02910
SYNPCC7942_1502	1551742	1552302	SYNPCC7942_1502-MONOMER	SYNPCC7942_RS07675
SYNPCC7942_1608	1673935	1675344	SYNPCC7942_1608-MONOMER	SYNPCC7942_RS08205
SYNPCC7942_2511	2590256	2590759	SYNPCC7942_2511-MONOMER	SYNPCC7942_RS12740
SYNPCC7942_0540	524367	524828	SYNPCC7942_0540-MONOMER	SYNPCC7942_RS02745
SYNPCC7942_1012	1023969	1024742	MONOMER490-16 // SYNPCC7942_1012-MONOMER	SYNPCC7942_RS05195
SYNPCC7942_1459	1511592	1512212	SYNPCC7942_1459-MONOMER	SYNPCC7942_RS07465
SYNPCC7942_2474	2556447	2556608	SYNPCC7942_2474-MONOMER	
SYNPCC7942_2164	2245607	2246992	SYNPCC7942_2164-MONOMER	SYNPCC7942_RS11000
SYNPCC7942_0502	489508	490074	SYNPCC7942_0502-MONOMER	SYNPCC7942_RS02550
SYNPCC7942_1411	1463651	1464358	SYNPCC7942_1411-MONOMER	SYNPCC7942_RS07220
SYNPCC7942_0510	495930	496580	SYNPCC7942_0510-MONOMER	SYNPCC7942_RS02590
SYNPCC7942_2414	2485595	2486650	SYNPCC7942_2414-MONOMER	SYNPCC7942_RS12265
SYNPCC7942_0464	450539	450934	SYNPCC7942_0464-MONOMER	SYNPCC7942_RS02365
SYNPCC7942_1585	1650201	1650986	SYNPCC7942_1585-MONOMER	SYNPCC7942_RS08095
SYNPCC7942_1364	1402687	1403103	SYNPCC7942_1364-MONOMER	SYNPCC7942_RS06975
SYNPCC7942_2385	2454974	2455996	SYNPCC7942_2385-MONOMER	SYNPCC7942_RS12120
SYNPCC7942_0988	996948	997274	SYNPCC7942_0988-MONOMER	SYNPCC7942_RS05075
SYNPCC7942_0422	412147	413289	SYNPCC7942_0422-MONOMER	SYNPCC7942_RS02155
SYNPCC7942_1328	1361167	1361559	SYNPCC7942_1328-MONOMER	SYNPCC7942_RS06790
SYNPCC7942_2131	2209183	2211255	SYNPCC7942_2131-MONOMER	SYNPCC7942_RS10805
SYNPCC7942_2336	2404216	2404389	SYNPCC7942_2336-MONOMER	
SYNPCC7942_0391	383545	385125	SYNPCC7942_0391-MONOMER	SYNPCC7942_RS01995
SYNPCC7942_0481	465713	466828	SYNPCC7942_0481-MONOMER	SYNPCC7942_RS02450
SYNPCC7942_1272	1296234	1296761	SYNPCC7942_1272-MONOMER	SYNPCC7942_RS06515
SYNPCC7942_2283	2353111	2353854	SYNPCC7942_2283-MONOMER	SYNPCC7942_RS11605
SYNPCC7942_1562	1618800	1619696	SYNPCC7942_1562-MONOMER	SYNPCC7942_RS07970
SYNPCC7942_0361	354532	354759	SYNPCC7942_0361-MONOMER	SYNPCC7942_RS01840
SYNPCC7942_1209	1234970	1235230	SYNPCC7942_1209-MONOMER	SYNPCC7942_RS06190
SYNPCC7942_0963	971259	971639	SYNPCC7942_0963-MONOMER	SYNPCC7942_RS04950
SYNPCC7942_2246	2310738	2312300	SYNPCC7942_2246-MONOMER	SYNPCC7942_RS11405
SYNPCC7942_0306	304039	304347	SYNPCC7942_0306-MONOMER	
SYNPCC7942_2107	2186865	2188454	SYNPCC7942_2107-MONOMER	
SYNPCC7942_1164	1197417	1198841	SYNPCC7942_1164-MONOMER	SYNPCC7942_RS05970
SYNPCC7942_2179	2258445	2259359	SYNPCC7942_2179-MONOMER	SYNPCC7942_RS11075
SYNPCC7942_0456	445209	445346	SYNPCC7942_0456-MONOMER	
SYNPCC7942_0253	248171	248629	SYNPCC7942_0253-MONOMER	SYNPCC7942_RS01290
SYNPCC7942_1140	1164350	1166107	SYNPCC7942_1140-MONOMER	SYNPCC7942_RS05835
SYNPCC7942_1533	1592254	1593093	SYNPCC7942_1533-MONOMER	SYNPCC7942_RS07835
SYNPCC7942_2153	2237948	2238427	SYNPCC7942_2153-MONOMER	SYNPCC7942_RS10940
SYNPCC7942_0218	220024	220191	SYNPCC7942_0218-MONOMER	SYNPCC7942_RS01110
SYNPCC7942_0942	947957	949849	SYNPCC7942_0942-MONOMER	SYNPCC7942_RS04845
SYNPCC7942_1092	1110004	1110663	SYNPCC7942_1092-MONOMER	SYNPCC7942_RS05605
SYNPCC7942_2112	2192960	2193502	SYNPCC7942_2112-MONOMER	SYNPCC7942_RS10705
SYNPCC7942_2087	2167149	2167916	SYNPCC7942_2087-MONOMER	SYNPCC7942_RS10580
SYNPCC7942_0176	174311	174712	SYNPCC7942_0176-MONOMER	
SYNPCC7942_1061	1072278	1073213	SYNPCC7942_1061-MONOMER	SYNPCC7942_RS05445
SYNPCC7942_0432	422547	423245	SYNPCC7942_0432-MONOMER	SYNPCC7942_RS02205
SYNPCC7942_2050	2126401	2127864	SYNPCC7942_2050-MONOMER	
SYNPCC7942_0147	148159	148491	SYNPCC7942_0147-MONOMER	SYNPCC7942_RS00745
SYNPCC7942_1515	1565391	1566290	SYNPCC7942_1515-MONOMER	SYNPCC7942_RS07745
SYNPCC7942_1022	1037049	1037837	SYNPCC7942_1022-MONOMER	SYNPCC7942_RS05255
SYNPCC7942_2014	2083250	2083843	SYNPCC7942_2014-MONOMER	SYNPCC7942_RS10215
SYNPCC7942_0920	926720	926974	SYNPCC7942_0920-MONOMER	SYNPCC7942_RS04735
SYNPCC7942_0104	103632	104408	SYNPCC7942_0104-MONOMER	SYNPCC7942_RS00530
SYNPCC7942_0971	977903	979261	SYNPCC7942_0971-MONOMER	SYNPCC7942_RS04990
SYNPCC7942_2067	2143337	2144584	SYNPCC7942_2067-MONOMER	SYNPCC7942_RS10480
SYNPCC7942_1966	2037413	2037670	SYNPCC7942_1966-MONOMER	SYNPCC7942_RS09975
SYNPCC7942_0060	61091	61369	SYNPCC7942_0060-MONOMER	SYNPCC7942_RS00300
SYNPCC7942_0397	391532	392923	SYNPCC7942_0397-MONOMER	SYNPCC7942_RS02025
SYNPCC7942_0917	923527	923793	SYNPCC7942_0917-MONOMER	SYNPCC7942_RS04720
SYNPCC7942_1926	2001647	2001940	SYNPCC7942_1926-MONOMER	SYNPCC7942_RS09775
SYNPCC7942_1489	1539953	1540789	SYNPCC7942_1489-MONOMER	SYNPCC7942_RS07610
SYNPCC7942_0024	24181	25371	SYNPCC7942_0024-MONOMER	SYNPCC7942_RS00125
SYNPCC7942_0875	877453	877887	SYNPCC7942_0875-MONOMER	SYNPCC7942_RS04510
SYNPCC7942_B2643	37703	38428	SYNPCC7942_B2643-MONOMER	SYNPCC7942_RS13545
SYNPCC7942_1878	1950660	1951652	SYNPCC7942_1878-MONOMER	SYNPCC7942_RS09525
HTX97_RS00020	2644	3159	HTX97_RS00020-MONOMER	ST32046_p6
SYNPCC7942_0888	894280	894639	SYNPCC7942_0888-MONOMER	SYNPCC7942_RS04575
SYNPCC7942_0849	845822	846433	SYNPCC7942_0849-MONOMER	SYNPCC7942_RS04385
SYNPCC7942_1834	1902530	1902988	SYNPCC7942_1834-MONOMER	SYNPCC7942_RS09305
SYNPCC7942_2043	2112253	2112672	SYNPCC7942_2043-MONOMER	SYNPCC7942_RS10365
SYNPCC7942_0810	804853	805086	SYNPCC7942_0810-MONOMER	SYNPCC7942_RS04190
SYNPCC7942_1796	1866456	1866749	SYNPCC7942_1796-MONOMER	SYNPCC7942_RS09125
SYNPCC7942_0366	357549	359732	SYNPCC7942_0366-MONOMER	SYNPCC7942_RS01865
SYNPCC7942_0772	764984	765577	SYNPCC7942_0772-MONOMER	SYNPCC7942_RS04005
SYNPCC7942_1761	1827800	1829530	SYNPCC7942_1761-MONOMER	SYNPCC7942_RS08950
SYNPCC7942_1464	1517237	1518832	SYNPCC7942_1464-MONOMER	SYNPCC7942_RS07490
SYNPCC7942_0751	746590	747510	SYNPCC7942_0751-MONOMER	SYNPCC7942_RS03890
SYNPCC7942_1720	1791952	1792392	SYNPCC7942_1720-MONOMER	SYNPCC7942_RS08750
SYNPCC7942_2606	2688305	2690119	SYNPCC7942_2606-MONOMER	SYNPCC7942_RS13275
SYNPCC7942_0727	720423	722966	SYNPCC7942_0727-MONOMER	SYNPCC7942_RS03760
SYNPCC7942_1674	1743855	1744166	SYNPCC7942_1674-MONOMER	SYNPCC7942_RS08530
SYNPCC7942_0857	855315	855821	SYNPCC7942_0857-MONOMER	SYNPCC7942_RS04420
SYNPCC7942_B2658	34129	34398	SYNPCC7942_B2658-MONOMER	
SYNPCC7942_0691	685290	685634	SYNPCC7942_0691-MONOMER	SYNPCC7942_RS13620
SYNPCC7942_2011	2080210	2081391	SYNPCC7942_2011-MONOMER	SYNPCC7942_RS10200
SYNPCC7942_1640	1707881	1708414	SYNPCC7942_1640-MONOMER	SYNPCC7942_RS08365
SYNPCC7942_B2634	29941	31365	SYNPCC7942_B2634-MONOMER	SYNPCC7942_RS13505
SYNPCC7942_0337	332458	333408	SYNPCC7942_0337-MONOMER	SYNPCC7942_RS01715
SYNPCC7942_0652	647124	648713	SYNPCC7942_0652-MONOMER	SYNPCC7942_RS03340
SYNPCC7942_1594	1660735	1661760	SYNPCC7942_1594-MONOMER	SYNPCC7942_RS08140
SYNPCC7942_1440	1494173	1495093	SYNPCC7942_1440-MONOMER	SYNPCC7942_RS07365
SYNPCC7942_2598	2680410	2681486	SYNPCC7942_2598-MONOMER	SYNPCC7942_RS13235
SYNPCC7942_0605	593711	594694	SYNPCC7942_0605-MONOMER	SYNPCC7942_RS03105
SYNPCC7942_2579	2663566	2664450	SYNPCC7942_2579-MONOMER	SYNPCC7942_RS13130
SYNPCC7942_1551	1608052	1608816	SYNPCC7942_1551-MONOMER	SYNPCC7942_RS07910
SYNPCC7942_2549	2628104	2628358	SYNPCC7942_2549-MONOMER	SYNPCC7942_RS12950
SYNPCC7942_0822	816064	817089	SYNPCC7942_0822-MONOMER	SYNPCC7942_RS04250
SYNPCC7942_0561	542054	543049	SYNPCC7942_0561-MONOMER	SYNPCC7942_RS02855
SYNPCC7942_1495	1546123	1546650	SYNPCC7942_1495-MONOMER	SYNPCC7942_RS07640
SYNPCC7942_1984	2054486	2055412	SYNPCC7942_1984-MONOMER	SYNPCC7942_RS10060
SYNPCC7942_2502	2583000	2584313	SYNPCC7942_2502-MONOMER	SYNPCC7942_RS12695
SYNPCC7942_0532	516414	516767	SYNPCC7942_0532-MONOMER	SYNPCC7942_RS02705
SYNPCC7942_0319	316162	316980	SYNPCC7942_0319-MONOMER	SYNPCC7942_RS01625
SYNPCC7942_1446	1499923	1500342	SYNPCC7942_1446-MONOMER	SYNPCC7942_RS07400
SYNPCC7942_2465	2546335	2546586	SYNPCC7942_2465-MONOMER	SYNPCC7942_RS12530
SYNPCC7942_1419	1472585	1473445	SYNPCC7942_1419-MONOMER	SYNPCC7942_RS07260
SYNPCC7942_0497	484328	484504	SYNPCC7942_0497-MONOMER	
SYNPCC7942_1401	1452727	1453104	SYNPCC7942_1401-MONOMER	SYNPCC7942_RS07170
SYNPCC7942_2558	2636518	2637684	SYNPCC7942_2558-MONOMER	SYNPCC7942_RS13000
SYNPCC7942_2410	2482991	2484025	SYNPCC7942_2410-MONOMER	SYNPCC7942_RS12250
SYNPCC7942_0457	445562	446179	SYNPCC7942_0457-MONOMER	SYNPCC7942_RS02330
SYNPCC7942_0798	792319	792804	SYNPCC7942_0798-MONOMER	SYNPCC7942_RS04130
SYNPCC7942_1361	1401085	1401588	SYNPCC7942_1361-MONOMER	SYNPCC7942_RS06960
SYNPCC7942_2373	2440339	2441373	SYNPCC7942_2373-MONOMER	SYNPCC7942_RS12060
SYNPCC7942_1964	2034764	2035696	SYNPCC7942_1964-MONOMER	SYNPCC7942_RS09965
SYNPCC7942_0418	408494	408844	SYNPCC7942_0418-MONOMER	SYNPCC7942_RS02135
SYNPCC7942_1320	1349340	1350296	SYNPCC7942_1320-MONOMER	SYNPCC7942_RS06750
SYNPCC7942_0294	290394	291227	SYNPCC7942_0294-MONOMER	SYNPCC7942_RS01500
SYNPCC7942_2320	2389796	2390083	SYNPCC7942_2320-MONOMER	SYNPCC7942_RS11795
SYNPCC7942_0384	376527	377237	SYNPCC7942_0384-MONOMER	SYNPCC7942_RS01960
SYNPCC7942_1391	1436154	1437692	SYNPCC7942_1391-MONOMER	SYNPCC7942_RS07120
SYNPCC7942_1267	1290950	1291729	SYNPCC7942_1267-MONOMER	SYNPCC7942_RS06490
SYNPCC7942_2277	2344591	2344899	SYNPCC7942_2277-MONOMER	SYNPCC7942_RS11575
SYNPCC7942_2535	2615811	2619110	SYNPCC7942_2535-MONOMER	SYNPCC7942_RS12870
SYNPCC7942_0358	351309	351950	SYNPCC7942_0358-MONOMER	SYNPCC7942_RS01825
SYNPCC7942_1202	1230512	1232980	SYNPCC7942_1202-MONOMER	SYNPCC7942_RS06155
SYNPCC7942_0773	765592	766197	SYNPCC7942_0773-MONOMER	SYNPCC7942_RS04010
SYNPCC7942_2237	2303053	2303487	SYNPCC7942_2237-MONOMER	SYNPCC7942_RS11360
SYNPCC7942_0298	296980	297627	SYNPCC7942_0298-MONOMER	SYNPCC7942_RS01520
SYNPCC7942_1935	2009232	2010020	SYNPCC7942_1935-MONOMER	SYNPCC7942_RS09820
SYNPCC7942_1161	1194348	1194842	SYNPCC7942_1161-MONOMER	SYNPCC7942_RS05950
SYNPCC7942_2173	2253218	2253778	SYNPCC7942_2173-MONOMER	SYNPCC7942_RS11045
SYNPCC7942_0272	267889	268683	SYNPCC7942_0272-MONOMER	SYNPCC7942_RS01385
SYNPCC7942_0240	234851	235342	SYNPCC7942_0240-MONOMER	SYNPCC7942_RS01220
SYNPCC7942_1132	1151670	1153373	SYNPCC7942_1132-MONOMER	SYNPCC7942_RS05795
SYNPCC7942_1367	1405262	1406629	SYNPCC7942_1367-MONOMER	SYNPCC7942_RS06995
SYNPCC7942_2146	2230009	2230323	SYNPCC7942_2146-MONOMER	SYNPCC7942_RS10900
SYNPCC7942_0213	215643	216188	SYNPCC7942_0213-MONOMER	SYNPCC7942_RS01080
SYNPCC7942_2510	2589959	2590171	SYNPCC7942_2510-MONOMER	SYNPCC7942_RS12735
SYNPCC7942_1087	1103190	1104164	SYNPCC7942_1087-MONOMER	SYNPCC7942_RS05580
SYNPCC7942_2097	2179471	2180391	SYNPCC7942_2097-MONOMER	SYNPCC7942_RS10630
SYNPCC7942_0715	709992	711179	SYNPCC7942_0715-MONOMER	SYNPCC7942_RS03670
SYNPCC7942_0170	170498	170752	SYNPCC7942_0170-MONOMER	
SYNPCC7942_1043	1055969	1056622	SYNPCC7942_1043-MONOMER	SYNPCC7942_RS05350
SYNPCC7942_1911	1986376	1988613	SYNPCC7942_1911-MONOMER	SYNPCC7942_RS09690
SYNPCC7942_2039	2108533	2109339	SYNPCC7942_2039-MONOMER	SYNPCC7942_RS10345
SYNPCC7942_0144	146268	146720	SYNPCC7942_0144-MONOMER	SYNPCC7942_RS00730
SYNPCC7942_0248	244642	245832	SYNPCC7942_0248-MONOMER	SYNPCC7942_RS01265
SYNPCC7942_1004	1015963	1016316	SYNPCC7942_1004-MONOMER	SYNPCC7942_RS05150
SYNPCC7942_2008	2075871	2076353	SYNPCC7942_2008-MONOMER	SYNPCC7942_RS10185
SYNPCC7942_0712	705073	706350	SYNPCC7942_0712-MONOMER	SYNPCC7942_RS03650
SYNPCC7942_0099	100202	100531	SYNPCC7942_0099-MONOMER	SYNPCC7942_RS00505
SYNPCC7942_0964	971856	972374	SYNPCC7942_0964-MONOMER	SYNPCC7942_RS04955
SYNPCC7942_1905	1979496	1982498	SYNPCC7942_1905-MONOMER	SYNPCC7942_RS09660
SYNPCC7942_1955	2027929	2028072	SYNPCC7942_1955-MONOMER	
SYNPCC7942_0054	56423	57190	SYNPCC7942_0054-MONOMER	SYNPCC7942_RS00270
SYNPCC7942_0245	241168	242229	SYNPCC7942_0245-MONOMER	SYNPCC7942_RS01250
SYNPCC7942_0910	918560	918988	SYNPCC7942_0910-MONOMER	SYNPCC7942_RS04680
SYNPCC7942_1914	1990394	1990852	SYNPCC7942_1914-MONOMER	SYNPCC7942_RS09715
SYNPCC7942_1335	1366177	1366971	SYNPCC7942_1335-MONOMER	SYNPCC7942_RS06825
SYNPCC7942_0016	15020	15604	SYNPCC7942_0016-MONOMER	SYNPCC7942_RS00085
SYNPCC7942_0871	872106	872330	SYNPCC7942_0871-MONOMER	SYNPCC7942_RS04490
SYNPCC7942_2478	2559500	2559874	SYNPCC7942_2478-MONOMER	SYNPCC7942_RS12590
SYNPCC7942_1871	1943308	1943841	SYNPCC7942_1871-MONOMER	
SYNPCC7942_0843	838504	838935	SYNPCC7942_0843-MONOMER	SYNPCC7942_RS04360
SYNPCC7942_0681	675164	675862	SYNPCC7942_0681-MONOMER	SYNPCC7942_RS03490
SYNPCC7942_1828	1897914	1898171	SYNPCC7942_1828-MONOMER	SYNPCC7942_RS09275
SYNPCC7942_0806	799095	799826	SYNPCC7942_0806-MONOMER	SYNPCC7942_RS04170
SYNPCC7942_1882	1954814	1955224	SYNPCC7942_1882-MONOMER	SYNPCC7942_RS09545
SYNPCC7942_1785	1853308	1853718	SYNPCC7942_1785-MONOMER	SYNPCC7942_RS09070
SYNPCC7942_0769	761226	762128	SYNPCC7942_0769-MONOMER	SYNPCC7942_RS03990
SYNPCC7942_0212	214471	215559	SYNPCC7942_0212-MONOMER	SYNPCC7942_RS01075
SYNPCC7942_1756	1824236	1824511	SYNPCC7942_1756-MONOMER	
SYNPCC7942_0746	740782	741288	SYNPCC7942_0746-MONOMER	SYNPCC7942_RS03865
SYNPCC7942_1312	1338656	1340458	SYNPCC7942_1312-MONOMER	SYNPCC7942_RS06710
SYNPCC7942_1706	1773234	1775426	SYNPCC7942_1706-MONOMER	SYNPCC7942_RS08680
SYNPCC7942_0723	717322	717963	SYNPCC7942_0723-MONOMER	SYNPCC7942_RS03740
SYNPCC7942_2452	2530160	2530876	SYNPCC7942_2452-MONOMER	SYNPCC7942_RS12460
SYNPCC7942_0720	715051	715389	SYNPCC7942_0720-MONOMER	SYNPCC7942_RS03715
SYNPCC7942_1666	1735155	1735859	SYNPCC7942_1666-MONOMER	SYNPCC7942_RS08495
SYNPCC7942_0655	650232	651290	SYNPCC7942_0655-MONOMER	SYNPCC7942_RS03355
SYNPCC7942_B2655	22675	23511	SYNPCC7942_B2655-MONOMER	SYNPCC7942_RS13480
SYNPCC7942_0687	682128	683747	SYNPCC7942_0687-MONOMER	SYNPCC7942_RS03525
SYNPCC7942_1857	1925835	1926701	SYNPCC7942_1857-MONOMER	SYNPCC7942_RS09420
