Gene Name	Left-End-Position	Right-End-Position	Product	Accession-1
SYNPCC7942_2370	2438232	2438441	SYNPCC7942_2370-MONOMER	SYNPCC7942_RS12045
SYNPCC7942_0415	405168	406145	SYNPCC7942_0415-MONOMER	SYNPCC7942_RS02120
SYNPCC7942_1306	1333522	1334082	SYNPCC7942_1306-MONOMER	SYNPCC7942_RS06680
SYNPCC7942_2311	2379602	2380381	SYNPCC7942_2311-MONOMER	SYNPCC7942_RS11750
SYNPCC7942_0382	375456	375722	SYNPCC7942_0382-MONOMER	SYNPCC7942_RS01950
SYNPCC7942_1260	1283244	1284071	SYNPCC7942_1260-MONOMER	SYNPCC7942_RS06455
SYNPCC7942_2275	2343631	2343915	SYNPCC7942_2275-MONOMER	
SYNPCC7942_0347	340288	340452	SYNPCC7942_0347-MONOMER	
SYNPCC7942_1196	1224298	1224534	SYNPCC7942_1196-MONOMER	SYNPCC7942_RS06125
SYNPCC7942_2200	2280586	2281077	SYNPCC7942_2200-MONOMER	SYNPCC7942_RS11175
SYNPCC7942_0293	289757	290095	SYNPCC7942_0293-MONOMER	SYNPCC7942_RS01495
SYNPCC7942_1157	1186081	1189266	SYNPCC7942_1157-MONOMER	SYNPCC7942_RS05930
SYNPCC7942_2169	2251160	2251483	SYNPCC7942_2169-MONOMER	SYNPCC7942_RS11025
SYNPCC7942_0237	232565	233143	SYNPCC7942_0237-MONOMER	SYNPCC7942_RS01205
SYNPCC7942_1128	1147349	1148437	SYNPCC7942_1128-MONOMER	SYNPCC7942_RS05775
SYNPCC7942_2141	2226031	2226495	SYNPCC7942_2141-MONOMER	SYNPCC7942_RS10870
SYNPCC7942_0207	208813	208983	SYNPCC7942_0207-MONOMER	
SYNPCC7942_1081	1093131	1093832	SYNPCC7942_1081-MONOMER	SYNPCC7942_RS05550
SYNPCC7942_2088	2168002	2168316	SYNPCC7942_2088-MONOMER	SYNPCC7942_RS10585
SYNPCC7942_0167	166695	166925	SYNPCC7942_0167-MONOMER	SYNPCC7942_RS00850
SYNPCC7942_1041	1055349	1055621	SYNPCC7942_1041-MONOMER	
SYNPCC7942_2036	2105522	2106526	SYNPCC7942_2036-MONOMER	SYNPCC7942_RS10330
SYNPCC7942_0134	134745	136052	SYNPCC7942_0134-MONOMER	SYNPCC7942_RS00680
SYNPCC7942_0999	1007581	1007880	SYNPCC7942_0999-MONOMER	
