Reaction,Complexes
AACPS7,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
AACPS8,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
AACPS9,GMET_RS08105-MONOMER OR GMET_RS00430-MONOMER_mod_mg2(1)
ACACT1r,GMET_RS11145-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS10465-MONOMER OR GMET_RS16550-MONOMER
ACACT2r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT3r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT4r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT5r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT6r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT7r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACACT8r,GMET_RS10465-MONOMER OR GMET_RS00725-MONOMER OR GMET_RS11065-MONOMER OR GMET_RS11145-MONOMER OR GMET_RS11430-MONOMER OR GMET_RS08650-MONOMER OR GMET_RS16550-MONOMER
ACAFDOR,GMET_RS05230-MONOMER
ACBIPGT,GMET_RS02330-MONOMER
ACCOAC,CPLX_ACCOAC-0_mod_btn(1)
ACGAMT,GMET_RS07580-MONOMER_mod_mg2(1) OR GMET_RS10890-MONOMER
ACGK,GMET_RS01020-MONOMER_mod_mg2(1)
ACGS,GMET_RS04735-MONOMER
ACHBS,CPLX2LZ9-32
ACITL,CPLX_ACITL-0
ACKr,GMET_RS05175-MONOMER_mod_mg2(1)
ACLS,CPLX2LZ9-32
ACNPLYS,GMET_RS02275-MONOMER
ACOAD1f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD2f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
