Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
STM2757	STM2757	2894911	2895753	STM2757-MONOMER
STM3518	STM3518	3680351	3681370	STM3518-MONOMER
STM4076	STM4076	4286083	4287084	STM4076-MONOMER
STM2241	STM2241	2340884	2343250	STM2241-MONOMER
STM2575	STM2575	2720727	2721653	STM2575-MONOMER
STM4007	STM4007	4215612	4217021	STM4007-MONOMER
STM4566	STM4566	4819639	4821189	STM4566-MONOMER
STM4492	STM4492	4738790	4741387	STM4492-MONOMER
STM2505	STM2505	2621102	2621362	STM2505-MONOMER
STM0792	STM0792	858263	858739	STM0792-MONOMER
STM0857	STM0857	928723	929886	STM0857-MONOMER
STM2579	STM2579	2723186	2723914	STM2579-MONOMER
STM2414	STM2414	2529716	2530108	STM2414-MONOMER
STM1240	STM1240	1328179	1328967	STM1240-MONOMER
STM2630	STM2630	2770343	2770501	STM2630-MONOMER
STM1717	STM1717	1814363	1815124	STM1717-MONOMER
STM2375	STM2375	2486914	2487282	STM2375-MONOMER
STM3040	STM3040	3199225	3200742	STM3040-MONOMER
STM1313	STM1313	1392201	1393559	STM1313-MONOMER
STM0288	STM0288	328956	329477	STM0288-MONOMER
STM0348	STM0348	391709	391933	STM0348-MONOMER
STM3501	STM3501	3658268	3659620	STM3501-MONOMER
PSLT004	PSLT004	1723	1845	PSLT004-MONOMER
STM2211	STM2211	2310492	2311295	STM2211-MONOMER
STM4520	STM4520	4775941	4776084	STM4520-MONOMER
STM3983	STM3983	4189323	4191512	STM3983-MONOMER
STM1789	STM1789	1888477	1889073	STM1789-MONOMER
STM4471	STM4471	4713363	4714175	STM4471-MONOMER
STM2209	STM2209	2309635	2309757	STM2209-MONOMER
STM0774	STM0774	838376	839524	STM0774-MONOMER
STM3097	STM3097	3258672	3259088	STM3097-MONOMER
STM2557	STM2557	2696632	2698176	STM2557-MONOMER
STM0211	STM0211	247319	247705	STM0211-MONOMER
STM1221	STM1221	1306765	1307586	STM1221-MONOMER
STM0367	STM0367	416088	417713	STM0367-MONOMER
STM1699	STM1699	1791713	1792012	STM1699-MONOMER
STM4396	STM4396	4633092	4633727	STM4396-MONOMER
STM3014	STM3014	3174081	3175016	STM3014-MONOMER
STM3563	STM3563	3731419	3732345	STM3563-MONOMER
STM0262	STM0262	302153	302875	STM0262-MONOMER
STM2001	STM2001	2082348	2083145	STM2001-MONOMER
STM3484	STM3484	3638698	3639534	STM3484-MONOMER
STM2279	STM2279	2384927	2385181	STM2279-MONOMER
STM2188	STM2188	2283936	2284946	STM2188-MONOMER
STM0014	STM0014	15014	15961	STM0014-MONOMER
STM3960	STM3960	4165142	4165762	STM3960-MONOMER
STM4055	STM4055	4266552	4267172	STM4055-MONOMER
STM4449	STM4449	4691466	4691708	STM4449-MONOMER
STM4215	STM4215	4435590	4436045	STM4215-MONOMER
STM0747	STM0747	814620	815843	STM0747-MONOMER
STM4543	STM4543	4802810	4803547	STM4543-MONOMER
STM2536	STM2536	2676118	2677401	STM2536-MONOMER
STM1851	STM1851	1950126	1950365	STM1851-MONOMER
STM1199	STM1199	1282602	1283624	STM1199-MONOMER
STM0838	STM0838	905039	906631	STM0838-MONOMER
STM1679	STM1679	1771991	1773604	STM1679-MONOMER
STM1774	STM1774	1872106	1872495	STM1774-MONOMER
STM2991	STM2991	3141362	3142615	STM2991-MONOMER
STM2612	STM2612	2759430	2759882	STM2612-MONOMER
STM0235	STM0235	278220	278609	STM0235-MONOMER
STM1721	STM1721	1817402	1818283	STM1721-MONOMER
STM3461	STM3461	3612133	3612444	STM3461-MONOMER
STM1295	STM1295	1372901	1374757	STM1295-MONOMER
STM2164	STM2164	2258900	2260069	STM2164-MONOMER
STM1630	STM1630	1720145	1720861	STM1630-MONOMER
STM3936	STM3936	4143134	4144303	STM3936-MONOMER
STM1768	STM1768	1866716	1868140	STM1768-MONOMER
STM4428	STM4428	4671205	4672371	STM4428-MONOMER
STM1574	STM1574	1656803	1658290	STM1574-MONOMER
STM0730	STM0730	795957	797240	STM0730-MONOMER
STM3078	STM3078	3239525	3240445	STM3078-MONOMER
STM2517	STM2517	2648609	2650801	STM2517-MONOMER
STM1500	STM1500	1579540	1579848	STM1500-MONOMER
STM1181	STM1181	1263346	1264443	STM1181-MONOMER
STM0339	STM0339	383581	384342	STM0339-MONOMER
STM1656	STM1656	1750142	1751125	STM1656-MONOMER
STM1388	STM1388	1473811	1474023	STM1388-MONOMER
STM2968	STM2968	3117888	3118736	STM2968-MONOMER
STM3541	STM3541	3710170	3711510	STM3541-MONOMER
STM0219	STM0219	257149	257706	STM0219-MONOMER
STM1325	STM1325	1404694	1404984	STM1325-MONOMER
STM3442	STM3442	3596917	3597384	STM3442-MONOMER
STM2260	STM2260	2358900	2359163	STM2260-MONOMER
STM2140	STM2140	2234011	2234910	STM2140-MONOMER
STM1268	STM1268	1349611	1349760	STM1268-MONOMER
STM3915	STM3915	4124849	4125178	STM3915-MONOMER
STM4035	STM4035	4243224	4243859	STM4035-MONOMER
STM4406	STM4406	4643334	4643606	STM4406-MONOMER
STM3490	STM3490	3644765	3645238	STM3490-MONOMER
STM0705	STM0705	770290	772338	STM0705-MONOMER
STM4524	STM4524	4777624	4779033	STM4524-MONOMER
STM2493	STM2493	2606695	2607762	STM2493-MONOMER
STM3059	STM3059	3220988	3221572	STM3059-MONOMER
STM1163	STM1163	1248504	1249550	STM1163-MONOMER
STM0818	STM0818	883690	884685	STM0818-MONOMER
STM1636	STM1636	1726053	1726733	STM1636-MONOMER
STM1074	STM1074	1165852	1166298	STM1074-MONOMER
STM2949	STM2949	3092941	3093303	STM2949-MONOMER
STM2595	STM2595	2746254	2746592	STM2595-MONOMER
STM0199	STM0199	235259	235735	STM0199-MONOMER
STM3275	STM3275	3441266	3442162	STM3275-MONOMER
STM3426	STM3426	3589421	3589813	STM3426-MONOMER
