Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
STM3032	STM3032	3194324	3194782	STM3032-MONOMER
STM0276	STM0276	316894	317379	STM0276-MONOMER
STM3496	STM3496	3652392	3653060	STM3496-MONOMER
STM2203	STM2203	2302658	2303515	STM2203-MONOMER
STM3976	STM3976	4182147	4182929	STM3976-MONOMER
STM4466	STM4466	4708400	4709332	STM4466-MONOMER
STM0768	STM0768	831922	833223	STM0768-MONOMER
STM2551	STM2551	2689334	2690320	STM2551-MONOMER
STM1216	STM1216	1298885	1302331	STM1216-MONOMER
STM1694	STM1694	1786270	1787160	STM1694-MONOMER
STM1691	STM1691	1782580	1783560	STM1691-MONOMER
STM3003	STM3003	3159915	3162161	STM3003-MONOMER
STM0248	STM0248	288245	288811	STM0248-MONOMER
STM3476	STM3476	3626655	3627464	STM3476-MONOMER
STM2177	STM2177	2273630	2274331	STM2177-MONOMER
STM3955	STM3955	4160076	4160960	STM3955-MONOMER
STM4442	STM4442	4684670	4684972	STM4442-MONOMER
STM0742	STM0742	812270	812383	STM0742-MONOMER
STM2530	STM2530	2662913	2665318	STM2530-MONOMER
STM1194	STM1194	1278271	1279200	STM1194-MONOMER
STM1673	STM1673	1766961	1767215	STM1673-MONOMER
STM2982	STM2982	3134278	3135195	STM2982-MONOMER
STM0230	STM0230	268929	269525	STM0230-MONOMER
STM3454	STM3454	3605916	3606134	STM3454-MONOMER
STM2154	STM2154	2248463	2249572	STM2154-MONOMER
STM3927	STM3927	4136055	4137134	STM3927-MONOMER
STM4423	STM4423	4665901	4666725	STM4423-MONOMER
STM0724	STM0724	788917	790695	STM0724-MONOMER
STM2508	STM2508	2621942	2622271	STM2508-MONOMER
STM1176	STM1176	1259073	1259771	STM1176-MONOMER
STM1651	STM1651	1742119	1745643	STM1651-MONOMER
STM2960	STM2960	3110546	3111886	STM2960-MONOMER
STM0214	STM0214	250144	252816	STM0214-MONOMER
STM3437	STM3437	3593810	3594631	STM3437-MONOMER
STM2131	STM2131	2224535	2225257	STM2131-MONOMER
STM3909	STM3909	4117390	4118865	STM3909-MONOMER
STM4399	STM4399	4636384	4637046	STM4399-MONOMER
STM0700	STM0700	762066	763385	STM0700-MONOMER
STM2488	STM2488	2602991	2604025	STM2488-MONOMER
STM1155	STM1155	1242605	1243525	STM1155-MONOMER
STM1631	STM1631	1721287	1722513	STM1631-MONOMER
STM2944	STM2944	3084047	3086710	STM2944-MONOMER
STM0194	STM0194	227661	229718	STM0194-MONOMER
STM3421	STM3421	3587373	3587807	STM3421-MONOMER
STM2114	STM2114	2197478	2197966	STM2114-MONOMER
STM3881	STM3881	4091672	4092091	STM3881-MONOMER
STM4381	STM4381	4622961	4623716	STM4381-MONOMER
STM0681	STM0681	740896	741648	STM0681-MONOMER
STM2465	STM2465	2575211	2575501	STM2465-MONOMER
STM1133	STM1133	1222921	1224027	STM1133-MONOMER
STM1608	STM1608	1698356	1698952	STM1608-MONOMER
STM2925	STM2925	3066556	3067689	STM2925-MONOMER
STM0177	STM0177	208383	208922	STM0177-MONOMER
STM3402	STM3402	3574096	3574668	STM3402-MONOMER
STM2098	STM2098	2178954	2179847	STM2098-MONOMER
STM3864	STM3864	4073684	4074103	STM3864-MONOMER
STM4359	STM4359	4601709	4603565	STM4359-MONOMER
STM0652	STM0652	714548	716476	STM0652-MONOMER
STM2444	STM2444	2555424	2556440	STM2444-MONOMER
STM1111	STM1111	1198682	1198987	STM1111-MONOMER
STM1584	STM1584	1670643	1672136	STM1584-MONOMER
STM2904	STM2904	3047339	3047629	STM2904-MONOMER
STM0158	STM0158	185857	188454	STM0158-MONOMER
STM3375	STM3375	3544874	3546814	STM3375-MONOMER
STM2081	STM2081	2159358	2160764	STM2081-MONOMER
STM3843	STM3843	4048226	4049590	STM3843-MONOMER
STM4338	STM4338	4581516	4581833	STM4338-MONOMER
STM0635	STM0635	697291	697866	STM0635-MONOMER
STM2424	STM2424	2536769	2537695	STM2424-MONOMER
STM1094	STM1094	1180626	1182095	STM1094-MONOMER
STM1565	STM1565	1645484	1645627	STM1565-MONOMER
STM2886	STM2886	3030905	3031402	STM2886-MONOMER
STM0138	STM0138	162263	162454	STM0138-MONOMER
STM3354	STM3354	3522254	3522871	STM3354-MONOMER
STM2065	STM2065	2138672	2140948	STM2065-MONOMER
STM3825	STM3825	4025344	4026384	STM3825-MONOMER
STM4320	STM4320	4566015	4566347	STM4320-MONOMER
STM0616	STM0616	679347	679757	STM0616-MONOMER
STM1075	STM1075	1166422	1168476	STM1075-MONOMER
STM1542	STM1542	1617313	1618338	STM1542-MONOMER
STM2868	STM2868	3013346	3013798	STM2868-MONOMER
STM0121	STM0121	141345	141710	STM0121-MONOMER
STM2038	STM2038	2116843	2117127	STM2038-MONOMER
STM3339	STM3339	3508126	3509019	STM3339-MONOMER
STM3808	STM3808	4009390	4009818	STM3808-MONOMER
STM4300	STM4300	4545381	4547027	STM4300-MONOMER
STM0597	STM0597	659067	659924	MONOMER1R65-19 // STM0597-MONOMER
STM1056	STM1056	1143511	1143702	STM1056-MONOMER
STM1523	STM1523	1600201	1601073	STM1523-MONOMER
STM2848	STM2848	2993346	2993888	STM2848-MONOMER
STM0104	STM0104	121640	122485	STM0104-MONOMER
STM2021	STM2021	2102020	2102697	STM2021-MONOMER
STM3319	STM3319	3483644	3484369	STM3319-MONOMER
STM3787	STM3787	3986192	3987583	STM3787-MONOMER
STM0578	STM0578	637031	637684	STM0578-MONOMER
STM4286	STM4286	4527868	4528776	STM4286-MONOMER
STM1039	STM1039	1125208	1125606	STM1039-MONOMER
STM1502	STM1502	1580703	1581263	STM1502-MONOMER
STM2831	STM2831	2976979	2978058	STM2831-MONOMER
STM0086	STM0086	98778	100640	STM0086-MONOMER
STM1990	STM1990	2072966	2073886	STM1990-MONOMER
STM3301	STM3301	3470226	3471398	STM3301-MONOMER
STM3763	STM3763	3961554	3964280	STM3763-MONOMER
STM0552	STM0552	612709	613305	STM0552-MONOMER
STM4267	STM4267	4505147	4505815	STM4267-MONOMER
STM1023	STM1023	1112376	1112693	STM1023-MONOMER
STM1483	STM1483	1560592	1560921	STM1483-MONOMER
STM2806	STM2806	2952103	2952513	STM2806-MONOMER
STM0063	STM0063	72929	73837	STM0063-MONOMER
STM1970	STM1970	2058211	2059206	STM1970-MONOMER
STM3281	STM3281	3448260	3449144	STM3281-MONOMER
STM0535	STM0535	597746	598468	STM0535-MONOMER
STM3737	STM3737	3929422	3930303	STM3737-MONOMER
STM4241	STM4241	4461816	4462331	STM4241-MONOMER
STM1007	STM1007	1099857	1100096	STM1007-MONOMER
STM1457	STM1457	1531561	1533768	STM1457-MONOMER
STM2781	STM2781	2928377	2929306	STM2781-MONOMER
STM0045	STM0045	52872	53810	STM0045-MONOMER
STM1952	STM1952	2041358	2042026	STM1952-MONOMER
STM3256	STM3256	3425832	3426638	STM3256-MONOMER
STM0517	STM0517	577470	579251	STM0517-MONOMER
STM3719	STM3719	3914546	3915625	STM3719-MONOMER
STM4223	STM4223	4442546	4443214	STM4223-MONOMER
STM0985	STM0985	1072183	1073160	STM0985-MONOMER
STM2754	STM2754	2892413	2893615	STM2754-MONOMER
STM1442	STM1442	1518577	1519473	STM1442-MONOMER
STM0023	STM0023	25803	28424	STM0023-MONOMER
STM1924	STM1924	2021133	2021717	STM1924-MONOMER
STM3235	STM3235	3400019	3400915	STM3235-MONOMER
STM0495	STM0495	555406	555885	STM0495-MONOMER
STM3701	STM3701	3896048	3896515	STM3701-MONOMER
STM2422	STM2422	2534857	2535690	STM2422-MONOMER
STM4200	STM4200	4420457	4422202	STM4200-MONOMER
STM0965	STM0965	1047779	1048396	STM0965-MONOMER
STM2733	STM2733	2874074	2874415	STM2733-MONOMER
STM1425	STM1425	1501953	1503326	STM1425-MONOMER
PSLT110	PSLT110	92554	93294	PSLT110-MONOMER
STM1908	STM1908	2001788	2002357	STM1908-MONOMER
STM3208	STM3208	3372821	3373834	STM3208-MONOMER
STM0476	STM0476	532422	533615	STM0476-MONOMER
STM3680	STM3680	3867985	3869523	STM3680-MONOMER
STM2387	STM2387	2497410	2497895	STM2387-MONOMER
STM4172	STM4172	4387740	4388195	STM4172-MONOMER
STM0943	STM0943	1021805	1022026	STM0943-MONOMER
STM2716	STM2716	2860327	2860542	STM2716-MONOMER
STM1406	STM1406	1489528	1489743	STM1406-MONOMER
PSLT093	PSLT093	73233	73541	PSLT093-MONOMER
STM1887	STM1887	1981481	1982350	STM1887-MONOMER
STM3190	STM3190	3353093	3353866	STM3190-MONOMER
STM0452	STM0452	508669	510540	STM0452-MONOMER
STM3661	STM3661	3846479	3847801	STM3661-MONOMER
STM2362	STM2362	2474335	2475852	STM2362-MONOMER
STM4150	STM4150	4363550	4364254	STM4150-MONOMER
STM0923	STM0923	994234	994911	STM0923-MONOMER
STM2700	STM2700	2849588	2850103	STM2700-MONOMER
STM1386	STM1386	1471340	1473118	STM1386-MONOMER
PSLT075	PSLT075	61581	62267	PSLT075-MONOMER
STM1865	STM1865	1961660	1961785	STM1865-MONOMER
STM3170	STM3170	3332629	3333111	STM3170-MONOMER
STM0435	STM0435	487800	488309	STM0435-MONOMER
STM3636	STM3636	3822497	3823024	STM3636-MONOMER
STM2345	STM2345	2457382	2458401	STM2345-MONOMER
STM4121	STM4121	4339526	4340530	STM4121-MONOMER
STM0907	STM0907	977162	977776	STM0907-MONOMER
STM2682	STM2682	2822177	2822371	STM2682-MONOMER
STM1366	STM1366	1449548	1449958	STM1366-MONOMER
PSLT053	PSLT053	45013	45990	PSLT053-MONOMER
STM1836	STM1836	1933579	1935324	STM1836-MONOMER
STM3149	STM3149	3311662	3312648	STM3149-MONOMER
STM0418	STM0418	471528	471947	STM0418-MONOMER
STM3616	STM3616	3793906	3797448	STM3616-MONOMER
STM2324	STM2324	2434650	2435987	STM2324-MONOMER
STM4102	STM4102	4313437	4314294	STM4102-MONOMER
STM4595	STM4595	4852867	4853412	STM4595-MONOMER
STM0890	STM0890	960297	961028	STM0890-MONOMER
STM2660	STM2660	2802119	2804692	STM2660-MONOMER
STM1343	STM1343	1422011	1422475	STM1343-MONOMER
PSLT037	PSLT037	26267	26917	PSLT037-MONOMER
STM1815	STM1815	1912812	1913624	STM1815-MONOMER
STM3130	STM3130	3290599	3290979	STM3130-MONOMER
STM0399	STM0399	453259	454578	STM0399-MONOMER
STM3596	STM3596	3767658	3768500	STM3596-MONOMER
STM2306	STM2306	2413036	2413998	STM2306-MONOMER
STM4085	STM4085	4293233	4294243	STM4085-MONOMER
STM4576	STM4576	4831431	4832447	STM4576-MONOMER
STM0866	STM0866	938498	939730	STM0866-MONOMER
STM2638	STM2638	2777793	2778749	STM2638-MONOMER
STM1320	STM1320	1400066	1401457	STM1320-MONOMER
PSLT012	PSLT012	7569	7919	PSLT012-MONOMER
STM1796	STM1796	1895064	1896776	STM1796-MONOMER
STM3109	STM3109	3267818	3268537	STM3109-MONOMER
STM0375	STM0375	428856	429986	STM0375-MONOMER
STM3571	STM3571	3738758	3740233	STM3571-MONOMER
STM2288	STM2288	2395857	2396033	STM2288-MONOMER
STM4064	STM4064	4274599	4275354	STM4064-MONOMER
STM4556	STM4556	4811156	4812184	STM4556-MONOMER
STM0847	STM0847	917152	918093	STM0847-MONOMER
STM2621	STM2621	2765552	2765785	STM2621-MONOMER
STM1303	STM1303	1382185	1383411	STM1303-MONOMER
STM1778	STM1778	1876018	1876641	STM1778-MONOMER
STM3086	STM3086	3248933	3250909	STM3086-MONOMER
STM0354	STM0354	400861	401325	STM0354-MONOMER
STM3554	STM3554	3723508	3724578	STM3554-MONOMER
STM2267	STM2267	2365442	2366578	STM2267-MONOMER
STM4043	STM4043	4253509	4253823	STM4043-MONOMER
STM4533	STM4533	4790100	4791761	STM4533-MONOMER
STM0829	STM0829	895464	896123	STM0829-MONOMER
STM2603	STM2603	2750895	2751923	STM2603-MONOMER
STM1283	STM1283	1358276	1359769	STM1283-MONOMER
STM1753	STM1753	1848933	1849946	STM1753-MONOMER
STM3068	STM3068	3229517	3230596	STM3068-MONOMER
STM0322	STM0322	367431	368681	STM0322-MONOMER
STM3531	STM3531	3695283	3696998	STM3531-MONOMER
STM2251	STM2251	2351390	2351602	STM2251-MONOMER
STM4022	STM4022	4232876	4233754	STM4022-MONOMER
STM4507	STM4507	4761070	4761843	STM4507-MONOMER
STM0802	STM0802	870641	871630	STM0802-MONOMER
STM2586	STM2586	2733338	2733916	STM2586-MONOMER
STM1253	STM1253	1337438	1337968	STM1253-MONOMER
STM1727	STM1727	1824266	1825072	STM1727-MONOMER
STM3050	STM3050	3208843	3209154	STM3050-MONOMER
STM0301	STM0301	343567	346077	STM0301-MONOMER
STM3510	STM3510	3668707	3669390	STM3510-MONOMER
STM2222	STM2222	2323700	2324395	STM2222-MONOMER
STM3997	STM3997	4204212	4204835	STM3997-MONOMER
STM4483	STM4483	4727192	4727956	STM4483-MONOMER
STM0783	STM0783	847143	848201	STM0783-MONOMER
STM2568	STM2568	2713993	2714544	STM2568-MONOMER
STM1230	STM1230	1317216	1318679	STM1230-MONOMER
STM1707	STM1707	1800581	1801318	STM1707-MONOMER
STM3027	STM3027	3187733	3188476	STM3027-MONOMER
STM0274	STM0274	314500	316008	STM0274-MONOMER
STM3493	STM3493	3646637	3649213	STM3493-MONOMER
STM2199	STM2199	2296550	2298541	STM2199-MONOMER
STM3973	STM3973	4180517	4180771	STM3973-MONOMER
STM4463	STM4463	4705150	4705638	STM4463-MONOMER
STM0764	STM0764	827347	828330	STM0764-MONOMER
STM2548	STM2548	2686444	2687487	STM2548-MONOMER
STM1213	STM1213	1296541	1297176	STM1213-MONOMER
STM2544	STM2544	2682932	2683426	STM2544-MONOMER
STM1208	STM1208	1291762	1292586	STM1208-MONOMER
STM1688	STM1688	1781098	1781457	STM1688-MONOMER
STM3000	STM3000	3157368	3157838	STM3000-MONOMER
STM0245	STM0245	285524	286339	STM0245-MONOMER
STM3473	STM3473	3622079	3623260	STM3473-MONOMER
STM2174	STM2174	2270722	2271660	STM2174-MONOMER
STM3950	STM3950	4154702	4155418	STM3950-MONOMER
STM4438	STM4438	4681844	4683196	STM4438-MONOMER
STM0739	STM0739	807080	807949	STM0739-MONOMER
STM2527	STM2527	2660622	2661485	STM2527-MONOMER
STM1191	STM1191	1275836	1276009	STM1191-MONOMER
STM1668	STM1668	1760343	1761173	STM1668-MONOMER
STM2977	STM2977	3130102	3131520	STM2977-MONOMER
STM0227	STM0227	266537	266992	STM0227-MONOMER
STM3450	STM3450	3603137	3603493	STM3450-MONOMER
STM2150	STM2150	2243853	2246342	STM2150-MONOMER
STM3924	STM3924	4133123	4133671	STM3924-MONOMER
STM4417	STM4417	4658556	4659389	STM4417-MONOMER
STM0721	STM0721	786077	787210	STM0721-MONOMER
STM2502	STM2502	2617007	2618548	STM2502-MONOMER
STM1173	STM1173	1257421	1258080	STM1173-MONOMER
STM1648	STM1648	1741123	1741533	STM1648-MONOMER
STM2957	STM2957	3105173	3106468	STM2957-MONOMER
STM0209	STM0209	244493	245920	STM0209-MONOMER
STM3434	STM3434	3592449	3593150	STM3434-MONOMER
STM2128	STM2128	2218646	2221726	STM2128-MONOMER
STM3904	STM3904	4112000	4113850	STM3904-MONOMER
STM4395	STM4395	4632116	4633042	STM4395-MONOMER
STM0697	STM0697	759194	759736	STM0697-MONOMER
STM2483	STM2483	2597693	2598820	STM2483-MONOMER
STM1151	STM1151	1237935	1240478	STM1151-MONOMER
STM1626	STM1626	1715873	1717498	STM1626-MONOMER
STM2941	STM2941	3080850	3081908	STM2941-MONOMER
STM0191	STM0191	223739	225928	STM0191-MONOMER
STM3418	STM3418	3585383	3585739	STM3418-MONOMER
STM2111	STM2111	2194316	2195062	STM2111-MONOMER
STM3877	STM3877	4085321	4086313	STM3877-MONOMER
STM4376	STM4376	4618381	4619544	STM4376-MONOMER
STM0670	STM0670	734490	735914	STM0670-MONOMER
STM2460	STM2460	2570023	2571249	STM2460-MONOMER
STM1128	STM1128	1216430	1217926	STM1128-MONOMER
STM1602	STM1602	1692175	1693125	STM1602-MONOMER
STM2921	STM2921	3063189	3063782	STM2921-MONOMER
STM0174	STM0174	203991	205070	STM0174-MONOMER
STM3391	STM3391	3562280	3565393	STM3391-MONOMER
STM2095	STM2095	2175667	2176545	STM2095-MONOMER
STM3860	STM3860	4067140	4068897	STM3860-MONOMER
STM4356	STM4356	4598383	4599930	STM4356-MONOMER
STM0649	STM0649	711947	712288	STM0649-MONOMER
STM2441	STM2441	2552629	2553726	STM2441-MONOMER
STM1108	STM1108	1195410	1196306	STM1108-MONOMER
STM1580	STM1580	1666654	1667334	STM1580-MONOMER
STM2899	STM2899	3043289	3043939	STM2899-MONOMER
STM0152	STM0152	176240	178903	STM0152-MONOMER
STM3372	STM3372	3541915	3542406	STM3372-MONOMER
STM2078	STM2078	2156137	2156748	STM2078-MONOMER
STM3840	STM3840	4045855	4046214	STM3840-MONOMER
STM4335	STM4335	4580253	4580387	STM4335-MONOMER
STM0632	STM0632	694576	694779	STM0632-MONOMER
STM1090	STM1090	1177861	1178202	STM1090-MONOMER
STM1562	STM1562	1643551	1643880	STM1562-MONOMER
STM2883	STM2883	3026762	3027793	STM2883-MONOMER
STM0134	STM0134	156935	157852	STM0134-MONOMER
STM3351	STM3351	3518739	3520040	STM3351-MONOMER
STM2062	STM2062	2136022	2137194	STM2062-MONOMER
STM3822	STM3822	4020823	4023375	STM3822-MONOMER
STM4318	STM4318	4562866	4563357	STM4318-MONOMER
STM0613	STM0613	676540	677307	STM0613-MONOMER
STM1071	STM1071	1162362	1162871	STM1071-MONOMER
STM1538	STM1538	1611989	1613791	STM1538-MONOMER
STM2863	STM2863	3008107	3008967	STM2863-MONOMER
STM0118	STM0118	138337	139341	STM0118-MONOMER
STM2034	STM2034	2111463	2112422	STM2034-MONOMER
STM3334	STM3334	3503085	3504365	STM3334-MONOMER
STM3800	STM3800	4001961	4002884	STM3800-MONOMER
STM4297	STM4297	4541213	4542145	STM4297-MONOMER
STM0594	STM0594	654993	655949	STM0594-MONOMER
STM1053	STM1053	1141575	1142201	STM1053-MONOMER
STM1519	STM1519	1597087	1597521	STM1519-MONOMER
STM2845	STM2845	2991709	2992179	STM2845-MONOMER
STM0101	STM0101	117241	117936	STM0101-MONOMER
STM2018	STM2018	2099137	2099682	STM2018-MONOMER
STM3316	STM3316	3481976	3482542	STM3316-MONOMER
STM3782	STM3782	3982242	3983600	STM3782-MONOMER
STM0575	STM0575	635176	635919	STM0575-MONOMER
STM4282	STM4282	4522067	4522687	STM4282-MONOMER
STM1036	STM1036	1123437	1124003	STM1036-MONOMER
STM1498	STM1498	1574411	1576846	STM1498-MONOMER
STM2827	STM2827	2971375	2974005	STM2827-MONOMER
STM0076	STM0076	89470	90411	STM0076-MONOMER
STM1986	STM1986	2068946	2069761	STM1986-MONOMER
STM3297	STM3297	3466735	3467361	STM3297-MONOMER
STM3757	STM3757	3954773	3957640	STM3757-MONOMER
STM0548	STM0548	609695	610213	STM0548-MONOMER
STM4262	STM4262	4499209	4501275	STM4262-MONOMER
STM1020	STM1020	1109957	1110559	STM1020-MONOMER
STM1480	STM1480	1557228	1558616	STM1480-MONOMER
STM2800	STM2800	2948329	2948778	STM2800-MONOMER
STM0060	STM0060	70000	70869	STM0060-MONOMER
STM1967	STM1967	2055499	2055885	STM1967-MONOMER
STM3272	STM3272	3439042	3439545	STM3272-MONOMER
STM0532	STM0532	595121	596014	STM0532-MONOMER
STM3734	STM3734	3926691	3927407	STM3734-MONOMER
STM4238	STM4238	4460051	4461376	STM4238-MONOMER
STM1004	STM1004	1096834	1098036	STM1004-MONOMER
STM2775	STM2775	2921340	2922584	STM2775-MONOMER
STM0040	STM0040	47418	48317	STM0040-MONOMER
STM1947	STM1947	2038244	2038900	STM1947-MONOMER
STM3253	STM3253	3422612	3423466	STM3253-MONOMER
STM0512	STM0512	572991	573650	STM0512-MONOMER
STM3716	STM3716	3911778	3912476	STM3716-MONOMER
STM4219	STM4219	4438147	4438350	STM4219-MONOMER
STM0982	STM0982	1067623	1067907	STM0982-MONOMER
STM2750	STM2750	2889225	2889746	STM2750-MONOMER
STM1438	STM1438	1514775	1515014	STM1438-MONOMER
STM0019	STM0019	20058	23054	STM0019-MONOMER
STM1921	STM1921	2017175	2019190	STM1921-MONOMER
STM3227	STM3227	3395867	3396250	STM3227-MONOMER
STM0491	STM0491	549000	550304	STM0491-MONOMER
STM3698	STM3698	3892737	3894047	STM3698-MONOMER
STM2409	STM2409	2525302	2526504	STM2409-MONOMER
STM4190	STM4190	4414009	4414698	STM4190-MONOMER
STM0962	STM0962	1042193	1043536	STM0962-MONOMER
STM2730	STM2730	2872692	2873549	STM2730-MONOMER
STM1420	STM1420	1499379	1499645	STM1420-MONOMER
PSLT106	PSLT106	86569	86967	PSLT106-MONOMER
STM1905	STM1905	1999075	1999818	STM1905-MONOMER
STM3205	STM3205	3370574	3371398	STM3205-MONOMER
STM0472	STM0472	527404	527955	STM0472-MONOMER
STM3676	STM3676	3863123	3863983	STM3676-MONOMER
STM2383	STM2383	2493712	2494536	STM2383-MONOMER
STM4166	STM4166	4383344	4384117	STM4166-MONOMER
STM0940	STM0940	1017518	1018486	STM0940-MONOMER
STM2713	STM2713	2858899	2859183	STM2713-MONOMER
STM1403	STM1403	1487516	1487950	STM1403-MONOMER
PSLT089	PSLT089	71210	71596	PSLT089-MONOMER
STM1884	STM1884	1976939	1977580	STM1884-MONOMER
STM3185	STM3185	3347741	3348373	STM3185-MONOMER
STM0449	STM0449	504086	505357	STM0449-MONOMER
STM3655	STM3655	3839782	3841851	STM3655-MONOMER
STM2358	STM2358	2468647	2469750	STM2358-MONOMER
STM4147	STM4147	4362030	4362413	STM4147-MONOMER
STM0920	STM0920	992245	992763	STM0920-MONOMER
STM2697	STM2697	2846297	2849104	STM2697-MONOMER
STM1383	STM1383	1466346	1469408	STM1383-MONOMER
PSLT070	PSLT070	57747	58484	PSLT070-MONOMER
STM1861	STM1861	1957832	1958200	STM1861-MONOMER
STM3167	STM3167	3327935	3328390	STM3167-MONOMER
STM0432	STM0432	485319	486131	STM0432-MONOMER
STM3632	STM3632	3817980	3819104	STM3632-MONOMER
STM2342	STM2342	2454921	2456312	STM2342-MONOMER
STM4117	STM4117	4332310	4333161	STM4117-MONOMER
STM0903	STM0903	973407	974222	STM0903-MONOMER
STM2677	STM2677	2817205	2818566	STM2677-MONOMER
STM1358	STM1358	1439608	1440366	STM1358-MONOMER
PSLT050	PSLT050	40975	41301	PSLT050-MONOMER
STM1832	STM1832	1930355	1931215	STM1832-MONOMER
STM3146	STM3146	3308300	3308794	STM3146-MONOMER
STM0415	STM0415	469392	469841	STM0415-MONOMER
STM3613	STM3613	3788575	3790062	STM3613-MONOMER
STM2321	STM2321	2430362	2430904	STM2321-MONOMER
STM4099	STM4099	4309144	4309461	STM4099-MONOMER
STM4592	STM4592	4848955	4849512	STM4592-MONOMER
STM0887	STM0887	957938	958669	STM0887-MONOMER
STM2651	STM2651	2789883	2792543	STM2651-MONOMER
STM1340	STM1340	1419562	1420542	STM1340-MONOMER
PSLT032	PSLT032	22257	22808	PSLT032-MONOMER
STM1812	STM1812	1910953	1911612	STM1812-MONOMER
STM3126	STM3126	3285419	3286918	STM3126-MONOMER
STM0396	STM0396	449379	450581	STM0396-MONOMER
STM3593	STM3593	3763187	3763945	STM3593-MONOMER
STM2303	STM2303	2410945	2411322	STM2303-MONOMER
STM4080	STM4080	4289422	4290186	STM4080-MONOMER
STM4570	STM4570	4825159	4825878	STM4570-MONOMER
STM0863	STM0863	935500	936702	STM0863-MONOMER
STM2635	STM2635	2775328	2775612	STM2635-MONOMER
STM1317	STM1317	1396303	1397061	STM1317-MONOMER
PSLT009	PSLT009	4992	5549	PSLT009-MONOMER
STM1793	STM1793	1891943	1893079	STM1793-MONOMER
STM3103	STM3103	3262535	3263128	STM3103-MONOMER
STM0371	STM0371	421689	423575	STM0371-MONOMER
STM3568	STM3568	3735939	3736793	STM3568-MONOMER
STM2285	STM2285	2391853	2393112	STM2285-MONOMER
STM4061	STM4061	4271256	4272158	STM4061-MONOMER
STM4549	STM4549	4807546	4808004	STM4549-MONOMER
STM0844	STM0844	913788	914687	STM0844-MONOMER
STM2618	STM2618	2763577	2763717	STM2618-MONOMER
STM1299	STM1299	1378627	1379970	STM1299-MONOMER
STM1775	STM1775	1872492	1873325	STM1775-MONOMER
STM3082	STM3082	3243353	3244369	STM3082-MONOMER
STM0351	STM0351	393894	397061	STM0351-MONOMER
STM3550	STM3550	3719395	3720429	STM3550-MONOMER
STM2264	STM2264	2362480	2363130	STM2264-MONOMER
STM4040	STM4040	4250334	4251434	STM4040-MONOMER
STM4529	STM4529	4785941	4786243	STM4529-MONOMER
STM0826	STM0826	891481	892407	STM0826-MONOMER
STM2599	STM2599	2748179	2749429	STM2599-MONOMER
STM1277	STM1277	1354427	1354774	STM1277-MONOMER
STM1749	STM1749	1843122	1845800	STM1749-MONOMER
STM3065	STM3065	3226755	3227501	STM3065-MONOMER
STM0319	STM0319	364529	364930	STM0319-MONOMER
STM3526	STM3526	3688742	3690250	STM3526-MONOMER
STM2248	STM2248	2348432	2348989	STM2248-MONOMER
STM4019	STM4019	4228678	4230714	STM4019-MONOMER
STM4499	STM4499	4752683	4753408	STM4499-MONOMER
STM0797	STM0797	863099	863785	STM0797-MONOMER
STM2584	STM2584	2728977	2730470	STM2584-MONOMER
STM1249	STM1249	1334035	1334379	STM1249-MONOMER
STM1724	STM1724	1820106	1821701	STM1724-MONOMER
STM3045	STM3045	3205440	3205961	STM3045-MONOMER
STM0295	STM0295	340045	340353	STM0295-MONOMER
STM3506	STM3506	3664147	3666465	STM3506-MONOMER
STM2218	STM2218	2319127	2320152	STM2218-MONOMER
STM3993	STM3993	4201697	4202212	STM3993-MONOMER
STM4479	STM4479	4722372	4723472	STM4479-MONOMER
STM0780	STM0780	845362	845511	STM0780-MONOMER
STM2564	STM2564	2706175	2707617	STM2564-MONOMER
STM1226	STM1226	1312020	1313156	STM1226-MONOMER
STM1704	STM1704	1798906	1799658	STM1704-MONOMER
STM3019	STM3019	3179664	3180842	STM3019-MONOMER
STM0270	STM0270	309114	309938	STM0270-MONOMER
STM3489	STM3489	3644374	3644775	STM3489-MONOMER
STM2194	STM2194	2291440	2292297	STM2194-MONOMER
STM3968	STM3968	4174877	4175638	STM3968-MONOMER
STM4460	STM4460	4703988	4704923	STM4460-MONOMER
STM0761	STM0761	824921	825466	STM0761-MONOMER
STM4455	STM4455	4698375	4699322	STM4455-MONOMER
STM0757	STM0757	821304	822023	STM0757-MONOMER
STM2541	STM2541	2680771	2681094	STM2541-MONOMER
STM1204	STM1204	1287877	1290051	STM1204-MONOMER
STM1684	STM1684	1777863	1778924	STM1684-MONOMER
STM2996	STM2996	3152718	3156089	STM2996-MONOMER
STM0242	STM0242	282468	284186	STM0242-MONOMER
STM3470	STM3470	3620362	3620964	STM3470-MONOMER
STM2170	STM2170	2267355	2267951	STM2170-MONOMER
STM3947	STM3947	4152272	4153099	STM3947-MONOMER
STM4433	STM4433	4676907	4677929	STM4433-MONOMER
STM0736	STM0736	801748	804549	STM0736-MONOMER
STM2524	STM2524	2657401	2658405	STM2524-MONOMER
STM1187	STM1187	1272121	1273080	STM1187-MONOMER
STM1663	STM1663	1756766	1757797	STM1663-MONOMER
STM2973	STM2973	3124511	3125659	STM2973-MONOMER
STM0224	STM0224	262380	264794	STM0224-MONOMER
STM3447	STM3447	3601776	3602246	STM3447-MONOMER
STM2147	STM2147	2241046	2241843	STM2147-MONOMER
STM3921	STM3921	4130430	4131692	STM3921-MONOMER
STM4414	STM4414	4654756	4655286	STM4414-MONOMER
