	From Builder	From OSM
BWCOGDS2	EG11829-MONOMER_EG11828-MONOMER OR EG11829-MONOMER_mod_mg2(1)	EG11829-MONOMER_EG11828-MONOMER OR EG11829-MONOMER_mod_mg2(1) OR EG11829-MONOMER_mod_mn2(1)
CBItonex	CPLX0-1924	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
CBL1tonex	CPLX0-1924	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
CBPS	CARBPSYN-CPLX_mod_mg2(1)	CARBPSYN-CPLX_mod_cd2(1) OR CARBPSYN-CPLX_mod_cobalt2(1) OR CARBPSYN-CPLX_mod_mg2(1) OR CARBPSYN-CPLX_mod_mn2(1) OR CARBPSYN-CPLX_mod_zn2(1)
CHORS	AROC-CPLX_mod_fmnh2(1)	AROC-CPLX_mod_fadh2(1) OR AROC-CPLX_mod_fmnh2(1)
CHTBSptspp	PTSI-MONOMER	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
CMtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
CPGNtonex	CPLX0-1923_EG10306-MONOMER	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
CSND	CYTDEAM-MONOMER_mod_fe2(1)_mod_zn2(1)	CYTDEAM-MONOMER_mod_cobalt2(1)_mod_zn2(1) OR CYTDEAM-MONOMER_mod_fe2(1)_mod_zn2(1) OR CYTDEAM-MONOMER_mod_mn2(1)_mod_zn2(1)
DHAPT	CPLX_DHAPT-0	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
DHPTPE	FOLXTET-CPLX_mod_mg2(1)	FOLXTET-CPLX_mod_ca2(1) OR FOLXTET-CPLX_mod_mg2(1) OR FOLXTET-CPLX_mod_mn2(1)
DMATT	FPPSYN-MONOMER_mod_mg2(1)	FPPSYN-MONOMER_mod_mg2(1) OR FPPSYN-MONOMER_mod_mn2(1)
DOXRBCNtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
DSBCGT	DSBC-CPLX	CPLX_TDSR1-0 OR DSBC-CPLX
DSBDR	CPLX_DSBDR-0 OR CPLX_DSBDR-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_TDSR1-0 OR CPLX_TDSR2-0 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
DSBGGT	DSBG-CPLX	CPLX_TDSR2-0 OR DSBG-CPLX
DXPRIi	DXPREDISOM-CPLX_mod_mn2(1)	DXPREDISOM-CPLX_mod_cobalt2(1) OR DXPREDISOM-CPLX_mod_mg2(1) OR DXPREDISOM-CPLX_mod_mn2(1)
FE3DCITtonex	CPLX0-1943	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FE3DHBZStonex	CPLX0-1923_EG10155-MONOMER OR G6414-MONOMER_CPLX0-1923	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FE3HOXtonex	CPLX0-1942	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FECRMtonex	CPLX0-1942	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FEENTERtex	EG11009-MONOMER	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
FEENTERtonex	CPLX0-1941	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FEOXAMtonex	CPLX0-1942	CPLX0-1923_EG10155-MONOMER OR CPLX0-1923_EG10306-MONOMER OR CPLX0-1924 OR CPLX0-1941 OR CPLX0-1942 OR CPLX0-1943 OR G6414-MONOMER_CPLX0-1923
FHL	CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_4fe4s(8)_mod_2fe2s(2)_mod_bmocogdp(1)_mod_NiFeCoCN2(1) OR FHLMULTI-CPLX	CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_4fe4s(8)_mod_2fe2s(2)_mod_bmocogdp(1)_mod_NiFe_cofactor(1) OR FHLMULTI-CPLX OR HYDROG3-CPLX_mod_ni2(1)
FLDR2	CPLX_FLDR2-0 OR CPLX_FLDR2-1	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
