	From Builder	From OSM
I4FE4SR	IscU_mod_2fe2s(1)	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
I4FE4ST	CPLX_I2FE2ST-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
ICDHyr	ISOCITHASE-CPLX_mod_mn2(1)	ISOCITHASE-CPLX_mod_mg2(1) OR ISOCITHASE-CPLX_mod_mn2(1)
ICL	ISOCIT-LYASE_mod_mg2(1)	ISOCIT-LYASE_mod_mg2(1) OR ISOCIT-LYASE_mod_mn2(1)
ICYSDS	IscS_mod_pydx5p(2)_mod_SH(1)	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_MOADSUx-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1)
IGPDH	IMIDHISTID-CPLX_mod_mg2(1)	IMIDHISTID-CPLX_mod_mg2(1) OR IMIDHISTID-CPLX_mod_mn2(1)
ILETA	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6)	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6)
ILEabcpp	ABC-15-CPLX	ABC-15-CPLX OR ABC-304-CPLX
INDOLEt2pp	CPLX0-2141	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
IPDDI	IPPISOM-MONOMER_mod_mg2(1)_mod_zn2(1)	IPPISOM-MONOMER_mod_mg2(1)_mod_zn2(1) OR IPPISOM-MONOMER_mod_mn2(1)_mod_zn2(1)
KAS15	CPLX0-252	CPLX0-252 OR CPLX_ACOATA-0
LEUTAi	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6) OR TYRB-DIMER_mod_pydx5p(1)	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6) OR TYRB-DIMER_mod_pydx5p(1)
LYSTRS	LysII_RS_dim_mod_mg2(6) OR LysI_RS_dim	LysII_RS_dim_mod_lys_DASH_L(1) OR LysII_RS_dim_mod_mg2(6) OR LysI_RS_dim
LYSabcpp	ABC-3-CPLX	ABC-14-CPLX OR ABC-3-CPLX
MALTptspp	CPLX-164	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
MANGLYCptspp	CPLX-163	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
MANptspp	CPLX-165	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
MCOATA	CPLX_MCOATA-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
MCTP1App	CPLX0-3951 OR CPLX0-7717 OR EG10341-MONOMER OR EG10606-MONOMER	CPLX0-3951 OR CPLX0-3951_G6561-MONOMER OR CPLX0-7717 OR CPLX0-7717_G6561-MONOMER OR EG10341-MONOMER OR EG10606-MONOMER
MCTP1Bpp	CPLX0-3951 OR CPLX0-7717	CPLX0-3951 OR CPLX0-3951_G6561-MONOMER OR CPLX0-7717 OR CPLX0-7717_G6561-MONOMER
MCTP2App	CPLX0-3951 OR CPLX0-7717 OR EG10341-MONOMER OR EG10606-MONOMER	CPLX0-3951 OR CPLX0-3951_G6561-MONOMER OR CPLX0-7717 OR CPLX0-7717_G6561-MONOMER OR EG10341-MONOMER OR EG10606-MONOMER
ME1	MALIC-NAD-CPLX_mod_mn2(1)	MALIC-NAD-CPLX_mod_mg2(1) OR MALIC-NAD-CPLX_mod_mn2(1)
ME2	MALIC-NADP-CPLX_mod_mn2(1)	MALIC-NADP-CPLX_mod_mg2(1) OR MALIC-NADP-CPLX_mod_mn2(1)
MECDPDH5	CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
MEPCT	CPLX0-234_mod_mg2(1)	CPLX0-234_mod_cobalt2(1) OR CPLX0-234_mod_mg2(1) OR CPLX0-234_mod_mn2(1)
METAT	S-ADENMETSYN-CPLX_mod_k(4)_mod_mg2(1)	S-ADENMETSYN-CPLX_mod_LI(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_cobalt2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_LI(4)_mod_zn2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_cobalt2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_cs(4)_mod_zn2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_k(4)_mod_zn2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_cobalt2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_na1(4)_mod_zn2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_cobalt2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_nh4(4)_mod_zn2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_ca2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_cd2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_cobalt2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_mg2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_mn2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_ni2(1) OR S-ADENMETSYN-CPLX_mod_tl(4)_mod_zn2(1)
