reaction	lb	ub
DM_RNA_b2205	0.0	1000.0
DM_RNA_b2197	0.0	1000.0
DM_RNA_b2199	0.0	1000.0
DM_RNA_b2206	0.0	1000.0
DM_RNA_b2202	0.0	1000.0
DM_RNA_b0593	0.0	1000.0
DM_RNA_b0596	0.0	1000.0
DM_RNA_b0595	0.0	1000.0
DM_RNA_b0594	0.0	1000.0
DM_RNA_b3067	0.0	1000.0
DM_RNA_b3065	0.0	1000.0
DM_RNA_b0783	0.0	1000.0
DM_RNA_b0785	0.0	1000.0
DM_RNA_b0784	0.0	1000.0
DM_RNA_b0781	0.0	1000.0
DM_RNA_b3725	0.0	1000.0
DM_RNA_b1984	0.0	1000.0
DM_RNA_b3568	0.0	1000.0
DM_RNA_b3566	0.0	1000.0
DM_RNA_b3567	0.0	1000.0
DM_RNA_b4192	0.0	1000.0
DM_RNA_b2563	0.0	1000.0
DM_RNA_b2567	0.0	1000.0
DM_RNA_b2564	0.0	1000.0
DM_RNA_b2566	0.0	1000.0
DM_RNA_b2519	0.0	1000.0
DM_RNA_b4165	0.0	1000.0
DM_RNA_b4163	0.0	1000.0
DM_RNA_b4164	0.0	1000.0
DM_RNA_b3460	0.0	1000.0
DM_RNA_b1646	0.0	1000.0
DM_RNA_b0902	0.0	1000.0
DM_RNA_b1386	0.0	1000.0
DM_RNA_b1779	0.0	1000.0
DM_RNA_b1380	0.0	1000.0
DM_RNA_b2306	0.0	1000.0
DM_RNA_b2310	0.0	1000.0
DM_RNA_b2309	0.0	1000.0
DM_RNA_b2308	0.0	1000.0
DM_RNA_b2307	0.0	1000.0
DM_RNA_b0194	0.0	1000.0
DM_RNA_b1252	0.0	1000.0
DM_RNA_b3741	0.0	1000.0
DM_RNA_b0514	0.0	1000.0
DM_RNA_b2318	0.0	1000.0
DM_RNA_b2320	0.0	1000.0
DM_RNA_b3171	0.0	1000.0
DM_RNA_b3643	0.0	1000.0
DM_RNA_b0650	0.0	1000.0
DM_RNA_b0765	0.0	1000.0
DM_RNA_b0764	0.0	1000.0
DM_RNA_b0763	0.0	1000.0
DM_RNA_b0404	0.0	1000.0
DM_RNA_b2682	0.0	1000.0
DM_RNA_b2683	0.0	1000.0
DM_RNA_b3058	0.0	1000.0
DM_RNA_b0475	0.0	1000.0
DM_RNA_b0333	0.0	1000.0
DM_RNA_b0334	0.0	1000.0
DM_RNA_b0331	0.0	1000.0
DM_RNA_b2366	0.0	1000.0
DM_RNA_b0968	0.0	1000.0
DM_RNA_b4270	0.0	1000.0
DM_RNA_b3457	0.0	1000.0
DM_RNA_b3455	0.0	1000.0
DM_RNA_b3456	0.0	1000.0
DM_RNA_b3458	0.0	1000.0
DM_RNA_b3454	0.0	1000.0
DM_RNA_b0980	0.0	1000.0
DM_RNA_b0978	0.0	1000.0
DM_RNA_b0979	0.0	1000.0
DM_RNA_b2893	0.0	1000.0
DM_RNA_b0172	0.0	1000.0
DM_RNA_b3224	0.0	1000.0
DM_RNA_b3222	0.0	1000.0
DM_RNA_b3225	0.0	1000.0
DM_RNA_b3223	0.0	1000.0
DM_RNA_b2149	0.0	1000.0
DM_RNA_b2148	0.0	1000.0
DM_RNA_b2150	0.0	1000.0
DM_RNA_b1378	0.0	1000.0
DM_RNA_b2903	0.0	1000.0
DM_RNA_b0526	0.0	1000.0
DM_RNA_b0651	0.0	1000.0
DM_RNA_b1185	0.0	1000.0
DM_RNA_b0826	0.0	1000.0
DM_RNA_b0827	0.0	1000.0
DM_RNA_b2242	0.0	1000.0
DM_RNA_b2241	0.0	1000.0
DM_RNA_b2243	0.0	1000.0
DM_RNA_b0664	0.0	1000.0
DM_RNA_b0670	0.0	1000.0
DM_RNA_b0668	0.0	1000.0
DM_RNA_b0672	0.0	1000.0
DM_RNA_b0673	0.0	1000.0
DM_RNA_b0666	0.0	1000.0
DM_RNA_b0665	0.0	1000.0
DM_RNA_b2838	0.0	1000.0
DM_RNA_b3665	0.0	1000.0
DM_RNA_b2688	0.0	1000.0
DM_RNA_b1900	0.0	1000.0
DM_RNA_b4460	0.0	1000.0
DM_RNA_b1901	0.0	1000.0
DM_RNA_b2010	0.0	1000.0
DM_RNA_b0903	0.0	1000.0
DM_RNA_b0904	0.0	1000.0
DM_RNA_b0621	0.0	1000.0
DM_RNA_b1492	0.0	1000.0
DM_RNA_b1493	0.0	1000.0
DM_RNA_b2094	0.0	1000.0
DM_RNA_b2093	0.0	1000.0
DM_RNA_b2096	0.0	1000.0
DM_RNA_b2092	0.0	1000.0
DM_RNA_b2095	0.0	1000.0
DM_RNA_b2091	0.0	1000.0
DM_RNA_b0049	0.0	1000.0
DM_RNA_b0051	0.0	1000.0
DM_RNA_b0173	0.0	1000.0
DM_RNA_b2957	0.0	1000.0
DM_RNA_b2874	0.0	1000.0
DM_RNA_b2588	0.0	1000.0
DM_RNA_b1186	0.0	1000.0
DM_RNA_b1489	0.0	1000.0
DM_RNA_b1485	0.0	1000.0
DM_RNA_b1488	0.0	1000.0
DM_RNA_b1486	0.0	1000.0
DM_RNA_b1484	0.0	1000.0
DM_RNA_b1483	0.0	1000.0
DM_RNA_b1487	0.0	1000.0
DM_RNA_b1981	0.0	1000.0
DM_RNA_b1656	0.0	1000.0
DM_RNA_b0883	0.0	1000.0
DM_RNA_b3426	0.0	1000.0
DM_RNA_b0052	0.0	1000.0
DM_RNA_b2690	0.0	1000.0
DM_RNA_b1387	0.0	1000.0
DM_RNA_b2784	0.0	1000.0
DM_RNA_b2904	0.0	1000.0
DM_RNA_b2905	0.0	1000.0
DM_RNA_b3415	0.0	1000.0
DM_RNA_b3132	0.0	1000.0
DM_RNA_b1276	0.0	1000.0
DM_RNA_b0875	0.0	1000.0
DM_RNA_b2954	0.0	1000.0
DM_RNA_b1992	0.0	1000.0
DM_RNA_b1991	0.0	1000.0
DM_RNA_b1993	0.0	1000.0
DM_RNA_b0031	0.0	1000.0
DM_RNA_b0971	0.0	1000.0
DM_RNA_b0914	0.0	1000.0
DM_RNA_b0915	0.0	1000.0
