	0
b2564	9.603802032173183e-06
b2566	5.862449305256326e-10
b2567	1.2269337019012391e-08
b2573	6.529286277628916e-09
b2574	9.795424399656876e-09
b2575	9.06564088354627e-11
b2578	0.0
b2579	0.0
b2582	0.0
b2585	1.9751926601678327e-07
b2587	0.0
b2594	8.793673957884482e-10
b2595	3.7308413570408845e-06
b2599	3.070417164157254e-05
b2600	2.8196543483719083e-06
b2601	2.8196543483719083e-06
b2606	8.231239920996712e-05
b2607	1.8746074441966606e-10
b2608	2.931224652628163e-10
b2609	8.231239920996712e-05
b2610	5.128437798365019e-06
b2614	3.1974896180383998e-09
b2615	4.708321191051258e-09
b2617	3.7308413570408845e-06
b2661	0.0
b2662	0.0
b2663	0.0
b2675	0.0
b2676	0.0
b2677	0.0
b2678	0.0
b2679	0.0
b2682	0.0
b2683	0.0
b2687	9.388955950763787e-05
b2688	0.0
b2690	1.3377651606806835e-06
b2697	7.108842820577283e-06
b2701	0.0
b2702	0.0
b2703	0.0
b2704	0.0
b2705	0.0
b2708	0.0
b2710	0.0
b2711	0.0
b2715	0.0
b2719	0.0
b2720	0.0
b2721	0.0
b2722	0.0
b2723	0.0
b2724	0.0
b2738	0.0
b2741	1.4287609811842143e-08
b2744	7.679298993247783e-05
b2745	1.4138070953909312e-10
b2746	3.0511751190316778e-05
b2747	9.586911071186363e-05
b2750	2.733657545628163e-05
b2751	2.3196856608707923e-06
b2752	2.3196856608707923e-06
b2762	1.9728648385962675e-06
b2763	1.2792655421901594e-05
b2764	2.5585310843803188e-05
b2765	1.4921376603021202e-09
b2779	3.179549722242217e-05
b2780	2.7247982530661206e-05
b2781	0.0
b2784	0.0
b2785	2.931224652628163e-10
b2787	0.0
b2788	0.0
b2789	0.0
b2791	3.1975671939686297e-10
b2794	4.48246221499393e-06
b2796	0.0
b2797	0.0
b2799	0.0
b2800	0.0
b2801	0.0
b2802	0.0
b2803	0.0
b2806	2.931224652628163e-10
b2810	0.0
b2811	0.0
b2813	0.0
b2817	0.0
b2818	1.157646714898476e-05
b2827	1.0083035062492896e-06
b2828	1.0729824143537738e-08
b2835	2.0225060427538927e-08
b2836	1.248950830785589e-06
b2838	2.824516287824881e-05
b2841	0.0
b2866	4.504972412107527e-07
b2867	4.504972412107527e-07
b2868	4.504972412107527e-07
b2871	0.0
b2874	5.00446356581523e-06
b2877	0.0
b2882	0.0
b2883	0.0
b2889	0.0
b2890	2.5697604619088194e-09
b2891	2.5697604619088194e-09
b2893	0.0
b2895	1.1190071918070536e-06
b2901	0.0
b2903	0.0
b2904	0.0
b2905	0.0
b2907	0.0
b2912	0.0
b2913	9.049073519001284e-07
b2914	0.0
b2917	0.0
b2919	0.0
b2920	0.0
b2923	0.0
b2925	2.1938315855657353e-05
b2926	8.530945929283709e-05
b2927	0.0
b2930	0.0
b2935	0.0
b2937	0.0
b2938	0.0
b2942	1.3684874648979862e-09
b2943	8.494146608469793e-06
b2946	5.862449305256326e-10
b2947	0.0
b2954	0.0
b2957	0.0
b2960	1.6617462835063125e-09
b2963	0.0
b2964	0.0
b2965	0.0
b2975	0.0
b2976	0.0
b4467	1.5302616205825713e-09
b4468	1.5302616205825713e-09
b2979	1.5302616205825713e-09
b2987	0.0
b2988	0.0
b2994	0.0
b2995	0.0
b2996	0.0
b2997	0.0
b3001	0.0
b3005	0.0
b3006	0.0
b3008	0.0
b3012	0.0
b3018	5.164096123074248e-08
b3028	0.0
b3029	0.0
b3034	0.0
b3035	0.0
b3040	7.382477627427162e-09
b3041	2.6482962834025502e-05
b3052	0.0
b3057	0.0
b3058	1.4572823366441141e-08
b3059	0.0
b3061	0.0
b3062	0.0
b3063	0.0
b3065	8.231239920996712e-05
b3067	4.550694389811175e-06
b3073	0.0
b3084	2.931224652628163e-10
b3089	0.0
b3091	0.0
b3092	0.0
b3093	0.0
b4471	0.0
b3114	7.650530252560418e-07
b3115	0.0
b3116	0.0
b3117	2.939599867229937e-06
b3124	0.0
b3125	0.0
b3126	0.0
b3127	0.0
b3128	0.0
b3132	0.0
b3137	0.0
b3146	2.931224652628163e-10
b3161	0.0
b3164	2.2624174603405457e-08
b3165	8.231239920996712e-05
b3166	2.3771889486369517e-09
b3167	2.931224652628163e-10
b3168	7.438094283336477e-08
b3169	1.9199908981276924e-09
b3172	8.074268134668789e-08
b3175	1.476835181635031e-05
b3176	1.082581416805944e-05
b3177	5.609009265673625e-09
b3179	2.931224652628163e-10
b3181	1.9199908981276924e-09
b3182	0.0
b3185	8.231239920996712e-05
b3186	8.231239920996712e-05
b3187	1.6835543245830368e-09
b3189	5.228116661606269e-06
b3196	0.0
b3197	3.49279254407035e-07
b3198	4.66954863720118e-06
b3199	3.1350561886071377e-06
b3200	3.1350561886071377e-06
b3201	6.270112377214275e-06
b3202	9.200423066176229e-11
b3212	0.0
b3213	0.0
b3222	0.0
b3223	0.0
b3224	0.0
b3225	0.0
b3230	8.231239920996712e-05
b3231	8.231381267489653e-05
b3236	2.5015710526413347e-05
b3247	1.2269337019012391e-08
b3255	1.089235392429431e-06
b3256	1.089235392429431e-06
b3258	0.0
b3260	0.0
b3265	0.0
b3266	0.0
b3281	0.0
b3282	5.956236276522295e-10
b3287	4.549853670306516e-09
b3288	3.0114948417744724e-09
b3289	2.931224652628163e-10
b3290	0.0
b3294	8.231239920996712e-05
b3295	9.178554888541536e-06
b3296	8.231381267489653e-05
b3297	8.231239920996712e-05
b3298	8.231239920996712e-05
b3299	8.231239920996712e-05
b3300	1.476835181635031e-05
b3301	8.231239920996712e-05
b3302	8.231239920996712e-05
b3303	8.231239920996712e-05
b3304	8.231239920996712e-05
b3305	8.231239920996712e-05
b3306	8.231239920996712e-05
b3307	8.231239920996712e-05
b3308	8.231239920996712e-05
b3309	8.231239920996712e-05
b3310	8.231239920996712e-05
b3311	8.231239920996712e-05
b3312	8.231239920996712e-05
b3313	8.231239920996712e-05
b3314	8.231239920996712e-05
b3315	8.231239920996712e-05
b3316	8.231239920996712e-05
b3317	8.231239920996712e-05
b3318	8.231239920996712e-05
b3319	8.231381267489653e-05
b3320	8.231381267489653e-05
b3321	8.231381267489653e-05
b3339	1.662177875188589e-05
b3340	1.6621778751885893e-05
b3341	8.231239920996712e-05
b3342	8.231239920996712e-05
b3343	5.444552138044296e-10
b3344	5.444552138044296e-10
b3345	5.444552138044296e-10
b3350	0.0
b3359	2.105662825568298e-06
b3360	2.4901985760597403e-09
b3365	0.0
b3366	0.0
b3367	0.0
b3368	2.9611329214498933e-07
b3370	0.0
b3371	0.0
b4474	0.0
b3374	0.0
b3380	0.0
b3384	3.598962433444029e-07
b3385	0.0
b3386	3.3434237070051412e-06
b3389	2.797997937200168e-05
b3390	3.968110116159706e-06
b3396	0.0
b3397	0.0
b3403	0.0
b3406	1.9199908981276924e-09
b3409	0.0
b3412	4.8606889827832536e-12
b3415	0.0
b3416	0.0
b3417	0.0
b3425	0.0
b3426	0.0
b3428	0.0
b3429	3.956009602696285e-08
b3430	8.078550960357024e-07
b3431	0.0
b3432	0.0
b3433	1.4886612375879295e-07
b4476	0.0
b3437	0.0
b3447	0.0
b3449	0.0
b3450	0.0
b3451	0.0
b3452	0.0
b3453	0.0
b3454	0.0
b3455	0.0
b3456	0.0
b3457	0.0
b3458	0.0
b3460	0.0
b3461	3.6294792250224037e-09
b3464	3.3294032193213665e-09
b3465	2.931224652628163e-10
b3469	0.0
b3470	2.722276069022148e-10
